Sensor X0,Motor Y0,
0.0651891,0.0650969,
0.0971876,0.0968827,
0.0197487,0.0197462,
0.110999,0.110546,
0.0808289,0.0806533,
-0.036704,-0.0366876,
-0.12121,-0.12062,
-0.0188867,-0.0188844,
-0.0800749,-0.0799042,
-0.0726181,-0.0724907,
0.0693418,0.0692309,
0.150638,0.149509,
0.230483,0.226487,
0.343946,0.330995,
0.286733,0.279125,
0.404833,0.384077,
0.518875,0.476831,
0.352648,0.338722,
0.38769,0.369367,
0.324035,0.313151,
0.169157,0.167562,
0.036491,0.0364749,
0.177665,0.175819,
0.281095,0.273918,
0.285846,0.278307,
0.356382,0.342023,
0.39234,0.373376,
0.23516,0.230919,
0.36047,0.345628,
0.411913,0.390096,
0.461656,0.431433,
0.387648,0.369331,
0.269123,0.262809,
0.376831,0.359952,
0.309053,0.299576,
0.417587,0.394896,
0.450897,0.422636,
0.449228,0.421264,
0.528867,0.484515,
0.611706,0.545327,
0.639757,0.564734,
0.688025,0.596712,
0.51146,0.471082,
0.59712,0.534997,
0.649316,0.571209,
0.550795,0.501116,
0.435434,0.409852,
0.35209,0.338228,
0.25606,0.250606,
0.183477,0.181445,
0.156395,0.155133,
0.277174,0.270287,
0.15811,0.156806,
0.234948,0.230577,
0.361078,0.346169,
0.311125,0.300734,
0.261333,0.254407,
0.174086,0.170847,
0.0941713,0.0916483,
0.161293,0.157699,
0.24574,0.239062,
0.312584,0.301274,
0.436305,0.410022,
0.416491,0.39301,
0.315029,0.302929,
0.372725,0.354675,
0.494896,0.457061,
0.534981,0.486914,
0.377385,0.356054,
0.229524,0.217802,
0.129199,0.117334,
0.213237,0.200412,
0.277086,0.261152,
0.158494,0.146318,
0.0576168,0.0449659,
-0.0673936,-0.0822355,
-0.216018,-0.230075,
-0.358377,-0.361727,
-0.234806,-0.24657,
-0.342459,-0.346436,
-0.378929,-0.378715,
-0.282806,-0.291204,
-0.275458,-0.283982,
-0.298209,-0.305408,
-0.425516,-0.41881,
-0.341622,-0.344184,
-0.196515,-0.206294,
-0.0930104,-0.101718,
-0.0630447,-0.0705838,
0.0037571,-0.00193284,
0.12568,0.123493,
0.222804,0.221404,
0.294548,0.291586,
0.436665,0.420148,
0.419325,0.403678,
0.502682,0.473772,
0.346871,0.339312,
0.263726,0.258425,
0.177167,0.172096,
0.117156,0.11017,
0.0295988,0.0193851,
0.0593067,0.050421,
0.0957607,0.0881131,
0.229553,0.223683,
0.237515,0.230907,
0.114891,0.106739,
0.134501,0.127005,
0.11228,0.104103,
0.208408,0.202114,
0.0530839,0.0419222,
0.0714666,0.0614246,
-0.0184079,-0.0325019,
-0.0376168,-0.0528002,
-0.111314,-0.129314,
-0.224547,-0.243924,
-0.381664,-0.391725,
-0.33293,-0.345839,
-0.304547,-0.319101,
-0.413715,-0.418199,
-0.380052,-0.387758,
-0.439245,-0.439039,
-0.528375,-0.511357,
-0.45593,-0.452504,
-0.525325,-0.508264,
-0.631971,-0.586561,
-0.473345,-0.462011,
-0.583889,-0.547685,
-0.589204,-0.549103,
-0.52114,-0.496317,
-0.559684,-0.525523,
-0.589009,-0.548168,
-0.641242,-0.584023,
-0.732949,-0.643523,
-0.694079,-0.616441,
-0.635492,-0.575141,
-0.449461,-0.427839,
-0.368117,-0.353549,
-0.297814,-0.287597,
-0.205315,-0.193334,
-0.0684522,-0.0481654,
-0.137101,-0.118921,
-0.104508,-0.0869712,
0.0345085,0.0622966,
0.17449,0.208283,
0.231143,0.262307,
0.19448,0.226974,
0.224694,0.2562,
0.360882,0.385872,
0.323188,0.348475,
0.403729,0.422454,
0.314171,0.340788,
0.338514,0.364218,
0.431494,0.445491,
0.362081,0.383049,
0.269426,0.292907,
0.25104,0.273183,
0.402752,0.417464,
0.454093,0.46233,
0.557768,0.54495,
0.495442,0.494109,
0.541759,0.530797,
0.458468,0.461209,
0.332972,0.345537,
0.389699,0.395804,
0.332285,0.340575,
0.21792,0.225947,
0.356296,0.361236,
0.290875,0.297225,
0.375759,0.377527,
0.274709,0.281448,
0.319148,0.324308,
0.236661,0.241727,
0.219587,0.225367,
0.193683,0.196104,
0.143908,0.144507,
0.186104,0.191317,
0.14279,0.147258,
0.0380802,0.0334207,
-0.114957,-0.130928,
-0.0486117,-0.0614658,
-0.177065,-0.196868,
-0.130567,-0.150836,
-0.166105,-0.18574,
-0.123367,-0.142714,
-0.150546,-0.169748,
-0.291572,-0.316436,
-0.351567,-0.375604,
-0.328468,-0.352231,
-0.46272,-0.47571,
-0.609683,-0.590201,
-0.505941,-0.507339,
-0.524571,-0.522778,
-0.495887,-0.49879,
-0.48982,-0.492946,
-0.534371,-0.529665,
-0.413048,-0.42745,
-0.526504,-0.520932,
-0.513208,-0.508181,
-0.479322,-0.481259,
-0.382316,-0.396696,
-0.517045,-0.509287,
-0.608392,-0.57682,
-0.659173,-0.610791,
-0.673542,-0.619127,
-0.505644,-0.491983,
-0.397511,-0.393139,
-0.532241,-0.510223,
-0.426745,-0.417516,
-0.316684,-0.311951,
-0.395648,-0.387319,
-0.353587,-0.347387,
-0.295005,-0.28842,
-0.222582,-0.213894,
-0.243538,-0.235181,
-0.254978,-0.24718,
-0.281456,-0.274392,
