Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0.277174,0.270287,0.277174,0.270287,
0.157919,0.156619,0.157726,0.156431,
0.234347,0.230008,0.23374,0.229432,
0.359645,0.344908,0.358203,0.343629,
0.308916,0.298714,0.306691,0.29668,
0.258938,0.252152,0.256526,0.249885,
0.171561,0.168377,0.169022,0.165904,
0.0914266,0.0889076,0.0886772,0.0861798,
0.158322,0.154782,0.155348,0.15188,
0.242399,0.235893,0.239059,0.232736,
0.308745,0.297762,0.304927,0.294272,
0.431099,0.405653,0.425999,0.401369,
0.410922,0.388302,0.405536,0.383686,
0.308883,0.297345,0.302855,0.291812,
0.366602,0.349324,0.360603,0.344033,
0.487927,0.451581,0.481178,0.446144,
0.525395,0.479761,0.516339,0.472625,
0.367339,0.347569,0.357838,0.338995,
0.218964,0.208084,0.208927,0.198335,
0.116897,0.105564,0.105117,0.0938412,
0.200824,0.188883,0.188984,0.177386,
0.26362,0.248996,0.250828,0.2369,
0.144697,0.133226,0.131544,0.120186,
0.0439439,0.0317649,0.0309542,0.0186596,
-0.0808282,-0.0951462,-0.0935246,-0.107836,
-0.22875,-0.241743,-0.240674,-0.253022,
-0.370198,-0.371593,-0.381191,-0.381108,
-0.245571,-0.256124,-0.255407,-0.265394,
-0.352315,-0.354531,-0.361203,-0.362284,
-0.388373,-0.386242,-0.396791,-0.393347,
-0.291964,-0.298945,-0.300098,-0.306363,
-0.284229,-0.291402,-0.291975,-0.29845,
-0.306946,-0.31272,-0.314656,-0.319598,
-0.433659,-0.424991,-0.440759,-0.430667,
-0.34847,-0.349546,-0.354228,-0.354541,
-0.202775,-0.211515,-0.207969,-0.21642,
-0.0987692,-0.106572,-0.103453,-0.111103,
-0.0683527,-0.0749443,-0.0725573,-0.0790356,
-0.00180984,-0.00659159,-0.00627949,-0.0109911,
0.119567,0.118351,0.114548,0.11347,
0.216084,0.215874,0.210524,0.210633,
0.28779,0.286241,0.282272,0.281246,
0.429844,0.415254,0.424263,0.410695,
0.411115,0.397692,0.404312,0.391737,
0.493755,0.46764,0.486334,0.461601,
0.33846,0.33292,0.331618,0.326424,
0.253084,0.249512,0.243996,0.240719,
0.166233,0.162499,0.156822,0.153123,
0.105368,0.0995175,0.0950645,0.0891108,
-0.100351,-0.113618,-0.231246,-0.244729,
0.159099,0.155967,0.266034,0.26673,
0.00954989,-0.00240203,-0.0766303,-0.0954555,
0.091037,0.08349,-0.0430733,-0.0597645,
