Sensor X1,Motor Y1,Sensor X2,Motor Y2,Sensor X3,Motor Y3, Sensor X4,Motor Y4,
0.262043,0.256205,0.262043,0.256205,0.262043,0.256205,0.262043,0.256205,
0.175879,0.174087,0.175873,0.174082,0.175868,0.174077,0.175863,0.174072,
0.0973777,0.0970495,0.0973386,0.0970113,0.0973004,0.0969731,0.0972612,0.096934,
0.166687,0.165144,0.166642,0.1651,0.166597,0.165056,0.166552,0.165012,
0.253145,0.247866,0.25306,0.247786,0.252977,0.247708,0.252894,0.24763,
0.321326,0.310716,0.321184,0.310588,0.321048,0.310465,0.320913,0.310342,
0.445578,0.418324,0.445277,0.418075,0.44499,0.417837,0.444707,0.417604,
0.424665,0.400881,0.424289,0.400566,0.42393,0.400267,0.423581,0.399968,
0.322801,0.311977,0.322388,0.311608,0.321991,0.311253,0.321601,0.310893,
0.38172,0.364135,0.381292,0.363767,0.380879,0.363413,0.380475,0.363055,
0.504193,0.465356,0.503652,0.464935,0.50313,0.464531,0.502622,0.464124,
0.542861,0.49497,0.542014,0.494332,0.541193,0.493719,0.540392,0.493101,
0.385162,0.36681,0.384246,0.366027,0.383356,0.365267,0.382486,0.364492,
0.240109,0.234989,0.239146,0.234088,0.238205,0.23321,0.237284,0.232321,
0.146171,0.144241,0.145043,0.143147,0.143935,0.142076,0.142848,0.140995,
0.240102,0.234804,0.238943,0.233721,0.237809,0.232661,0.236695,0.231593,
0.311303,0.300913,0.310021,0.299757,0.308771,0.298631,0.307541,0.297496,
0.198114,0.194674,0.196806,0.193429,0.195522,0.192207,0.19426,0.190967,
0.105923,0.104462,0.104609,0.103182,0.10332,0.101923,0.102053,0.100639,
-0.00789633,-0.00920318,-0.00920442,-0.0104884,-0.010487,-0.0117507,-0.0117466,-0.0130461,
-0.142929,-0.143521,-0.144193,-0.144736,-0.145428,-0.145922,-0.146641,-0.147148,
-0.271764,-0.266847,-0.272953,-0.267929,-0.274112,-0.268982,-0.275247,-0.270071,
-0.139937,-0.14042,-0.141066,-0.141497,-0.142162,-0.142546,-0.143231,-0.14364,
-0.236255,-0.23342,-0.237322,-0.2344,-0.238354,-0.235352,-0.23936,-0.236342,
-0.265943,-0.261386,-0.266997,-0.26234,-0.268014,-0.263261,-0.269004,-0.264227,
-0.165522,-0.165394,-0.166559,-0.166371,-0.16756,-0.167318,-0.168533,-0.168311,
-0.149642,-0.149864,-0.150658,-0.150826,-0.151638,-0.151758,-0.152591,-0.152737,
-0.164099,-0.164024,-0.165115,-0.164982,-0.166094,-0.165907,-0.167046,-0.166883,
-0.284102,-0.278272,-0.285076,-0.279143,-0.28601,-0.279977,-0.286916,-0.280858,
-0.201087,-0.199787,-0.202001,-0.20063,-0.202873,-0.20144,-0.203718,-0.202298,
-0.0521118,-0.0531024,-0.0529994,-0.0539499,-0.0538454,-0.0547672,-0.0546635,-0.0556349,
0.0601966,0.0593723,0.0593078,0.0585249,0.0584608,0.0577069,0.057642,0.0568358,
0.0980575,0.0971624,0.097164,0.0963181,0.0963133,0.095498,0.0954915,0.0946322,
0.171504,0.169433,0.170599,0.168594,0.169736,0.167779,0.168902,0.166915,
0.296959,0.288435,0.295974,0.28757,0.295032,0.286728,0.294118,0.285835,
0.387564,0.369353,0.386458,0.368437,0.385397,0.367544,0.384362,0.366596,
0.442297,0.415765,0.441117,0.414829,0.439983,0.413918,0.438874,0.412946,
0.560582,0.508891,0.559315,0.507991,0.558092,0.507109,0.55689,0.506168,
0.507474,0.468096,0.505888,0.466904,0.504356,0.465724,0.502843,0.464502,
0.566704,0.513197,0.565024,0.512005,0.563398,0.510825,0.561784,0.509596,
0.385848,0.36744,0.384091,0.365984,0.382405,0.364546,0.380729,0.363061,
0.291469,0.282607,0.289503,0.280855,0.287601,0.279129,0.285714,0.277353,
0.201224,0.197253,0.199229,0.195389,0.197296,0.193563,0.195382,0.191681,
0.142216,0.139689,0.14015,0.13771,0.138141,0.135769,0.136153,0.133776,
0.0590998,0.0571485,0.0570096,0.0551113,0.0549752,0.053107,0.0529632,0.051063,
0.0971347,0.0951389,0.0950755,0.0931457,0.0930711,0.0911756,0.091087,0.0891725,
0.14049,0.138057,0.138421,0.136077,0.136407,0.134115,0.134413,0.132121,
0.279454,0.27148,0.277339,0.26957,0.275283,0.267671,0.273241,0.265742,
0.285119,0.276653,0.282924,0.274683,0.280797,0.27272,0.278676,0.270726,
