Sensor X1,Motor Y1,Sensor X2,Motor Y2,Sensor X3,Motor Y3, Sensor X4,Motor Y4,
0.262043,0.256205,0.262043,0.256205,0.262043,0.256205,0.262043,0.256205,
0.175883,0.174092,0.175883,0.174092,0.175883,0.174091,0.175883,0.174091,
0.0974141,0.097106,0.0974121,0.0971041,0.0974102,0.0971022,0.0974082,0.0971002,
0.16675,0.165221,0.166748,0.165219,0.166746,0.165216,0.166743,0.165214,
0.25326,0.24798,0.253256,0.247976,0.253252,0.247972,0.253247,0.247969,
0.321499,0.310862,0.321492,0.310855,0.321485,0.310849,0.321478,0.310843,
0.445885,0.418514,0.44587,0.418501,0.445855,0.418489,0.445841,0.418477,
0.424976,0.401116,0.424957,0.4011,0.424939,0.401085,0.424922,0.40107,
0.323129,0.312331,0.323109,0.312312,0.323089,0.312294,0.323069,0.312276,
0.382125,0.364548,0.382103,0.364529,0.382082,0.364511,0.382062,0.364493,
0.504761,0.465851,0.504734,0.46583,0.504708,0.465809,0.504682,0.465789,
0.54375,0.495812,0.543708,0.49578,0.543666,0.49575,0.543626,0.495718,
0.386269,0.368121,0.386223,0.368081,0.386178,0.368043,0.386134,0.368004,
0.241582,0.236959,0.241534,0.236913,0.241486,0.236869,0.241439,0.236824,
0.148345,0.147221,0.148288,0.147166,0.148232,0.147112,0.148177,0.147057,
0.243122,0.238403,0.243064,0.238349,0.243006,0.238295,0.24295,0.238241,
0.315069,0.305006,0.315004,0.304947,0.314941,0.304891,0.314878,0.304833,
0.202341,0.199579,0.202275,0.199517,0.20221,0.199455,0.202146,0.199392,
0.110875,0.11037,0.110809,0.110305,0.110744,0.110241,0.110679,0.110176,
-0.00198941,-0.00205478,-0.00205554,-0.00211991,-0.00212067,-0.00218415,-0.00218489,-0.00225033,
-0.135835,-0.135083,-0.135899,-0.135145,-0.135962,-0.135206,-0.136024,-0.135269,
-0.263382,-0.257535,-0.263442,-0.25759,-0.263501,-0.257644,-0.263559,-0.257701,
-0.130615,-0.129946,-0.130672,-0.130002,-0.130728,-0.130056,-0.130784,-0.130113,
-0.225832,-0.222143,-0.225886,-0.222193,-0.225939,-0.222243,-0.225992,-0.222295,
-0.254637,-0.24935,-0.254691,-0.249399,-0.254743,-0.249447,-0.254795,-0.249498,
-0.153443,-0.152318,-0.153496,-0.152369,-0.153548,-0.152418,-0.153599,-0.152471,
-0.136572,-0.135796,-0.136624,-0.135846,-0.136675,-0.135894,-0.136725,-0.135946,
-0.150023,-0.148976,-0.150075,-0.149026,-0.150126,-0.149075,-0.150176,-0.149126,
-0.269082,-0.26285,-0.269133,-0.262895,-0.269181,-0.262939,-0.269229,-0.262986,
-0.185661,-0.183625,-0.185709,-0.18367,-0.185755,-0.183713,-0.1858,-0.183759,
-0.0359561,-0.0359918,-0.0360025,-0.0360365,-0.0360472,-0.0360801,-0.0360909,-0.0361266,
0.0772931,0.0771028,0.0772464,0.077058,0.0772013,0.0770143,0.0771573,0.0769676,
0.115776,0.115234,0.115729,0.115189,0.115684,0.115145,0.115639,0.115098,
0.189575,0.187316,0.189527,0.187272,0.189481,0.187228,0.189436,0.187182,
0.314925,0.304907,0.314873,0.304861,0.314822,0.304817,0.314773,0.304769,
0.404208,0.383549,0.40415,0.383501,0.404093,0.383453,0.404037,0.383403,
0.456681,0.427386,0.456618,0.427336,0.456558,0.427288,0.456498,0.427236,
0.57245,0.517179,0.572383,0.517132,0.572317,0.517085,0.572252,0.517034,
0.516325,0.474862,0.51624,0.474799,0.516158,0.474736,0.516076,0.47467,
0.573845,0.518188,0.573756,0.518125,0.573669,0.518062,0.573582,0.517996,
0.391262,0.372428,0.391169,0.37235,0.391078,0.372272,0.390987,0.372192,
0.296821,0.288354,0.296717,0.28826,0.296615,0.288168,0.296513,0.288072,
0.207088,0.204109,0.206982,0.20401,0.206879,0.203912,0.206775,0.20381,
0.149164,0.147985,0.149055,0.14788,0.148948,0.147776,0.148841,0.147669,
0.0674131,0.0672133,0.0673025,0.0671052,0.0671939,0.0669977,0.0670856,0.0668877,
0.107138,0.106642,0.107029,0.106537,0.106922,0.106431,0.106815,0.106323,
0.151983,0.150745,0.151873,0.15064,0.151766,0.150535,0.151658,0.150427,
0.292182,0.284094,0.29207,0.283993,0.29196,0.283891,0.291849,0.283788,
0.297915,0.289352,0.297799,0.289248,0.297685,0.289143,0.29757,0.289036,
