Sensor X1,Motor Y1,Sensor X2,Motor Y2,Sensor X3,Motor Y3, Sensor X4,Motor Y4,
0.262043,0.256205,0.262043,0.256205,0.262043,0.256205,0.262043,0.256205,
0.175883,0.174092,0.175883,0.174091,0.175882,0.174091,0.175882,0.17409,
0.0974122,0.097103,0.0974082,0.0970992,0.0974044,0.0970954,0.0974005,0.0970915,
0.166747,0.165217,0.166742,0.165212,0.166738,0.165208,0.166733,0.165204,
0.253254,0.247974,0.253245,0.247966,0.253237,0.247958,0.253229,0.247951,
0.32149,0.310854,0.321475,0.310841,0.321462,0.310829,0.321448,0.310817,
0.445868,0.418504,0.445838,0.418479,0.445809,0.418455,0.445781,0.418431,
0.42496,0.401103,0.424922,0.401072,0.424886,0.401042,0.424851,0.401012,
0.323112,0.312312,0.323071,0.312275,0.323031,0.312239,0.322992,0.312203,
0.382103,0.364526,0.38206,0.364489,0.382019,0.364453,0.381978,0.364417,
0.504731,0.465825,0.504677,0.465782,0.504624,0.465742,0.504573,0.465701,
0.543703,0.495768,0.543618,0.495704,0.543535,0.495642,0.543454,0.49558,
0.386211,0.368052,0.386119,0.367973,0.386029,0.367896,0.385941,0.367818,
0.241504,0.236855,0.241407,0.236764,0.241312,0.236676,0.241219,0.236585,
0.14823,0.147064,0.148117,0.146954,0.148005,0.146846,0.147895,0.146736,
0.242963,0.238214,0.242846,0.238105,0.242732,0.237998,0.242619,0.237889,
0.31487,0.30479,0.314741,0.304674,0.314615,0.30456,0.31449,0.304445,
0.202118,0.199321,0.201986,0.199196,0.201856,0.199072,0.201728,0.198947,
0.110615,0.110059,0.110482,0.10993,0.110352,0.109802,0.110223,0.109672,
-0.00230004,-0.00243077,-0.00243222,-0.00256094,-0.00256236,-0.00268931,-0.00269068,-0.0028215,
-0.136208,-0.135528,-0.136336,-0.135651,-0.136461,-0.135772,-0.136585,-0.135898,
-0.263823,-0.258026,-0.263943,-0.258137,-0.264061,-0.258245,-0.264178,-0.258357,
-0.131106,-0.130499,-0.131221,-0.130609,-0.131333,-0.130718,-0.131444,-0.130831,
-0.226382,-0.222739,-0.22649,-0.22284,-0.226597,-0.222939,-0.226701,-0.223042,
-0.255234,-0.249987,-0.255342,-0.250086,-0.255447,-0.250182,-0.25555,-0.250283,
-0.154082,-0.153011,-0.154189,-0.153112,-0.154292,-0.153211,-0.154393,-0.153315,
-0.137264,-0.136541,-0.137369,-0.136641,-0.13747,-0.136738,-0.137569,-0.136841,
-0.150768,-0.149774,-0.150873,-0.149874,-0.150974,-0.14997,-0.151074,-0.150073,
-0.269879,-0.263669,-0.269979,-0.26376,-0.270076,-0.263848,-0.270171,-0.263942,
-0.186481,-0.184485,-0.186576,-0.184574,-0.186667,-0.18466,-0.186757,-0.184752,
-0.0368156,-0.0369015,-0.0369082,-0.0369907,-0.0369974,-0.0370776,-0.0370845,-0.0371702,
0.0763842,0.0761624,0.076291,0.0760731,0.0762012,0.0759859,0.0761135,0.0758928,
0.114836,0.114278,0.114742,0.114188,0.114652,0.114101,0.114563,0.114008,
0.188619,0.186374,0.188524,0.186286,0.188432,0.186199,0.188342,0.186107,
0.313978,0.304044,0.313875,0.303953,0.313774,0.303864,0.313676,0.30377,
0.403336,0.382809,0.403219,0.382713,0.403106,0.382619,0.402995,0.382519,
0.455931,0.426783,0.455806,0.426684,0.455685,0.426588,0.455566,0.426485,
0.571833,0.51675,0.571698,0.516655,0.571567,0.516561,0.571438,0.516461,
0.515864,0.47451,0.515696,0.474383,0.515532,0.474257,0.515368,0.474127,
0.573471,0.517926,0.573294,0.5178,0.57312,0.517675,0.572946,0.517544,
0.390976,0.372162,0.390789,0.372006,0.390608,0.371851,0.390426,0.371691,
0.296535,0.288044,0.296327,0.287858,0.296124,0.287674,0.295921,0.287483,
0.206772,0.203738,0.206561,0.20354,0.206355,0.203345,0.206148,0.203143,
0.148788,0.147536,0.14857,0.147326,0.148356,0.147119,0.148143,0.146906,
0.0669625,0.0666674,0.0667421,0.0664518,0.0665256,0.0662377,0.0663098,0.0660184,
0.106596,0.106019,0.106378,0.105807,0.106165,0.105597,0.105951,0.105382,
0.15136,0.150057,0.151141,0.149848,0.150927,0.149638,0.150712,0.149425,
0.291492,0.283411,0.291269,0.28321,0.291049,0.283008,0.290829,0.282802,
0.297223,0.288666,0.296991,0.288458,0.296764,0.28825,0.296535,0.288037,
0.213513,0.210184,0.254871,0.249373,0.297113,0.288568,0.340415,0.32776,
0.283016,0.27558,0.372946,0.356498,0.46708,0.435808,0.571251,0.516281,
0.26087,0.254983,0.344271,0.331188,0.432725,0.407504,0.529298,0.484708,
0.208047,0.204945,0.134653,0.133646,0.0642885,0.0639218,-0.0051985,-0.00563163,
0.037811,0.037563,-0.0514236,-0.0516751,-0.139971,-0.139481,-0.229864,-0.226559,
0.0806251,0.0802404,0.00524494,0.00497576,-0.0669328,-0.0672228,-0.139274,-0.139052,
-0.0608436,-0.0610426,-0.199125,-0.196887,-0.343275,-0.330875,-0.500172,-0.462949,
0.0635958,0.0632931,0.0578568,0.0575641,0.053414,0.053072,0.050095,0.0495943,
0.0902155,0.0897691,0.169499,0.167755,0.252772,0.247491,0.340346,0.327992,
-0.155129,-0.154218,-0.227952,-0.224478,-0.301696,-0.293396,-0.376441,-0.360294,
-0.374295,-0.358131,-0.545425,-0.497569,-0.75079,-0.636261,-1.02869,-0.774092,
-0.23965,-0.235485,-0.323047,-0.31259,-0.408116,-0.387176,-0.498317,-0.461363,
-0.00579263,-0.00596355,0.10563,0.105379,0.222625,0.21983,0.346554,0.334809,
-0.0817777,-0.081834,0.0449195,0.0448747,0.176754,0.175476,0.314733,0.30572,
-0.0803674,-0.0804361,0.0085984,0.00855498,0.101452,0.101646,0.19472,0.193521,
-0.324683,-0.314105,-0.434866,-0.409825,-0.55156,-0.502082,-0.684609,-0.594748,
-0.392448,-0.373854,-0.48302,-0.449073,-0.579206,-0.52262,-nan,-nan,
-0.135155,-0.134585,-0.0307911,-0.0306329,0.0760725,0.0767809,0.183379,-nan,
-0.214414,-0.211502,-0.122727,-0.122138,-0.0300889,-0.0294514,0.0614352,-nan,
-0.296059,-0.288045,-0.176365,-0.174605,-0.0591356,-0.0583736,0.0566686,-nan,
-0.147581,-0.146771,-0.0125726,-0.012404,0.124483,0.124824,0.266243,-nan,
-0.260285,-0.254902,-0.127587,-0.127065,0.00306244,0.00321975,0.135745,-nan,
-0.587295,-0.528395,-0.784437,-0.655864,-1.04675,-0.781218,-1.50399,-nan,
-0.267228,-0.261163,-0.167358,-0.165386,-0.0682799,-0.0674296,0.0299935,-nan,
-0.382239,-0.364818,-0.346986,-0.333518,-0.308401,-0.29834,-0.268918,-nan,
-0.585023,-0.526578,-0.730402,-0.623571,-0.900824,-0.716965,-1.12635,-nan,
-0.544495,-0.49658,-0.567001,-0.512989,-0.585594,-0.526247,-0.601255,-nan,
-0.608312,-0.54317,-0.589055,-0.529091,-0.566315,-0.512072,-0.542365,-nan,
-0.449257,-0.421398,-0.312277,-0.301753,-0.181839,-0.177993,-0.0563354,-nan,
-0.671459,-0.586167,-0.80073,-0.664543,-0.950513,-0.740144,-1.14324,-nan,
-0.566357,-0.512774,-0.79397,-0.660505,-1.11802,-0.807182,-1.8671,-nan,
-0.434511,-0.409074,-0.578255,-0.520708,-0.744544,-0.628009,-0.950851,-nan,
-0.282275,-0.274814,-0.323795,-0.31127,-0.364265,-0.340539,-0.401942,-nan,
-0.231741,-0.227412,-0.30981,-0.298662,-0.389931,-0.365301,-0.468728,-nan,
-0.157783,-0.156119,-0.291124,-0.28148,-0.431565,-0.400779,-0.585685,-nan,
-0.219079,-0.215349,-0.323698,-0.311288,-0.432531,-0.401775,-0.548468,-nan,
-0.175919,-0.173786,-0.250921,-0.243996,-0.32554,-0.308347,-0.400311,-nan,
-0.123956,-0.1229,-0.272448,-0.264062,-0.431381,-0.399981,-0.611396,-nan,
0.135726,0.135659,0.140005,0.142358,0.145894,0.15536,0.153474,-nan,
0.056732,0.0573013,-0.0392939,-0.036842,-0.132305,-0.12486,-0.225601,-nan,
0.217943,0.215399,0.358554,0.347328,0.519145,0.484024,0.710628,-nan,
0.161563,0.160958,0.242424,0.241032,0.33155,0.327687,0.426939,-nan,
0.274383,0.268576,0.366742,0.354434,0.470075,0.44515,0.584096,-nan,
0.179817,0.178692,0.238179,0.237064,0.303416,0.302914,0.372149,-nan,
0.26376,0.258705,0.353102,0.34275,0.454049,0.434497,0.563613,-nan,
0.0292805,0.0299088,-0.00942379,-0.00656202,-0.0428388,-0.0332257,-0.0756476,-nan,
0.0208317,0.0214474,-0.0227291,-0.0200383,-0.0614744,-0.0529529,-0.099887,-nan,
-0.0082684,-0.00770134,-0.148819,-0.145468,-0.289097,-0.273425,-0.443615,-nan,
0.0371815,0.037757,0.0253875,0.027953,0.0198804,0.0271193,0.0124162,-nan,
0.0537942,0.054347,0.132019,0.134103,0.174438,0.179715,0.173084,-nan,
-0.133488,-0.132412,-0.206255,-0.201872,-0.330126,-0.313244,-0.538303,-nan,
0.0389126,0.0395261,0.0564495,0.0591675,0.0772234,0.0840245,0.0901727,-nan,
-0.0441966,-0.0436209,0.00464044,0.00743973,0.212289,0.217695,0.632907,-nan,
0.313158,0.304292,0.511416,0.474691,0.797048,0.668701,1.33482,-nan,
0.0756479,0.0760899,0.0319204,0.0341454,-0.017891,-0.0123532,-0.0856069,-nan,
0.236656,0.233175,0.392687,0.37698,0.668257,0.589403,1.3046,-nan,
0.0855948,0.0859887,-0.0397792,-0.0376995,-0.296156,-0.282231,-0.809051,-nan,
0.0103937,0.0107992,-0.0174699,-0.0154369,-0.122459,-0.114494,-0.334486,-nan,
0.0916488,0.0919309,0.34978,0.339165,0.951344,0.744223,-nan,-nan,
0.0694685,0.0698616,0.298424,0.292819,0.724132,0.624833,-nan,-nan,
-0.253876,-0.248649,-0.385087,-0.367384,-0.594636,-0.534149,-nan,-nan,
-0.10042,-0.0998249,-0.343043,-0.329708,-0.948565,-0.73742,-nan,-nan,
-0.0330212,-0.0326311,0.0428858,0.0447044,0.115195,0.120721,-nan,-nan,
-0.0874457,-0.0869669,-0.0893835,-0.0876887,-0.0428611,-0.0354642,0.0368764,-nan,
-0.0998726,-0.0992622,0.144781,0.146381,0.689639,0.604389,-nan,-nan,
-0.023955,-0.0235458,0.0525278,0.0542287,0.137624,0.142252,-nan,-nan,
-0.259403,-0.253739,-0.542669,-0.495248,-1.50045,-0.904808,-nan,-nan,
-0.144073,-0.1428,-0.0642431,-0.0621823,0.0378577,0.0453209,0.149506,-nan,
-0.118807,-0.117908,-0.0339287,-0.0316118,0.0310603,0.0423035,0.0663378,-nan,
-0.422538,-0.399301,-0.604299,-0.540837,-0.853389,-0.689426,-1.35139,-nan,
-0.116925,-0.115826,-0.00315999,-0.000313739,0.124553,0.133045,0.260291,-nan,
-0.242388,-0.237422,0.0951928,0.0988447,0.685103,0.606427,-nan,-nan,
-0.421408,-0.398191,-0.793268,-0.66138,-nan,-nan,-nan,-nan,
-0.43939,-0.413206,-0.300244,-0.289836,-0.101672,-nan,-nan,-nan,
-0.321043,-0.31025,-0.090465,-0.0873063,0.329626,-nan,-nan,-nan,
-0.378143,-0.361081,-0.35916,-0.34354,-0.411782,-nan,-nan,-nan,
-0.225401,-0.221381,-0.111936,-0.108939,-0.0251462,-nan,-nan,-nan,
-0.329794,-0.318068,-0.440106,-0.412598,-0.727611,-nan,-nan,-nan,
-0.286109,-0.278417,-0.0309194,-0.0280509,0.509711,-nan,-nan,-nan,
-0.448956,-0.421153,-0.476885,-0.443376,-0.314227,-nan,-nan,-nan,
-0.48887,-0.453457,-0.59387,-0.532641,-0.701126,-nan,-nan,-nan,
-0.495551,-0.458827,-0.673016,-0.587776,-1.03977,-nan,-nan,-nan,
-0.453305,-0.424794,-0.507428,-0.467631,-0.496758,-nan,-nan,-nan,
-0.616281,-0.548993,-0.723346,-0.619955,-0.718733,-nan,-nan,-nan,
-0.443223,-0.416462,-0.370089,-0.352922,-0.309495,-nan,-nan,-nan,
-0.438268,-0.412231,-0.487454,-0.451375,-0.550556,-nan,-nan,-nan,
-0.569253,-0.515191,-0.639895,-0.565495,-0.583581,-nan,-nan,-nan,
-0.500395,-0.4626,-0.911283,-0.72301,-nan,-nan,-nan,-nan,
-0.36516,-0.349584,-0.277458,-0.266639,-nan,-nan,-nan,-nan,
-0.293272,-0.284978,-0.478853,-0.443988,-1.19576,-nan,-nan,-nan,
-0.233039,-0.228529,-0.175877,-0.169708,-0.0578982,-nan,-nan,-nan,
-0.451301,-0.42305,-0.598535,-0.534968,-0.779416,-nan,-nan,-nan,
-0.24186,-0.236744,-0.149367,-0.143049,-0.0199628,-nan,-nan,-nan,
-0.330979,-0.319257,-0.428297,-0.401908,-0.561816,-nan,-nan,-nan,
-0.0558833,-0.0550512,0.175228,0.18064,0.602023,-nan,-nan,-nan,
-0.282782,-0.275247,-0.27397,-0.263758,-0.242325,-nan,-nan,-nan,
-0.456121,-0.426956,-0.421723,-0.395748,-0.262893,-nan,-nan,-nan,
-0.345011,-0.331707,-0.397122,-0.374369,-0.596249,-nan,-nan,-nan,
-0.342861,-0.329744,-0.361031,-0.342741,-0.467837,-nan,-nan,-nan,
-0.284001,-0.27623,-0.08864,-0.0821646,0.273625,-nan,-nan,-nan,
-0.366453,-0.350795,-0.580267,-0.522393,-1.01858,-nan,-nan,-nan,
-0.401691,-0.381412,-0.307347,-0.2947,-0.233715,-nan,-nan,-nan,
-0.366376,-0.350669,-0.884933,-0.709394,-nan,-nan,-nan,-nan,
-0.102876,-0.101671,0.127547,0.136091,0.666718,-nan,-nan,-nan,
-0.287204,-0.279323,-0.47157,-0.437074,-1.06887,-nan,-nan,-nan,
-0.122529,-0.121196,0.0271577,0.035351,0.492686,-nan,-nan,-nan,
-0.0117277,-0.010614,0.0657123,0.0748706,0.0609485,-nan,-nan,-nan,
-0.119423,-0.118175,-0.201367,-0.193245,-0.619311,-nan,-nan,-nan,
-0.0398681,-0.0389645,-0.0165355,-0.00922541,0.0363356,-nan,-nan,-nan,
0.000286908,0.00120681,0.338179,0.335579,1.19367,-nan,-nan,-nan,
-0.29476,-0.286444,-0.46368,-0.431586,-0.467231,-nan,-nan,-nan,
-0.185032,-0.18254,-0.252672,-0.243228,-0.700352,-nan,-nan,-nan,
-0.492393,-0.45647,-0.422708,-0.396842,-0.255255,-nan,-nan,-nan,
