Sensor X0,Motor Y0,
-0.117357,-0.116822,
-0.201344,-0.198667,
-0.0969334,-0.0966309,
-0.157821,-0.156524,
-0.149238,-0.14814,
-0.00630723,-0.00630715,
0.0751002,0.0749593,
0.155933,0.154682,
0.272141,0.265616,
0.221353,0.217807,
0.343515,0.330612,
0.46541,0.434483,
0.3103,0.30071,
0.349678,0.33609,
0.290758,0.282832,
0.138839,0.137954,
0.0068827,0.00688259,
0.148073,0.147,
0.252276,0.247057,
0.258985,0.253346,
0.331421,0.319797,
0.370114,0.354091,
0.215875,0.212583,
0.342134,0.329381,
0.395667,0.376235,
0.447795,0.420085,
0.3763,0.35949,
0.259282,0.253624,
0.367646,0.351931,
0.301032,0.292257,
0.410269,0.388701,
0.444702,0.417534,
0.444126,0.417059,
0.524662,0.48129,
0.608481,0.543057,
0.637487,0.563186,
0.686478,0.595714,
0.510462,0.470305,
0.596343,0.534443,
0.648761,0.570835,
0.550421,0.500836,
0.435154,0.409619,
0.351857,0.338021,
0.255853,0.250413,
0.183283,0.181258,
0.156208,0.15495,
0.276991,0.270118,
0.157941,0.156641,
0.234783,0.230562,
0.361063,0.34615,
0.311107,0.301444,
0.262043,0.256205,
0.175884,0.174092,
0.097416,0.0970879,
0.166732,0.165188,
0.253229,0.247945,
0.321466,0.310843,
0.445874,0.418567,
0.425036,0.401192,
0.32321,0.312347,
0.382144,0.364503,
0.504725,0.465773,
0.543694,0.495598,
0.386069,0.367597,
0.241067,0.235896,
0.147293,0.145346,
0.241249,0.235897,
0.312571,0.302072,
0.199415,0.195931,
0.10723,0.105764,
-0.00659554,-0.00789197,
-0.141675,-0.142283,
-0.270584,-0.26574,
-0.13882,-0.13931,
-0.235199,-0.232408,
-0.264901,-0.260404,
-0.164496,-0.164382,
-0.148636,-0.148868,
-0.163095,-0.163035,
-0.283143,-0.277378,
-0.20019,-0.198909,
-0.0512401,-0.0522147,
0.0610694,0.0602605,
0.0989335,0.098051,
0.172392,0.170316,
0.297929,0.289344,
0.388655,0.370319,
0.443463,0.416758,
0.561837,0.509851,
0.509029,0.469352,
0.568356,0.514459,
0.387557,0.368985,
0.293398,0.28444,
0.203181,0.199191,
0.144251,0.141732,
0.0611602,0.059245,
0.0991667,0.0971919,
0.142532,0.1401,
0.28154,0.273449,
0.287282,0.278694,
0.162678,0.159768,
0.18753,0.183935,
0.16921,0.166119,
0.270424,0.262998,
0.113967,0.111682,
0.141227,0.138604,
0.0587718,0.0566078,
0.0514929,0.0492972,
-0.00921607,-0.0116643,
-0.106898,-0.109389,
-0.24713,-0.245604,
-0.186809,-0.187773,
-0.146481,-0.148362,
-0.242975,-0.241584,
-0.203437,-0.203807,
-0.255295,-0.253191,
-0.342527,-0.333299,
-0.277872,-0.274364,
-0.347184,-0.337447,
-0.461154,-0.434741,
-0.321525,-0.314091,
-0.435969,-0.413694,
-0.455214,-0.429433,
-0.401469,-0.384309,
-0.447676,-0.423168,
-0.486654,-0.454823,
-0.547897,-0.502194,
-0.651121,-0.575705,
-0.626261,-0.558385,
-0.577436,-0.523525,
-0.397845,-0.380357,
-0.320634,-0.311834,
-0.256098,-0.252112,
-0.16983,-0.169139,
