Sensor X0,Motor Y0,
-0.117357,-0.116822,
-0.201344,-0.198667,
-0.0969334,-0.0966309,
-0.157821,-0.156524,
-0.149238,-0.14814,
-0.00630723,-0.00630715,
0.0751002,0.0749593,
0.155933,0.154682,
0.272141,0.265616,
0.221353,0.217807,
0.343515,0.330612,
0.46541,0.434483,
0.3103,0.30071,
0.349678,0.33609,
0.290758,0.282832,
0.138839,0.137954,
0.0068827,0.00688259,
0.148073,0.147,
0.252276,0.247057,
0.258985,0.253346,
0.331421,0.319797,
0.370114,0.354091,
0.215875,0.212583,
0.342134,0.329381,
0.395667,0.376235,
0.447795,0.420085,
0.3763,0.35949,
0.259282,0.253624,
0.367646,0.351931,
0.301032,0.292257,
0.410269,0.388701,
0.444702,0.417534,
0.444126,0.417059,
0.524662,0.48129,
0.608481,0.543057,
0.637487,0.563186,
0.686478,0.595714,
0.510462,0.470305,
0.596343,0.534443,
0.648761,0.570835,
0.550421,0.500836,
0.435154,0.409619,
0.351857,0.338021,
0.255853,0.250413,
0.183283,0.181258,
0.156208,0.15495,
0.276991,0.270118,
0.157941,0.156641,
0.234783,0.230562,
0.361063,0.34615,
0.311107,0.301444,
0.262043,0.256205,
0.175884,0.174092,
0.097416,0.0971069,
0.166751,0.165221,
0.253262,0.247982,
0.321504,0.310867,
0.445898,0.418528,
0.424997,0.401134,
0.323153,0.312349,
0.382146,0.364563,
0.504784,0.465866,
0.543787,0.495831,
0.386302,0.368131,
0.2416,0.236946,
0.148343,0.147175,
0.243078,0.238323,
0.314998,0.304907,
0.202249,0.199448,
0.110746,0.11019,
-0.00216911,-0.00229853,
-0.136081,-0.135402,
-0.263704,-0.257914,
-0.130993,-0.130386,
-0.226274,-0.222635,
-0.255128,-0.249886,
-0.153978,-0.152907,
-0.137161,-0.136439,
-0.150666,-0.149672,
-0.26978,-0.263577,
-0.186388,-0.184394,
-0.0367254,-0.036809,
0.0764751,0.0762551,
0.114928,0.114371,
0.188712,0.186466,
0.314079,0.304138,
0.40345,0.382909,
0.456053,0.426886,
0.571964,0.51685,
0.516028,0.474641,
0.573645,0.518058,
0.391156,0.372324,
0.296738,0.288236,
0.206977,0.203941,
0.149002,0.14775,
0.0671782,0.0668874,
0.106809,0.106234,
0.151574,0.150272,
0.291711,0.283618,
0.29745,0.28888,
0.172864,0.171009,
0.198771,0.196047,
0.181323,0.179208,
0.283514,0.276049,
0.127019,0.126157,
0.155701,0.154283,
0.0744503,0.0741002,
0.0689853,0.0686586,
0.0101453,0.00989799,
-0.0853353,-0.085421,
-0.223162,-0.219873,
-0.161078,-0.160013,
-0.118721,-0.118461,
-0.213074,-0.210239,
-0.172091,-0.170728,
-0.222216,-0.218963,
-0.308299,-0.299252,
-0.243825,-0.239453,
-0.312273,-0.302868,
-0.426575,-0.402838,
-0.289623,-0.282119,
-0.403996,-0.383717,
-0.425237,-0.401675,
-0.373712,-0.357561,
-0.420928,-0.398048,
-0.461534,-0.431679,
-0.524754,-0.481707,
-0.630633,-0.558839,
-0.609395,-0.544019,
-0.56307,-0.510553,
-0.384873,-0.367188,
-0.307465,-0.298335,
-0.242599,-0.238125,
-0.155843,-0.154716,
