Sensor X0,Motor Y0,
-0.0405647,-0.0405424,
0.0951265,0.0948406,
0.135554,0.13473,
0.0272107,0.027204,
-0.117906,-0.117363,
-0.226193,-0.222413,
-0.325409,-0.31439,
-0.425452,-0.401514,
-0.251837,-0.246644,
-0.242765,-0.238105,
-0.204313,-0.201517,
-0.160251,-0.158894,
-0.160819,-0.159446,
-0.221691,-0.21813,
-0.210106,-0.207068,
-0.236999,-0.23266,
-0.297665,-0.289174,
-0.196857,-0.194353,
-0.323426,-0.312602,
-0.304803,-0.295702,
-0.388038,-0.369667,
-0.252598,-0.247359,
-0.378108,-0.361063,
-0.373752,-0.357269,
-0.435786,-0.410145,
-0.289483,-0.281658,
-0.351659,-0.337846,
-0.375284,-0.358605,
-0.354844,-0.340664,
-0.331183,-0.319583,
-0.338292,-0.325951,
-0.196708,-0.19421,
-0.258922,-0.253287,
-0.211293,-0.208204,
-0.151846,-0.150689,
-0.168658,-0.167077,
-0.0683164,-0.0682103,
-0.14952,-0.148415,
-0.193307,-0.190935,
-0.0539946,-0.0539422,
-0.00675096,-0.00675086,
-0.0248829,-0.0248777,
-0.0553467,-0.0552903,
-2.47436e-05,-2.47436e-05,
-0.00527755,-0.0052775,
0.129798,0.129074,
0.0233722,0.0233679,
0.0656921,0.0655978,
0.101477,0.10113,
0.18693,0.184783,
0.168893,0.167305,
0.0735654,0.073433,
0.0903661,0.0901209,
-0.00899697,-0.00899845,
-0.128047,-0.127384,
-0.128751,-0.128036,
0.0173892,0.0174317,
0.0727652,0.0727696,
0.147701,0.146783,
0.085031,0.084909,
0.110256,0.109895,
0.00561243,0.00564798,
-0.10671,-0.106351,
-0.20712,-0.204341,
-0.331982,-0.320536,
-0.454777,-0.426151,
-0.523288,-0.480466,
-0.391126,-0.372289,
-0.32532,-0.314059,
-0.272221,-0.265287,
-0.387243,-0.368761,
-0.362698,-0.347239,
-0.476267,-0.443122,
-0.454696,-0.425385,
-0.403389,-0.382341,
-0.516759,-0.474954,
-0.324956,-0.313214,
-0.196227,-0.192633,
-0.0432929,-0.041832,
0.0693299,0.0708913,
-0.0778602,-0.0763271,
-0.0481595,-0.0466366,
-0.147697,-0.145455,
-0.021547,-0.0199309,
-0.0622023,-0.0606534,
-0.0368244,-0.0352584,
0.0209578,0.0226427,
0.0318851,0.0336401,
-0.0250713,-0.023435,
-0.000343655,0.00139926,
0.075742,0.0775848,
-0.0617889,-0.0601482,
0.0398233,0.0417347,
0.153716,0.154869,
0.2987,0.292867,
0.413877,0.394703,
0.444767,0.420547,
0.319737,0.312059,
0.428744,0.407008,
0.45192,0.426043,
0.464887,0.4366,
0.496786,0.462138,
0.410771,0.391502,
0.26375,0.259791,
0.176888,0.176682,
0.179888,0.179584,
0.113596,0.114452,
0.180233,0.179913,
0.171358,0.171247,
0.304542,0.297492,
0.248397,0.245158,
0.225512,0.223427,
0.17691,0.176547,
0.27652,0.271542,
0.324185,0.315278,
0.309859,0.302255,
0.365881,0.352532,
0.389079,0.372805,
0.347,0.335812,
0.387993,0.371837,
0.325972,0.316921,
0.349653,0.33814,
0.407359,0.388474,
0.460606,0.432956,
0.55923,0.509924,
0.555863,0.507198,
0.51693,0.477548,
0.405697,0.386719,
0.442557,0.417792,
0.301174,0.29393,
0.316938,0.308225,
0.358192,0.345281,
0.428011,0.405576,
0.354469,0.341973,
0.487282,0.454111,
0.552329,0.504445,
0.410906,0.39084,
0.528431,0.48602,
0.565482,0.513681,
0.400024,0.380865,
0.346014,0.333369,
0.466284,0.43633,
0.544905,0.497994,
0.586091,0.528432,
0.467618,0.437054,
0.559947,0.509111,
0.508554,0.469625,
0.368452,0.352653,
0.462026,0.432229,
0.421328,0.398269,
0.397062,0.377476,
0.281603,0.273689,
0.341954,0.328854,
0.359787,0.344753,
0.446193,0.419048,
0.32251,0.311138,
0.310696,0.300252,
0.191723,0.187652,
0.135094,0.132102,
0.254647,0.248077,
0.349126,0.335123,
0.333945,0.321405,
0.289703,0.280893,
0.313558,0.30284,
0.198209,0.193806,
0.0761601,0.0731187,
0.0321982,0.0288649,
-0.0217194,-0.0255727,
-0.0473744,-0.0513106,
-0.0262395,-0.030089,
0.017535,0.0140961,
0.0103242,0.00674215,
0.121653,0.118461,
0.123776,0.120473,
0.137741,0.134312,
0.233294,0.227414,
0.150712,0.147042,
0.21585,0.210629,
0.356082,0.340982,
0.46025,0.43017,
0.403406,0.382153,
0.467137,0.435731,
0.373834,0.35623,
0.46589,0.434544,
0.299292,0.288711,
0.434651,0.408472,
0.321737,0.309097,
0.418651,0.394538,
0.274406,0.264986,
0.205515,0.199209,
0.291938,0.281253,
0.146706,0.141268,
0.128583,0.123336,
0.180958,0.17507,
0.0608029,0.0555302,
0.0791207,0.0740045,
0.102518,0.0974185,
0.0387041,0.0334673,
0.0264427,0.020951,
0.0538697,0.0486582,
0.0843358,0.0793712,
-0.000531946,-0.00604686,
-0.13502,-0.141164,
-0.0140452,-0.0200329,
-0.0255129,-0.0316614,
0.0663694,0.0610696,
0.0182275,0.012725,
-0.0339997,-0.0398792,
0.00786466,0.00224133,
-0.070518,-0.0766879,
-0.0388987,-0.0446875,
-0.102241,-0.108443,
-0.199037,-0.203796,
-0.320876,-0.318327,
-0.233649,-0.236851,
-0.326746,-0.323545,
-0.378847,-0.369887,
-0.450589,-0.430802,
-0.420948,-0.406153,
-0.389534,-0.379432,
-0.415367,-0.40157,
-0.459948,-0.438596,
-0.510462,-0.478836,
-0.463141,-0.440937,
-0.385141,-0.375135,
-0.31578,-0.313358,
-0.269591,-0.270763,
-0.260875,-0.262432,
-0.226898,-0.230104,
-0.22455,-0.227881,
-0.269234,-0.2702,
-0.179631,-0.184239,
-0.288376,-0.288134,
-0.419066,-0.404218,
-0.497933,-0.468654,
-0.408564,-0.395074,
-0.544736,-0.504814,
-0.563242,-0.518575,
-0.471965,-0.447686,
-0.543337,-0.503582,
-0.45338,-0.432328,
-0.386336,-0.375605,
-0.260101,-0.261061,
-0.36392,-0.355985,
-0.257298,-0.258204,
-0.136953,-0.141449,
-0.173092,-0.176983,
-0.0663054,-0.0705552,
0.00113258,-0.00216924,
-0.0822336,-0.0862277,
-0.0707948,-0.0745348,
-0.0762127,-0.0799574,
0.0517814,0.0496422,
0.143884,0.142118,
0.189278,0.18708,
0.317835,0.309063,
0.421356,0.400562,
0.441893,0.417883,
0.50051,0.465768,
0.394603,0.377554,
0.368724,0.354577,
0.443224,0.418908,
0.530814,0.489351,
0.463095,0.435237,
0.464307,0.436234,
0.447801,0.422381,
0.446088,0.420736,
0.481009,0.449439,
0.549221,0.502875,
0.386669,0.369726,
0.372831,0.357256,
0.451561,0.424816,
0.466113,0.436759,
0.329954,0.318544,
0.242654,0.236766,
0.0920033,0.0883361,
0.110452,0.106985,
0.13179,0.128324,
0.121532,0.118284,
-0.0140992,-0.018998,
0.0232319,0.0189678,
-0.0642515,-0.069846,
-0.030773,-0.0357342,
0.0356474,0.0316605,
0.013229,0.0090884,
0.144887,0.141988,
0.261714,0.255936,
0.206007,0.202308,
0.118049,0.115206,
0.250152,0.244731,
0.360027,0.346598,
0.251727,0.2463,
0.330367,0.319807,
0.441242,0.416828,
0.495312,0.461193,
0.410747,0.390801,
0.409036,0.389288,
0.425938,0.403552,
0.39694,0.378473,
0.424637,0.402543,
0.31575,0.30594,
0.41557,0.394536,
0.356602,0.342471,
0.386427,0.368995,
0.421961,0.399813,
0.267471,0.26026,
0.279345,0.271256,
0.126929,0.122541,
-0.0247372,-0.0308404,
-0.000412413,-0.00602695,
0.110132,0.106229,
0.00814866,0.00287646,
-0.000807328,-0.00609881,
0.035604,0.0311413,
-0.0722578,-0.0786131,
0.0360482,0.0313059,
0.151135,0.147433,
0.140174,0.136324,
0.270316,0.263024,
0.372728,0.3571,
0.4227,0.400814,
0.306034,0.296502,
0.196652,0.191673,
0.229511,0.223469,
0.11147,0.106515,
0.240593,0.233674,
0.131922,0.126431,
0.114985,0.10947,
0.234037,0.226898,
0.261166,0.252701,
0.220825,0.213885,
0.194861,0.188412,
0.111633,0.105777,
0.125627,0.119713,
-0.0198721,-0.0279558,
0.0662153,0.059855,
0.0167699,0.00979132,
-0.129509,-0.138379,
-0.228095,-0.235171,
-0.175235,-0.183737,
-0.0669342,-0.0752163,
-0.122772,-0.131772,
-0.0517618,-0.0599119,
-0.000297986,-0.00742053,
0.113836,0.108406,
0.18415,0.178478,
0.271289,0.262786,
0.290119,0.280351,
0.160788,0.15477,
0.0780149,0.0712203,
0.0979559,0.0912157,
0.208082,0.201501,
0.0683072,0.0617791,
0.0524941,0.0455909,
0.0716943,0.0649401,
0.0903157,0.0838908,
0.178555,0.172697,
0.180654,0.174767,
0.243586,0.236087,
0.165339,0.1595,
0.170953,0.164785,
0.29424,0.284064,
0.195778,0.189281,
0.159576,0.153317,
0.207288,0.20063,
0.183631,0.177202,
0.238158,0.230482,
0.14484,0.138752,
0.0661852,0.0594287,
-0.085718,-0.0950886,
0.0106348,0.00313507,
-0.0504217,-0.0590739,
-0.0510248,-0.0594879,
-0.134425,-0.143881,
-0.27191,-0.277819,
-0.160875,-0.170097,
-0.160787,-0.169804,
-0.0321169,-0.0398292,
-0.0866414,-0.0953472,
-0.232173,-0.239892,
-0.388369,-0.38362,
-0.445754,-0.43229,
-0.336247,-0.337009,
-0.346767,-0.346709,
-0.439414,-0.427181,
-0.300167,-0.304346,
-0.429023,-0.418673,
-0.355267,-0.354412,
-0.476555,-0.457561,
-0.34732,-0.346998,
-0.354214,-0.352959,
-0.269707,-0.275316,
-0.251732,-0.258044,
-0.184925,-0.19301,
-0.314089,-0.316266,
-0.182335,-0.190424,
-0.257955,-0.263822,
-0.170899,-0.179309,
-0.10529,-0.113615,
-0.211625,-0.219141,
-0.140882,-0.14926,
-0.00492761,-0.0110188,
-0.0585569,-0.0658254,
-0.0788711,-0.0865199,
-0.0403113,-0.0472683,
-0.0171206,-0.0236542,
-0.149275,-0.157681,
-0.266595,-0.272067,
-0.387729,-0.382512,
-0.357777,-0.355968,
-0.30547,-0.308282,
-0.364579,-0.361921,
-0.281459,-0.285789,
-0.424309,-0.413875,
-0.444085,-0.430442,
-0.444647,-0.430948,
-0.488474,-0.466806,
-0.615175,-0.562006,
-0.67414,-0.601631,
-0.726376,-0.634475,
-0.548696,-0.512477,
-0.389409,-0.382216,
-0.513414,-0.485094,
-0.476971,-0.455903,
-0.327544,-0.326479,
-0.36008,-0.355784,
-0.314261,-0.314093,
-0.302269,-0.302959,
-0.206232,-0.211069,
-0.0846039,-0.0892577,
-0.00248462,-0.00518642,
-0.0406201,-0.0442196,
0.0481682,0.0467833,
0.120966,0.120843,
0.225624,0.224822,
0.289151,0.285669,
0.290511,0.286921,
0.287642,0.284213,
0.335765,0.328962,
0.405746,0.391423,
0.283123,0.279917,
0.188687,0.188291,
0.291575,0.287802,
0.19301,0.192491,
0.136388,0.135936,
0.252466,0.25049,
0.244423,0.242742,
0.152659,0.152273,
0.199566,0.198896,
0.115472,0.114687,
0.198225,0.197544,
0.0901796,0.088923,
0.107225,0.106251,
0.218275,0.217177,
0.269376,0.266578,
0.366344,0.356429,
0.438419,0.41919,
0.446312,0.425834,
0.504964,0.473882,
0.409169,0.393961,
0.507963,0.476079,
0.379775,0.367917,
0.35083,0.341831,
0.386087,0.373386,
0.3211,0.31459,
0.34687,0.338232,
0.429969,0.411612,
0.381244,0.369044,
0.337316,0.329376,
0.359269,0.349285,
0.46975,0.444826,
0.559196,0.515391,
0.503586,0.471934,
0.409663,0.393497,
0.317318,0.310369,
0.250719,0.247146,
0.321979,0.314584,
0.310344,0.30367,
0.41133,0.39469,
0.332642,0.324234,
0.175083,0.172674,
0.1093,0.106478,
0.151625,0.149364,
0.051988,0.0478382,
0.185753,0.183427,
0.0673165,0.0635973,
-0.0242257,-0.0303597,
-0.0195253,-0.0254735,
-0.035723,-0.0420368,
0.0756603,0.0725066,
0.0440868,0.0400433,
0.141439,0.139277,
0.191372,0.189227,
0.143386,0.141194,
0.128366,0.126042,
0.19117,0.189066,
0.201408,0.199093,
0.129699,0.127201,
0.185212,0.182939,
0.103847,0.100935,
0.0166819,0.0114963,
0.0158018,0.0105682,
-0.0363758,-0.0432392,
-0.164943,-0.173804,
-0.0600998,-0.0673445,
-0.0609662,-0.0682947,
-0.164254,-0.173061,
-0.191364,-0.199908,
-0.144978,-0.153548,
-0.187659,-0.196249,
-0.218283,-0.226492,
-0.19637,-0.204836,
-0.322066,-0.324919,
-0.427121,-0.417975,
-0.474019,-0.457005,
-0.470298,-0.453929,
-0.380427,-0.377304,
-0.239678,-0.246713,
-0.390561,-0.38632,
-0.266955,-0.272722,
-0.410807,-0.403671,
-0.498531,-0.476502,
-0.392985,-0.388009,
-0.515918,-0.490075,
-0.517382,-0.491094,
-0.460546,-0.445211,
-0.426213,-0.41646,
-0.325492,-0.326964,
-0.455568,-0.440856,
-0.448307,-0.434802,
-0.477332,-0.458619,
-0.333564,-0.334106,
-0.213837,-0.220055,
-0.312523,-0.314247,
-0.185644,-0.192153,
-0.0958755,-0.101437,
-0.0987972,-0.104544,
-0.19807,-0.20455,
-0.166295,-0.172974,
-0.0983701,-0.104414,
-0.0378671,-0.0423632,
0.0692453,0.0680112,
0.0838324,0.083047,
0.22036,0.220567,
0.261909,0.260931,
0.113501,0.113559,
0.0726768,0.07181,
-0.0484045,-0.0531738,
0.0371334,0.0350911,
-0.0591004,-0.0641592,
-0.0999456,-0.106199,
-0.0467706,-0.0514856,
-0.197981,-0.204677,
-0.301667,-0.30477,
-0.410301,-0.402756,
-0.350048,-0.349294,
-0.416528,-0.408069,
-0.511509,-0.486447,
-0.569554,-0.530953,
-0.545148,-0.512362,
-0.498627,-0.476069,
-0.369021,-0.366014,
-0.400013,-0.393126,
-0.490885,-0.469697,
-0.545546,-0.512471,
-0.387252,-0.381864,
-0.421728,-0.411698,
-0.40648,-0.398592,
-0.398041,-0.391166,
-0.535767,-0.50468,
-0.468839,-0.451064,
-0.445029,-0.431074,
-0.50865,-0.483093,
-0.415901,-0.406268,
-0.319799,-0.320211,
-0.372658,-0.36847,
-0.327098,-0.327172,
-0.404114,-0.396561,
-0.505127,-0.480826,
-0.567146,-0.528574,
-0.445226,-0.431792,
-0.577843,-0.536647,
-0.463101,-0.44656,
-0.439436,-0.426806,
-0.509413,-0.484155,
-0.365038,-0.361573,
-0.440943,-0.427831,
-0.355991,-0.353354,
-0.475606,-0.456678,
-0.324305,-0.323995,
-0.281965,-0.284268,
-0.369846,-0.36571,
-0.381183,-0.375845,
-0.435071,-0.422701,
-0.309922,-0.310711,
-0.169165,-0.173613,
-0.13026,-0.133951,
-0.0443393,-0.0457946,
-0.041135,-0.0425966,
-0.00159971,-0.00151725,
0.107741,0.111317,
0.136603,0.140469,
0.275735,0.277939,
0.300883,0.301494,
0.387653,0.380905,
0.508136,0.482234,
0.567477,0.527721,
0.589311,0.543715,
0.572849,0.531372,
0.627102,0.570619,
0.577438,0.534895,
