Sensor X1,Motor Y1,
0.0735654,0.073433,
0.0903665,0.0901213,
-0.00896069,-0.00896244,
-0.128051,-0.127388,
-0.128715,-0.128001,
0.017343,0.017386,
0.0727991,0.0728024,
0.147726,0.146806,
0.0850265,0.0849019,
0.110257,0.109895,
0.00562367,0.00565526,
-0.106672,-0.106319,
-0.20705,-0.204279,
-0.331773,-0.320353,
-0.454536,-0.425957,
-0.522882,-0.480162,
-0.390571,-0.371837,
-0.324695,-0.313521,
-0.271553,-0.264692,
-0.386578,-0.368204,
-0.361844,-0.346517,
-0.475363,-0.442417,
-0.453608,-0.424536,
-0.402309,-0.381465,
-0.515626,-0.474109,
-0.323497,-0.311968,
-0.194611,-0.191148,
-0.0416603,-0.040273,
0.0709533,0.0724448,
-0.0762189,-0.0747638,
-0.0464793,-0.0450261,
-0.145989,-0.143841,
-0.0198053,-0.0182645,
-0.0604789,-0.0590103,
-0.0350984,-0.0336095,
0.0226645,0.0242827,
0.0336118,0.0352945,
-0.0233507,-0.0217993,
0.00138151,0.00302944,
0.0774613,0.0791944,
-0.0600418,-0.0585123,
0.0415173,0.0433113,
0.155379,0.156365,
0.300283,0.294179,
0.415237,0.395698,
0.446145,0.421522,
0.32117,0.313158,
0.430059,0.407961,
0.453022,0.426806,
0.588006,0.530986,
0.47682,0.445721,
0.533587,0.490248,
0.394915,0.377245,
0.177849,0.176833,
0.0328037,0.032785,
0.05815,0.0580841,
0.104601,0.104546,
0.236443,0.23306,
0.278661,0.272774,
0.363846,0.350077,
0.347406,0.335524,
0.282759,0.276606,
0.418732,0.397625,
0.478379,0.446725,
0.417672,0.396465,
0.264769,0.259723,
0.332899,0.322392,
0.299056,0.291531,
0.536539,0.492264,
0.317796,0.307787,
0.502779,0.465403,
0.419013,0.396317,
0.432296,0.407431,
0.75925,0.642337,
0.369495,0.349358,
0.373356,0.351567,
0.239297,0.228495,
0.314745,0.298865,
0.47169,0.434398,
0.284264,0.270539,
0.476004,0.438831,
0.28679,0.271747,
0.402936,0.376336,
0.458052,0.422849,
0.481544,0.442607,
0.400373,0.373552,
0.607162,0.53835,
0.532108,0.481657,
0.313293,0.295398,
0.509203,0.464306,
0.345018,0.324248,
0.402696,0.375151,
0.401471,0.374227,
0.323239,0.304383,
0.490587,0.450189,
0.641997,0.5633,
0.236446,0.222953,
0.404236,0.376514,
0.371595,0.347962,
0.324525,0.304986,
0.333481,0.313509,
0.487059,0.44565,
0.451526,0.416055,
0.436287,0.403102,
0.390127,0.363279,
0.233317,0.218049,
0.194528,0.179571,
-0.0035774,-0.0188907,
0.302033,0.283108,
0.365769,0.342209,
0.380545,0.354775,
0.179606,0.165637,
0.252476,0.236149,
0.19983,0.184788,
0.00825829,-0.00760118,
-0.00809843,-0.0242992,
-0.000460231,-0.0174032,
-0.104715,-0.122387,
0.0132913,-0.00280437,
-0.0201376,-0.036938,
-0.0635837,-0.081004,
0.0451143,0.0295646,
-0.00617223,-0.0232384,
0.0881614,0.0728854,
0.220651,0.204907,
0.222966,0.206251,
0.155887,0.140956,
0.490366,0.447815,
0.427654,0.394349,
0.342715,0.318804,
0.366877,0.340981,
0.430993,0.397247,
0.296343,0.276135,
0.194079,0.177106,
0.550283,0.494607,
0.173204,0.153945,
0.325273,0.300104,
0.397667,0.365773,
0.239022,0.217969,
0.149893,0.128918,
0.0357868,0.013617,
0.0378691,0.0158192,
0.241143,0.219476,
-0.064811,-0.0892338,
0.0762612,0.0554675,
0.200088,0.180513,
-0.0755067,-0.0992357,
0.0309778,0.00877792,
0.0476471,0.0267632,
0.172088,0.152761,
-0.0772218,-0.100285,
-0.175812,-0.199597,
-0.124865,-0.149518,
0.0604517,0.0398385,
0.0572237,0.0364485,
0.116825,0.0974974,
0.00863181,-0.0134936,
-0.12328,-0.147936,
-0.180476,-0.204693,
-0.0448488,-0.0674297,
-0.077236,-0.101138,
-0.239162,-0.260947,
-0.2163,-0.238502,
-0.121289,-0.144962,
-0.291008,-0.309486,
-0.330004,-0.345053,
-0.433196,-0.435583,
-0.459111,-0.456625,
-0.452939,-0.452469,
-0.418869,-0.423614,
-0.618893,-0.576911,
-0.524663,-0.507679,
-0.492438,-0.482486,
-0.512955,-0.498209,
-0.24178,-0.262082,
-0.352649,-0.365219,
-0.431098,-0.43239,
-0.362455,-0.372921,
-0.203173,-0.224077,
-0.368203,-0.378421,
-0.122702,-0.143566,
-0.417327,-0.421164,
-0.273157,-0.290956,
-0.709552,-0.634798,
-0.315239,-0.326339,
-0.70832,-0.631662,
-0.417791,-0.415038,
-0.407446,-0.40542,
-0.683381,-0.613926,
-0.305423,-0.310552,
-0.378987,-0.378242,
-0.329673,-0.333563,
-0.246884,-0.255417,
-0.290991,-0.297262,
-0.173789,-0.183087,
-0.12281,-0.131995,
-0.0689489,-0.0755494,
-0.040051,-0.0455727,
-0.126638,-0.13403,
-0.0015776,-0.00481444,
0.040772,0.0403768,
-0.0834259,-0.0877892,
0.140331,0.143133,
0.0819245,0.0838652,
0.355219,0.350676,
0.46648,0.447305,
0.375608,0.369804,
0.583251,0.539011,
0.33946,0.334806,
0.422767,0.409218,
0.544219,0.508584,
0.68121,0.606231,
0.351479,0.344421,
0.565071,0.523188,
0.502015,0.473358,
0.531654,0.496795,
0.454913,0.43432,
0.513534,0.482512,
0.415443,0.400229,
0.425969,0.409085,
0.526406,0.492268,
0.431747,0.413837,
0.255361,0.25108,
0.166704,0.162854,
0.0338257,0.0261288,
0.0859134,0.0799858,
0.0821063,0.0760865,
0.10237,0.0972724,
0.0134687,0.00474228,
-0.0798971,-0.0921696,
0.0242823,0.0162465,
0.0848294,0.0790853,
0.113668,0.108862,
-0.061246,-0.0726549,
0.282804,0.278584,
0.305857,0.301128,
0.142221,0.138464,
0.197247,0.194785,
0.181327,0.178134,
0.290895,0.287117,
0.117037,0.11368,
0.429457,0.413599,
0.312049,0.305785,
0.335935,0.329011,
0.430021,0.41308,
0.270135,0.26559,
0.327672,0.319894,
0.473199,0.449057,
0.387614,0.374836,
0.299789,0.29354,
0.252522,0.247286,
0.238755,0.233678,
0.318346,0.31052,
0.262094,0.256823,
0.139715,0.133743,
0.223247,0.218112,
0.0333725,0.0229271,
0.0342983,0.0242268,
-0.00313824,-0.0145101,
0.0111188,0.000147899,
-0.113396,-0.129365,
0.0150632,0.00448897,
-0.00291035,-0.0140953,
-0.0933024,-0.108144,
0.00369506,-0.00716829,
0.082632,0.0751089,
0.0342979,0.0244417,
0.390351,0.377386,
0.360085,0.349358,
0.308545,0.301049,
0.253775,0.247879,
0.300188,0.292906,
0.3005,0.293112,
0.248025,0.24192,
0.207496,0.201363,
0.0972106,0.0882776,
0.112607,0.104131,
0.364993,0.353377,
0.20692,0.199859,
0.296672,0.288349,
0.144966,0.135919,
0.0300437,0.0166458,
0.133724,0.12432,
-0.165227,-0.186626,
-0.0618037,-0.0795852,
0.056518,0.0450985,
-0.0564449,-0.0734533,
-0.384043,-0.395029,
-0.304288,-0.322028,
0.0175522,0.00530046,
-0.216359,-0.237172,
-0.180876,-0.200831,
-0.0836528,-0.101424,
0.15677,0.150855,
0.1579,0.151466,
0.224226,0.219044,
0.288984,0.282355,
0.107352,0.0973108,
0.155995,0.147437,
-0.0190029,-0.0353659,
0.238661,0.232863,
0.0168505,0.00276281,
-0.00794876,-0.0237818,
0.194673,0.187555,
0.062424,0.0506794,
0.31931,0.311945,
0.324965,0.316239,
0.202371,0.195151,
0.0404207,0.0263333,
0.262063,0.255095,
0.287994,0.279571,
0.14396,0.133856,
0.254253,0.24722,
0.0803886,0.0683992,
0.0532022,0.038557,
0.23322,0.226038,
0.00132676,-0.0148889,
-0.0506689,-0.0703612,
-0.158824,-0.182925,
0.0941839,0.0842699,
0.036267,0.0234006,
-0.0999264,-0.119714,
-0.0359442,-0.0529378,
-0.433907,-0.441913,
-0.0718554,-0.0890799,
-0.160626,-0.181791,
-0.167171,-0.18714,
-0.131919,-0.150925,
-0.209853,-0.232246,
-0.377305,-0.392096,
-0.367016,-0.383323,
-0.37067,-0.385512,
-0.211484,-0.234019,
-0.573712,-0.554044,
-0.266209,-0.288459,
-0.286921,-0.307306,
-0.271102,-0.291975,
-0.568424,-0.548538,
-0.497703,-0.493325,
-0.314654,-0.331253,
-0.368748,-0.382751,
-0.325628,-0.342448,
-0.322229,-0.33836,
-0.41009,-0.418283,
-0.289508,-0.307037,
-0.298098,-0.315366,
-0.0625549,-0.0756119,
-0.0411902,-0.0528848,
-0.252084,-0.270562,
-0.271954,-0.291172,
0.116081,0.114443,
-0.0607525,-0.0732571,
-0.116517,-0.132136,
-0.0761019,-0.0899312,
-0.120688,-0.13785,
-0.166582,-0.18536,
-0.349845,-0.365217,
-0.318221,-0.335329,
-0.379776,-0.392155,
-0.461168,-0.463417,
-0.275598,-0.293893,
-0.258114,-0.276695,
-0.497258,-0.493227,
-0.431714,-0.437869,
-0.528581,-0.518025,
-0.393995,-0.405289,
-0.524657,-0.514802,
-0.4836,-0.481633,
-0.932124,-0.763676,
-0.486169,-0.471874,
-0.403341,-0.398258,
-0.425787,-0.418531,
-0.333887,-0.333023,
-0.467201,-0.452773,
-0.375367,-0.370898,
-0.476913,-0.461364,
-0.25629,-0.256896,
-0.073664,-0.0673916,
0.0560283,0.0729973,
0.0537217,0.071319,
-0.139817,-0.135336,
0.0520485,0.0687824,
0.207354,0.23126,
0.09103,0.10856,
0.418342,0.430796,
0.216419,0.238912,
0.414706,0.427884,
0.210598,0.232459,
0.405771,0.420069,
0.188689,0.209817,
0.157462,0.178263,
0.207855,0.230138,
0.311709,0.332441,
-0.00257351,0.00627555,
0.315896,0.337017,
0.142427,0.161931,
0.0714853,0.0872069,
0.294111,0.316928,
0.0321398,0.0430885,
0.0495964,0.0626964,
0.131808,0.150575,
0.113833,0.130555,
0.165606,0.185444,
0.231307,0.25228,
0.506583,0.504394,
0.565461,0.551112,
0.583059,0.564368,
0.462599,0.467244,
0.341761,0.360596,
0.57125,0.556382,
0.283,0.303263,
0.504765,0.503652,
0.411503,0.424176,
0.326903,0.34493,
0.401056,0.415107,
0.607075,0.581492,
0.501845,0.500091,
0.467863,0.473094,
0.255176,0.276808,
0.318447,0.338733,
0.737611,0.666105,
0.478175,0.475231,
0.255648,0.26781,
0.339823,0.350414,
0.19422,0.205113,
0.295661,0.307431,
0.19759,0.208153,
0.261294,0.273077,
0.229951,0.241368,
0.200185,0.210262,
0.00848702,0.00509672,
0.0696451,0.0716094,
-0.0572979,-0.0659861,
0.113873,0.119139,
0.0555681,0.0559727,
-0.0328546,-0.0402917,
-0.0787383,-0.0902229,
-0.118784,-0.133163,
0.175065,0.18333,
0.124864,0.130237,
0.0312245,0.0290823,
0.279662,0.290918,
0.188689,0.197544,
0.00303766,-0.002142,
0.186774,0.195556,
0.283691,0.294782,
0.0727401,0.0740041,
0.259626,0.270686,
0.0113668,0.00666346,
0.109808,0.113513,
-0.014409,-0.0216172,
-0.160106,-0.17876,
-0.231171,-0.252672,
-0.171393,-0.190599,
-0.153593,-0.171723,
-0.203956,-0.224637,
-0.285183,-0.306973,
-0.0929549,-0.106716,
-0.319517,-0.340445,
-0.133679,-0.15044,
-0.191628,-0.211409,
-0.383503,-0.400427,
-0.378158,-0.395473,
-0.526899,-0.523207,
-0.602695,-0.580691,
-0.356857,-0.375014,
-0.216427,-0.235651,
-0.436362,-0.446886,
-0.408464,-0.421788,
-0.559819,-0.548081,
-0.490043,-0.492158,
-0.329093,-0.347398,
-0.429862,-0.440478,
-0.451586,-0.45915,
-0.563159,-0.55,
-0.427237,-0.437619,
-0.453105,-0.459977,
-0.38818,-0.401862,
-0.286612,-0.305166,
-0.408274,-0.42036,
-0.39083,-0.404604,
-0.124473,-0.13589,
-0.478564,-0.481113,
-0.077758,-0.0837224,
-0.0173884,-0.0171605,
-0.116838,-0.12593,
-0.194825,-0.209532,
-0.29328,-0.31033,
-0.0771531,-0.0831712,
-0.144588,-0.15624,
0.0124409,0.0145455,
0.121707,0.133806,
0.225829,0.244068,
0.187246,0.203927,
0.0943541,0.10559,
0.133556,0.148179,
-0.111792,-0.120509,
0.108332,0.120124,
0.015512,0.0191315,
-0.110819,-0.120038,
-0.00911221,-0.00754785,
-0.0850273,-0.091347,
-0.4364,-0.445024,
-0.424407,-0.432111,
-0.255281,-0.269062,
-0.402889,-0.413283,
-0.592819,-0.570431,
-0.533446,-0.523744,
-0.524786,-0.516184,
-0.54435,-0.533592,
-0.249035,-0.26235,
-0.293014,-0.305757,
-0.429519,-0.435347,
-0.534993,-0.525226,
-0.480052,-0.480417,
-0.60135,-0.574966,
-0.255844,-0.267381,
-0.54976,-0.536766,
-0.375396,-0.383184,
-0.364989,-0.372026,
-0.555251,-0.538315,
-0.363904,-0.370299,
-0.39146,-0.396464,
-0.358893,-0.367966,
-0.40132,-0.406552,
-0.435852,-0.439985,
-0.268875,-0.281946,
-0.501222,-0.496894,
-0.515664,-0.509837,
-0.609487,-0.581736,
-0.760498,-0.683184,
-0.355423,-0.367476,
-0.603768,-0.576513,
-0.63624,-0.600937,
-0.365452,-0.372185,
-0.333664,-0.342003,
-0.398873,-0.404173,
-0.57021,-0.54966,
-0.397296,-0.401727,
-0.402379,-0.40673,
-0.385895,-0.392973,
-0.54425,-0.530474,
