Sensor X0,Motor Y0,
-0.117357,-0.116822,
-0.201344,-0.198667,
-0.0969334,-0.0966309,
-0.157821,-0.156524,
-0.149238,-0.14814,
-0.00630723,-0.00630715,
0.0751002,0.0749593,
0.155933,0.154682,
0.272141,0.265616,
0.221353,0.217807,
0.343515,0.330612,
0.46541,0.434483,
0.3103,0.30071,
0.349678,0.33609,
0.290758,0.282832,
0.138839,0.137954,
0.0068827,0.00688259,
0.148073,0.147,
0.252276,0.247057,
0.258985,0.253346,
0.331421,0.319797,
0.370114,0.354091,
0.215875,0.212583,
0.342134,0.329381,
0.395667,0.376235,
0.447795,0.420085,
0.3763,0.35949,
0.259282,0.253624,
0.367646,0.351931,
0.301032,0.292257,
0.410269,0.388701,
0.444702,0.417534,
0.444126,0.417059,
0.524662,0.48129,
0.608481,0.543057,
0.637487,0.563186,
0.686478,0.595714,
0.510462,0.470305,
0.596343,0.534443,
0.648761,0.570835,
0.550421,0.500836,
0.435154,0.409619,
0.351857,0.338021,
0.255853,0.250413,
0.183283,0.181258,
0.156208,0.15495,
0.276991,0.270118,
0.157941,0.156641,
0.234783,0.230562,
0.361063,0.34615,
0.311107,0.301444,
0.262043,0.256205,
0.175884,0.174092,
0.097416,0.0971079,
0.166752,0.165223,
0.253264,0.247984,
0.321506,0.310868,
0.445899,0.418526,
0.424995,0.401131,
0.32315,0.312349,
0.382146,0.364566,
0.504788,0.465872,
0.543792,0.495844,
0.386315,0.36816,
0.24163,0.237004,
0.148401,0.147277,
0.24318,0.238458,
0.315132,0.305064,
0.202406,0.199643,
0.110941,0.110436,
-0.00192393,-0.00198863,
-0.135771,-0.135021,
-0.263322,-0.257479,
-0.130558,-0.12989,
-0.225778,-0.222091,
-0.254584,-0.249299,
-0.153391,-0.152266,
-0.136521,-0.135744,
-0.149972,-0.148925,
-0.269033,-0.262803,
-0.185615,-0.183579,
-0.0359109,-0.0359455,
0.0773386,0.0771492,
0.115822,0.11528,
0.189621,0.187362,
0.314975,0.304954,
0.404265,0.383599,
0.456742,0.427437,
0.572516,0.517229,
0.516407,0.474928,
0.573932,0.518254,
0.391353,0.37251,
0.296923,0.28845,
0.207191,0.204211,
0.149271,0.148093,
0.0675212,0.0673236,
0.107245,0.106751,
0.15209,0.150852,
0.292292,0.284197,
0.298029,0.289459,
0.173443,0.171648,
0.19941,0.196735,
0.18201,0.17995,
0.284255,0.276786,
0.127756,0.126974,
0.156518,0.155166,
0.0753337,0.075085,
0.06997,0.0697473,
0.011234,0.01111,
-0.0841233,-0.0840716,
-0.221812,-0.218417,
-0.159621,-0.158437,
-0.117145,-0.116759,
-0.211372,-0.208445,
-0.170298,-0.168829,
-0.220316,-0.216986,
-0.306323,-0.29727,
-0.241843,-0.23741,
-0.31023,-0.300829,
-0.424535,-0.400936,
-0.287721,-0.280202,
-0.402079,-0.381904,
-0.423424,-0.399983,
-0.372019,-0.35592,
-0.419287,-0.396498,
-0.459984,-0.430245,
-0.523319,-0.480432,
-0.629358,-0.557786,
-0.608342,-0.543119,
-0.56217,-0.509737,
-0.384058,-0.366355,
-0.306632,-0.297474,
-0.241738,-0.237226,
-0.154943,-0.153777,
