Sensor X1,Motor Y1,Sensor X2,Motor Y2,Sensor X3,Motor Y3, Sensor X4,Motor Y4,
0.262043,0.256205,0.262043,0.256205,0.262043,0.256205,0.262043,0.256205,
0.175839,0.174049,0.175791,0.174002,0.175747,0.17396,0.1757,0.173914,
0.0970445,0.0965271,0.0966641,0.0961547,0.0962913,0.0957816,0.0959085,0.0953999,
0.166093,0.164417,0.165634,0.163973,0.165186,0.163534,0.16473,0.16309,
0.252036,0.246751,0.251161,0.245933,0.250318,0.245138,0.249477,0.244347,
0.319664,0.309292,0.318228,0.307994,0.316868,0.306759,0.315527,0.305537,
0.44277,0.416568,0.439934,0.414203,0.437266,0.411978,0.434682,0.409824,
0.421832,0.398698,0.41831,0.395744,0.415016,0.392996,0.411879,0.390291,
0.31964,0.308532,0.315632,0.304943,0.311819,0.301524,0.308138,0.2981,
0.377865,0.360196,0.373769,0.356668,0.369879,0.353316,0.366132,0.34997,
0.498918,0.460744,0.493847,0.456776,0.489021,0.453007,0.484385,0.449246,
0.534936,0.487449,0.527316,0.481686,0.520096,0.476227,0.513192,0.470833,
0.375374,0.355362,0.367197,0.348366,0.359428,0.341693,0.351997,0.335049,
0.22703,0.217399,0.218271,0.20924,0.209898,0.201433,0.20188,0.193713,
0.126586,0.117223,0.116189,0.107201,0.106189,0.0975597,0.096586,0.088063,
0.212767,0.201977,0.202238,0.19213,0.192166,0.182663,0.182493,0.173347,
0.277022,0.263088,0.265463,0.252559,0.254442,0.242461,0.243854,0.232518,
0.159097,0.148961,0.14722,0.137606,0.135822,0.126677,0.124894,0.115873,
0.0599246,0.0494017,0.0481502,0.0379755,0.0368971,0.027016,0.0261316,0.0161805,
-0.0629048,-0.0755479,-0.0744606,-0.0867025,-0.0854452,-0.0972983,-0.0959167,-0.107785,
-0.208855,-0.220869,-0.219771,-0.230938,-0.230056,-0.240341,-0.23981,-0.249662,
-0.348989,-0.350586,-0.359095,-0.359113,-0.368548,-0.367011,-0.37746,-0.374824,
-0.224073,-0.233846,-0.233178,-0.241991,-0.241548,-0.249429,-0.249292,-0.256851,
-0.329573,-0.332024,-0.337821,-0.338875,-0.345298,-0.34503,-0.352118,-0.351096,
-0.365319,-0.364227,-0.373227,-0.370601,-0.380304,-0.3762,-0.386684,-0.381754,
-0.269388,-0.276219,-0.277019,-0.28272,-0.283823,-0.288451,-0.289927,-0.294145,
-0.260964,-0.268023,-0.268223,-0.274217,-0.274663,-0.279628,-0.280399,-0.285004,
-0.283038,-0.289079,-0.290267,-0.295189,-0.296674,-0.30049,-0.302375,-0.305769,
-0.40953,-0.402867,-0.416221,-0.408008,-0.422055,-0.412344,-0.427174,-0.41665,
-0.325996,-0.327859,-0.331559,-0.332209,-0.336189,-0.335734,-0.340078,-0.339209,
-0.180581,-0.188923,-0.185564,-0.193042,-0.189623,-0.196297,-0.192945,-0.199537,
-0.0757499,-0.0830842,-0.0802903,-0.086853,-0.0838934,-0.0897167,-0.0867538,-0.0925891,
-0.0444456,-0.0503581,-0.0485934,-0.0536842,-0.0517742,-0.0561334,-0.0541813,-0.0585203,
0.0233593,0.0189107,0.0189739,0.0153182,0.0155396,0.0126217,0.0128694,0.0099343,
0.145543,0.143486,0.140585,0.139402,0.136579,0.136207,0.133328,0.132956,
0.241654,0.238964,0.236048,0.234435,0.23142,0.230812,0.22756,0.22706,
0.311367,0.306043,0.305646,0.301618,0.300947,0.29811,0.297025,0.294426,
0.450126,0.429868,0.444259,0.425782,0.439398,0.422475,0.435322,0.41898,
0.426331,0.408302,0.418976,0.402919,0.412712,0.39828,0.407249,0.393593,
0.505152,0.474024,0.497098,0.468453,0.490167,0.463605,0.484022,0.458649,
0.345682,0.336686,0.337997,0.330719,0.331516,0.325634,0.325813,0.320481,
0.257844,0.251484,0.247979,0.243029,0.239327,0.235634,0.23154,0.228232,
0.169106,0.162963,0.15893,0.153787,0.149944,0.145815,0.141833,0.137835,
0.106644,0.0988184,0.0956528,0.0886234,0.0858212,0.0796405,0.076903,0.0707407,
