Sensor X1,Motor Y1,
0.0735654,0.073433,
0.09037,0.0901248,
-0.0086378,-0.00865995,
-0.128114,-0.127738,
-0.128743,-0.127975,
0.0166052,0.0170379,
0.0731669,0.0743287,
0.149178,0.149502,
0.0874698,0.0879873,
0.113424,0.113698,
0.00952839,0.00976495,
-0.102319,-0.102548,
-0.20299,-0.201719,
-0.328116,-0.319304,
-0.453142,-0.427905,
-0.523364,-0.482984,
-0.391787,-0.373578,
-0.324893,-0.312334,
-0.269145,-0.259547,
-0.380849,-0.361857,
-0.353142,-0.336608,
-0.464074,-0.432952,
-0.441408,-0.412567,
-0.38857,-0.366612,
-0.498694,-0.4599,
-0.304984,-0.29076,
-0.170609,-0.160469,
-0.0102646,0.00151937,
0.112891,0.126963,
-0.021519,-0.00938426,
0.0195956,0.0333512,
-0.0672318,-0.0557247,
0.0687474,0.0839454,
0.0414922,0.0554382,
0.079675,0.0945271,
0.150852,0.166361,
0.176435,0.192315,
0.134062,0.150067,
0.174036,0.190281,
0.265455,0.279275,
0.141009,0.156966,
0.257251,0.271239,
0.383927,0.3878,
0.532293,0.509789,
0.6304,0.579639,
0.630414,0.577606,
0.47936,0.463043,
0.580619,0.539802,
0.583224,0.539239,
0.716159,0.629894,
0.570646,0.523212,
0.625148,0.563342,
0.474926,0.444244,
0.249405,0.237267,
0.104994,0.0881081,
0.132456,0.114741,
0.178448,0.163253,
0.311094,0.294307,
0.349593,0.330483,
0.43494,0.408185,
0.413807,0.390249,
0.344111,0.32606,
0.476879,0.445852,
0.531554,0.488946,
0.462384,0.430802,
0.301877,0.285971,
0.3707,0.350641,
0.339862,0.321614,
0.58596,0.531036,
0.359825,0.328615,
0.54869,0.492472,
0.454055,0.406786,
0.463734,0.413206,
0.800897,0.665569,
0.392909,0.31124,
0.400965,0.306802,
0.270754,0.17828,
0.347024,0.254827,
0.502749,0.398001,
0.310011,0.217382,
0.498856,0.402149,
0.303609,0.205706,
0.419989,0.319816,
0.47004,0.366109,
0.494725,0.391723,
0.411224,0.307615,
0.611726,0.491589,
0.528504,0.41332,
0.30739,0.196519,
0.485711,0.377022,
0.318966,0.207128,
0.3717,0.261107,
0.372254,0.262731,
0.297879,0.185654,
0.46311,0.36022,
0.605569,0.487138,
0.205496,0.0842488,
0.366005,0.255465,
0.330698,0.216559,
0.280774,0.161434,
0.273715,0.154994,
0.397268,0.284469,
0.349004,0.231075,
0.3314,0.212077,
0.275125,0.150907,
0.116852,-0.0263841,
0.0559525,-0.0958884,
-0.164518,-0.331199,
0.0961928,-0.049895,
0.133436,-0.0085088,
0.130661,-0.0071453,
-0.0698851,-0.230685,
-0.0226527,-0.181717,
-0.105585,-0.272333,
-0.337678,-0.496171,
-0.395675,-0.544426,
-0.417312,-0.562329,
-0.57106,-0.670532,
-0.446371,-0.583905,
-0.519061,-0.632593,
-0.597726,-0.68362,
-0.494779,-0.615112,
-0.590758,-0.677415,
-0.49265,-0.61043,
-0.377891,-0.51809,
-0.398815,-0.53592,
-0.51112,-0.618972,
-0.210101,-0.362036,
-0.281578,-0.427228,
-0.37979,-0.515674,
-0.366799,-0.50386,
-0.323968,-0.466583,
-0.472589,-0.588537,
-0.59582,-0.673889,
-0.248857,-0.391775,
-0.655557,-0.704906,
-0.467921,-0.560146,
-0.390763,-0.491384,
-0.54964,-0.618763,
-0.676902,-0.701672,
-0.805387,-0.767208,
-0.742565,-0.721976,
-0.455101,-0.519505,
-0.851721,-0.77194,
-0.579297,-0.56118,
-0.417171,-0.410554,
-0.760852,-0.686271,
-0.564116,-0.499993,
-0.529895,-0.470532,
-0.385008,-0.32155,
-0.677533,-0.596791,
-0.73765,-0.61647,
-0.64465,-0.532403,
-0.389133,-0.284963,
-0.396916,-0.293076,
-0.327431,-0.215431,
-0.437954,-0.334566,
-0.597444,-0.490009,
-0.646411,-0.528566,
-0.45099,-0.344066,
-0.468231,-0.356628,
-0.626616,-0.515039,
-0.522266,-0.411538,
-0.3927,-0.269977,
-0.547527,-0.435987,
-0.547871,-0.432741,
-0.632739,-0.502498,
-0.627635,-0.501007,
