Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0.277174,0.270287,0.277174,0.270287,
0.158108,0.156804,0.158106,0.156802,
0.234942,0.230711,0.234936,0.230706,
0.361204,0.346274,0.361189,0.346261,
0.311221,0.301539,0.311198,0.301518,
0.262135,0.25628,0.26211,0.256256,
0.175955,0.174146,0.17593,0.174121,
0.0974675,0.0971374,0.0974396,0.0971095,
0.16678,0.165228,0.166749,0.165198,
0.253265,0.247966,0.25323,0.247934,
0.32148,0.31083,0.321441,0.310793,
0.445841,0.418469,0.445785,0.418423,
0.424923,0.401059,0.424862,0.401007,
0.323064,0.312253,0.322999,0.312194,
0.382043,0.364462,0.381977,0.364404,
0.504664,0.465766,0.504589,0.465706,
0.543636,0.49571,0.54353,0.495627,
0.386146,0.367984,0.386034,0.367882,
0.241432,0.236765,0.241315,0.23665,
0.148134,0.146943,0.147999,0.146806,
0.242838,0.238075,0.242701,0.23794,
0.314725,0.304638,0.314576,0.304497,
0.201961,0.199149,0.201807,0.198996,
0.110438,0.109863,0.110284,0.109706,
-0.00250065,-0.00265307,-0.00265411,-0.00281255,
-0.136435,-0.135774,-0.136584,-0.135926,
-0.264073,-0.25829,-0.264214,-0.258427,
-0.131376,-0.13079,-0.131511,-0.13093,
-0.226678,-0.223052,-0.226807,-0.223181,
-0.255553,-0.250315,-0.255681,-0.250442,
-0.154417,-0.153364,-0.154543,-0.153495,
-0.137623,-0.136919,-0.137747,-0.137048,
-0.151152,-0.150174,-0.151276,-0.150303,
-0.270284,-0.264075,-0.270404,-0.264193,
-0.186892,-0.184909,-0.187007,-0.185028,
-0.0372458,-0.0373517,-0.0373577,-0.037472,
0.0759279,0.0756945,0.0758156,0.075574,
0.114362,0.113793,0.114248,0.113672,
0.188127,0.18589,0.188013,0.185771,
0.313486,0.303595,0.313364,0.303475,
0.402877,0.382422,0.402742,0.382298,
0.455532,0.426465,0.455389,0.426339,
0.571501,0.516519,0.571349,0.516399,
0.515615,0.474326,0.515431,0.474169,
0.573269,0.517791,0.573076,0.517636,
0.390819,0.372038,0.390619,0.371843,
0.29639,0.28792,0.296168,0.287694,
0.206628,0.203607,0.206403,0.203368,
0.14864,0.147392,0.148406,0.147141,
-0.055345,-0.0555402,-0.179406,-0.177824,
0.221525,0.217853,0.343782,0.330808,
0.0724345,0.0720868,-0.00631325,-0.00664546,
0.154283,0.152897,0.0214056,0.0210569,
0.335621,0.323494,0.374312,0.357732,
0.213378,0.210037,0.2545,0.248905,
0.284285,0.276744,0.372962,0.356466,
0.26299,0.256949,0.346848,0.333382,
0.209716,0.206519,0.137993,0.136686,
0.0387194,0.0384111,-0.0494889,-0.0500967,
0.081527,0.0810838,0.00883451,0.00822138,
-0.0608007,-0.0610825,-0.196199,-0.194544,
0.062717,0.0623601,0.0593678,0.0587659,
0.0878901,0.0874122,0.170807,0.168851,
-0.157603,-0.15673,-0.226524,-0.223558,
-0.377145,-0.360739,-0.544914,-0.497685,
-0.242244,-0.238049,-0.321355,-0.311612,
-0.00780873,-0.00804788,0.107408,0.106874,
-0.084038,-0.0841652,0.0481111,0.0476873,
-0.0822284,-0.0823694,0.010954,0.0105578,
-0.326461,-0.315828,-0.432686,-0.40854,
-0.394461,-0.375718,-0.481401,-0.448402,
-0.137172,-0.136659,-0.0296486,-0.0298523,
-0.216909,-0.213991,-0.122142,-0.121985,
-0.298373,-0.29028,-0.175815,-0.174499,
-0.149311,-0.148556,-0.0119686,-0.0121549,
-0.260365,-0.25509,-0.125023,-0.125037,
-0.585944,-0.527552,-0.78037,-0.654026,
-0.26669,-0.260775,-0.164167,-0.162781,
-0.382708,-0.365347,-0.343379,-0.330809,
-0.58567,-0.527179,-0.725219,-0.620919,
-0.544858,-0.496988,-0.563468,-0.510958,
-0.608187,-0.543218,-0.585913,-0.527395,
-0.449746,-0.421931,-0.308591,-0.298959,
-0.672721,-0.587133,-0.795294,-0.662041,
-0.568782,-0.514698,-0.790079,-0.658836,
-0.437961,-0.412073,-0.579324,-0.522073,
-0.284677,-0.277153,-0.323549,-0.311694,
-0.233896,-0.229561,-0.310557,-0.299918,
-0.15921,-0.157607,-0.290367,-0.281356,
-0.222272,-0.2185,-0.32619,-0.314123,
-0.179974,-0.177816,-0.252746,-0.246268,
-0.129502,-0.128456,-0.275859,-0.267837,
0.130354,0.130333,0.13728,0.13925,
0.052534,0.0530641,-0.0392866,-0.0372735,
0.213298,0.210943,0.358007,0.346645,
0.156451,0.15594,0.240381,0.238808,
0.268814,0.263392,0.363731,0.351602,
0.174644,0.17365,0.235573,0.234285,
0.257545,0.25288,0.494351,0.460978,
0.0236064,0.0241745,-0.256215,-0.249446,
0.0149863,0.0155377,0.164886,0.166165,
-0.0153589,-0.014864,-0.0945068,-0.0927135,
0.0292619,0.0297854,-0.151083,-0.148771,
0.0461332,0.0466495,0.16036,0.161429,
-0.141271,-0.140138,-0.214831,-0.210891,
0.0315078,0.0320698,0.0485066,0.0505948,
-0.05183,-0.0513163,-0.000531049,0.00149476,
0.304904,0.296777,0.507401,0.471401,
0.0675081,0.0679414,0.0286103,0.0302531,
0.226341,0.223375,0.386705,0.371618,
0.0756841,0.076091,-0.0450005,-0.0436973,
0.000368333,0.000711762,-0.0224243,-0.0211067,
0.0816727,0.0819855,0.34159,0.331705,
0.0606358,0.0610197,0.29047,0.285229,
-0.263455,-0.257719,-0.395258,-0.376973,
-0.109289,-0.108677,-0.352906,-0.339494,
-0.0430166,-0.0426811,0.0339533,0.0352667,
-0.0977865,-0.0972992,-0.0987669,-0.0977551,
-0.109997,-0.10936,0.137337,0.1386,
-0.0347142,-0.0343648,0.0446659,0.0459441,
-0.271229,-0.264882,-0.55369,-0.504637,
-0.156923,-0.155463,-0.0746965,-0.073432,
-0.131615,-0.130612,-0.0458405,-0.0444014,
-0.437197,-0.411685,-0.621074,-0.553621,
-0.129904,-0.128702,-0.0167319,-0.0147103,
-0.254912,-0.249312,0.0828409,0.0857561,
-0.43562,-0.410208,-0.813669,-0.673649,
-0.452692,-0.424299,-0.312361,-0.302039,
-0.334876,-0.322811,-0.103721,-0.101313,
-0.391312,-0.372597,-0.372206,-0.356009,
-0.236559,-0.23206,-0.122331,-0.120001,
-0.340465,-0.327735,-0.451486,-0.423159,
-0.296594,-0.288163,-0.0393305,-0.0370642,
-0.462358,-0.432238,-0.48937,-0.454429,
-0.50152,-0.463571,-0.608364,-0.544098,
-0.508193,-0.468872,-0.690282,-0.599915,
-0.46306,-0.432869,-0.520221,-0.478609,
-0.627332,-0.556789,-0.739663,-0.630806,
-0.45167,-0.423522,-0.378089,-0.36078,
-0.446827,-0.419413,-0.497782,-0.460572,
-0.576584,-0.520665,-0.648701,-0.572278,
-0.506833,-0.467748,-0.925469,-0.730487,
-0.372047,-0.355706,-0.28641,-0.27592,
-0.299636,-0.290895,-0.487333,-0.45149,
-0.239422,-0.23464,-0.183597,-0.177846,
-0.457859,-0.428518,-0.608504,-0.542899,
-0.248664,-0.24323,-0.157274,-0.151458,
-0.338861,-0.326408,-0.438303,-0.410981,
-0.0620532,-0.0612399,0.167134,0.172634,
-0.288088,-0.280222,-0.279646,-0.269667,
-0.4628,-0.432503,-0.426777,-0.400803,
-0.349178,-0.335493,-0.400206,-0.377842,
-0.347773,-0.334198,-0.366835,-0.348663,
-0.288141,-0.280124,-0.0933401,-0.0874399,
-0.370336,-0.35428,-0.586519,-0.527589,
-0.406604,-0.385694,-0.31208,-0.299624,
-0.370135,-0.354046,-0.893049,-0.714115,
-0.107382,-0.106172,0.122223,0.130579,
-0.291479,-0.283336,-0.477267,-0.442318,
-0.127552,-0.126193,0.0195374,0.0274465,
-0.0167154,-0.0156292,0.0588141,0.0676636,
-0.123851,-0.122587,-0.207585,-0.19971,
-0.0452489,-0.0443725,-0.0246753,-0.0176474,
-0.00544781,-0.00455698,0.330781,0.329125,
-0.300725,-0.291995,-0.472559,-0.439372,
-0.191215,-0.188584,-0.260513,-0.251098,
-0.500049,-0.462621,-0.431182,-0.404598,
-0.302855,-0.293916,-0.287889,-0.277694,
-0.369074,-0.353286,-0.455119,-0.424823,
-0.179148,-0.17675,0.0611226,0.0683328,
-0.117354,-0.116104,-0.226667,-0.219288,
-0.0134664,-0.0122384,-0.0357702,-0.0286319,
-0.0490391,-0.0479628,0.266188,0.270039,
-0.295316,-0.286857,-0.645416,-0.569985,
-0.0924705,-0.0912947,0.0351718,0.0429092,
0.0115045,0.0128869,0.201902,0.209306,
0.0213343,0.0226394,0.0640108,0.0718529,
-0.143989,-0.142114,-0.23685,-0.228033,
0.108388,0.109551,0.179631,0.187289,
-0.216439,-0.212597,-0.363754,-0.345806,
-0.0763717,-0.0753505,0.0314493,0.035773,
-0.119208,-0.117738,-0.149948,-0.142473,
-0.0282793,-0.0271718,0.148433,0.155222,
-0.0604233,-0.0592473,0.0108891,0.0181771,
-0.217924,-0.214029,-0.16909,-0.162195,
-0.191202,-0.188381,-0.194342,-0.187663,
-0.0771288,-0.0758878,0.122123,0.130962,
0.059212,0.0607017,-0.0433529,-0.0365355,
-0.217739,-0.213833,-0.190915,-0.184497,
-0.20482,-0.201377,-0.0419744,-0.034032,
-0.246506,-0.24118,-0.260179,-0.251114,
-0.172147,-0.169684,-0.273075,-0.262985,
-0.211408,-0.207668,-0.270807,-0.259637,
-0.313236,-0.303098,-0.371537,-0.352917,
-0.0725318,-0.0711674,0.151106,0.160151,
-0.0491084,-0.0477625,-0.234059,-0.225729,
0.0574795,0.0591799,0.155075,0.165121,
0.115861,0.117333,-0.14892,-0.141169,
0.361128,0.348777,0.65499,0.586787,
0.428218,0.406533,0.675195,0.600267,
0.426283,0.40489,0.33161,0.332043,
0.546884,0.501017,0.563337,0.523312,
0.257804,0.254725,0.209711,0.219229,
0.285771,0.280694,0.387699,0.382566,
0.634436,0.563934,0.717023,0.627766,
0.405565,0.387172,0.387484,0.380906,
0.377597,0.363054,0.11372,0.123182,
0.461668,0.434051,0.720384,0.629634,
0.416426,0.39651,0.241707,0.248756,
0.413295,0.393729,0.2868,0.289898,
0.39703,0.379913,0.528608,0.497434,
0.523515,0.483052,0.425324,0.413762,
0.367062,0.353813,0.321586,0.323125,
0.228368,0.22646,0.578168,0.533673,
0.306976,0.29991,0.199014,0.20668,
0.355777,0.343798,0.782017,0.665037,
0.229094,0.227129,0.0665066,0.0743731,
-0.016799,-0.0157663,0.0593139,0.0661788,
-0.0249848,-0.0240386,-0.202721,-0.197671,
-0.120401,-0.119367,-0.183276,-0.178849,
-0.113953,-0.113006,-0.223949,-0.219323,
0.0073563,0.00830556,0.0397656,0.0456921,
0.165555,0.16568,0.433205,0.418581,
0.00574647,0.0066976,-0.194796,-0.191002,
0.049859,0.0509702,-0.0583944,-0.0547225,
0.27294,0.26833,0.258306,0.261788,
0.0432838,0.0442886,0.20664,0.211038,
0.0843809,0.0854273,-0.173614,-0.169581,
0.197465,0.196665,0.57019,0.526373,
0.124409,0.125218,-0.0162629,-0.0108,
0.132805,0.133449,0.173147,0.178349,
0.251951,0.248741,0.155874,0.163055,
0.590752,0.533093,0.631659,0.570348,
0.553604,0.50567,0.790663,0.669394,
0.319562,0.311085,0.291746,0.292079,
0.467197,0.438248,0.331635,0.328366,
0.251929,0.248443,0.106542,0.111265,
0.574579,0.521139,1.08028,0.801905,
0.571634,0.518895,0.551259,0.511273,
0.499581,0.464002,0.551093,0.510866,
0.330048,0.320332,0.246987,0.248636,
0.636573,0.564959,0.688008,0.60654,
0.368044,0.353954,0.484884,0.458871,
0.413467,0.393212,0.151944,0.155037,
0.174688,0.173804,0.14219,0.145127,
0.126948,0.126864,0.00986358,0.0113755,
0.236276,0.233082,0.165693,0.168687,
0.374734,0.359769,0.102034,0.104926,
0.16349,0.162779,0.0686618,0.0713297,
0.132889,0.132684,0.0993882,0.102257,
0.0373933,0.0374462,-0.119652,-0.120023,
0.269896,0.264741,0.541778,0.503545,
0.201397,0.199592,0.157174,0.160121,
0.070011,0.0700938,-0.308247,-0.30341,
0.0120103,0.0118934,0.158295,0.161434,
0.195814,0.194194,0.191524,0.194276,
0.419673,0.398416,0.290515,0.289335,
0.300037,0.292618,0.302283,0.300284,
0.329328,0.319312,0.295438,0.293944,
0.414903,0.394339,0.393771,0.382718,
0.506541,0.469213,0.318325,0.315106,
0.585567,0.528824,0.739239,0.63869,
0.551692,0.503827,0.715743,0.623852,
0.427779,0.405166,0.320289,0.315977,
0.335753,0.325056,0.260969,0.260431,
0.218152,0.21558,0.328453,0.323433,
0.39781,0.37967,0.709909,0.620049,
0.40938,0.389556,0.407904,0.393371,
0.303576,0.295767,0.403164,0.38916,
0.217689,0.215085,0.204244,0.204651,
0.119819,0.119499,-0.00857804,-0.0099032,
-0.0555919,-0.0562696,-0.225892,-0.227827,
-0.234246,-0.231709,-0.0801098,-0.0826838,
-0.234058,-0.231519,-0.290371,-0.289256,
-0.362381,-0.349475,-0.663324,-0.590883,
-0.184633,-0.183965,0.0322055,0.0322836,
-0.477946,-0.447116,-0.543603,-0.505208,
-0.323975,-0.315056,-0.469069,-0.446135,
-0.630814,-0.561333,-0.546832,-0.50751,
-0.29639,-0.289654,-0.317971,-0.314364,
-0.52218,-0.481784,-0.711816,-0.621776,
-0.563874,-0.513296,-1.34114,-0.879039,
-0.390163,-0.373419,-0.432686,-0.411925,
-0.153888,-0.153444,0.0200026,0.0268016,
-0.128974,-0.128911,-0.307109,-0.297345,
-0.076216,-0.0763845,0.0980464,0.10685,
-0.284605,-0.278604,-0.720595,-0.62326,
-0.0810851,-0.0812091,-0.146061,-0.140519,
-0.314818,-0.306409,-0.307553,-0.298302,
-0.06105,-0.0611064,0.0606038,0.0685447,
-0.221918,-0.219439,-0.618113,-0.554978,
-0.105993,-0.106005,0.0780475,0.0851869,
-0.214122,-0.211966,-0.290933,-0.283291,
-0.191123,-0.189755,0.017412,0.024331,
-0.369066,-0.355012,-0.329527,-0.319105,
-0.674227,-0.590398,-0.885838,-0.716279,
-0.618488,-0.552506,-0.87526,-0.710336,
-0.493662,-0.459212,-0.277266,-0.268682,
-0.338921,-0.327971,-0.315112,-0.303336,
-0.321314,-0.312057,-0.227264,-0.219866,
-0.389021,-0.372194,-0.711945,-0.616979,
