Sensor X0,Motor Y0,
-0.117357,-0.116822,
-0.201344,-0.198667,
-0.0969334,-0.0966309,
-0.157821,-0.156524,
-0.149238,-0.14814,
-0.00630723,-0.00630715,
0.0751002,0.0749593,
0.155933,0.154682,
0.272141,0.265616,
0.221353,0.217807,
0.343515,0.330612,
0.46541,0.434483,
0.3103,0.30071,
0.349678,0.33609,
0.290758,0.282832,
0.138839,0.137954,
0.0068827,0.00688259,
0.148073,0.147,
0.252276,0.247057,
0.258985,0.253346,
0.331421,0.319797,
0.370114,0.354091,
0.215875,0.212583,
0.342134,0.329381,
0.395667,0.376235,
0.447795,0.420085,
0.3763,0.35949,
0.259282,0.253624,
0.367646,0.351931,
0.301032,0.292257,
0.410269,0.388701,
0.444702,0.417534,
0.444126,0.417059,
0.524662,0.48129,
0.608481,0.543057,
0.637487,0.563186,
0.686478,0.595714,
0.510462,0.470305,
0.596343,0.534443,
0.648761,0.570835,
0.550421,0.500836,
0.435154,0.409619,
0.351857,0.338021,
0.255853,0.250413,
0.183283,0.181258,
0.156208,0.15495,
0.276991,0.270118,
0.157941,0.156641,
0.234783,0.230562,
0.361063,0.34615,
0.311107,0.301444,
0.262043,0.256205,
0.175884,0.174092,
0.097416,0.0968996,
0.166544,0.164859,
0.2529,0.247565,
0.321086,0.310579,
0.44561,0.418917,
0.425386,0.401672,
0.323691,0.312194,
0.381991,0.36378,
0.504002,0.464735,
0.542655,0.493254,
0.383724,0.362534,
0.236004,0.22582,
0.137216,0.127602,
0.223505,0.212164,
0.288838,0.273936,
0.171278,0.160732,
0.0720303,0.0613615,
-0.050998,-0.0638035,
-0.197586,-0.210243,
-0.338544,-0.341496,
-0.214576,-0.22502,
-0.320908,-0.324491,
-0.356984,-0.357226,
-0.261317,-0.268994,
-0.253249,-0.261124,
-0.275352,-0.282317,
-0.402425,-0.3972,
-0.320012,-0.322805,
-0.175136,-0.184004,
-0.0707201,-0.0784699,
-0.0397969,-0.0460914,
0.0282494,0.0234298,
0.151043,0.148532,
0.247843,0.244523,
0.317666,0.311552,
0.456631,0.435043,
0.43422,0.4148,
0.513804,0.480707,
0.353805,0.343882,
0.268295,0.261129,
0.17987,0.173232,
0.118292,0.110077,
0.0295053,0.0186079,
0.0585295,0.0490058,
0.0943454,0.0859391,
0.227379,0.220561,
0.234393,0.226818,
0.110802,0.101909,
0.129671,0.121106,
0.106382,0.0972418,
0.201547,0.194227,
0.0451965,0.0333615,
0.0629059,0.0519238,
-0.0279087,-0.042811,
-0.0479259,-0.063813,
-0.122326,-0.140754,
-0.235988,-0.254961,
-0.392702,-0.400771,
-0.341976,-0.353539,
-0.312247,-0.325669,
-0.420282,-0.423011,
-0.384863,-0.391259,
-0.442746,-0.441237,
-0.530573,-0.512298,
-0.456871,-0.452533,
-0.525353,-0.507397,
-0.631104,-0.584734,
-0.471519,-0.459134,
-0.581012,-0.544047,
-0.585567,-0.544744,
-0.51678,-0.491186,
-0.554552,-0.520072,
-0.583558,-0.542476,
-0.635551,-0.578512,
-0.727439,-0.638642,
-0.689198,-0.611631,
-0.630682,-0.570235,
-0.444555,-0.422209,
-0.362486,-0.346875,
-0.291139,-0.279639,
