Sensor X0,Motor Y0,
0,0,
0.0174524,0.0174506,
0.0348995,0.0348853,
0.052336,0.0522882,
0.0697565,0.0696435,
0.0871557,0.0869357,
0.104528,0.104149,
0.121869,0.12127,
0.139173,0.138281,
0.156434,0.155171,
0.173648,0.171924,
0.190809,0.188527,
0.207912,0.204967,
0.224951,0.221232,
0.241922,0.23731,
0.258819,0.253191,
0.275637,0.268863,
0.292372,0.284316,
0.309017,0.299543,
0.325568,0.314533,
0.34202,0.32928,
0.358368,0.343776,
0.374607,0.358014,
0.390731,0.37199,
0.406737,0.385698,
0.422618,0.399134,
0.438371,0.412293,
0.45399,0.425174,
0.469472,0.437772,
0.48481,0.450087,
0.5,0.462117,
0.515038,0.473861,
0.529919,0.485319,
0.544639,0.496492,
0.559193,0.507378,
0.573576,0.517981,
0.587785,0.528301,
0.601815,0.53834,
0.615661,0.5481,
0.62932,0.557584,
0.642788,0.566795,
0.656059,0.575735,
0.669131,0.584408,
0.681998,0.592817,
0.694658,0.600966,
0.707107,0.608859,
0.71934,0.6165,
0.731354,0.623893,
0.743145,0.631041,
0.75471,0.63795,
0.766044,0.644623,
0.777146,0.651066,
0.788011,0.657281,
0.798636,0.657443,
0.809017,0.657976,
0.819152,0.658419,
0.829038,0.658208,
0.838671,0.658286,
0.848048,0.658543,
0.857167,0.658256,
0.866025,0.657518,
0.87462,0.657283,
0.882948,0.656821,
0.891007,0.65572,
0.898794,0.655702,
0.906308,0.654695,
0.913545,0.653197,
0.920505,0.652595,
0.927184,0.653013,
0.93358,0.652976,
0.939693,0.651029,
0.945519,0.652082,
0.951057,0.651042,
0.956305,0.649826,
0.961262,0.650726,
0.965926,0.650706,
0.970296,0.650218,
0.97437,0.651996,
0.978148,0.650849,
0.981627,0.653182,
0.984808,0.65245,
0.987688,0.653253,
0.990268,0.652813,
0.992546,0.654821,
0.994522,0.657022,
0.996195,0.655074,
0.997564,0.654431,
0.99863,0.657564,
0.999391,0.655644,
0.999848,0.655908,
1,0.656855,
0.999848,0.65638,
0.999391,0.657641,
0.99863,0.655741,
0.997564,0.656637,
0.996195,0.656291,
0.994522,0.657083,
0.992546,0.657834,
0.990268,0.65796,
0.987688,0.656305,
0.984808,0.655349,
0.981627,0.655551,
0.978148,0.651009,
0.97437,0.65127,
0.970296,0.650844,
0.965926,0.647454,
0.961262,0.642337,
0.956305,0.636352,
0.951057,0.631046,
0.945519,0.627167,
0.939693,0.624868,
0.93358,0.620181,
0.927184,0.617605,
0.920505,0.61525,
0.913545,0.61297,
0.906308,0.608091,
0.898794,0.605131,
0.891007,0.602298,
0.882948,0.59511,
0.87462,0.591992,
0.866025,0.583864,
0.857167,0.580132,
0.848048,0.571902,
0.838671,0.568346,
0.829038,0.558079,
0.819152,0.554368,
0.809017,0.546656,
0.798636,0.54122,
0.788011,0.534804,
0.777146,0.52381,
0.766044,0.513615,
0.75471,0.50386,
0.743145,0.491446,
0.731354,0.481179,
0.71934,0.469552,
0.707107,0.462874,
0.694658,0.455813,
0.681998,0.445442,
0.669131,0.438449,
0.656059,0.431388,
0.642788,0.422858,
0.62932,0.411674,
0.615661,0.397119,
0.601815,0.38463,
0.587785,0.370192,
0.573576,0.361752,
0.559193,0.352205,
0.544639,0.334536,
0.529919,0.324019,
0.515038,0.306772,
0.5,0.296403,
0.48481,0.277476,
0.469472,0.267189,
0.453991,0.248829,
0.438371,0.237886,
0.422618,0.227709,
0.406737,0.208175,
0.390731,0.19148,
0.374607,0.178729,
0.358368,0.16619,
0.34202,0.151266,
0.325568,0.130628,
0.309017,0.110481,
0.292372,0.0947575,
0.275637,0.0768458,
0.258819,0.0584065,
0.241922,0.0411184,
0.224951,0.0211735,
0.207912,0.00751491,
0.190809,-0.0109406,
0.173648,-0.0318088,
0.156434,-0.0475406,
0.139173,-0.0708481,
0.121869,-0.0885049,
0.104528,-0.109029,
0.0871557,-0.126826,
0.0697565,-0.142739,
0.052336,-0.152665,
0.0348995,-0.172189,
0.0174524,-0.191277,
3.58979e-09,-0.210235,
-0.0174524,-0.227371,
-0.0348995,-0.243314,
-0.052336,-0.260404,
-0.0697565,-0.274369,
-0.0871557,-0.290279,
-0.104528,-0.306472,
-0.121869,-0.319063,
-0.139173,-0.331006,
-0.156434,-0.340922,
-0.173648,-0.357993,
-0.190809,-0.374472,
-0.207912,-0.382976,
-0.224951,-0.397769,
-0.241922,-0.408315,
-0.258819,-0.422372,
-0.275637,-0.432532,
-0.292372,-0.446665,
-0.309017,-0.457167,
-0.325568,-0.46753,
-0.34202,-0.476682,
-0.358368,-0.483937,
-0.374607,-0.495105,
-0.390731,-0.502791,
-0.406737,-0.513434,
-0.422618,-0.522991,
-0.438371,-0.536062,
-0.45399,-0.543454,
-0.469472,-0.552353,
-0.48481,-0.562768,
-0.5,-0.56827,
-0.515038,-0.576166,
-0.529919,-0.585703,
-0.544639,-0.597905,
-0.559193,-0.605581,
-0.573576,-0.612103,
-0.587785,-0.622664,
-0.601815,-0.629747,
-0.615661,-0.633463,
-0.62932,-0.640035,
-0.642788,-0.649296,
-0.656059,-0.659705,
-0.669131,-0.664593,
-0.681998,-0.67304,
-0.694658,-0.67956,
-0.707107,-0.685932,
-0.71934,-0.69089,
-0.731354,-0.698825,
-0.743145,-0.702322,
-0.75471,-0.709377,
-0.766044,-0.711857,
-0.777146,-0.717699,
-0.788011,-0.725028,
-0.798636,-0.73096,
-0.809017,-0.736124,
-0.819152,-0.739033,
-0.829038,-0.741243,
-0.838671,-0.746626,
-0.848048,-0.751181,
-0.857167,-0.75593,
-0.866025,-0.757468,
-0.87462,-0.762206,
-0.882948,-0.762534,
-0.891007,-0.768368,
-0.898794,-0.771132,
-0.906308,-0.773773,
-0.913545,-0.77352,
-0.920505,-0.77575,
-0.927184,-0.774647,
-0.93358,-0.775543,
-0.939693,-0.780626,
-0.945519,-0.783055,
-0.951057,-0.781488,
-0.956305,-0.780971,
-0.961262,-0.782578,
-0.965926,-0.785487,
-0.970296,-0.787877,
-0.97437,-0.790401,
-0.978148,-0.789919,
-0.981627,-0.793179,
-0.984808,-0.792269,
-0.987688,-0.792242,
-0.990268,-0.791282,
-0.992546,-0.795957,
-0.994522,-0.792637,
-0.996195,-0.796122,
-0.997564,-0.795333,
-0.99863,-0.793928,
-0.999391,-0.794394,
-0.999848,-0.798335,
-1,-0.801239,
-0.999848,-0.802862,
-0.999391,-0.803865,
-0.99863,-0.800094,
-0.997564,-0.801196,
-0.996195,-0.799052,
-0.994522,-0.799674,
-0.992546,-0.799581,
-0.990268,-0.796212,
-0.987688,-0.790124,
-0.984808,-0.779616,
-0.981627,-0.776475,
-0.978148,-0.771665,
-0.97437,-0.766238,
-0.970296,-0.765336,
-0.965926,-0.763806,
-0.961262,-0.761484,
-0.956305,-0.756994,
-0.951057,-0.753689,
-0.945519,-0.74856,
-0.939693,-0.744812,
-0.93358,-0.744269,
-0.927184,-0.741168,
-0.920505,-0.737812,
-0.913545,-0.736527,
-0.906308,-0.732724,
-0.898794,-0.72776,
-0.891007,-0.722361,
-0.882948,-0.719895,
-0.87462,-0.717346,
-0.866025,-0.710959,
-0.857167,-0.707475,
-0.848048,-0.703019,
-0.838671,-0.700509,
-0.829038,-0.696823,
-0.819152,-0.689295,
-0.809017,-0.682296,
-0.798636,-0.676937,
-0.788011,-0.668843,
-0.777146,-0.660538,
-0.766044,-0.653232,
-0.75471,-0.645279,
-0.743145,-0.641235,
-0.731354,-0.637238,
-0.71934,-0.631194,
-0.707107,-0.626534,
-0.694658,-0.621561,
-0.681998,-0.613802,
-0.669131,-0.604597,
-0.656059,-0.595699,
-0.642788,-0.588637,
-0.62932,-0.580906,
-0.615661,-0.570069,
-0.601815,-0.558121,
-0.587785,-0.544996,
-0.573576,-0.531292,
-0.559193,-0.521393,
-0.544639,-0.508751,
-0.529919,-0.494701,
-0.515038,-0.48032,
-0.5,-0.463141,
-0.48481,-0.44921,
-0.469472,-0.441101,
-0.453991,-0.428661,
-0.438371,-0.412609,
-0.422618,-0.401034,
-0.406737,-0.390428,
-0.390731,-0.376174,
-0.374607,-0.358141,
-0.358368,-0.349122,
-0.34202,-0.336141,
-0.325568,-0.321568,
-0.309017,-0.303225,
-0.292372,-0.289757,
-0.275637,-0.274445,
-0.258819,-0.264052,
-0.241922,-0.247018,
-0.224951,-0.228433,
-0.207912,-0.211663,
-0.190809,-0.200415,
-0.173648,-0.186523,
-0.156434,-0.176552,
-0.139173,-0.157118,
-0.121869,-0.145464,
-0.104528,-0.123116,
-0.0871557,-0.105304,
-0.0697565,-0.0824778,
-0.052336,-0.071982,
-0.0348995,-0.059484,
-0.0174524,-0.0397682,
-7.17959e-09,-0.0184629,
0.0174524,-0.00865229,
0.0348995,0.00504473,
0.0523359,0.0280703,
0.0697565,0.0441698,
0.0871557,0.0530785,
0.104528,0.0672562,
0.121869,0.0879983,
0.139173,0.104526,
0.156434,0.11571,
0.173648,0.137806,
0.190809,0.158739,
0.207912,0.17457,
0.224951,0.191224,
0.241922,0.202743,
0.258819,0.213317,
0.275637,0.233287,
0.292372,0.252959,
0.309017,0.271001,
0.325568,0.282445,
0.34202,0.290664,
0.358368,0.3015,
0.374607,0.315465,
0.390731,0.332983,
0.406737,0.34398,
0.422618,0.355317,
0.438371,0.367166,
0.45399,0.378065,
0.469472,0.3915,
0.48481,0.405226,
0.5,0.412037,
0.515038,0.423403,
0.529919,0.437746,
0.544639,0.447036,
0.559193,0.456987,
0.573576,0.465632,
0.587785,0.474133,
0.601815,0.485975,
0.615661,0.491591,
0.62932,0.504191,
0.642788,0.516625,
0.656059,0.520875,
0.669131,0.53172,
0.681998,0.539556,
0.694658,0.549478,
0.707107,0.55367,
0.71934,0.562054,
0.731354,0.569739,
0.743145,0.572401,
0.75471,0.578769,
0.766044,0.580685,
0.777146,0.58277,
0.788011,0.590339,
0.798636,0.596239,
0.809017,0.597056,
0.819152,0.598473,
0.829038,0.598417,
0.838671,0.603788,
0.848048,0.611492,
0.857167,0.618678,
0.866025,0.621138,
0.87462,0.628586,
0.882948,0.630133,
0.891007,0.630698,
0.898794,0.632509,
0.906308,0.640521,
0.913545,0.645535,
0.920505,0.651007,
0.927184,0.654705,
0.93358,0.660235,
0.939693,0.663595,
0.945519,0.665399,
0.951057,0.670945,
0.956305,0.67188,
0.961262,0.678283,
0.965926,0.680287,
0.970296,0.682449,
0.97437,0.685186,
0.978148,0.683578,
0.981627,0.686751,
0.984808,0.685876,
0.987688,0.686133,
0.990268,0.682929,
0.992546,0.682455,
0.994522,0.681457,
0.996195,0.681916,
0.997564,0.68643,
0.99863,0.68635,
0.999391,0.692672,
0.999848,0.692147,
1,0.689017,
0.999848,0.688442,
0.999391,0.687652,
0.99863,0.688069,
0.997564,0.689362,
0.996195,0.690555,
0.994522,0.68779,
0.992546,0.684309,
0.990268,0.682259,
0.987688,0.685665,
0.984808,0.689341,
0.981627,0.692466,
0.978148,0.689539,
0.97437,0.691985,
0.970296,0.690107,
0.965926,0.687575,
0.961262,0.686371,
0.956305,0.691095,
0.951057,0.6958,
0.945519,0.6957,
0.939693,0.693797,
0.93358,0.685788,
0.927184,0.676954,
0.920505,0.676716,
0.913545,0.673178,
0.906308,0.665608,
0.898794,0.657093,
0.891007,0.652184,
