Sensor X0,Motor Y0,
0,0,
0.0174524,0.0174506,
0.0348995,0.0348853,
0.052336,0.0522882,
0.0697565,0.0696435,
0.0871557,0.0869357,
0.104528,0.104149,
0.121869,0.12127,
0.139173,0.138281,
0.156434,0.155171,
0.173648,0.171924,
0.190809,0.188527,
0.207912,0.204967,
0.224951,0.221232,
0.241922,0.23731,
0.258819,0.253191,
0.275637,0.268863,
0.292372,0.284316,
0.309017,0.299543,
0.325568,0.314533,
0.34202,0.32928,
0.358368,0.343776,
0.374607,0.358014,
0.390731,0.37199,
0.406737,0.385698,
0.422618,0.399134,
0.438371,0.412293,
0.45399,0.425174,
0.469472,0.437772,
0.48481,0.450087,
0.5,0.462117,
0.515038,0.473861,
0.529919,0.485319,
0.544639,0.496492,
0.559193,0.507378,
0.573576,0.517981,
0.587785,0.528301,
0.601815,0.53834,
0.615661,0.5481,
0.62932,0.557584,
0.642788,0.566795,
0.656059,0.575735,
0.669131,0.584408,
0.681998,0.592817,
0.694658,0.600966,
0.707107,0.608859,
0.71934,0.6165,
0.731354,0.623893,
0.743145,0.631041,
0.75471,0.63795,
0.766044,0.644623,
0.777146,0.651066,
0.788011,0.657281,
0.798636,0.663204,
0.809017,0.668904,
0.819152,0.674385,
0.829038,0.679643,
0.838671,0.684694,
0.848048,0.68954,
0.857167,0.694175,
0.866025,0.698601,
0.87462,0.702836,
0.882948,0.706874,
0.891007,0.710709,
0.898794,0.714376,
0.906308,0.717844,
0.913545,0.72111,
0.920505,0.724211,
0.927184,0.727163,
0.93358,0.729943,
0.939693,0.73249,
0.945519,0.734954,
0.951057,0.737194,
0.956305,0.739248,
0.961262,0.741211,
0.965926,0.742986,
0.970296,0.744575,
0.97437,0.746119,
0.978148,0.74737,
0.981627,0.748668,
0.984808,0.749651,
0.987688,0.750577,
0.990268,0.751275,
0.992546,0.752034,
0.994522,0.752724,
0.996195,0.752934,
0.997564,0.753098,
0.99863,0.753531,
0.999391,0.753351,
0.999848,0.753257,
1,0.753138,
0.999848,0.752753,
0.999391,0.752473,
0.99863,0.751694,
0.997564,0.751165,
0.996195,0.750371,
0.994522,0.749623,
0.992546,0.748764,
0.990268,0.747709,
0.987688,0.746307,
0.984808,0.744895,
0.981627,0.743554,
0.978148,0.741476,
0.97437,0.739938,
0.970296,0.738239,
0.965926,0.73609,
0.961262,0.733578,
0.956305,0.730742,
0.951057,0.727815,
0.945519,0.724963,
0.939693,0.722223,
0.93358,0.719,
0.927184,0.715975,
0.920505,0.712846,
0.913545,0.709607,
0.906308,0.705876,
0.898794,0.7023,
0.891007,0.698639,
0.882948,0.694246,
0.87462,0.690264,
0.866025,0.685439,
0.857167,0.681053,
0.848048,0.675887,
0.838671,0.671212,
0.829038,0.665423,
0.819152,0.660373,
0.809017,0.654616,
0.798636,0.649018,
0.788011,0.643125,
0.777146,0.636366,
0.766044,0.629472,
0.75471,0.622438,
0.743145,0.614802,
0.731354,0.6073,
0.71934,0.599404,
0.707107,0.592061,
0.694658,0.584424,
0.681998,0.57606,
0.669131,0.567994,
0.656059,0.55968,
0.642788,0.550898,
0.62932,0.541471,
0.615661,0.531293,
0.601815,0.521218,
0.587785,0.510619,
0.573576,0.500737,
0.559193,0.490404,
0.544639,0.47853,
0.529919,0.467597,
0.515038,0.455342,
0.5,0.44398,
0.48481,0.430984,
0.469472,0.419188,
0.453991,0.405819,
0.438371,0.393456,
0.422618,0.38091,
0.406737,0.366529,
0.390731,0.352501,
0.374607,0.338907,
0.358368,0.325057,
0.34202,0.310514,
0.325568,0.294828,
0.309017,0.279155,
0.292372,0.264081,
0.275637,0.248443,
0.258819,0.232553,
0.241922,0.216695,
0.224951,0.200226,
0.207912,0.184653,
0.190809,0.168112,
0.173648,0.15101,
0.156434,0.134619,
0.139173,0.116821,
0.121869,0.0996963,
0.104528,0.081915,
0.0871557,0.0642926,
0.0697565,0.0468321,
0.052336,0.0304437,
0.0348995,0.0126714,
0.0174524,-0.00527777,
3.58979e-09,-0.0233854,
-0.0174524,-0.0413226,
-0.0348995,-0.0590626,
-0.052336,-0.0769433,
-0.0697565,-0.094152,
-0.0871557,-0.111569,
-0.104528,-0.128939,
-0.121869,-0.145482,
-0.139173,-0.161722,
-0.156434,-0.17739,
-0.173648,-0.194348,
-0.190809,-0.211163,
-0.207912,-0.226229,
-0.224951,-0.242372,
-0.241922,-0.257586,
-0.258819,-0.273347,
-0.275637,-0.28818,
-0.292372,-0.303657,
-0.309017,-0.31822,
-0.325568,-0.332598,
-0.34202,-0.346588,
-0.358368,-0.360087,
-0.374607,-0.374254,
-0.390731,-0.387494,
-0.406737,-0.401156,
-0.422618,-0.41432,
-0.438371,-0.42792,
-0.45399,-0.440166,
-0.469472,-0.452545,
-0.48481,-0.464896,
-0.5,-0.476067,
-0.515038,-0.48749,
-0.529919,-0.498804,
-0.544639,-0.510325,
-0.559193,-0.520859,
-0.573576,-0.530961,
-0.587785,-0.541479,
-0.601815,-0.551152,
-0.615661,-0.559997,
-0.62932,-0.569035,
-0.642788,-0.578131,
-0.656059,-0.587248,
-0.669131,-0.595358,
-0.681998,-0.603751,
-0.694658,-0.611655,
-0.707107,-0.619307,
-0.71934,-0.626509,
-0.731354,-0.633936,
-0.743145,-0.640526,
-0.75471,-0.647375,
-0.766044,-0.653359,
-0.777146,-0.659532,
-0.788011,-0.665783,
-0.798636,-0.671782,
-0.809017,-0.677525,
-0.819152,-0.682758,
-0.829038,-0.687628,
-0.838671,-0.692725,
-0.848048,-0.697635,
-0.857167,-0.702447,
-0.866025,-0.706678,
-0.87462,-0.711114,
-0.882948,-0.71486,
-0.891007,-0.719095,
-0.898794,-0.722928,
-0.906308,-0.726552,
-0.913545,-0.729646,
-0.920505,-0.732826,
-0.927184,-0.735456,
-0.93358,-0.738088,
-0.939693,-0.741093,
-0.945519,-0.74377,
-0.951057,-0.745793,
-0.956305,-0.747694,
-0.961262,-0.749669,
-0.965926,-0.751678,
-0.970296,-0.753551,
-0.97437,-0.755342,
-0.978148,-0.756679,
-0.981627,-0.758287,
-0.984808,-0.759351,
-0.987688,-0.760327,
-0.990268,-0.761064,
-0.992546,-0.762338,
-0.994522,-0.762645,
-0.996195,-0.76354,
-0.997564,-0.763869,
-0.99863,-0.763968,
-0.999391,-0.76417,
-0.999848,-0.764681,
-1,-0.765003,
-0.999848,-0.765069,
-0.999391,-0.764957,
-0.99863,-0.764223,
-0.997564,-0.763857,
-0.996195,-0.763106,
-0.994522,-0.762569,
-0.992546,-0.762051,
-0.990268,-0.761379,
-0.987688,-0.760507,
-0.984808,-0.75889,
-0.981627,-0.757699,
-0.978148,-0.756143,
-0.97437,-0.754232,
-0.970296,-0.752748,
-0.965926,-0.751099,
-0.961262,-0.749225,
-0.956305,-0.746825,
-0.951057,-0.744394,
-0.945519,-0.741467,
-0.939693,-0.738565,
-0.93358,-0.736073,
-0.927184,-0.733066,
-0.920505,-0.729882,
-0.913545,-0.726904,
-0.906308,-0.723405,
-0.898794,-0.719557,
-0.891007,-0.715462,
-0.882948,-0.711698,
-0.87462,-0.707794,
-0.866025,-0.703119,
-0.857167,-0.69874,
-0.848048,-0.69406,
-0.838671,-0.68954,
-0.829038,-0.684691,
-0.819152,-0.679052,
-0.809017,-0.673283,
-0.798636,-0.667611,
-0.788011,-0.661314,
-0.777146,-0.654811,
-0.766044,-0.648325,
-0.75471,-0.641566,
-0.743145,-0.635276,
-0.731354,-0.628735,
-0.71934,-0.621626,
-0.707107,-0.614535,
-0.694658,-0.607171,
-0.681998,-0.599136,
-0.669131,-0.590647,
-0.656059,-0.581989,
-0.642788,-0.573417,
-0.62932,-0.564508,
-0.615661,-0.554856,
-0.601815,-0.544797,
-0.587785,-0.534352,
-0.573576,-0.523663,
-0.559193,-0.513452,
-0.544639,-0.502555,
-0.529919,-0.491262,
-0.515038,-0.47975,
-0.5,-0.467595,
-0.48481,-0.455712,
-0.469472,-0.444346,
-0.453991,-0.432101,
-0.438371,-0.419064,
-0.422618,-0.406398,
-0.406737,-0.393622,
-0.390731,-0.380117,
-0.374607,-0.365789,
-0.358368,-0.352444,
-0.34202,-0.338394,
-0.325568,-0.323909,
-0.309017,-0.308636,
-0.292372,-0.293746,
-0.275637,-0.278392,
-0.258819,-0.263552,
-0.241922,-0.24771,
-0.224951,-0.231389,
-0.207912,-0.215031,
-0.190809,-0.19926,
-0.173648,-0.183143,
-0.156434,-0.167526,
-0.139173,-0.150546,
-0.121869,-0.134505,
-0.104528,-0.116894,
-0.0871557,-0.099708,
-0.0697565,-0.0816517,
-0.052336,-0.0650411,
-0.0348995,-0.0483512,
-0.0174524,-0.0306869,
-7.17959e-09,-0.0126497,
0.0174524,0.00391921,
0.0348995,0.0207757,
0.0523359,0.0389174,
0.0697565,0.0562349,
0.0871557,0.0724536,
0.104528,0.0891556,
0.121869,0.106733,
0.139173,0.123704,
0.156434,0.139815,
0.173648,0.15727,
0.190809,0.174568,
0.207912,0.191158,
0.224951,0.207722,
0.241922,0.223424,
0.258819,0.238684,
0.275637,0.255006,
0.292372,0.271229,
0.309017,0.287144,
0.325568,0.301984,
0.34202,0.316051,
0.358368,0.330145,
0.374607,0.344466,
0.390731,0.359073,
0.406737,0.372549,
0.422618,0.385816,
0.438371,0.39892,
0.45399,0.411657,
0.469472,0.42451,
0.48481,0.437155,
0.5,0.448578,
0.515038,0.460422,
0.529919,0.472448,
0.544639,0.483486,
0.559193,0.49439,
0.573576,0.504885,
0.587785,0.515149,
0.601815,0.525656,
0.615661,0.535029,
0.62932,0.545204,
0.642788,0.555022,
0.656059,0.5634,
0.669131,0.572588,
0.681998,0.581061,
0.694658,0.589605,
0.707107,0.597092,
0.71934,0.605061,
0.731354,0.612673,
0.743145,0.619396,
0.75471,0.626574,
0.766044,0.63295,
0.777146,0.639306,
0.788011,0.64615,
0.798636,0.652487,
0.809017,0.657997,
0.819152,0.663496,
0.829038,0.668569,
0.838671,0.674013,
0.848048,0.679337,
0.857167,0.684464,
0.866025,0.688941,
0.87462,0.693748,
0.882948,0.697756,
0.891007,0.701504,
0.898794,0.705163,
0.906308,0.709157,
0.913545,0.712769,
0.920505,0.716281,
0.927184,0.719498,
0.93358,0.722732,
0.939693,0.725632,
0.945519,0.728229,
0.951057,0.731023,
0.956305,0.733263,
0.961262,0.735849,
0.965926,0.737895,
0.970296,0.739794,
0.97437,0.741621,
0.978148,0.74293,
0.981627,0.744566,
0.984808,0.745719,
0.987688,0.746849,
0.990268,0.747558,
0.992546,0.748356,
0.994522,0.748929,
0.996195,0.749464,
0.997564,0.750175,
0.99863,0.750486,
0.999391,0.751174,
0.999848,0.75131,
1,0.751066,
0.999848,0.750875,
0.999391,0.750535,
0.99863,0.750161,
0.997564,0.749749,
0.996195,0.749237,
0.994522,0.748309,
0.992546,0.747181,
0.990268,0.746018,
0.987688,0.745142,
0.984808,0.744225,
0.981627,0.743153,
0.978148,0.74143,
0.97437,0.739977,
0.970296,0.73802,
0.965926,0.735855,
0.961262,0.733658,
0.956305,0.731789,
0.951057,0.729757,
0.945519,0.727279,
0.939693,0.724665,
0.93358,0.721529,
0.927184,0.718095,
0.920505,0.715131,
0.913545,0.711837,
0.906308,0.708069,
0.898794,0.703957,
0.891007,0.699894,
0.882948,0.695969,
