Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0.777146,0.651066,0.777146,0.651066,
0.788568,0.657597,0.789123,0.657912,
0.789489,0.652287,0.780324,0.646773,
0.790995,0.648584,0.774241,0.639311,
0.792532,0.645284,0.768893,0.632809,
0.793222,0.641504,0.762966,0.626124,
0.793693,0.638335,0.757471,0.620441,
0.794882,0.636158,0.753818,0.616408,
0.796253,0.634041,0.751021,0.612901,
0.795954,0.631029,0.746043,0.608161,
0.796945,0.629466,0.743642,0.605548,
0.797958,0.62803,0.741776,0.603282,
0.797519,0.625706,0.738078,0.59982,
0.798841,0.625143,0.737496,0.598716,
0.798202,0.623138,0.734297,0.595749,
0.797579,0.621252,0.731442,0.59314,
0.798458,0.620809,0.730847,0.59233,
0.800485,0.621451,0.732116,0.592854,
0.800764,0.6208,0.731,0.591619,
0.7998,0.619003,0.728406,0.589302,
0.802189,0.620243,0.730413,0.590533,
0.802052,0.619304,0.729081,0.58921,
0.802616,0.618878,0.728734,0.588638,
0.805301,0.620387,0.731277,0.590282,
0.806512,0.620689,0.731874,0.590447,
0.80762,0.62089,0.732396,0.59058,
0.810639,0.622816,0.735518,0.592663,
0.810797,0.622249,0.734848,0.591898,
0.814132,0.624502,0.738431,0.59434,
0.814377,0.624116,0.73798,0.593747,
0.816327,0.62524,0.73986,0.594947,
0.817326,0.625527,0.740571,0.595254,
0.819707,0.627201,0.743153,0.597032,
0.820963,0.628157,0.744323,0.597811,
0.820207,0.627032,0.742939,0.596541,
0.821054,0.627306,0.743739,0.596964,
0.82283,0.628964,0.745844,0.598588,
0.821416,0.627539,0.74385,0.596945,
0.821708,0.627762,0.744158,0.597173,
0.821627,0.62793,0.744078,0.597213,
0.820672,0.627267,0.742938,0.596403,
0.820064,0.627265,0.742342,0.596191,
0.818166,0.625775,0.74018,0.594579,
0.817057,0.625481,0.739107,0.594082,
0.814933,0.624313,0.736833,0.592639,
0.812777,0.623447,0.734588,0.591407,
0.809929,0.622212,0.731537,0.589691,
0.80659,0.620595,0.727973,0.58762,
0.802888,0.618355,0.724115,0.585114,
0.588043,0.469175,0.349784,0.288223,
0.587848,0.467464,0.351623,0.284906,
0.595066,0.472363,0.374409,0.305738,
0.593476,0.470972,0.374265,0.305107,
0.581792,0.463293,0.365449,0.297653,
0.570453,0.455912,0.356902,0.291908,
0.56877,0.454352,0.360758,0.299464,
0.570672,0.454075,0.367678,0.302479,
0.571874,0.45333,0.374515,0.305398,
0.564471,0.448285,0.372224,0.305392,
0.5613,0.44594,0.373617,0.306764,
0.56005,0.44395,0.377937,0.30868,
0.553575,0.440013,0.377797,0.311007,
0.551683,0.437892,0.379016,0.309969,
0.54427,0.433309,0.377194,0.310899,
0.538735,0.430004,0.37603,0.313226,
0.536463,0.428774,0.378251,0.316386,
0.538226,0.42935,0.383853,0.317938,
0.533321,0.424308,0.383691,0.316078,
0.526226,0.421646,0.379277,0.31994,
0.525929,0.41902,0.381669,0.314655,
0.522447,0.418498,0.384105,0.321416,
0.521047,0.417654,0.387431,0.326312,
0.520688,0.416942,0.389331,0.325304,
0.519685,0.414427,0.393546,0.327035,
0.517067,0.414522,0.394071,0.331816,
0.514159,0.410031,0.391665,0.324176,
0.512992,0.412225,0.395396,0.334872,
0.505692,0.404404,0.388387,0.322214,
0.502303,0.401882,0.391029,0.327429,
0.497726,0.396079,0.388112,0.321246,
0.495812,0.394549,0.390237,0.324446,
0.486895,0.383117,0.379936,0.307227,
0.472731,0.369234,0.364716,0.289251,
0.469587,0.36821,0.367411,0.298332,
0.465438,0.365765,0.367517,0.299708,
0.446021,0.346966,0.342577,0.269629,
0.441778,0.346104,0.343632,0.278913,
0.431434,0.337509,0.333186,0.268481,
0.417879,0.32617,0.318466,0.254519,
0.406388,0.317839,0.308024,0.248489,
0.38906,0.300436,0.288467,0.225524,
0.380669,0.293536,0.284189,0.225297,
0.364842,0.276231,0.26688,0.202161,
0.350713,0.262493,0.253282,0.188915,
0.330906,0.244814,0.229551,0.165743,
0.309825,0.226121,0.204483,0.142625,
0.289989,0.205217,0.182205,0.118538,
0.277016,0.195228,0.169328,0.110408,
0.262795,0.178799,0.347097,0.277619,
0.244212,0.161146,0.150912,0.0851737,
0.238123,0.156025,0.14099,0.0813008,
0.219459,0.135719,0.132742,0.0688177,
0.202287,0.117011,0.116121,0.0448699,
0.19372,0.112026,0.0978956,0.0315387,
0.18698,0.108815,0.0893361,0.0300758,
0.182053,0.102511,0.0928182,0.0341044,
0.17435,0.093557,0.0965341,0.037168,
0.163333,0.0824874,0.0915405,0.0269259,
0.148069,0.0671929,0.0713197,0.00770508,
0.134468,0.0558439,0.060348,0.000563869,
0.119076,0.0361644,0.0446324,-0.0230959,
0.100857,0.0155627,0.0230118,-0.0429329,
0.0829363,-0.00240685,0.00497124,-0.0648043,
0.0688757,-0.0154578,-0.0173316,-0.0849582,
0.0516939,-0.0354269,-0.0397811,-0.108511,
0.034536,-0.0533616,-0.0569218,-0.123969,
0.022154,-0.064138,-0.0579487,-0.123928,
0.00574077,-0.0824186,-0.0741727,-0.150899,
-0.00679126,-0.0919787,-0.0904446,-0.153693,
-0.0236698,-0.114593,-0.0995969,-0.159767,
-0.0378459,-0.124466,-0.124605,-0.185732,
-0.0544369,-0.148981,-0.139244,-0.195776,
-0.0694489,-0.157651,-0.15077,-0.209429,
-0.0820437,-0.180016,-nan,-nan,
-0.102956,-0.196043,-0.185181,-nan,
-0.117503,-0.213137,-nan,-nan,
-0.13743,-0.227009,-0.217678,-nan,
-0.152851,-0.238938,-0.236103,-nan,
-0.167451,-0.254522,-0.245861,-nan,
-0.181854,-0.269732,-0.260678,-nan,
-0.195707,-0.280514,-0.259856,-nan,
-0.208519,-0.294898,-0.26302,-nan,
-0.223472,-0.307917,-0.288505,-nan,
-0.237465,-0.326321,-0.281871,-nan,
-0.259899,-0.346932,-0.315493,-nan,
-0.281988,-0.362713,-0.353577,-nan,
-0.29867,-0.380214,-0.369955,-nan,
-0.322428,-0.398254,-0.396886,-nan,
-0.344313,-0.411542,-0.427919,-nan,
-0.363029,-0.426306,-0.437629,-nan,
-0.37647,-0.435948,-0.462505,-nan,
-0.391519,-0.446426,-0.461952,-nan,
-0.406426,-0.457384,-0.47803,-nan,
-0.42905,-0.476827,-0.497462,-nan,
-0.450569,-0.492696,-0.52319,-nan,
-0.460234,-0.494654,-0.53162,-nan,
-0.483026,-0.515432,-0.571612,-nan,
-0.494888,-0.520103,-0.575614,-nan,
-0.517919,-0.538511,-0.596597,-nan,
-0.526876,-0.540159,-0.624589,-nan,
-0.552513,-0.559171,-0.628785,-nan,
-0.562399,-0.562978,-0.63767,-nan,
-0.586626,-0.580386,-0.68751,-nan,
-0.609982,-0.595816,-0.726209,-nan,
-0.621318,-0.599581,-0.735558,-nan,
-0.63756,-0.611852,-0.741266,-nan,
-0.659974,-0.626054,-0.761634,-nan,
-0.682224,-0.63918,-0.778902,-nan,
-0.701325,-0.649847,-0.813691,-nan,
-0.715683,-0.654838,-nan,-nan,
