Sensor X0,Motor Y0,
0,0,
0.0174524,0.0174506,
0.0348995,0.0348853,
0.052336,0.0522882,
0.0697565,0.0696435,
0.0871557,0.0869357,
0.104528,0.104149,
0.121869,0.12127,
0.139173,0.138281,
0.156434,0.155171,
0.173648,0.171924,
0.190809,0.188527,
0.207912,0.204967,
0.224951,0.221232,
0.241922,0.23731,
0.258819,0.253191,
0.275637,0.268863,
0.292372,0.284316,
0.309017,0.299543,
0.325568,0.314533,
0.34202,0.32928,
0.358368,0.343776,
0.374607,0.358014,
0.390731,0.37199,
0.406737,0.385698,
0.422618,0.399134,
0.438371,0.412293,
0.45399,0.425174,
0.469472,0.437772,
0.48481,0.450087,
0.5,0.462117,
0.515038,0.473861,
0.529919,0.485319,
0.544639,0.496492,
0.559193,0.507378,
0.573576,0.517981,
0.587785,0.528301,
0.601815,0.53834,
0.615661,0.5481,
0.62932,0.557584,
0.642788,0.566795,
0.656059,0.575735,
0.669131,0.584408,
0.681998,0.592817,
0.694658,0.600966,
0.707107,0.608859,
0.71934,0.6165,
0.731354,0.623893,
0.743145,0.631041,
0.75471,0.63795,
0.766044,0.644623,
0.777146,0.651066,
0.788011,0.657281,
0.798636,0.657462,
0.809017,0.658022,
0.819152,0.658041,
0.829038,0.658167,
0.838671,0.658013,
0.848048,0.657835,
0.857167,0.657625,
0.866025,0.657325,
0.87462,0.656478,
0.882948,0.655973,
0.891007,0.655672,
0.898794,0.655138,
0.906308,0.653887,
0.913545,0.653314,
0.920505,0.6529,
0.927184,0.651739,
0.93358,0.652084,
0.939693,0.651398,
0.945519,0.650074,
0.951057,0.649592,
0.956305,0.650495,
0.961262,0.650947,
0.965926,0.649379,
0.970296,0.650631,
0.97437,0.649934,
0.978148,0.648824,
0.981627,0.649661,
0.984808,0.649715,
0.987688,0.649199,
0.990268,0.650669,
0.992546,0.649515,
0.994522,0.651288,
0.996195,0.650491,
0.997564,0.650857,
0.99863,0.650135,
0.999391,0.651409,
0.999848,0.652941,
1,0.650828,
0.999848,0.649633,
0.999391,0.651682,
0.99863,0.649526,
0.997564,0.649034,
0.996195,0.649157,
0.994522,0.648052,
0.992546,0.64837,
0.990268,0.646024,
0.987688,0.645938,
0.984808,0.644836,
0.981627,0.644642,
0.978148,0.644432,
0.97437,0.64369,
0.970296,0.641407,
0.965926,0.639657,
0.961262,0.638866,
0.956305,0.633968,
0.951057,0.633124,
0.945519,0.631725,
0.939693,0.627724,
0.93358,0.622116,
0.927184,0.615654,
0.920505,0.609679,
0.913545,0.604901,
0.906308,0.601492,
0.898794,0.595907,
0.891007,0.592169,
0.882948,0.588599,
0.87462,0.585064,
0.866025,0.579148,
0.857167,0.574924,
0.848048,0.570778,
0.838671,0.562658,
0.829038,0.558194,
0.819152,0.549139,
0.809017,0.544043,
0.798636,0.53481,
0.788011,0.529804,
0.777146,0.518634,
0.766044,0.513428,
0.75471,0.504521,
0.743145,0.497656,
0.731354,0.489855,
0.71934,0.477821,
0.707107,0.466508,
0.694658,0.455571,
0.681998,0.442177,
0.669131,0.430739,
0.656059,0.418031,
0.642788,0.40982,
0.62932,0.401229,
0.615661,0.389585,
0.601815,0.381012,
0.587785,0.372347,
0.573576,0.362286,
0.559193,0.349727,
0.544639,0.334045,
0.529919,0.320302,
0.515038,0.304787,
0.5,0.294765,
0.48481,0.283727,
0.469472,0.26521,
0.453991,0.253266,
0.438371,0.235198,
0.422618,0.22341,
0.406737,0.20387,
0.390731,0.192191,
0.374607,0.173238,
0.358368,0.160999,
0.34202,0.149491,
0.325568,0.129514,
0.309017,0.112157,
0.292372,0.0984006,
0.275637,0.0848811,
0.258819,0.069227,
0.241922,0.0484581,
0.224951,0.0282676,
0.207912,0.0120882,
0.190809,-0.00595144,
0.173648,-0.0244033,
0.156434,-0.0418108,
0.139173,-0.0614891,
0.121869,-0.0757415,
0.104528,-0.0940068,
0.0871557,-0.114347,
0.0697565,-0.130331,
0.052336,-0.152732,
0.0348995,-0.170374,
0.0174524,-0.190392,
3.58979e-09,-0.207922,
-0.0174524,-0.223719,
-0.0348995,-0.234436,
-0.052336,-0.253062,
-0.0697565,-0.271064,
-0.0871557,-0.2888,
-0.104528,-0.304922,
-0.121869,-0.320001,
-0.139173,-0.335918,
-0.156434,-0.349285,
-0.173648,-0.364114,
-0.190809,-0.379092,
-0.207912,-0.391185,
-0.224951,-0.402699,
-0.241922,-0.412568,
-0.258819,-0.427997,
-0.275637,-0.442825,
-0.292372,-0.451351,
-0.309017,-0.464744,
-0.325568,-0.474706,
-0.34202,-0.487345,
-0.358368,-0.496875,
-0.374607,-0.50942,
-0.390731,-0.519083,
-0.406737,-0.528562,
-0.422618,-0.537024,
-0.438371,-0.543921,
-0.45399,-0.553728,
-0.469472,-0.56084,
-0.48481,-0.570112,
-0.5,-0.578553,
-0.515038,-0.589664,
-0.529919,-0.596383,
-0.544639,-0.604162,
-0.559193,-0.613124,
-0.573576,-0.618248,
-0.587785,-0.625056,
-0.601815,-0.633221,
-0.615661,-0.643475,
-0.62932,-0.65015,
-0.642788,-0.655929,
-0.656059,-0.664827,
-0.669131,-0.670923,
-0.681998,-0.674408,
-0.694658,-0.68001,
-0.707107,-0.687771,
-0.71934,-0.696368,
-0.731354,-0.70049,
-0.743145,-0.707537,
-0.75471,-0.712909,
-0.766044,-0.718183,
-0.777146,-0.72229,
-0.788011,-0.728795,
-0.798636,-0.731554,
-0.809017,-0.737339,
-0.819152,-0.739255,
-0.829038,-0.744034,
-0.838671,-0.749946,
-0.848048,-0.754591,
-0.857167,-0.758551,
-0.866025,-0.760653,
-0.87462,-0.76228,
-0.882948,-0.766622,
-0.891007,-0.770183,
-0.898794,-0.773862,
-0.906308,-0.774721,
-0.913545,-0.778464,
-0.920505,-0.778289,
-0.927184,-0.783021,
-0.93358,-0.784905,
-0.939693,-0.786752,
-0.945519,-0.786045,
-0.951057,-0.787602,
-0.956305,-0.786159,
-0.961262,-0.786574,
-0.965926,-0.790692,
-0.970296,-0.792405,
-0.97437,-0.790507,
-0.978148,-0.78965,
-0.981627,-0.790653,
-0.984808,-0.792859,
-0.987688,-0.79464,
-0.990268,-0.796536,
-0.992546,-0.79574,
-0.994522,-0.798294,
-0.996195,-0.797065,
-0.997564,-0.796612,
-0.99863,-0.795297,
-0.999391,-0.799063,
-0.999848,-0.795559,
-1,-0.798241,
-0.999848,-0.797045,
-0.999391,-0.795272,
-0.99863,-0.795186,
-0.997564,-0.798322,
-0.996195,-0.80055,
-0.994522,-0.801593,
-0.992546,-0.801954,
-0.990268,-0.797767,
-0.987688,-0.798244,
-0.984808,-0.795572,
-0.981627,-0.795474,
-0.978148,-0.794633,
-0.97437,-0.790493,
-0.970296,-0.783891,
-0.965926,-0.773154,
-0.961262,-0.769735,
-0.956305,-0.764766,
-0.951057,-0.759175,
-0.945519,-0.757927,
-0.939693,-0.756016,
-0.93358,-0.7533,
-0.927184,-0.748386,
-0.920505,-0.744609,
-0.913545,-0.738941,
-0.906308,-0.734576,
-0.898794,-0.733368,
-0.891007,-0.72958,
-0.882948,-0.725519,
-0.87462,-0.72352,
-0.866025,-0.718968,
-0.857167,-0.713227,
-0.848048,-0.70702,
-0.838671,-0.703766,
-0.829038,-0.700418,
-0.819152,-0.693152,
-0.809017,-0.688831,
-0.798636,-0.683507,
-0.788011,-0.680162,
-0.777146,-0.675611,
-0.766044,-0.667108,
-0.75471,-0.659133,
-0.743145,-0.652834,
-0.731354,-0.643705,
-0.71934,-0.634355,
-0.707107,-0.626025,
-0.694658,-0.617022,
-0.681998,-0.612045,
-0.669131,-0.607112,
-0.656059,-0.600058,
-0.642788,-0.594421,
-0.62932,-0.588437,
-0.615661,-0.579537,
-0.601815,-0.569134,
-0.587785,-0.559066,
-0.573576,-0.550904,
-0.559193,-0.542039,
-0.544639,-0.52995,
-0.529919,-0.516745,
-0.515038,-0.502366,
-0.5,-0.487428,
-0.48481,-0.476441,
-0.469472,-0.462634,
-0.453991,-0.447398,
-0.438371,-0.431808,
-0.422618,-0.413301,
-0.406737,-0.397993,
-0.390731,-0.388607,
-0.374607,-0.374903,
-0.358368,-0.357545,
-0.34202,-0.344735,
-0.325568,-0.332966,
-0.309017,-0.317548,
-0.292372,-0.298348,
-0.275637,-0.288264,
-0.258819,-0.274226,
-0.241922,-0.258631,
-0.224951,-0.239301,
-0.207912,-0.224913,
-0.190809,-0.208723,
-0.173648,-0.197498,
-0.156434,-0.179652,
-0.139173,-0.160347,
-0.121869,-0.142911,
-0.104528,-0.131008,
-0.0871557,-0.116509,
-0.0697565,-0.105929,
-0.052336,-0.0860032,
-0.0348995,-0.0738678,
-0.0174524,-0.0512109,
-7.17959e-09,-0.0331588,
0.0174524,-0.0102855,
0.0348995,0.000471799,
0.0523359,0.0131614,
0.0697565,0.0328381,
0.0871557,0.0539401,
0.104528,0.0638256,
0.121869,0.0774476,
0.139173,0.10002,
0.156434,0.115822,
0.173648,0.124623,
0.190809,0.138469,
0.207912,0.158534,
0.224951,0.174482,
0.241922,0.185267,
0.258819,0.206392,
0.275637,0.226364,
0.292372,0.241474,
0.309017,0.257269,
0.325568,0.26817,
0.34202,0.278083,
0.358368,0.296774,
0.374607,0.315196,
0.390731,0.332138,
0.406737,0.342897,
0.422618,0.350428,
0.438371,0.360301,
0.45399,0.373046,
0.469472,0.389101,
0.48481,0.399113,
0.5,0.40934,
0.515038,0.419986,
0.529919,0.429697,
0.544639,0.441708,
0.559193,0.454011,
0.573576,0.459877,
0.587785,0.46978,
0.601815,0.482459,
0.615661,0.490502,
0.62932,0.499038,
0.642788,0.506279,
0.656059,0.513238,
0.669131,0.523204,
0.681998,0.527335,
0.694658,0.537727,
0.707107,0.548071,
0.71934,0.550742,
0.731354,0.559125,
0.743145,0.564768,
0.75471,0.572166,
0.766044,0.574002,
0.777146,0.579454,
0.788011,0.584482,
0.798636,0.584465,
0.809017,0.5885,
0.819152,0.589209,
0.829038,0.590884,
0.838671,0.600464,
0.848048,0.607483,
0.857167,0.608587,
0.866025,0.611188,
0.87462,0.612421,
0.882948,0.619808,
0.891007,0.628117,
0.898794,0.635405,
0.906308,0.637562,
0.913545,0.645198,
0.920505,0.646118,
0.927184,0.64632,
0.93358,0.647714,
0.939693,0.655071,
0.945519,0.659151,
0.951057,0.663864,
0.956305,0.666844,
0.961262,0.671722,
0.965926,0.674507,
0.970296,0.67572,
0.97437,0.680678,
0.978148,0.681103,
0.981627,0.687035,
0.984808,0.688851,
0.987688,0.690873,
0.990268,0.69355,
0.992546,0.691884,
0.994522,0.694928,
0.996195,0.693905,
0.997564,0.693867,
0.99863,0.690011,
0.999391,0.688165,
0.999848,0.684894,
1,0.682671,
0.999848,0.684527,
0.999391,0.682697,
0.99863,0.68738,
0.997564,0.686052,
0.996195,0.681696,
0.994522,0.679608,
0.992546,0.677364,
0.990268,0.676426,
0.987688,0.676591,
0.984808,0.676811,
0.981627,0.672927,
0.978148,0.668113,
0.97437,0.6648,
0.970296,0.667464,
0.965926,0.670588,
0.961262,0.673053,
0.956305,0.669015,
0.951057,0.670432,
0.945519,0.66735,
0.939693,0.663331,
0.93358,0.660515,
0.927184,0.663986,
0.920505,0.668211,
0.913545,0.669535,
0.906308,0.670638,
0.898794,0.665598,
0.891007,0.658099,
