Sensor X0,Motor Y0,
0.0804689,0.0802956,
0.0964866,0.0961883,
0.13485,0.134038,
0.138058,0.137188,
0.262046,0.256209,
0.321398,0.31077,
0.342861,0.330029,
0.252895,0.247638,
0.338891,0.326487,
0.29677,0.288354,
0.170997,0.16935,
0.0848267,0.0846238,
0.186357,0.18423,
0.123039,0.122422,
0.129708,0.128986,
0.270818,0.264386,
0.345793,0.33264,
0.413614,0.391537,
0.508996,0.469162,
0.4249,0.40105,
0.526758,0.482899,
0.617697,0.549523,
0.425339,0.401419,
0.450387,0.422217,
0.376885,0.359999,
0.216006,0.212708,
0.0816369,0.081456,
0.222646,0.219039,
0.324315,0.313403,
0.325331,0.314319,
0.392394,0.373422,
0.423739,0.400076,
0.26186,0.256035,
0.385585,0.367548,
0.433834,0.40852,
0.48008,0.446308,
0.402523,0.382105,
0.281898,0.27466,
0.388683,0.370224,
0.319325,0.308897,
0.426909,0.402735,
0.458736,0.429053,
0.455645,0.426528,
0.534131,0.488533,
0.615724,0.548143,
0.642574,0.566649,
0.689941,0.597944,
0.512692,0.47204,
0.598078,0.535681,
0.649999,0.571669,
0.551255,0.501461,
0.435778,0.410139,
0.352376,0.338481,
0.256313,0.250644,
0.183515,0.181059,
0.156009,0.154136,
0.276178,0.268808,
0.156631,0.154018,
0.232161,0.226732,
0.357234,0.341916,
0.306873,0.295576,
0.256175,0.24816,
0.167839,0.163022,
0.0863457,0.0819068,
0.151551,0.146501,
0.234542,0.227135,
0.300656,0.289345,
0.424376,0.399511,
0.40598,0.383475,
0.305493,0.293199,
0.362995,0.345296,
0.485518,0.449125,
0.527045,0.480422,
0.370892,0.349308,
0.222778,0.209867,
0.121263,0.107577,
0.20348,0.1894,
0.266074,0.249539,
0.146881,0.132957,
0.0442554,0.0291228,
-0.0832366,-0.101053,
-0.234836,-0.251408,
-0.379709,-0.383755,
-0.256834,-0.270638,
-0.366526,-0.370936,
-0.403429,-0.403083,
-0.307175,-0.31683,
-0.301085,-0.31084,
-0.325068,-0.333141,
-0.453249,-0.445066,
-0.367878,-0.37055,
-0.222882,-0.234638,
-0.121354,-0.132691,
-0.0940181,-0.104195,
-0.0298546,-0.0383489,
0.0892641,0.0849457,
0.184257,0.182234,
0.255377,0.253466,
0.398545,0.38707,
0.386247,0.374826,
0.473829,0.450708,
0.323807,0.318072,
0.242486,0.237816,
0.156557,0.151084,
0.0961439,0.0882013,
0.00762968,-0.00411148,
0.0358102,0.0255124,
0.070852,0.0619868,
0.203426,0.197839,
0.211671,0.205581,
0.0895656,0.0804721,
0.108234,0.100019,
0.0852947,0.0761467,
0.180452,0.174292,
0.0252613,0.0127219,
0.0422663,0.0310056,
-0.0488269,-0.0645185,
-0.0696334,-0.0864673,
-0.144981,-0.164379,
-0.259612,-0.279075,
-0.416816,-0.423719,
-0.364924,-0.375773,
-0.334481,-0.347641,
-0.442254,-0.44348,
-0.405332,-0.410667,
-0.462155,-0.458948,
-0.548284,-0.527435,
-0.472008,-0.466321,
-0.539141,-0.519568,
-0.643275,-0.595058,
-0.481843,-0.468958,
-0.590836,-0.552993,
-0.594512,-0.553028,
-0.525065,-0.49921,
-0.562577,-0.527562,
-0.591048,-0.54965,
-0.642725,-0.58501,
-0.733936,-0.644233,
-0.694789,-0.616975,
-0.636025,-0.575311,
-0.449632,-0.427065,
-0.367342,-0.351688,
-0.295952,-0.284408,
-0.202126,-0.188101,
-0.0632196,-0.039851,
-0.128787,-0.107626,
-0.0932131,-0.0725057,
0.048974,0.080861,
0.193055,0.230704,
0.253564,0.287819,
0.219992,0.256042,
0.253762,0.28837,
0.393053,0.418246,
0.355562,0.381596,
0.43685,0.454307,
0.346025,0.373583,
0.37131,0.397344,
0.46462,0.476471,
0.393061,0.41377,
0.300147,0.325112,
0.283245,0.307008,
0.436577,0.449494,
0.486122,0.491318,
0.586756,0.568823,
0.519315,0.515186,
0.562836,0.548843,
0.476515,0.47799,
0.349754,0.362483,
0.406646,0.412199,
0.34868,0.356873,
0.234217,0.242798,
0.373147,0.377567,
0.307206,0.313458,
0.391991,0.392886,
0.290068,0.29675,
0.33445,0.339174,
0.251527,0.256554,
0.234413,0.24026,
0.208576,0.210956,
0.15876,0.159444,
0.201041,0.206406,
0.157879,0.16263,
0.0534526,0.0488623,
-0.0995151,-0.11623,
-0.0339139,-0.0474039,
-0.163004,-0.184338,
-0.118036,-0.139936,
-0.155205,-0.176574,
-0.114201,-0.135338,
-0.14317,-0.164258,
-0.286082,-0.313941,
-0.349072,-0.376371,
-0.329235,-0.355856,
-0.466345,-0.481923,
-0.615897,-0.597579,
-0.513318,-0.515833,
-0.533065,-0.532146,
-0.505255,-0.509031,
-0.500061,-0.50388,
-0.545305,-0.540775,
-0.424158,-0.439799,
-0.538852,-0.533094,
-0.525369,-0.520119,
-0.49126,-0.49344,
-0.394498,-0.410139,
-0.530488,-0.522204,
-0.621309,-0.588066,
-0.670419,-0.620034,
-0.682786,-0.626691,
-0.513208,-0.499278,
-0.404805,-0.400612,
-0.539714,-0.517298,
-0.433821,-0.424551,
-0.32372,-0.319274,
-0.402971,-0.394766,
-0.361034,-0.355118,
-0.302737,-0.296485,
-0.230646,-0.222421,
-0.252064,-0.244193,
-0.263991,-0.256708,
-0.290983,-0.284354,
-0.387937,-0.37957,
-0.525196,-0.500898,
-0.536248,-0.507726,
-0.436504,-0.420955,
-0.376058,-0.363,
-0.237123,-0.222186,
-0.12925,-0.105343,
-0.161758,-0.14107,
-0.289268,-0.276442,
-0.173269,-0.152311,
-0.109503,-0.0820039,
-0.111791,-0.0844843,
-0.0188242,0.0189934,
0.0723371,0.120122,
-0.0200102,0.0178203,
0.0735369,0.12106,
0.156747,0.211805,
0.232155,0.290535,
0.142247,0.196276,
0.124747,0.176473,
0.283739,0.342251,
0.294658,0.352765,
0.466468,0.509086,
0.453055,0.495752,
0.401631,0.450772,
0.45181,0.494163,
0.54686,0.570791,
0.478124,0.515334,
0.577154,0.592391,
0.60661,0.61287,
0.742615,0.699355,
0.827328,0.739417,
0.869443,0.751955,
0.767726,0.685529,
0.775422,0.689916,
0.718265,0.652205,
0.800795,0.701885,
0.649248,0.59832,
0.625067,0.577584,
0.655381,0.599589,
0.688063,0.622597,
0.65391,0.596987,
0.497073,0.471871,
0.581396,0.538114,
0.587439,0.543203,
0.576797,0.534533,
0.578213,0.535853,
0.430355,0.407763,
0.267652,0.243111,
0.248556,0.220099,
0.224614,0.197044,
0.193987,0.163843,
0.0283931,-0.0216224,
-0.0562249,-0.117198,
-0.131561,-0.197312,
-0.223388,-0.292856,
-0.320826,-0.387459,
-0.32218,-0.389311,
-0.295427,-0.363987,
-0.379965,-0.443118,
-0.294568,-0.361307,
-0.489029,-0.535404,
-0.506221,-0.547006,
-0.631069,-0.638649,
-0.511596,-0.551551,
-0.562696,-0.587652,
-0.482477,-0.526605,
-0.391932,-0.447172,
-0.367068,-0.420766,
-0.409744,-0.45888,
-0.465614,-0.507815,
-0.517964,-0.551032,
-0.410849,-0.460289,
-0.472878,-0.513418,
-0.433484,-0.480502,
-0.553226,-0.577157,
-0.438106,-0.481042,
-0.510328,-0.540175,
-0.52384,-0.550309,
-0.643001,-0.63714,
-0.679108,-0.657477,
-0.53252,-0.55103,
-0.519067,-0.538896,
-0.655963,-0.639534,
-0.729833,-0.682338,
-0.65453,-0.630357,
-0.601455,-0.592789,
-0.574527,-0.572643,
-0.649855,-0.62743,
-0.674277,-0.642729,
-0.515622,-0.523887,
-0.442681,-0.45874,
-0.328758,-0.351117,
-0.366722,-0.387915,
-0.299346,-0.320979,
-0.181274,-0.196756,
-0.25889,-0.279133,
-0.319325,-0.340639,
-0.266348,-0.286322,
-0.354426,-0.375045,
-0.488348,-0.497619,
-0.460661,-0.472181,
-0.344819,-0.363555,
-0.42887,-0.443256,
-0.532363,-0.5327,
-0.629829,-0.606814,
-0.688548,-0.645881,
-0.791722,-0.707807,
-0.82181,-0.718819,
-0.674255,-0.621613,
-0.741356,-0.665712,
-0.794545,-0.695263,
-0.696334,-0.628671,
-0.690717,-0.624219,
-0.500502,-0.473925,
-0.566712,-0.526787,
-0.547234,-0.511271,
-0.435256,-0.410737,
-0.261346,-0.231704,
-0.22464,-0.187509,
-0.138972,-0.0931235,
-0.144839,-0.10139,
-0.0573765,-0.000753793,
-0.135703,-0.0907624,
0.000236649,0.0647016,
0.119278,0.196978,
0.14086,0.21991,
0.15929,0.239212,
0.145932,0.224759,
0.0907912,0.165605,
0.0627873,0.134556,
0.0254072,0.0916519,
-0.0409324,0.0147838,
0.148434,0.230307,
0.357873,0.44332,
0.370411,0.453753,
0.354404,0.43854,
0.431447,0.506215,
0.634035,0.659161,
0.683836,0.687693,
0.605264,0.637157,
0.677232,0.682624,
0.53762,0.585522,
0.539785,0.585031,
0.59182,0.623191,
0.565342,0.603802,
0.647343,0.660525,
0.591231,0.621301,
0.571168,0.606897,
0.684659,0.683214,
0.738286,0.713386,
0.816923,0.753843,
0.784071,0.730011,
0.780399,0.727866,
0.832266,0.754042,
0.68091,0.66402,
0.668334,0.652232,
0.685655,0.663728,
0.760127,0.709567,
0.780591,0.718713,
0.676696,0.654083,
0.511242,0.528204,
0.52438,0.533754,
0.596233,0.592186,
0.594408,0.590227,
0.463705,0.482522,
0.477617,0.495157,
0.358176,0.38256,
0.306018,0.330352,
0.363725,0.386147,
0.524617,0.53438,
0.434208,0.45347,
0.530654,0.538925,
0.391019,0.415432,
0.48637,0.503694,
0.630466,0.616091,
0.702384,0.666295,
0.546739,0.552825,
0.474621,0.494104,
0.372617,0.403094,
0.336258,0.36528,
0.496594,0.517633,
0.396638,0.430341,
0.533923,0.546521,
0.60426,0.598318,
0.578637,0.578497,
0.525692,0.536086,
0.425079,0.444713,
0.408112,0.427234,
0.475197,0.487818,
0.602023,0.592432,
0.505691,0.513745,
0.522411,0.526102,
0.659069,0.632447,
0.519073,0.519113,
0.523594,0.52181,
0.43528,0.443167,
