Sensor X0,Motor Y0,
0.0651891,0.0650969,
0.0320907,0.0320797,
-0.077134,-0.0769814,
0.091253,0.0910006,
-0.0297167,-0.0297079,
-0.117357,-0.116822,
-0.0845229,-0.0843222,
0.101734,0.101384,
-0.0611905,-0.0611143,
0.00728616,0.00728603,
0.141833,0.140889,
0.0814073,0.081228,
0.0809742,0.0807976,
0.117459,0.116922,
-0.0442625,-0.0442336,
0.125708,0.12505,
0.134798,0.133988,
-0.124183,-0.123549,
0.0489681,0.048929,
-0.0453321,-0.0453011,
-0.143993,-0.143006,
-0.131071,-0.130326,
0.14119,0.140259,
0.105276,0.104889,
0.0119281,0.0119275,
0.0780746,0.0779164,
0.0503171,0.0502747,
-0.138216,-0.137342,
0.129551,0.128831,
0.0662857,0.0661888,
0.0715603,0.0714384,
-0.0437854,-0.0437574,
-0.100208,-0.0998737,
0.114023,0.113531,
-0.0508989,-0.050855,
0.118012,0.117467,
0.056001,0.0559425,
0.026592,0.0265858,
0.107603,0.10719,
0.127191,0.126509,
0.0944301,0.0941504,
0.123292,0.122671,
-0.0852525,-0.0850466,
0.126038,0.125375,
0.114319,0.113823,
-0.020414,-0.0204111,
-0.0656822,-0.0655879,
-0.0577626,-0.0576985,
-0.082168,-0.0819836,
-0.0671296,-0.0670289,
-0.0250496,-0.0250444,
0.122041,0.121439,
-0.112177,-0.111709,
0.0781426,0.0779955,
0.130501,0.129783,
-0.0350435,-0.0350274,
-0.0394009,-0.0393776,
-0.0803215,-0.080152,
-0.0766762,-0.076527,
0.0696446,0.0695494,
0.0880411,0.0878327,
0.0735214,0.0734059,
0.135031,0.134242,
0.00646901,0.00647453,
-0.0779813,-0.0778347,
0.0697963,0.0696978,
0.140222,0.139336,
0.0779205,0.077783,
-0.109529,-0.109116,
-0.12653,-0.125876,
-0.0886035,-0.0883862,
0.0959032,0.0956388,
0.0766743,0.0765512,
-0.102658,-0.102332,
-0.0887014,-0.0885003,
-0.112359,-0.11193,
-0.133783,-0.133034,
-0.128301,-0.127621,
0.126921,0.126287,
-0.0958883,-0.0956343,
-0.0324929,-0.0324959,
0.0959085,0.0956579,
0.0157455,0.0157491,
-0.0142272,-0.014236,
-0.120108,-0.119589,
0.0771881,0.0770735,
0.147669,0.146672,
0.113284,0.112851,
0.038673,0.038672,
0.0743409,0.074234,
0.127613,0.126982,
0.0993113,0.0990284,
0.0731434,0.0730422,
0.145079,0.144135,
-0.000822444,-0.000830776,
0.0990036,0.0987262,
-0.126902,-0.126304,
-0.0755868,-0.0754864,
-0.0812589,-0.081126,
-0.0549399,-0.0549195,
-0.0805716,-0.080451,
0.0399217,0.0399223,
0.0453396,0.0453371,
0.14144,0.140588,
0.0138321,0.0138398,
-0.116016,-0.115577,
0.027762,0.0277786,
-0.0147247,-0.0147379,
0.104305,0.103998,
-0.149031,-0.148048,
0.0295444,0.0295789,
-0.0798325,-0.0797112,
-0.00511492,-0.00510736,
-0.0585133,-0.0584758,
-0.0952333,-0.0950082,
-0.137741,-0.136978,
0.0587951,0.0587944,
0.041292,0.0413072,
-0.0946133,-0.0944013,
0.0381474,0.0381816,
-0.0514877,-0.0514707,
-0.0893362,-0.0891553,
0.055427,0.0554365,
-0.0728204,-0.0727508,
-0.123707,-0.123193,
0.113215,0.112857,
-0.121878,-0.121418,
-0.0415197,-0.0415266,
0.0279634,0.0280057,
-0.0633667,-0.0633246,
-0.0634862,-0.0634692,
-0.0930747,-0.0928692,
-0.148926,-0.147965,
-0.0505563,-0.0505747,
-0.0190509,-0.0190339,
0.125679,0.125184,
0.0597226,0.059706,
0.0557357,0.0557404,
0.082282,0.0822188,
0.124882,0.124401,
-0.0889355,-0.0887805,
0.0144126,0.0144297,
0.12148,0.121061,
0.112194,0.111867,
0.0228599,0.0228729,
-0.0678266,-0.0677733,
-0.00228035,-0.00227519,
0.104683,0.104438,
-0.062684,-0.0626886,
0.0552535,0.0552909,
-0.108283,-0.107982,
-0.00227348,-0.00223897,
0.0672756,0.0672554,
-0.0834103,-0.0833125,
-0.113622,-0.11329,
-0.0418672,-0.0418911,
0.129569,0.129064,
0.0366286,0.036698,
0.0954383,0.095291,
-0.0495085,-0.0495343,
0.0476493,0.0477003,
-0.0723282,-0.0723191,
-0.128236,-0.127737,
0.0441622,0.0442006,
-0.0635191,-0.0635289,
-0.122655,-0.122216,
0.130348,0.129827,
-0.0703616,-0.0703422,
0.0785333,0.0784995,
-0.102818,-0.10259,
0.0376996,0.0377526,
-0.0876469,-0.0875584,
-0.0221402,-0.0221418,
-0.0316835,-0.031736,
-0.052196,-0.052211,
0.0415962,0.0416863,
-0.0485271,-0.0485337,
-0.109178,-0.108928,
-0.148377,-0.147515,
0.0823159,0.0822652,
-0.1156,-0.115263,
0.0663017,0.0663108,
-0.0152685,-0.0152675,
0.0623727,0.0624043,
-0.00783181,-0.00782849,
-0.121824,-0.121451,
-0.0351312,-0.035179,
0.047136,0.0472111,
-0.110489,-0.110255,
-0.133973,-0.133416,
0.0842605,0.0842466,
-0.0172319,-0.0172773,
0.026891,0.0269499,
0.00896977,0.00900067,
-0.0414249,-0.0414874,
0.116617,0.116325,
-0.0990539,-0.0989196,
0.00772413,0.0077568,
0.0288589,0.0289029,
0.0989425,0.0988058,
-0.120349,-0.119983,
-0.0991051,-0.0989721,
-0.0823527,-0.0823078,
-0.0627514,-0.0627889,
0.113483,0.113248,
0.0944726,0.094412,
-0.139102,-0.138505,
0.0834772,0.0834981,
0.100831,0.100721,
-0.0836972,-0.0836921,
0.0337326,0.0337949,
0.0523816,0.0524907,
0.0658385,0.0658968,
-0.0296437,-0.0296948,
-0.0197974,-0.0198364,
-0.0342755,-0.0343197,
-0.103583,-0.103429,
-0.145626,-0.144923,
-0.0353499,-0.0354073,
0.0712223,0.0712764,
0.0448977,0.0449961,
0.125877,0.125539,
0.0929356,0.0929158,
-0.0564149,-0.0564618,
-0.148199,-0.147447,
0.103173,0.103081,
0.0428078,0.0428955,
-0.0297873,-0.029853,
0.0656602,0.0657536,
0.0533437,0.0534076,
-0.140132,-0.139586,
0.0557165,0.0557927,
0.0356875,0.035788,
0.0203493,0.0203736,
-0.148287,-0.147585,
-0.0715289,-0.0715629,
0.107267,0.107129,
-0.0475937,-0.0476609,
0.113703,0.113534,
-0.0560311,-0.056095,
-0.0941206,-0.0941038,
0.0010383,0.00106813,
0.0526962,0.0528237,
-0.0926665,-0.0926493,
0.06182,0.0619476,
0.0142191,0.0142848,
0.129745,0.129366,
0.127973,0.127639,
0.130026,0.12966,
0.0157705,0.0158486,
0.0898937,0.0899268,
0.0283492,0.0284348,
0.14859,0.147945,
-0.0526376,-0.0527139,
0.026747,0.0268287,
0.0777971,0.0778823,
0.088473,0.0884809,
0.0313136,0.0313926,
-0.0999136,-0.0998473,
0.109526,0.10943,
0.0493243,0.0494175,
0.0335942,0.0336801,
0.0436804,0.043777,
-0.105497,-0.105417,
-0.140111,-0.139599,
0.0054452,0.00548027,
0.00451472,0.00450048,
-0.003057,-0.00306796,
-0.13545,-0.135008,
-0.0346025,-0.0346824,
-0.0143633,-0.0144242,
-0.0260767,-0.0261616,
-0.02797,-0.0280726,
0.065279,0.0653898,
0.0938841,0.0938977,
-0.0159772,-0.016025,
0.148549,0.147882,
-0.127722,-0.127419,
0.0291839,0.0292635,
-0.0840636,-0.0841212,
0.127054,0.126788,
-0.0111443,-0.0111882,
0.105176,0.10514,
0.134673,0.134306,
0.0801041,0.0801766,
0.0110227,0.0110347,
-0.00673463,-0.00674606,
-0.0101494,-0.0101752,
0.140183,0.139698,
-0.0125883,-0.0126375,
0.0799343,0.0800224,
-0.0727244,-0.0728504,
0.139051,0.138599,
-0.0292864,-0.0294078,
0.0163344,0.0163614,
-0.0926917,-0.0927742,
-0.0419685,-0.0421138,
0.124957,0.124702,
0.0319627,0.0320318,
-0.117067,-0.116977,
-0.0902992,-0.0904,
0.0278076,0.0278688,
0.0289022,0.0289554,
0.0182615,0.0182917,
-0.0772122,-0.0773719,
-0.0468476,-0.0470216,
0.127108,0.126842,
0.0812058,0.0812879,
0.129982,0.129662,
-0.0156055,-0.0157032,
0.0885694,0.0886168,
0.139704,0.139247,
-0.0621333,-0.0623153,
-0.0401916,-0.0403554,
0.0742913,0.0743842,
-0.0681039,-0.0682905,
-0.113302,-0.113276,
0.0369583,0.0370367,
0.127362,0.127104,
-0.0653149,-0.0655072,
-0.0891069,-0.089247,
-0.0971284,-0.0972237,
-0.0817344,-0.0819042,
-0.14584,-0.145391,
-0.114003,-0.113976,
0.0445635,0.0446618,
-0.119743,-0.119664,
-0.128833,-0.128646,
-0.00107071,-0.00111021,
-0.0620468,-0.0622424,
0.123717,0.123527,
-0.0927872,-0.0929305,
-0.0204469,-0.0205508,
0.0760148,0.0761282,
0.149391,0.14882,
0.00706451,0.00704679,
0.0485375,0.0486589,
-0.0517152,-0.0519029,
0.0440135,0.0441198,
-0.13495,-0.134699,
0.090999,0.0910872,
0.0545765,0.0547115,
-0.0561181,-0.0563238,
-0.06062,-0.060827,
-0.0932809,-0.0934264,
-0.133968,-0.133753,
-0.102817,-0.102914,
-0.109149,-0.109195,
-0.132584,-0.132378,
0.13365,0.13336,
0.127566,0.127352,
-0.0729093,-0.0731375,
-0.0993488,-0.0994865,
-0.0070936,-0.00717329,
0.12782,0.127616,
0.024675,0.0247213,
-0.0824293,-0.0826404,
0.0400755,0.0401759,
-0.145005,-0.144659,
-0.0457362,-0.0459368,
0.0067886,0.00678227,
-0.0578495,-0.0580767,
0.0435402,0.043666,
-0.0692933,-0.0695259,
-0.0501324,-0.0503376,
0.0777625,0.0779155,
0.0550722,0.0552323,
0.103537,0.103572,
0.0302288,0.0303175,
0.050388,0.0505273,
0.1044,0.104443,
-0.0731316,-0.0733535,
0.00431465,0.0042926,
0.0334233,0.0335241,
0.0963992,0.0964867,
0.0710241,0.0711852,
-0.0420173,-0.0422118,
-0.142841,-0.142534,
-0.00382375,-0.00387116,
0.0624787,0.0626467,
0.00222287,0.00220146,
-0.126523,-0.126445,
-0.00490549,-0.00495054,
-0.136982,-0.136774,
-0.0765425,-0.0767549,
0.0333724,0.0334792,
0.13847,0.138201,
-0.100172,-0.100317,
0.0771845,0.0773876,
-0.147906,-0.147526,
0.0709386,0.0711667,
0.126772,0.126666,
0.0862927,0.0865052,
-0.119556,-0.119572,
-0.0782038,-0.0783972,
-0.121487,-0.121452,
-0.0668359,-0.0670741,
0.131314,0.131211,
-0.120996,-0.120961,
0.103582,0.103722,
0.057739,0.0579633,
-0.0196806,-0.0197659,
-0.052805,-0.0530122,
-0.111007,-0.111122,
-0.0366009,-0.0367841,
0.0479633,0.0481501,
0.114205,0.114287,
-0.0867411,-0.0869452,
0.00866545,0.00870949,
0.132967,0.132878,
-0.113374,-0.113483,
0.00448079,0.00451775,
-0.0865304,-0.0867429,
-0.101951,-0.102116,
-0.0198725,-0.0199892,
0.044936,0.0451338,
-0.0114153,-0.0114834,
0.0840752,0.0843586,
0.055403,0.0556918,
0.110159,0.110269,
-0.135845,-0.135689,
-0.0968601,-0.0969972,
-0.117143,-0.117189,
0.0288574,0.0290527,
0.0601019,0.0603906,
-0.0280155,-0.0280932,
0.0233035,0.0234939,
-0.0834823,-0.0836698,
-0.0377397,-0.0378892,
-0.120753,-0.120741,
-0.0338032,-0.0339091,
0.130254,0.130277,
0.0994385,0.0996955,
0.0405612,0.0407965,
0.0373974,0.0376195,
0.0236438,0.023817,
-0.141157,-0.140918,
0.029912,0.0300876,
-0.106818,-0.106961,
0.0832231,0.0835553,
0.0705934,0.0708872,
0.0500121,0.050278,
-0.118327,-0.118348,
-0.11933,-0.119367,
-0.0689038,-0.0691396,
-0.0636791,-0.063881,
0.1341,0.13407,
0.0020744,0.00214485,
0.130905,0.130912,
-0.0616196,-0.0618449,
0.043356,0.0436302,
-0.0801456,-0.0803767,
0.0388078,0.0390683,
0.0938991,0.0942119,
-0.141464,-0.141271,
0.0352747,0.035539,
0.0823297,0.0826724,
-0.126974,-0.126944,
-0.0981834,-0.098373,
-0.0420642,-0.0422114,
-0.0363869,-0.0365036,
-0.119794,-0.119847,
0.110832,0.111104,
-0.118748,-0.118808,
0.0749157,0.0753006,
-0.0399611,-0.0401057,
-0.0683432,-0.0685669,
-0.12953,-0.129492,
-0.0203403,-0.0203713,
0.0524549,0.0528036,
-0.00850836,-0.00848341,
-0.0826754,-0.082911,
0.0230163,0.0232296,
-0.112176,-0.112296,
-0.00595335,-0.00590301,
-0.0922543,-0.0924619,
-0.109984,-0.110122,
-0.0946268,-0.0948372,
0.120232,0.120467,
0.092585,0.0929682,
0.0562581,0.0566175,
-0.136581,-0.136482,
0.0825173,0.0829285,
0.10838,0.108714,
0.148259,0.148171,
0.0503725,0.0507267,
0.0985639,0.0989339,
0.0635718,0.0639648,
-0.0919522,-0.0921914,
-0.103587,-0.103784,
-0.0528445,-0.0530411,
0.00975424,0.00990152,
0.0421103,0.0424327,
-0.0119798,-0.0119705,
-0.148247,-0.148001,
-0.0925109,-0.0927407,
-0.0167708,-0.0167805,
0.045926,0.0462814,
-0.0452028,-0.0453665,
-0.0220765,-0.0221174,
-0.13486,-0.134794,
0.0928064,0.0932215,
0.145993,0.145972,
-0.064716,-0.0649542,
-0.042226,-0.0423808,
0.106135,0.106515,
0.085856,0.0862885,
-0.107899,-0.108089,
-0.118983,-0.119095,
0.140308,0.140389,
0.110727,0.111081,
0.0907811,0.0912091,
-0.0312947,-0.0314119,
0.00970257,0.00984772,
0.141013,0.141084,
-0.123442,-0.123556,
-0.134078,-0.134065,
0.119856,0.120165,
-0.0242568,-0.0243387,
-0.084044,-0.0843357,
0.0368374,0.0371552,
-0.0115533,-0.0115498,
-0.012019,-0.0120204,
0.10066,0.101085,
-0.0893303,-0.0896276,
0.051768,0.0521722,
0.138765,0.138909,
-0.0346473,-0.0347882,
0.129256,0.129504,
-0.119027,-0.119218,
0.112681,0.113091,
0.126421,0.12671,
-0.123104,-0.123277,
0.140518,0.140692,
-0.148582,-0.148467,
-0.0638432,-0.0641191,
-0.0714342,-0.0717321,
-0.139051,-0.139064,
-0.0448484,-0.0450435,
-0.0644552,-0.0647289,
0.0525765,0.0530222,
0.0372179,0.0375868,
-0.020138,-0.0201673,
0.148812,0.148914,
0.127626,0.127974,
-0.0706128,-0.0709162,
-0.0626829,-0.0629549,
0.0689105,0.0694267,
-0.147914,-0.147828,
0.116853,0.117328,
0.115903,0.11638,
0.0417596,0.042175,
0.127614,0.127986,
0.111016,0.111513,
0.0143169,0.0145421,
0.0985865,0.0991297,
-0.116127,-0.116383,
0.108235,0.108755,
-0.0116251,-0.0116209,
0.122854,0.123291,
0.136833,0.137148,
-0.093692,-0.094034,
-0.0419507,-0.0421628,
0.038364,0.0387648,
0.0346473,0.0350173,
-0.0363603,-0.036519,
0.0582273,0.0587536,
0.0450197,0.0454493,
0.0581076,0.0586098,
0.118606,0.1191,
0.052596,0.0530604,
-0.0106821,-0.0106727,
-0.0970031,-0.097342,
-0.0497953,-0.0500436,
-0.0953991,-0.0957362,
-0.142627,-0.142648,
-0.024701,-0.0247644,
-0.0344155,-0.0345743,
-0.111101,-0.111382,
-0.106516,-0.106849,
0.00916566,0.00935317,
-0.0759031,-0.0762316,
0.0125229,0.0127222,
0.103234,0.103809,
-0.0248479,-0.0249369,
-0.006945,-0.00686501,
-0.0109674,-0.0109615,
