Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0.122041,0.121439,0.122041,0.121439,
-0.112171,-0.111703,-0.112165,-0.111697,
0.0781472,0.0780004,0.078152,0.0780049,
0.130507,0.129789,0.130513,0.129795,
-0.0350369,-0.0350208,-0.0350302,-0.0350146,
-0.0393937,-0.0393704,-0.0393865,-0.0393637,
-0.0803141,-0.0801446,-0.0803067,-0.0801377,
-0.0766688,-0.0765196,-0.0766613,-0.0765128,
0.0696504,0.0695553,0.0696563,0.0695606,
0.0880457,0.0878374,0.0880503,0.0878413,
0.073526,0.0734105,0.0735306,0.0734144,
0.135035,0.134246,0.135039,0.134249,
0.0064719,0.00647753,0.00647485,0.00647974,
-0.0779762,-0.0778296,-0.0779708,-0.0778249,
0.0697993,0.0697012,0.0698027,0.0697035,
0.140222,0.139337,0.140223,0.139337,
0.077921,0.0777846,0.0779225,0.0777842,
-0.109526,-0.109113,-0.109522,-0.10911,
-0.126524,-0.125868,-0.126515,-0.125862,
-0.0885967,-0.0883782,-0.0885885,-0.0883725,
0.0959065,0.0956437,0.0959115,0.0956458,
0.076675,0.076554,0.0766778,0.0765533,
-0.102647,-0.102319,-0.102633,-0.102309,
-0.0886946,-0.0884913,-0.0886853,-0.0884859,
-0.112352,-0.111921,-0.112343,-0.111915,
-0.133776,-0.133025,-0.133766,-0.133019,
-0.128294,-0.127612,-0.128285,-0.127606,
0.126918,0.126287,0.126918,0.126282,
-0.0958883,-0.0956322,-0.0958861,-0.0956351,
-0.0324932,-0.0324939,-0.032491,-0.0324976,
0.0959076,0.0956597,0.0959092,0.0956549,
0.015744,0.0157503,0.0157451,0.0157447,
-0.0142289,-0.0142351,-0.0142279,-0.0142408,
-0.120108,-0.119587,-0.120106,-0.119591,
0.0771856,0.0770738,0.0771858,0.0770665,
0.147663,0.14667,0.147661,0.14666,
0.113278,0.112848,0.113275,0.112837,
0.0386689,0.038671,0.0386678,0.0386614,
0.0743334,0.0742296,0.0743289,0.0742166,
0.127606,0.126978,0.127602,0.126965,
0.0993039,0.0990242,0.0992995,0.0990112,
0.0731357,0.0730376,0.0731309,0.0730243,
0.14507,0.14413,0.145065,0.144117,
-0.000829634,-0.000834719,-0.000833509,-0.000847891,
0.0989904,0.098717,0.098981,0.0986977,
-0.126907,-0.126307,-0.126909,-0.126319,
-0.075586,-0.075481,-0.0755802,-0.0754878,
-0.0812579,-0.0811205,-0.081252,-0.081127,
-0.054939,-0.0549139,-0.0549332,-0.0549208,
-0.231444,-0.227531,-0.393523,-0.374609,
0.280354,0.273411,0.559552,0.508006,
-0.145205,-0.144409,-0.34773,-0.334588,
0.0884312,0.0882494,0.0346885,0.034725,
0.18025,0.178468,0.356521,0.342569,
-0.111925,-0.111642,-0.108133,-0.107937,
0.0693582,0.069291,0.109982,0.109661,
-0.0168399,-0.0169067,-0.0204149,-0.0205496,
-0.0416662,-0.0417405,-0.189721,-0.187854,
-0.167071,-0.165785,-0.186004,-0.184246,
0.0445754,0.0445629,0.0599275,0.0598756,
-0.142314,-0.141587,-0.204105,-0.201737,
0.122909,0.122427,0.257771,0.252622,
0.0250342,0.0250154,0.112572,0.112234,
-0.249295,-0.24464,-0.410702,-0.389939,
-0.211456,-0.208678,-0.283283,-0.276529,
0.11947,0.11907,0.185518,0.183747,
0.232235,0.228477,0.446447,0.419981,
-0.0785041,-0.0785101,-0.0569142,-0.0572391,
0.000343606,0.000325222,-0.0332217,-0.0333228,
-0.241105,-0.236968,-0.444654,-0.41867,
-0.0702703,-0.0703207,-0.0475432,-0.0479293,
0.238985,0.23499,0.443996,0.41848,
