Sensor X0,Motor Y0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
-0,0,
0,0,
-0,0,
-0,0,
-0,0,
0,0,
-0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
-0,0,
0,0,
0,0,
-0,0,
0,0,
-0,0,
-0,0,
-0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
-0,0,
0,0,
0,0,
0,0,
-0,0,
-0,0,
0,0,
-0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
-0,0,
0,0,
0,0,
-0,0,
-0,0,
-0,0,
-0,-1.02153e-10,
-0,-2.74065e-10,
-0,-1.4847e-09,
0,-3.4191e-09,
-0,-6.23281e-09,
0,-9.42519e-09,
0,-1.1229e-08,
-0,-1.43812e-08,
-0,-1.96058e-08,
-0,-2.60513e-08,
-0,-3.38674e-08,
0,-3.87274e-08,
0,-4.08352e-08,
0,-4.14817e-08,
0,-4.20443e-08,
0,-4.20576e-08,
-0,-4.23928e-08,
0,-4.23996e-08,
0,-4.25122e-08,
0,-4.25712e-08,
-0,-4.32269e-08,
-0,-4.33338e-08,
-0,-4.37357e-08,
0,-4.3741e-08,
0,-4.37456e-08,
-0,-4.36779e-08,
-0,-4.31406e-08,
-0,-4.27327e-08,
-0,-4.21991e-08,
-0,-4.17924e-08,
0,-4.01128e-08,
-0,-3.97688e-08,
-0,-3.88908e-08,
0,-3.63196e-08,
0,-3.43236e-08,
-0,-3.23624e-08,
-0,-2.6441e-08,
0,-1.45351e-08,
0,7.4716e-09,
0,2.73952e-08,
0,4.06145e-08,
0,6.42206e-08,
0,1.02851e-07,
0,1.25269e-07,
0,1.36702e-07,
0,1.56268e-07,
-0,1.70092e-07,
0,1.78512e-07,
-0,1.84504e-07,
-0,1.89249e-07,
-0,1.94987e-07,
-0,2.01968e-07,
-0,2.04652e-07,
0,2.07133e-07,
0,2.08539e-07,
0,2.09603e-07,
0,2.13041e-07,
-0,2.21491e-07,
0,2.28549e-07,
-0,2.31219e-07,
0,2.32708e-07,
-0,2.32894e-07,
0,2.32989e-07,
-0,2.3299e-07,
-0,2.33135e-07,
-0,2.33135e-07,
-0,2.33129e-07,
-0,2.32959e-07,
0,2.32959e-07,
0,2.32856e-07,
-0,2.32544e-07,
0,2.3249e-07,
-0,2.32473e-07,
-0,2.32483e-07,
0,2.32441e-07,
-0,2.32424e-07,
-0,2.3232e-07,
0,2.31556e-07,
-0,2.302e-07,
-0,2.28905e-07,
0,2.28444e-07,
-0,2.27875e-07,
-0,2.27329e-07,
-0,2.27183e-07,
-0,2.26884e-07,
-0,2.26648e-07,
-0,2.26052e-07,
0,2.26025e-07,
