Sensor X0,Motor Y0,
-0,0,
0,0,
0,0,
-0,0,
-0,0,
-0,0,
-0,0,
-0,0,
0,0,
0,0,
0,0,
0,0,
-0,0,
-0,0,
0,0,
-0,0,
-0,0,
0,0,
-0,0,
0,0,
-0,0,
0,0,
-0,0,
-0,0,
-0,0,
0,0,
-0,0,
-0,0,
0,0,
0,0,
-0,0,
0,0,
-0,0,
0,0,
0,0,
-0,0,
0,0,
-0,0,
-0,0,
0,0,
0,0,
-0,0,
-0,0,
0,0,
-0,0,
0,0,
-0,0,
0,0,
0,0,
0,0,
-0,0,
-0,0,
0,0,
-0,1.55059e-11,
-0,-1.04075e-11,
-0,-4.57736e-10,
0,-4.83725e-10,
0,-4.91354e-10,
0,-4.95981e-10,
-0,-4.95966e-10,
0,-4.92154e-10,
-0,-2.82145e-10,
-0,-1.63122e-10,
-0,-1.62859e-10,
-0,-1.6287e-10,
-0,-2.20577e-10,
-0,-6.5047e-10,
0,-7.27052e-10,
0,-7.79355e-10,
0,-8.9407e-10,
-0,-8.9407e-10,
0,-8.89931e-10,
-0,-8.89797e-10,
-0,-7.26136e-10,
0,-7.1265e-10,
-0,-5.7481e-10,
0,-3.69463e-10,
0,-3.29606e-10,
0,-3.3239e-10,
0,-3.36475e-10,
-0,-3.33733e-10,
0,-3.48385e-10,
-0,-5.80799e-10,
0,-6.20966e-10,
-0,-6.20096e-10,
0,-4.43208e-10,
0,1.12115e-10,
0,2.20944e-09,
-0,2.77144e-09,
0,2.83879e-09,
0,2.83844e-09,
-0,2.83516e-09,
0,2.83523e-09,
0,2.70787e-09,
0,2.70809e-09,
0,2.71491e-09,
0,2.66672e-09,
-0,2.26771e-09,
0,2.02714e-09,
0,1.27047e-09,
0,9.07908e-10,
0,-2.58461e-10,
-0,-1.57624e-09,
-0,-2.48311e-09,
-0,-4.40186e-09,
0,-5.23919e-09,
-0,-7.33257e-09,
0,-1.13404e-08,
-0,-1.64889e-08,
0,-1.86715e-08,
-0,-1.97632e-08,
-0,-2.06168e-08,
-0,-2.10556e-08,
0,-2.18224e-08,
0,-2.201e-08,
-0,-2.20392e-08,
0,-2.20394e-08,
0,-2.21046e-08,
-0,-2.21054e-08,
0,-2.21949e-08,
-0,-2.29412e-08,
0,-2.53843e-08,
0,-2.59957e-08,
0,-2.65897e-08,
0,-2.67741e-08,
0,-2.70518e-08,
0,-2.72484e-08,
-0,-2.72528e-08,
0,-2.71809e-08,
-0,-2.71805e-08,
0,-2.7295e-08,
0,-2.76859e-08,
0,-2.76979e-08,
-0,-2.76979e-08,
0,-2.76755e-08,
0,-2.76772e-08,
-0,-2.76742e-08,
0,-2.76806e-08,
0,-2.79042e-08,
