Sensor X1,Motor Y1,Sensor X2,Motor Y2,
-0.112177,-0.111709,-0.112177,-0.111709,
0.0774351,0.0772807,0.0767459,0.0765956,
0.129894,0.129232,0.129315,0.128652,
-0.0356063,-0.0362204,-0.0361406,-0.0367682,
-0.0399028,-0.0407488,-0.0403754,-0.0412257,
-0.0808039,-0.0815914,-0.0812576,-0.0820492,
-0.0771681,-0.0781668,-0.0776328,-0.0786323,
0.0690009,0.0687373,0.0683816,0.0681297,
0.0872372,0.0868889,0.0864609,0.0861328,
0.0727151,0.072282,0.0719367,0.0715201,
0.134166,0.133605,0.133322,0.132791,
0.00549256,0.00450303,0.00455045,0.00357033,
-0.0787206,-0.0802638,-0.0794486,-0.0809682,
0.0688465,0.0687159,0.0679179,0.0678339,
0.139009,0.138874,0.137803,0.13776,
0.0767274,0.0765754,0.0755409,0.0754683,
-0.110471,-0.11302,-0.111411,-0.113871,
-0.127078,-0.128957,-0.127628,-0.129393,
-0.089151,-0.091114,-0.0896987,-0.0915571,
0.0950275,0.095926,0.0941536,0.0951617,
0.0755261,0.0760615,0.0743677,0.0750202,
-0.102767,-0.106096,-0.102923,-0.106094,
-0.0892206,-0.0925328,-0.0897646,-0.0929276,
-0.11287,-0.116731,-0.113409,-0.117118,
-0.134301,-0.138116,-0.134847,-0.138507,
-0.128838,-0.130994,-0.129412,-0.131409,
0.125476,0.12728,0.124008,0.125956,
-0.097228,-0.102028,-0.0986074,-0.1032,
-0.0337998,-0.0361839,-0.0351709,-0.0373261,
0.0945447,0.0964932,0.0931116,0.0952855,
0.0143054,0.0132919,0.0127886,0.0120086,
-0.0156813,-0.0179326,-0.0172129,-0.0192261,
-0.121443,-0.127245,-0.122857,-0.128383,
0.0756327,0.0772782,0.0739974,0.0758698,
0.14579,0.149303,0.143856,0.147596,
0.11134,0.113793,0.109338,0.112013,
0.0368884,0.0365819,0.035051,0.0349539,
0.0722415,0.0733619,0.0700846,0.0714116,
0.125547,0.128654,0.123427,0.126758,
0.0972176,0.0993895,0.0950616,0.0974501,
0.071012,0.0721065,0.0688218,0.070123,
0.142909,0.146357,0.140684,0.14436,
-0.00288476,-0.00554926,-0.00499715,-0.00745144,
0.0964108,0.0987964,0.0937647,0.096368,
-0.1288,-0.136874,-0.130779,-0.13854,
-0.0767107,-0.0818425,-0.0779331,-0.0826962,
-0.0823578,-0.0875877,-0.0835556,-0.0884144,
-0.0560506,-0.0607444,-0.0572612,-0.0615806,
-0.0816386,-0.0881001,-0.0828039,-0.0888828,
0.267255,0.272596,0.524573,0.50128,
-0.140122,-0.15687,-0.338677,-0.363513,
0.0875705,0.0898503,0.0326725,0.0118343,
0.169792,0.176825,0.328423,0.322207,
-0.117287,-0.130971,-0.121658,-0.160973,
0.0622479,0.0644383,0.092366,0.0755328,
-0.0245383,-0.030697,-0.0365279,-0.0701216,
-0.0394223,-0.0471478,-0.183851,-0.227852,
-0.167377,-0.18519,-0.190129,-0.233417,
0.0425913,0.0435764,0.0502976,0.0278975,
-0.138012,-0.154145,-0.20055,-0.246944,
0.117045,0.125306,0.233925,0.235183,
0.0221406,0.0194136,0.093607,0.0763043,
-0.241436,-0.265903,-0.400101,-0.453474,
-0.205288,-0.226384,-0.275082,-0.317818,
0.115588,0.127994,0.168093,0.173379,
0.222829,0.242332,0.409368,0.430085,
-0.0839695,-0.0976973,-0.074438,-0.11587,
0.00257989,0.00108819,-0.0376439,-0.0647118,
-0.228749,-0.257297,-0.419721,-0.47686,
-0.0718513,-0.0841953,-0.0538066,-0.085417,
0.231925,0.262751,0.404525,0.460972,
-0.0890209,-0.107414,-0.105953,-0.149464,
-0.103249,-0.119565,-0.0882532,-0.121393,
0.129388,0.145533,0.141205,0.143735,
-0.136003,-0.164458,-0.145011,-0.212972,
-0.284118,-0.321792,-0.570691,-0.608202,
0.24018,0.273941,0.463853,0.524644,
-0.120007,-0.145989,-0.18276,-0.188976,
-0.188256,-0.22401,-0.313242,-0.361569,
-0.0131063,-0.0173308,0.054508,0.0922853,
-0.118074,-0.142871,-0.0939607,-0.0977311,
0.0467883,0.0552173,0.134344,0.192949,
-0.210253,-0.250679,-0.404119,-0.466678,
0.0631916,0.0793265,0.00590887,0.0435695,
0.0969337,0.121943,0.130052,0.21171,
0.12468,0.150628,0.193658,0.258583,
0.0552805,0.0704142,0.0245388,0.0834206,
0.0783855,0.0959063,0.0356843,0.0747719,
-0.0571407,-0.0692435,-0.0302627,-0.0083035,
0.0423596,0.0540867,0.0667392,0.120415,
0.0559586,0.0678478,-0.00230322,0.0164537,
0.254079,0.302305,0.400638,0.494545,
-0.0651525,-0.0768293,-0.150395,-0.151798,
0.145371,0.17783,0.349001,0.430448,
-0.0525574,-0.0672589,-0.102928,-0.13984,
0.109095,0.134177,0.109456,0.145019,
-0.0897699,-0.114114,-0.116846,-0.164234,
0.0781155,0.097859,0.09462,0.118944,
-0.222379,-0.275078,-0.597313,-0.674663,
-0.0015766,0.00243802,0.358471,0.466274,
-0.0182666,-0.0195674,-0.214763,-0.258725,
0.0421953,0.0559313,-0.0219475,-0.00203947,
0.00741216,0.013051,0.257752,0.368904,
-0.175598,-0.219164,-0.347917,-0.437209,
0.170718,0.226333,0.249079,0.351633,
-0.0699608,-0.0873367,-0.0637344,-0.0710848,
0.350901,0.428047,0.478768,0.609845,
-0.217366,-0.296294,-0.438728,-0.556199,
0.154589,0.188859,0.297798,0.401707,
-0.142892,-0.210135,-0.403208,-0.529504,
-0.0732832,-0.124236,-0.00935166,-0.0143624,
0.0800367,0.0892156,0.29581,0.417368,
-0.0244595,-0.0501066,-0.0793621,-0.127942,
-0.314071,-0.417139,-0.745862,-0.810958,
0.152205,0.203403,0.0439853,0.102998,
0.06015,0.07231,0.337176,0.526461,
-0.0411816,-0.0661849,-0.132397,-0.137721,
-0.0131363,-0.0175926,0.173638,0.311506,
