Sensor X1,Motor Y1,Sensor X2,Motor Y2,Sensor X3,Motor Y3, Sensor X4,Motor Y4,
-0.0394009,-0.0393806,-0.0394009,-0.0393806,-0.0394009,-0.0393806,-0.0394009,-0.0393806,
-0.0802991,-0.080127,-0.0802756,-0.0801036,-0.0802534,-0.0800816,-0.0802304,-0.0800587,
-0.076656,-0.0764523,-0.0766332,-0.0764324,-0.0766128,-0.0764103,-0.0765894,-0.0763861,
0.0695141,0.0694915,0.0693852,0.0693578,0.0692602,0.0692352,0.0691371,0.0691136,
0.0877657,0.0875229,0.0874917,0.0872523,0.0872296,0.0869961,0.0869722,0.0867394,
0.0732445,0.0730685,0.0729689,0.0727965,0.0727058,0.0725392,0.072448,0.0722802,
0.134698,0.133986,0.134364,0.133656,0.134047,0.133348,0.133737,0.133042,
0.00602648,0.0057035,0.00558825,0.00527715,0.00516612,0.00486616,0.00475524,0.00444006,
-0.078171,-0.078836,-0.0783705,-0.0790056,-0.0785409,-0.079161,-0.0786927,-0.0793313,
0.0693991,0.0692465,0.0689955,0.0688707,0.0686236,0.0685169,0.0682743,0.0681312,
0.139587,0.138989,0.138936,0.13838,0.138328,0.137808,0.137757,0.13719,
0.0773182,0.0774475,0.0766986,0.0768624,0.0761246,0.076324,0.0755911,0.0757168,
-0.109876,-0.111125,-0.110248,-0.111445,-0.110564,-0.111712,-0.110839,-0.112049,
-0.126462,-0.126683,-0.126435,-0.126572,-0.126321,-0.126413,-0.12617,-0.12637,
-0.0885396,-0.0893036,-0.0885153,-0.0892016,-0.0884096,-0.0890534,-0.0882643,-0.0890159,
0.095637,0.0964276,0.0953346,0.0962024,0.0951223,0.0960212,0.0949495,0.0957196,
0.0761581,0.0770329,0.0756019,0.0765791,0.0751664,0.076171,0.0747621,0.0755827,
-0.102128,-0.104418,-0.101674,-0.103826,-0.101074,-0.103194,-0.100478,-0.102732,
-0.0885807,-0.0908813,-0.088522,-0.0906823,-0.0883235,-0.0904538,-0.0881275,-0.0904126,
-0.112226,-0.114982,-0.112159,-0.114776,-0.111947,-0.114529,-0.111739,-0.114467,
-0.133656,-0.136163,-0.133596,-0.135961,-0.133391,-0.135723,-0.13319,-0.135672,
-0.128177,-0.128587,-0.128123,-0.128363,-0.127917,-0.128159,-0.127711,-0.128147,
0.12613,0.127659,0.125284,0.126947,0.124595,0.126236,0.123913,0.125335,
-0.0965187,-0.0997465,-0.0972029,-0.100233,-0.0976945,-0.100713,-0.0981728,-0.101443,
-0.0330899,-0.0347074,-0.0337568,-0.0351669,-0.034192,-0.0355713,-0.0346001,-0.036246,
0.0952643,0.0973769,0.0945439,0.0968712,0.0940647,0.0963867,0.093611,0.0956478,
0.0150351,0.0146633,0.0142433,0.0141021,0.0137036,0.0135719,0.0131913,0.0127745,
-0.014951,-0.0164048,-0.0157573,-0.0169778,-0.0163096,-0.017512,-0.0168318,-0.0183148,
-0.120706,-0.124925,-0.121395,-0.125352,-0.121825,-0.125738,-0.122224,-0.126393,
0.0763905,0.0783797,0.0754747,0.0777164,0.0748417,0.0770826,0.0742451,0.0761917,
0.146587,0.149807,0.145371,0.148849,0.144452,0.147929,0.143569,0.146772,
0.112148,0.114477,0.110871,0.113455,0.109895,0.112483,0.10896,0.111274,
0.0376993,0.0381579,0.0365907,0.0373193,0.0357786,0.036497,0.0350012,0.0354272,
0.073044,0.074282,0.0716124,0.0730939,0.0704812,0.0719597,0.0693925,0.0705951,
0.126349,0.129173,0.124952,0.128027,0.123857,0.126933,0.122803,0.125611,
0.0980217,0.100063,0.0965908,0.0988822,0.0954685,0.0977605,0.0943888,0.0964141,
0.0718148,0.0730017,0.0703471,0.0717808,0.0691868,0.0706181,0.0680712,0.0692292,
0.143714,0.14686,0.142213,0.145616,0.141017,0.144417,0.13986,0.142992,
-0.00206767,-0.00373663,-0.00344738,-0.00485142,-0.00452713,-0.00594201,-0.00557889,-0.00726698,
0.0972388,0.0995717,0.0953327,0.0978901,0.0937386,0.0962502,0.0921653,0.0944296,
-0.127961,-0.134412,-0.129185,-0.135317,-0.130076,-0.136185,-0.130957,-0.137246,
-0.0758833,-0.0797281,-0.0763614,-0.0798554,-0.076489,-0.080005,-0.0766477,-0.0802964,
-0.0815312,-0.0854744,-0.0819857,-0.0855778,-0.0820882,-0.0856982,-0.0822202,-0.0859583,
-0.0552235,-0.0586174,-0.0556906,-0.0587224,-0.0558046,-0.0588588,-0.0559483,-0.0591456,
