Sensor X1,Motor Y1,
0.156553,0.155286,
0.276683,0.269832,
0.157115,0.155378,
0.233054,0.228241,
0.357792,0.342862,
0.306742,0.296143,
0.256252,0.249043,
0.168361,0.164484,
0.0874601,0.0842007,
0.153565,0.149639,
0.237213,0.230768,
0.303561,0.293084,
0.426381,0.402074,
0.407157,0.385563,
0.305903,0.294806,
0.363943,0.347156,
0.485675,0.45001,
0.523774,0.478891,
0.36636,0.346879,
0.218293,0.207605,
0.116394,0.105028,
0.200366,0.188424,
0.263248,0.248864,
0.144567,0.132872,
0.0437067,0.0309359,
-0.0814662,-0.0967713,
-0.230157,-0.244353,
-0.372663,-0.374941,
-0.248875,-0.260516,
-0.356501,-0.359431,
-0.393165,-0.391724,
-0.297397,-0.305299,
-0.290407,-0.298499,
-0.313891,-0.320519,
-0.441344,-0.432819,
-0.35635,-0.357991,
-0.211152,-0.221092,
-0.10812,-0.117454,
-0.0789672,-0.0870063,
-0.0135429,-0.0199597,
0.106559,0.103816,
0.202002,0.200634,
0.273077,0.270875,
0.414974,0.401375,
0.39798,0.385231,
0.482071,0.457215,
0.328926,0.322834,
0.244076,0.239531,
0.157156,0.152032,
0.11989,0.113339,
-0.111704,-0.127017,
0.146815,0.14377,
-0.0042151,-0.016794,
0.078292,0.070497,
0.252497,0.24936,
0.13116,0.124472,
0.19007,0.184727,
0.16225,0.15586,
0.113034,0.104389,
-0.0566523,-0.0752609,
-0.0229514,-0.0389447,
-0.170286,-0.19311,
-0.0605903,-0.0783412,
-0.0548713,-0.0722288,
-0.321049,-0.342601,
-0.571736,-0.55405,
-0.428205,-0.429408,
-0.197546,-0.203441,
-0.285381,-0.291774,
-0.298778,-0.305984,
-0.577926,-0.550841,
-0.643887,-0.588965,
-0.34592,-0.338883,
-0.425875,-0.411274,
-0.489772,-0.467329,
-0.325387,-0.313711,
-0.429691,-0.411473,
-0.784766,-0.680029,
-0.404782,-0.34262,
-0.512888,-0.435935,
-0.728046,-0.604967,
-0.655915,-0.536256,
-0.700249,-0.570394,
-0.51531,-0.41071,
-0.745008,-0.597108,
-0.622952,-0.488406,
-0.471319,-0.351742,
-0.314035,-0.184398,
-0.249303,-0.115393,
-0.156965,-0.0103474,
-0.191335,-0.0489939,
-0.127537,0.02155,
-0.0534674,0.108514,
0.230145,0.407213,
0.194915,0.365634,
0.398448,0.55017,
0.367248,0.524429,
0.522348,0.638282,
0.439455,0.578743,
0.553739,0.658528,
0.315083,0.475778,
0.333815,0.484113,
0.314406,0.465658,
0.391876,0.528892,
0.442865,0.568664,
0.268898,0.415186,
0.465453,0.584485,
0.374011,0.511254,
0.844059,0.80126,
0.492306,0.535103,
0.691938,0.669168,
0.493062,0.506234,
0.426844,0.440707,
0.531405,0.531943,
0.516078,0.516098,
0.180077,0.175413,
0.333701,0.340105,
0.418746,0.419874,
0.356478,0.354875,
0.351195,0.351833,
0.438563,0.435311,
0.194533,0.180601,
0.309794,0.30984,
0.333196,0.331651,
0.0470977,0.00423875,
0.326706,0.330701,
0.197272,0.176925,
0.0270841,-0.0287648,
-0.0369634,-0.104547,
0.0265587,-0.0274905,
-0.0727362,-0.152243,
0.0169379,-0.0526055,
-0.11486,-0.191399,
-0.100431,-0.191695,
-0.265353,-0.364682,
-0.333495,-0.429845,
-0.386701,-0.485342,
-0.388975,-0.491296,
-0.595284,-0.658038,
-0.471784,-0.560187,
-0.510919,-0.580346,
-0.681913,-0.708054,
-0.635493,-0.66857,
-0.508411,-0.570171,
-0.439405,-0.520893,
-0.407663,-0.482997,
-0.671806,-0.687283,
-0.432946,-0.481607,
-0.544669,-0.578352,
-0.266317,-0.316038,
-0.516757,-0.54828,
-0.711988,-0.682602,
-0.538676,-0.538816,
-0.513553,-0.513221,
-0.450066,-0.454639,
-0.543182,-0.540691,
-0.570607,-0.563444,
-0.527031,-0.523656,
-0.248231,-0.236395,
-0.431902,-0.431378,
-0.260673,-0.242946,
-0.151328,-0.11003,
-0.249617,-0.228909,
-0.164884,-0.128941,
-0.122152,-0.0775348,
-0.409459,-0.407124,
-0.292362,-0.268545,
-0.610443,-0.584532,
-0.391077,-0.352168,
-0.457004,-0.417097,
-0.26,-0.191627,
-0.191823,-0.106351,
-0.0765415,0.0349391,
-0.0909312,0.0178126,
-0.312594,-0.255185,
-0.107155,0.00110645,
0.0116356,0.149715,
0.0454172,0.192165,
-0.0762975,0.0385628,
0.20058,0.373146,
-0.0655408,0.0529559,
0.101786,0.265817,
0.109229,0.270813,
0.25077,0.435278,
0.270593,0.452053,
0.161702,0.33388,
0.237961,0.419108,
0.415585,0.58406,
0.639575,0.742397,
0.351873,0.518254,
0.421806,0.567708,
0.423592,0.569441,
0.543405,0.664027,
0.54018,0.659944,
0.440069,0.580406,
0.791019,0.80529,
0.746552,0.746078,
0.78179,0.760686,
0.688189,0.683279,
1.02388,0.852801,
0.969494,0.791093,
0.843022,0.664947,
0.893042,0.673485,
0.463475,0.194949,
0.470067,0.203863,
0.867319,0.583432,
0.540466,0.248968,
0.489709,0.181938,
0.580482,0.277403,
0.506433,0.172141,
0.49033,0.180835,
0.467697,0.127279,
0.592373,0.288592,
0.426108,0.0662378,
0.274385,-0.120685,
0.327767,-0.0554859,
0.347831,-0.0236466,
0.201799,-0.21188,
-0.0587828,-0.505101,
-0.111054,-0.549344,
-0.257256,-0.661417,
-0.312799,-0.697569,
-0.253309,-0.649702,
-0.162443,-0.57055,
-0.39305,-0.735786,
-0.413301,-0.748332,
-0.251697,-0.634583,
-0.558902,-0.812267,
-0.570322,-0.816452,
-0.452124,-0.757852,
-0.608383,-0.828215,
-0.642651,-0.837603,
-0.5429,-0.792871,
-0.268937,-0.617029,
-0.326418,-0.646956,
-0.590873,-0.806733,
-0.453705,-0.719715,
-0.747989,-0.857581,
-0.395388,-0.616446,
-0.409219,-0.595235,
-0.490056,-0.665248,
-0.695561,-0.78719,
-0.380932,-0.526699,
-0.656771,-0.737484,
-0.599314,-0.674866,
-0.964908,-0.858403,
-0.991293,-0.838177,
-0.756629,-0.666026,
-0.551012,-0.486824,
-0.813796,-0.703023,
-0.76563,-0.605439,
-0.891752,-0.689751,
-0.500539,-0.253884,
-0.587397,-0.343277,
-0.74206,-0.505301,
-0.779464,-0.51348,
-0.517876,-0.212684,
-0.304117,0.056052,
-0.423174,-0.113614,
-0.391901,-0.0537892,
-0.307132,0.0511664,
-0.199363,0.173313,
