Sensor X0,Motor Y0,
0.0320907,0.0320797,
-0.0450543,-0.0450239,
0.0462292,0.0461963,
0.0164796,0.0164781,
-0.100879,-0.100538,
-0.185061,-0.182977,
-0.0812436,-0.0810653,
-0.142256,-0.141304,
-0.134018,-0.133221,
0.00861134,0.00861113,
0.0900184,0.0897761,
0.17075,0.16911,
0.286569,0.278974,
0.234711,0.230494,
0.356202,0.341864,
0.476662,0.443567,
0.319383,0.308949,
0.357917,0.343378,
0.298046,0.289524,
0.14553,0.144512,
0.0134404,0.0134396,
0.15463,0.153409,
0.258685,0.253065,
0.264993,0.25896,
0.337035,0.324827,
0.375145,0.358483,
0.220268,0.216773,
0.346324,0.333111,
0.399397,0.379433,
0.450993,0.422715,
0.378929,0.361777,
0.26157,0.255763,
0.369786,0.353804,
0.302905,0.293969,
0.411981,0.390153,
0.446154,0.418733,
0.445325,0.418048,
0.525651,0.48205,
0.609241,0.543592,
0.638023,0.563552,
0.686843,0.59595,
0.510698,0.470489,
0.596527,0.534574,
0.648892,0.570924,
0.55051,0.500902,
0.43522,0.409675,
0.351912,0.33807,
0.255902,0.250459,
0.183329,0.181302,
0.156253,0.154993,
0.277035,0.270158,
0.157981,0.15668,
0.234822,0.230599,
0.3611,0.346175,
0.311132,0.300716,
0.261315,0.254427,
0.174105,0.171003,
0.094327,0.0920365,
0.161681,0.158231,
0.246272,0.239616,
0.313138,0.301755,
0.436786,0.410289,
0.416758,0.39309,
0.315108,0.302936,
0.372733,0.354563,
0.494784,0.456759,
0.53468,0.486442,
0.376913,0.355494,
0.228963,0.217265,
0.128662,0.116889,
0.212792,0.199984,
0.276658,0.26071,
0.158053,0.14594,
0.0572388,0.0447358,
-0.0676237,-0.082204,
-0.215987,-0.229666,
-0.357968,-0.360877,
-0.233957,-0.24537,
-0.341258,-0.34488,
-0.377373,-0.376892,
-0.280983,-0.289085,
-0.273339,-0.281586,
-0.295813,-0.302781,
-0.422889,-0.416126,
-0.338938,-0.341378,
-0.19371,-0.20327,
-0.0899859,-0.098483,
-0.05981,-0.0671228,
0.0072181,0.00169568,
0.129309,0.127089,
0.2264,0.224732,
0.297876,0.294446,
0.439524,0.42219,
0.421368,0.405146,
0.50415,0.474592,
0.347691,0.339818,
0.264231,0.258663,
0.177404,0.17211,
0.11717,0.110004,
0.0294323,0.0191575,
0.0590791,0.0501463,
0.0954859,0.0877713,
0.229211,0.223192,
0.237024,0.230306,
0.11429,0.106119,
0.133881,0.126322,
0.111597,0.103372,
0.207677,0.201279,
0.0522482,0.0411673,
0.0707117,0.0607391,
-0.0190934,-0.0330584,
-0.0381733,-0.0532042,
-0.111717,-0.129506,
