Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0.157981,0.15668,0.157981,0.15668,
0.234641,0.230427,0.234467,0.230262,
0.360027,0.345232,0.358986,0.344311,
0.309221,0.298996,0.307363,0.297319,
0.259234,0.252502,0.257204,0.250602,
0.171905,0.168895,0.16976,0.166809,
0.0919156,0.0896891,0.0895667,0.0873416,
0.159038,0.155697,0.156458,0.153167,
0.24324,0.2368,0.240259,0.233977,
0.309579,0.298568,0.306059,0.295347,
0.431842,0.40623,0.426933,0.40209,
0.411406,0.388683,0.406153,0.384172,
0.309176,0.297646,0.303368,0.292312,
0.366828,0.349466,0.361014,0.34435,
0.488033,0.451459,0.481349,0.446152,
0.525295,0.479383,0.516104,0.472416,
0.367047,0.347052,0.357439,0.3388,
0.218593,0.207633,0.208504,0.198264,
0.11654,0.105199,0.104738,0.0939052,
0.200556,0.18848,0.188635,0.177389,
0.263372,0.248597,0.250442,0.236854,
0.144434,0.132853,0.131223,0.120266,
0.0437449,0.0314804,0.0306805,0.0188566,
-0.0808798,-0.0951903,-0.093681,-0.107461,
-0.228539,-0.241384,-0.240641,-0.252408,
-0.369622,-0.370819,-0.380865,-0.380111,
-0.244554,-0.255094,-0.254684,-0.263976,
-0.350945,-0.353116,-0.360136,-0.36056,
-0.386653,-0.38454,-0.395433,-0.391424,
-0.289977,-0.297018,-0.298455,-0.30407,
-0.281944,-0.289176,-0.290014,-0.295893,
-0.304385,-0.310232,-0.312421,-0.316849,
-0.430871,-0.422389,-0.438342,-0.427959,
-0.345678,-0.346923,-0.35184,-0.351644,
-0.199862,-0.208741,-0.20542,-0.213245,
-0.0956412,-0.103642,-0.100676,-0.107728,
-0.065019,-0.0718461,-0.069595,-0.0754201,
0.00175529,-0.00335228,-0.00308429,-0.00722183,
0.12329,0.121515,0.117916,0.117187,
0.219797,0.218713,0.213847,0.214016,
0.291253,0.288576,0.285283,0.284073,
0.432812,0.416784,0.426848,0.412753,
0.413325,0.398458,0.40589,0.393228,
0.495392,0.46777,0.487323,0.46241,
0.339477,0.332494,0.331766,0.326826,
0.253723,0.248942,0.243885,0.240785,
0.166585,0.161775,0.156452,0.152917,
0.105451,0.0986658,0.0944747,0.0887356,
0.0174739,0.00750064,0.00628512,-0.00274193,
0.156734,0.151431,0.258652,0.254462,
0.00572115,-0.00580754,-0.08223,-0.0991707,
0.0874169,0.0797087,-0.0492151,-0.0629956,
0.262246,0.256893,0.288808,0.286595,
0.141223,0.13465,0.16755,0.162119,
0.200228,0.194252,0.266478,0.261062,
0.172041,0.165772,0.232281,0.226956,
0.123517,0.115637,0.0399686,0.024265,
-0.0458551,-0.0618943,-0.14676,-0.175059,
-0.0117703,-0.025008,-0.0956213,-0.11905,
-0.157844,-0.17644,-0.301623,-0.327127,
-0.0468712,-0.061482,-0.0554124,-0.0739698,
-0.0399621,-0.0548839,0.0310429,0.0184993,
-0.304609,-0.322624,-0.386338,-0.410601,
-0.553686,-0.535251,-0.755216,-0.680684,
-0.413737,-0.411934,-0.48671,-0.449211,
-0.184785,-0.18845,-0.0582463,-0.00137118,
-0.273603,-0.277155,-0.133945,-0.0849585,
-0.285933,-0.290661,-0.186756,-0.147539,
-0.562596,-0.53479,-0.687604,-0.610097,
-0.631318,-0.575685,-0.714775,-0.600504,
-0.337745,-0.329654,-0.206022,-0.124801,
-0.419224,-0.403692,-0.297214,-0.219471,
-0.485659,-0.462086,-0.335087,-0.258312,
-0.321375,-0.309313,-0.16503,-0.0703074,
-0.426671,-0.407027,-0.26701,-0.187196,
-0.784022,-0.676609,-1.02624,-0.784268,
-0.403396,-0.340367,-0.238786,-0.108852,
-0.511036,-0.432969,-0.390487,-0.242251,
-0.727493,-0.601952,-0.79443,-0.60783,
-0.654281,-0.533101,-0.565025,-0.377054,
-0.698188,-0.566734,-0.566582,-0.377875,
-0.514295,-0.409322,-0.274363,-0.0529666,
-0.745499,-0.595246,-0.748086,-0.539245,
