Sensor X0,Motor Y0,
0,0,
0.0174524,0.0174506,
0.0348995,0.0348853,
0.052336,0.0522882,
0.0697565,0.0696435,
0.0871557,0.0869357,
0.104528,0.104149,
0.121869,0.12127,
0.139173,0.138281,
0.156434,0.155171,
0.173648,0.171924,
0.190809,0.188527,
0.207912,0.204967,
0.224951,0.221232,
0.241922,0.23731,
0.258819,0.253191,
0.275637,0.268863,
0.292372,0.284316,
0.309017,0.299543,
0.325568,0.314533,
0.34202,0.32928,
0.358368,0.343776,
0.374607,0.358014,
0.390731,0.37199,
0.406737,0.385698,
0.422618,0.399134,
0.438371,0.412293,
0.45399,0.425174,
0.469472,0.437772,
0.48481,0.450087,
0.5,0.462117,
0.515038,0.473861,
0.529919,0.485319,
0.544639,0.496492,
0.559193,0.507378,
0.573576,0.517981,
0.587785,0.528301,
0.601815,0.53834,
0.615661,0.5481,
0.62932,0.557584,
0.642788,0.566795,
0.656059,0.575735,
0.669131,0.584408,
0.681998,0.592817,
0.694658,0.600966,
0.707107,0.608859,
0.71934,0.6165,
0.731354,0.623893,
0.743145,0.631041,
0.75471,0.63795,
0.766044,0.644623,
0.777146,0.651066,
0.788011,0.657281,
0.798636,0.657441,
0.809017,0.658025,
0.819152,0.658303,
0.829038,0.658209,
0.838671,0.658208,
0.848048,0.657838,
0.857167,0.657856,
0.866025,0.658031,
0.87462,0.657525,
0.882948,0.656715,
0.891007,0.656479,
0.898794,0.656113,
0.906308,0.655116,
0.913545,0.655341,
0.920505,0.654519,
0.927184,0.653381,
0.93358,0.653112,
0.939693,0.653962,
0.945519,0.654261,
0.951057,0.652705,
0.956305,0.653931,
0.961262,0.653179,
0.965926,0.65222,
0.970296,0.653272,
0.97437,0.653462,
0.978148,0.653167,
0.981627,0.654927,
0.984808,0.654021,
0.987688,0.656132,
0.990268,0.655533,
0.992546,0.656248,
0.994522,0.655825,
0.996195,0.657505,
0.997564,0.659323,
0.99863,0.657439,
0.999391,0.656685,
0.999848,0.659242,
1,0.657411,
0.999848,0.657395,
0.999391,0.657976,
0.99863,0.657296,
0.997564,0.658103,
0.996195,0.656139,
0.994522,0.65658,
0.992546,0.655943,
0.990268,0.656247,
0.987688,0.656513,
0.984808,0.656234,
0.981627,0.654385,
0.978148,0.653088,
0.97437,0.652773,
0.970296,0.648248,
0.965926,0.647924,
0.961262,0.64702,
0.956305,0.64348,
0.951057,0.638357,
0.945519,0.632431,
0.939693,0.627056,
0.93358,0.622906,
0.927184,0.620138,
0.920505,0.615204,
0.913545,0.612136,
0.906308,0.609244,
0.898794,0.606394,
0.891007,0.601181,
0.882948,0.597668,
0.87462,0.59424,
0.866025,0.586863,
0.857167,0.583145,
0.848048,0.574859,
0.838671,0.570532,
0.829038,0.562088,
0.819152,0.557865,
0.809017,0.547511,
0.798636,0.543111,
0.788011,0.535023,
0.777146,0.528978,
0.766044,0.522008,
0.75471,0.510835,
0.743145,0.500389,
0.731354,0.490312,
0.71934,0.477782,
0.707107,0.467194,
0.694658,0.455336,
0.681998,0.447988,
0.669131,0.440274,
0.656059,0.429498,
0.642788,0.421799,
0.62932,0.414003,
0.615661,0.404805,
0.601815,0.39311,
0.587785,0.37829,
0.573576,0.365404,
0.559193,0.350713,
0.544639,0.341546,
0.529919,0.331325,
0.515038,0.313567,
0.5,0.302442,
0.48481,0.285077,
0.469472,0.274075,
0.453991,0.255156,
0.438371,0.24423,
0.422618,0.225837,
0.406737,0.214297,
0.390731,0.203462,
0.374607,0.183935,
0.358368,0.16707,
0.34202,0.153863,
0.325568,0.140857,
0.309017,0.125622,
0.292372,0.10509,
0.275637,0.0850891,
0.258819,0.0691913,
0.241922,0.0513037,
0.224951,0.0329355,
0.207912,0.0156147,
0.190809,-0.00414441,
0.173648,-0.0182192,
0.156434,-0.0365805,
0.139173,-0.0572018,
0.121869,-0.0732536,
0.104528,-0.0961749,
0.0871557,-0.114163,
0.0697565,-0.134714,
0.052336,-0.152752,
0.0348995,-0.168937,
0.0174524,-0.179516,
3.58979e-09,-0.198788,
-0.0174524,-0.217569,
-0.0348995,-0.23617,
-0.052336,-0.25307,
-0.0697565,-0.268825,
-0.0871557,-0.285583,
-0.104528,-0.299501,
-0.121869,-0.315099,
-0.139173,-0.330944,
-0.156434,-0.343486,
-0.173648,-0.355355,
-0.190809,-0.365344,
-0.207912,-0.381865,
-0.224951,-0.39781,
-0.241922,-0.406427,
-0.258819,-0.420771,
-0.275637,-0.431187,
-0.292372,-0.444795,
-0.309017,-0.454811,
-0.325568,-0.468434,
-0.34202,-0.478705,
-0.358368,-0.488823,
-0.374607,-0.497808,
-0.390731,-0.505036,
-0.406737,-0.515797,
-0.422618,-0.523362,
-0.438371,-0.533582,
-0.45399,-0.542778,
-0.469472,-0.555161,
-0.48481,-0.562348,
-0.5,-0.570883,
-0.515038,-0.580785,
-0.529919,-0.586165,
-0.544639,-0.593692,
-0.559193,-0.602721,
-0.573576,-0.614189,
-0.587785,-0.621491,
-0.601815,-0.627767,
-0.615661,-0.637718,
-0.62932,-0.644427,
-0.642788,-0.648081,
-0.656059,-0.654321,
-0.669131,-0.663027,
-0.681998,-0.672715,
-0.694658,-0.677297,
-0.707107,-0.685217,
-0.71934,-0.691275,
-0.731354,-0.697221,
-0.743145,-0.701852,
-0.75471,-0.709229,
-0.766044,-0.712398,
-0.777146,-0.718964,
-0.788011,-0.721207,
-0.798636,-0.726638,
-0.809017,-0.733404,
-0.819152,-0.738829,
-0.829038,-0.743558,
-0.838671,-0.746194,
-0.848048,-0.748218,
-0.857167,-0.753219,
-0.866025,-0.757453,
-0.87462,-0.761825,
-0.882948,-0.76316,
-0.891007,-0.767553,
-0.898794,-0.767753,
-0.906308,-0.773168,
-0.913545,-0.775648,
-0.920505,-0.778029,
-0.927184,-0.77768,
-0.93358,-0.779664,
-0.939693,-0.778465,
-0.945519,-0.779184,
-0.951057,-0.783878,
-0.956305,-0.786057,
-0.961262,-0.784403,
-0.965926,-0.783768,
-0.970296,-0.785127,
-0.97437,-0.787742,
-0.978148,-0.789869,
-0.981627,-0.792113,
-0.984808,-0.791471,
-0.987688,-0.794454,
-0.990268,-0.793387,
-0.992546,-0.793184,
-0.994522,-0.792062,
-0.996195,-0.796373,
-0.997564,-0.79296,
-0.99863,-0.796128,
-0.999391,-0.795166,
-0.999848,-0.793621,
-1,-0.793866,
-0.999848,-0.797492,
-0.999391,-0.800134,
-0.99863,-0.801549,
-0.997564,-0.802332,
-0.996195,-0.798427,
-0.994522,-0.799289,
-0.992546,-0.796895,
-0.990268,-0.797214,
-0.987688,-0.796791,
-0.984808,-0.793032,
-0.981627,-0.78676,
-0.978148,-0.776277,
-0.97437,-0.773117,
-0.970296,-0.768384,
-0.965926,-0.763035,
-0.961262,-0.762147,
-0.956305,-0.760656,
-0.951057,-0.758333,
-0.945519,-0.753729,
-0.939693,-0.750306,
-0.93358,-0.744929,
-0.927184,-0.740903,
-0.920505,-0.740176,
-0.913545,-0.736798,
-0.906308,-0.733154,
-0.898794,-0.731655,
-0.891007,-0.727538,
-0.882948,-0.722204,
-0.87462,-0.716394,
-0.866025,-0.713629,
-0.857167,-0.710792,
-0.848048,-0.703956,
-0.838671,-0.700139,
-0.829038,-0.695317,
-0.819152,-0.69254,
-0.809017,-0.688552,
-0.798636,-0.680555,
-0.788011,-0.67308,
-0.777146,-0.667308,
-0.766044,-0.658669,
-0.75471,-0.649791,
-0.743145,-0.641946,
-0.731354,-0.633408,
-0.71934,-0.628975,
-0.707107,-0.624603,
-0.694658,-0.618101,
-0.681998,-0.613069,
-0.669131,-0.607756,
-0.656059,-0.599572,
-0.642788,-0.589866,
-0.62932,-0.580455,
-0.615661,-0.572963,
-0.601815,-0.564796,
-0.587785,-0.553387,
-0.573576,-0.540782,
-0.559193,-0.526906,
-0.544639,-0.512377,
-0.529919,-0.501845,
-0.515038,-0.488437,
-0.5,-0.473541,
-0.48481,-0.458343,
-0.469472,-0.440283,
-0.453991,-0.425794,
-0.438371,-0.417601,
-0.422618,-0.404741,
-0.406737,-0.388041,
-0.390731,-0.376118,
-0.374607,-0.365239,
-0.358368,-0.350481,
-0.34202,-0.33173,
-0.325568,-0.32253,
-0.309017,-0.309172,
-0.292372,-0.294138,
-0.275637,-0.27514,
-0.258819,-0.26132,
-0.241922,-0.245574,
-0.224951,-0.235043,
-0.207912,-0.217538,
-0.190809,-0.198428,
-0.173648,-0.181253,
-0.156434,-0.169917,
-0.139173,-0.155833,
-0.121869,-0.145892,
-0.104528,-0.12605,
-0.0871557,-0.114395,
-0.0697565,-0.0915792,
-0.052336,-0.0735202,
-0.0348995,-0.0502634,
-0.0174524,-0.0398913,
-7.17959e-09,-0.0274949,
0.0174524,-0.00760086,
0.0348995,0.0139316,
0.0523359,0.0234867,
0.0697565,0.0370236,
0.0871557,0.0602253,
0.104528,0.0762441,
0.121869,0.0847572,
0.139173,0.0986875,
0.156434,0.119392,
0.173648,0.135736,
0.190809,0.146534,
0.207912,0.168536,
0.224951,0.189369,
0.241922,0.20494,
0.258819,0.221316,
0.275637,0.232403,
0.292372,0.242475,
0.309017,0.262165,
0.325568,0.28158,
0.34202,0.299345,
0.358368,0.310344,
0.374607,0.317991,
0.390731,0.328275,
0.406737,0.341757,
0.422618,0.358881,
0.438371,0.369365,
0.45399,0.380159,
0.469472,0.391471,
0.48481,0.401808,
0.5,0.414725,
0.515038,0.427965,
0.529919,0.43415,
0.544639,0.444927,
0.559193,0.458772,
0.573576,0.467496,
0.587785,0.476858,
0.601815,0.484888,
0.615661,0.49275,
0.62932,0.504007,
0.642788,0.508918,
0.656059,0.520896,
0.669131,0.532756,
0.681998,0.536283,
0.694658,0.546438,
0.707107,0.553561,
0.71934,0.562781,
0.731354,0.566132,
0.743145,0.573646,
0.75471,0.580436,
0.766044,0.581988,
0.777146,0.587262,
0.788011,0.588014,
0.798636,0.589158,
0.809017,0.596686,
0.819152,0.602461,
0.829038,0.6029,
0.838671,0.604401,
0.848048,0.60467,
0.857167,0.610867,
0.866025,0.619073,
0.87462,0.626434,
0.882948,0.628719,
0.891007,0.636375,
0.898794,0.637577,
0.906308,0.637961,
0.913545,0.63968,
0.920505,0.647668,
0.927184,0.652333,
0.93358,0.657533,
0.939693,0.660921,
0.945519,0.666208,
0.951057,0.669289,
0.956305,0.670781,
0.961262,0.676103,
0.965926,0.676757,
0.970296,0.682988,
0.97437,0.684842,
0.978148,0.686836,
0.981627,0.689427,
0.984808,0.687563,
0.987688,0.690514,
0.990268,0.689278,
0.992546,0.68914,
0.994522,0.685326,
0.996195,0.684233,
0.997564,0.682446,
0.99863,0.682232,
0.999391,0.686243,
0.999848,0.685736,
1,0.691804,
0.999848,0.691017,
0.999391,0.687458,
0.99863,0.686473,
0.997564,0.685302,
0.996195,0.685388,
0.994522,0.686411,
0.992546,0.687349,
0.990268,0.684197,
0.987688,0.680266,
0.984808,0.67781,
0.981627,0.681072,
0.978148,0.684643,
0.97437,0.687625,
0.970296,0.684349,
0.965926,0.686586,
0.961262,0.684381,
0.956305,0.68149,
0.951057,0.679959,
0.945519,0.684632,
0.939693,0.689666,
0.93358,0.690321,
0.927184,0.689369,
0.920505,0.682083,
0.913545,0.673436,
0.906308,0.673591,
0.898794,0.670206,
0.891007,0.662426,
