Sensor X1,Motor Y1,
0.777146,0.651066,
0.788563,0.657594,
0.789471,0.652302,
0.791041,0.648794,
0.79235,0.645301,
0.793204,0.64168,
0.794075,0.638638,
0.794355,0.635485,
0.794693,0.633067,
0.79586,0.631533,
0.796999,0.629784,
0.796619,0.627263,
0.797635,0.626179,
0.798842,0.62523,
0.798536,0.623277,
0.800269,0.62318,
0.799866,0.621509,
0.799751,0.620175,
0.801022,0.620156,
0.80361,0.621244,
0.804357,0.620963,
0.803857,0.619553,
0.806416,0.620925,
0.806585,0.620261,
0.807302,0.620011,
0.810001,0.621555,
0.811332,0.62198,
0.812468,0.622248,
0.815307,0.62407,
0.815587,0.623647,
0.818479,0.625617,
0.818704,0.625293,
0.820349,0.626251,
0.821124,0.626445,
0.822993,0.627793,
0.823855,0.628516,
0.822859,0.627331,
0.823257,0.627359,
0.824361,0.628558,
0.822839,0.627143,
0.822607,0.627048,
0.822033,0.6269,
0.820682,0.626012,
0.819561,0.625674,
0.817333,0.624015,
0.815689,0.623361,
0.813196,0.621955,
0.810569,0.620757,
0.807326,0.619235,
0.593843,0.47135,
0.593186,0.469138,
0.598779,0.473416,
0.590101,0.467596,
0.589151,0.4662,
0.588233,0.46535,
0.578152,0.458777,
0.568285,0.452477,
0.566842,0.451155,
0.566874,0.449458,
0.569568,0.449972,
0.562465,0.445094,
0.560174,0.443444,
0.558816,0.441416,
0.554187,0.438867,
0.551212,0.435916,
0.546076,0.433093,
0.540783,0.429942,
0.540492,0.430301,
0.540019,0.429113,
0.534372,0.423523,
0.526981,0.420493,
0.525604,0.417022,
0.521444,0.415788,
0.521298,0.415935,
0.519851,0.414373,
0.517303,0.410697,
0.51553,0.411348,
0.511083,0.405688,
0.508122,0.406214,
0.500523,0.398195,
0.497044,0.395556,
0.490306,0.388053,
0.487487,0.385749,
0.476034,0.37236,
0.460694,0.357467,
0.458333,0.357001,
0.455175,0.355334,
0.435584,0.336395,
0.430037,0.33417,
0.418916,0.324784,
0.404319,0.312364,
0.392494,0.303467,
0.374934,0.285769,
0.36711,0.279294,
0.350506,0.261371,
0.334221,0.24559,
0.314683,0.227955,
0.294325,0.209708,
0.27465,0.189008,
0.260037,0.177184,
0.244719,0.159816,
0.224767,0.140716,
0.218545,0.135376,
0.200898,0.116175,
0.183481,0.0973575,
0.173962,0.0911357,
0.167246,0.0877179,
0.162234,0.081451,
0.15408,0.0721549,
0.142122,0.0601681,
0.126377,0.0443936,
0.113554,0.0336408,
0.0974797,0.0136359,
0.0784569,-0.00747069,
0.0592347,-0.0266681,
0.044909,-0.039997,
0.0280274,-0.0592823,
0.00994142,-0.077926,
-0.00158846,-0.0880565,
-0.0191268,-0.107098,
-0.0310206,-0.116338,
-0.0490926,-0.139285,
-0.0630812,-0.149475,
-0.0803529,-0.173478,
-0.0943321,-0.182074,
-0.110233,-0.206251,
-0.130751,-0.222434,
-0.146691,-0.240384,
-0.165372,-0.253529,
-0.180212,-0.265128,
-0.193341,-0.278985,
-0.208726,-0.294686,
-0.221633,-0.304645,
-0.234469,-0.318508,
-0.249324,-0.331346,
-0.26515,-0.350473,
-0.288772,-0.37203,
-0.310282,-0.387365,
-0.329715,-0.406561,
-0.353822,-0.424763,
-0.376826,-0.438951,
-0.394574,-0.452597,
-0.407073,-0.461282,
-0.422547,-0.471903,
-0.437211,-0.482422,
-0.460937,-0.502041,
-0.484729,-0.519163,
-0.492547,-0.51994,
-0.515578,-0.540091,
-0.526745,-0.544261,
-0.550828,-0.562732,
-0.558826,-0.563726,
-0.584013,-0.58177,
-0.59426,-0.585632,
-0.618812,-0.602595,
-0.64365,-0.618293,
-0.653561,-0.620823,
-0.669039,-0.632263,
-0.69324,-0.646829,
-0.717615,-0.660466,
-0.736281,-0.670263,
-0.747783,-0.673029,
-0.757906,-0.681928,
-0.777073,-0.693516,
-0.794902,-0.70269,
-0.811339,-0.7105,
-0.831033,-0.720039,
-0.84523,-0.726702,
-0.871827,-0.739128,
-0.886267,-0.743563,
-0.898055,-0.751761,
-0.919325,-0.762512,
-0.925178,-0.76488,
-0.942084,-0.77295,
-0.950381,-0.77655,
-0.965582,-0.78269,
-0.983014,-0.788705,
-1.02065,-0.8003,
-1.01772,-0.797776,
-1.0228,-0.801556,
-1.02688,-0.803172,
-1.03822,-0.808692,
-1.04882,-0.811967,
-1.05174,-0.812282,
-1.07232,-0.816745,
-1.07746,-0.816758,
-1.07773,-0.816994,
-1.10223,-0.824202,
-1.13122,-0.830453,
-1.1745,-0.838126,
-1.15217,-0.823699,
-1.13823,-0.818726,
-1.20227,-0.833206,
-1.18824,-0.819406,
-1.22932,-0.827335,
-1.21814,-0.811874,
-1.25877,-0.817124,
-1.23439,-0.795673,
-1.26512,-0.799066,
-1.28535,-0.792957,
-1.32133,-0.794082,
-1.39818,-0.802211,
-1.38141,-0.766093,
-1.42805,-0.763849,
-1.4084,-0.722202,
-1.40929,-0.702331,
-1.34695,-0.641386,
-1.38838,-0.642702,
-1.3766,-0.595209,
-1.34116,-0.542519,
-1.39232,-0.545826,
-1.36131,-0.46828,
-1.32037,-0.406518,
-1.25787,-0.31883,
-1.26215,-0.304054,
-1.25871,-0.242669,
-1.21345,-0.172551,
-1.21172,-0.139128,
-1.23742,-0.124984,
-1.21362,-0.0738746,
-1.17339,-0.0237647,
-1.13428,0.0207802,
-1.14565,0.00640407,
-1.11226,0.0400665,
-1.09996,0.058819,
-1.08873,0.0688156,
-1.08727,0.0725687,
-1.05482,0.105802,
-1.0591,0.100246,
-1.03548,0.118547,
-1.03243,0.119288,
-1.02149,0.145059,
-0.98976,0.180773,
-0.968797,0.203518,
-0.951033,0.219581,
-0.951312,0.218178,
-0.959779,0.198165,
-0.945191,0.208404,
-0.92831,0.229371,
-0.907249,0.248024,
-0.913658,0.240364,
-0.893246,0.25834,
-0.905047,0.242663,
-0.873708,0.268807,
-0.860086,0.280749,
-0.845732,0.28573,
-0.853453,0.267825,
-0.849221,0.270831,
-0.869371,0.249852,
-0.874396,0.240222,
-0.840027,0.276931,
-0.823025,0.293958,
-0.84021,0.263175,
-0.852672,0.244744,
-0.845226,0.249708,
-0.823912,0.270179,
-0.805824,0.293371,
-0.783751,0.319613,
-0.788057,0.305196,
-0.758421,0.34721,
-0.763016,0.339021,
-0.759924,0.343517,
-0.767134,0.336619,
-0.720878,0.387102,
-0.739606,0.333091,
-0.704369,0.381666,
-0.701759,0.359336,
-0.703301,0.337947,
-0.69214,0.355311,
-0.650395,0.41554,
-0.613835,0.448524,
-0.583514,0.463194,
-0.554801,0.479298,
-0.552583,0.465529,
-0.526071,0.515632,
-0.514667,0.528222,
-0.486513,0.573547,
-0.456597,0.5975,
-0.440796,0.612703,
-0.435342,0.622392,
-0.449405,0.598547,
-0.437245,0.644476,
-0.433175,0.63779,
-0.432208,0.615603,
-0.419869,0.648225,
-0.409133,0.663782,
-0.398879,0.659445,
-0.394666,0.636257,
-0.387544,0.645795,
-0.38107,0.643159,
-0.374178,0.638909,
-0.359995,0.669937,
-0.343536,0.661954,
-0.331504,0.676506,
-0.316958,0.697928,
-0.299921,0.688614,
-0.289047,0.674063,
-0.277955,0.678919,
-0.264153,0.713954,
-0.24464,0.725718,
-0.22756,0.698557,
-0.213436,0.715837,
-0.195453,0.707079,
-0.176787,0.73274,
-0.154835,0.728971,
-0.141785,0.727505,
-0.131205,0.733846,
-0.116242,0.757841,
-0.101879,0.743451,
-0.0919484,0.738814,
-0.0799949,0.751704,
-0.0655798,0.76282,
-0.0489293,0.776133,
-0.0214411,0.783133,
0.00163736,0.793841,
0.0222695,0.806742,
0.0472093,0.808218,
0.0663539,0.80599,
0.0807549,0.810701,
0.0945778,0.816386,
0.112304,0.82214,
0.132506,0.833923,
0.146595,0.839222,
0.156647,0.842005,
0.163847,0.844455,
0.169344,0.844305,
0.183671,0.851851,
0.197509,0.857331,
0.207098,0.863271,
0.21765,0.868791,
0.226402,0.862797,
0.241847,0.868363,
0.270119,0.8806,
0.290343,0.880661,
0.305684,0.885212,
0.328172,0.89395,
0.350904,0.898127,
0.369311,0.899258,
0.38228,0.900056,
0.408395,0.910353,
0.428134,0.90913,
0.446392,0.908171,
0.460909,0.910178,
0.482205,0.9174,
0.500443,0.917501,
0.524104,0.923732,
0.537749,0.918705,
0.553638,0.920945,
0.572347,0.925328,
0.596913,0.929905,
0.612479,0.933215,
0.634363,0.936948,
0.641752,0.919822,
0.666481,0.927055,
0.670281,0.91561,
0.690391,0.921369,
0.697774,0.917118,
0.728516,0.92528,
0.744595,0.923968,
0.75063,0.917372,
0.7589,0.916054,
0.789165,0.920712,
0.800503,0.920582,
0.801149,0.913618,
0.818569,0.911368,
0.845241,0.917007,
0.855777,0.916403,
0.868287,0.906818,
0.86933,0.897576,
0.891886,0.906765,
0.888884,0.896853,
0.892305,0.890494,
0.900146,0.895151,
0.907649,0.892182,
0.926679,0.898378,
0.946947,0.904103,
0.939365,0.895625,
0.932379,0.889954,
0.929192,0.88949,
0.946547,0.900235,
0.975714,0.908445,
0.990174,0.894365,
0.992325,0.875824,
0.974567,0.862799,
0.991797,0.870723,
1.00454,0.867146,
1.0098,0.845873,
1.02076,0.831399,
1.01185,0.797013,
0.999383,0.759178,
1.03667,0.786115,
1.03096,0.714794,
1.00775,0.666954,
1.01949,0.667045,
1.02201,0.637682,
1.03271,0.630356,
1.04448,0.622138,
1.02954,0.588999,
1.05938,0.638943,
1.0287,0.564998,
0.994068,0.531866,
1.03263,0.58666,
1.00756,0.46915,
1.00725,0.492986,
0.989416,0.437209,
1.02069,0.520105,
1.01139,0.445976,
1.00328,0.422952,
1.04415,0.47416,
1.0442,0.387159,
1.09153,0.500731,
1.12396,0.50603,
1.06873,0.412302,
1.04266,0.376182,
1.07474,0.441745,
1.0691,0.386674,
1.06735,0.347866,
0.996556,0.201867,
0.948154,0.173063,
0.915526,0.184001,
0.912579,0.252271,
0.874733,0.155862,
0.870467,0.192659,
0.872011,0.158551,
0.858201,0.140637,
0.821794,-0.00716326,
0.801284,-0.0421782,
0.781022,-0.115847,
0.770828,-0.120908,
0.749132,-0.146042,
0.736661,-0.173621,
0.732289,-0.110596,
0.714189,-0.165351,
0.706887,-0.120926,
0.683159,-0.276389,
0.670698,-0.25961,
0.66014,-0.304684,
0.646005,-0.285695,
0.646572,-0.19554,
0.634705,-0.310527,
0.633235,-0.298181,
0.630271,-0.310788,
0.640764,-0.269408,
0.637042,-0.350582,
0.630348,-0.30347,
0.617259,-0.373301,
0.586967,-0.440443,
0.576257,-0.452156,
0.53951,-0.53362,
0.52924,-0.493178,
0.528722,-0.501974,
0.518796,-0.560732,
0.506838,-0.602766,
0.489652,-0.644035,
0.470371,-0.690595,
0.452417,-0.752238,
0.440804,-0.751178,
0.434631,-0.723494,
0.424586,-0.756371,
0.408811,-0.813293,
0.382277,-0.846884,
0.351957,-0.884092,
0.315992,-0.870714,
0.308162,-0.891252,
0.276856,-0.841873,
0.264414,-0.823473,
0.252136,-0.823521,
0.228376,-0.844395,
0.192493,-0.86683,
0.158824,-0.86312,
0.143104,-0.870158,
0.128318,-0.839524,
0.124086,-0.808711,
0.11794,-0.84508,
0.102621,-0.834167,
0.0927607,-0.813137,
0.0855294,-0.796306,
0.0786809,-0.789984,
0.0660169,-0.812117,
0.0524032,-0.771195,
0.040279,-0.812239,
0.0235006,-0.821794,
0.00801597,-0.820799,
-0.00489771,-0.808331,
-0.0160727,-0.802705,
-0.0290326,-0.798319,
-0.0410738,-0.829108,
-0.0624246,-0.81819,
-0.0788287,-0.821408,
-0.0905626,-0.81806,
-0.104667,-0.836361,
-0.120511,-0.837041,
-0.132432,-0.828004,
-0.147267,-0.849629,
-0.165069,-0.834889,
-0.179459,-0.844617,
-0.19218,-0.832519,
-0.206366,-0.849585,
-0.223074,-0.859066,
-0.236396,-0.863135,
-0.244801,-0.871152,
-0.253597,-0.871648,
-0.262431,-0.878657,
-0.275144,-0.883662,
-0.282561,-0.848636,
-0.29426,-0.846778,
-0.322281,-0.872929,
-0.34354,-0.860378,
-0.368618,-0.871373,
-0.391725,-0.872579,
-0.413028,-0.88087,
-0.436152,-0.892938,
-0.459926,-0.887586,
-0.479219,-0.880457,
-0.495112,-0.849203,
-0.513939,-0.847459,
-0.523057,-0.834075,
-0.550683,-0.790496,
-0.572302,-0.760421,
-0.594846,-0.729176,
-0.614509,-0.699647,
-0.632043,-0.678756,
-0.646014,-0.620696,
-0.665487,-0.617865,
-0.683946,-0.613527,
-0.702845,-0.590432,
-0.716549,-0.579189,
-0.728732,-0.534604,
-0.749183,-0.509349,
-0.760424,-0.469098,
-0.782556,-0.465978,
-0.795833,-0.442571,
-0.818997,-0.432804,
-0.838673,-0.419678,
-0.844354,-0.392458,
-0.861001,-0.375466,
-0.881308,-0.36536,
-0.880376,-0.34783,
-0.906731,-0.342877,
-0.913031,-0.330052,
-0.933996,-0.323164,
-0.955991,-0.326041,
-0.959671,-0.31534,
-0.976341,-0.31255,
-0.982047,-0.301253,
-1.00904,-0.291239,
-0.993889,-0.289168,
-1.00625,-0.289515,
-1.00313,-0.277351,
-1.01765,-0.299621,
-1.03003,-0.319959,
-1.03368,-0.34736,
-1.02795,-0.380126,
-1.05716,-0.366493,
-1.06401,-0.37713,
-1.05833,-0.406073,
-1.06303,-0.435685,
-1.06854,-0.407147,
-1.07754,-0.413664,
-1.0767,-0.453506,
-1.11873,-0.588719,
-1.07031,-0.466223,
-1.07196,-0.451097,
-1.07599,-0.41916,
-1.06075,-0.423223,
-1.05089,-0.402697,
-1.04792,-0.376808,
-1.05097,-0.355957,
-1.05978,-0.373735,
-1.07902,-0.375889,
-1.07237,-0.379204,
-1.08932,-0.36989,
-1.08008,-0.365109,
-1.05478,-0.337193,
-1.06388,-0.338716,
-1.04574,-0.351334,
-1.03272,-0.319567,
-1.05789,-0.313587,
-1.05128,-0.299565,
-1.03838,-0.28435,
-1.03029,-0.270097,
-1.01802,-0.270606,
-1.03593,-0.230148,
-1.01867,-0.249173,
-1.00504,-0.216686,
-1.01821,-0.183203,
-1.01669,-0.159623,
-1.01171,-0.11627,
-1.0073,-0.103413,
-1.00082,-0.0863184,
-1.00967,-0.0641824,
-1.00508,-0.076453,
-1.00524,-0.0336433,
-0.998003,-0.0459575,
-0.985112,-0.0475498,
-0.990183,0.00128758,
-0.98754,0.0274827,
-0.976985,0.00500925,
-0.985146,0.0505925,
-0.99314,0.00454245,
-1.00102,0.024197,
-0.994137,0.0228174,
-0.986598,0.0818636,
-0.978933,0.0609449,
-0.973177,0.0918737,
-0.974452,0.114882,
-0.954157,0.0905888,
-0.944348,0.111634,
-0.940398,0.148574,
-0.934722,0.164995,
-0.916849,0.142418,
-0.909402,0.221156,
-0.884682,0.17285,
-0.8788,0.187639,
-0.859948,0.176785,
-0.845094,0.191301,
-0.828122,0.233637,
-0.820019,0.324396,
-0.822627,0.27911,
-0.813299,0.312412,
-0.802456,0.26444,
-0.789973,0.286877,
-0.770383,0.271736,
-0.762756,0.340143,
-0.76301,0.336759,
-0.748582,0.300384,
-0.73738,0.363317,
-0.723653,0.34513,
-0.705816,0.359868,
-0.693817,0.359582,
-0.687957,0.385498,
-0.671485,0.376341,
-0.65785,0.442188,
-0.649546,0.406326,
-0.628894,0.448666,
-0.609908,0.443745,
-0.584681,0.460791,
-0.565156,0.498544,
-0.557399,0.502633,
-0.550421,0.486633,
-0.543225,0.482759,
-0.529725,0.452841,
-0.517174,0.454949,
-0.50766,0.438293,
-0.497076,0.425433,
-0.489455,0.316253,
-0.455295,0.30762,
-0.446872,0.175064,
-0.433078,0.105822,
-0.427428,-0.0104188,
-0.424359,-0.148276,
-0.405129,-0.164378,
-0.363499,-0.0609748,
-0.368627,-0.193827,
-0.335232,-0.0809818,
-0.33211,-0.163717,
-0.317516,-0.149782,
-0.298965,-0.122005,
-0.279443,-0.0555948,
-0.265181,-0.0123159,
-0.26428,-0.121903,
-0.231835,-0.0222058,
-0.211296,0.0598741,
-0.195453,0.065832,
-0.190194,-0.00457767,
-0.185628,-0.050534,
-0.158032,0.016486,
-0.126745,0.0937432,
-0.129041,0.0390246,
-0.0865946,0.229421,
-0.0835264,0.15154,
-0.0612383,0.243013,
-0.0576558,0.182806,
-0.0394114,0.196252,
-0.0119252,0.316448,
-0.00687436,0.26775,
0.0203297,0.336893,
0.0412286,0.385505,
0.0531138,0.443898,
0.0547198,0.356764,
0.074392,0.35787,
0.103799,0.454245,
0.122068,0.467204,
0.139447,0.486887,
0.165316,0.551416,
0.173295,0.553501,
0.190935,0.625124,
0.204528,0.607827,
0.219929,0.649125,
0.230514,0.640723,
0.239415,0.677119,
0.239865,0.686032,
0.238872,0.665936,
0.238289,0.646283,
0.238663,0.637595,
0.247251,0.619628,
0.263637,0.696093,
0.295756,0.675868,
0.321827,0.695472,
0.336569,0.768108,
0.370348,0.769009,
0.387083,0.803125,
0.40624,0.812264,
0.434661,0.806654,
0.452734,0.815641,
0.47861,0.794811,
0.498049,0.801725,
0.512419,0.806118,
0.522116,0.810398,
0.543042,0.861336,
0.56329,0.882927,
0.581599,0.888315,
0.594463,0.903792,
0.619287,0.905501,
0.642221,0.901737,
0.653757,0.904401,
0.665259,0.923859,
0.697208,0.90855,
0.69815,0.899514,
0.718694,0.910059,
0.738641,0.908044,
0.747599,0.910116,
0.762433,0.908104,
0.781716,0.908514,
0.784877,0.91349,
0.790497,0.908184,
0.799456,0.912988,
0.824871,0.914203,
0.821962,0.922421,
0.835394,0.917485,
0.86381,0.918208,
0.848324,0.924307,
0.873604,0.92825,
0.860677,0.945851,
0.895278,0.946892,
0.890908,0.954085,
0.8889,0.969922,
0.897727,0.9778,
0.904293,0.979634,
0.908631,0.984607,
0.914199,0.981617,
0.917347,0.983879,
0.923659,0.98224,
0.927355,0.980643,
0.931497,0.975859,
0.934316,0.978585,
0.929279,0.982676,
0.933368,0.976632,
0.935978,0.977449,
0.939618,0.977394,
0.947233,0.977931,
0.949109,0.98242,
0.939383,0.975932,
0.931482,0.974327,
0.922655,0.970624,
0.913879,0.962277,
0.921446,0.957411,
0.917154,0.956483,
0.929009,0.949329,
0.93267,0.944717,
0.921597,0.938773,
0.915382,0.938654,
0.897955,0.934154,
0.894983,0.938305,
0.89915,0.936417,
0.910657,0.927526,
0.885862,0.94105,
0.876069,0.939885,
0.875027,0.934175,
0.88346,0.936318,
0.87936,0.943525,
0.866779,0.945735,
0.879649,0.924938,
0.879086,0.927819,
0.864282,0.935245,
0.859327,0.922484,
0.861323,0.91479,
0.864366,0.904514,
0.845501,0.907505,
0.841424,0.880596,
0.84066,0.84638,
0.846049,0.860643,
0.851725,0.847692,
0.853397,0.908334,
0.846487,0.868197,
0.84911,0.881765,
0.826909,0.932869,
0.818808,0.927808,
0.801681,0.921735,
0.801917,0.903779,
0.77964,0.901177,
0.774458,0.834625,
0.762805,0.874386,
0.751813,0.868306,
0.73996,0.833598,
0.726917,0.823783,
0.712779,0.868767,
0.704805,0.807295,
0.693699,0.834114,
0.675995,0.869928,
0.671388,0.848268,
0.658542,0.848419,
0.647101,0.857872,
0.638892,0.842524,
0.622431,0.869975,
0.612852,0.834465,
0.595033,0.861349,
0.578008,0.847402,
0.564287,0.809425,
0.549124,0.784491,
0.536737,0.754454,
0.523393,0.784796,
0.51181,0.730671,
0.507851,0.797199,
0.493549,0.843138,
0.481294,0.842645,
0.470999,0.867869,
0.45683,0.895488,
0.441474,0.882607,
0.43334,0.9005,
0.435823,0.951363,
0.423924,0.967655,
0.379011,0.955368,
0.367661,0.957547,
0.359741,0.976008,
0.327819,0.973581,
0.319745,0.979442,
0.289681,0.974232,
0.265705,0.960814,
0.262037,0.974237,
0.211987,0.963787,
0.221948,0.975976,
0.186107,0.959165,
0.187841,0.967516,
0.156493,0.944079,
0.147568,0.92219,
0.134485,0.92779,
0.120122,0.899725,
0.107621,0.889415,
0.112997,0.929868,
0.0905839,0.916827,
0.0668263,0.873931,
0.0587114,0.902936,
0.0269007,0.865582,
0.0321792,0.908625,
0.0062672,0.877323,
-0.0148351,0.867216,
-0.0340523,0.876239,
-0.0488753,0.832848,
-0.0609298,0.823966,
-0.0750612,0.838322,
-0.0975189,0.797866,
-0.10882,0.842308,
-0.127695,0.766095,
-0.128981,0.854745,
-0.160794,0.773091,
-0.166684,0.84013,
-0.186631,0.840888,
-0.190378,0.889402,
-0.233095,0.671973,
-0.245883,0.709689,
-0.265486,0.643122,
-0.278862,0.625505,
-0.288157,0.652418,
