Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0.777146,0.651066,0.777146,0.651066,
0.788395,0.657499,0.788782,0.657718,
0.789481,0.65246,0.780355,0.646958,
0.790871,0.648467,0.774213,0.639356,
0.791712,0.644683,0.767739,0.63222,
0.793269,0.642039,0.763388,0.627169,
0.794735,0.639237,0.759501,0.622539,
0.794625,0.635617,0.753575,0.616689,
0.795817,0.633634,0.75059,0.613359,
0.797175,0.63184,0.748198,0.610478,
0.797019,0.629039,0.74383,0.606283,
0.798756,0.628345,0.742993,0.604929,
0.798479,0.626023,0.73927,0.601507,
0.798316,0.62382,0.736131,0.598536,
0.799435,0.622998,0.735137,0.597326,
0.80188,0.623625,0.736375,0.597865,
0.802246,0.622764,0.734772,0.596375,
0.801581,0.62063,0.731909,0.593734,
0.804178,0.621856,0.733826,0.594932,
0.80431,0.62072,0.732319,0.593429,
0.805072,0.619997,0.731828,0.592629,
0.808068,0.621565,0.734535,0.594364,
0.80936,0.621688,0.734937,0.594353,
0.810579,0.62167,0.735331,0.594313,
0.813937,0.623833,0.738734,0.596616,
0.814104,0.62293,0.737781,0.595551,
0.817857,0.62556,0.741797,0.598335,
0.81817,0.624971,0.741187,0.597559,
0.820498,0.626269,0.743392,0.598955,
0.821841,0.626541,0.744301,0.599316,
0.824773,0.628677,0.747445,0.60151,
0.826464,0.630106,0.748997,0.602628,
0.82587,0.628788,0.747611,0.601238,
0.827179,0.629171,0.748834,0.601852,
0.829608,0.631565,0.751657,0.604088,
0.828438,0.630046,0.749729,0.602411,
0.82928,0.630613,0.750585,0.602997,
0.829737,0.631226,0.751014,0.60343,
0.829265,0.630835,0.750297,0.602902,
0.82925,0.631407,0.750291,0.603179,
0.827829,0.630054,0.748513,0.601788,
0.827327,0.630324,0.748041,0.601783,
0.825717,0.629539,0.746196,0.600705,
0.824076,0.629221,0.744401,0.599907,
0.821695,0.628534,0.741712,0.598591,
0.818835,0.627434,0.738521,0.596904,
0.815636,0.625535,0.73507,0.594741,
0.812266,0.623825,0.731399,0.592566,
0.808392,0.622355,0.727075,0.590269,
0.591625,0.471529,0.349825,0.292151,
0.599542,0.475178,0.362347,0.297788,
0.596331,0.475383,0.372278,0.309001,
0.582686,0.467448,0.355513,0.298194,
0.581043,0.465226,0.36071,0.304568,
0.581673,0.462683,0.365673,0.304704,
0.584499,0.461962,0.375487,0.309298,
0.577395,0.457768,0.373771,0.31056,
0.575608,0.456677,0.374718,0.311437,
0.574757,0.454346,0.379199,0.312868,
0.56946,0.452235,0.380083,0.316857,
0.567991,0.450054,0.380843,0.314721,
0.561491,0.44721,0.380077,0.317318,
0.554346,0.443384,0.375409,0.3172,
0.553144,0.44331,0.379723,0.322097,
0.553825,0.442396,0.385365,0.322923,
0.551237,0.438642,0.388197,0.323457,
0.542463,0.436568,0.380786,0.326072,
