Sensor X1,Motor Y1,Sensor X2,Motor Y2,Sensor X3,Motor Y3, Sensor X4,Motor Y4,
0.777146,0.651066,0.777146,0.651066,0.777146,0.651066,0.777146,0.651066,
0.79004,0.658432,0.792098,0.659596,0.794289,0.660832,0.796527,0.662091,
0.78994,0.651544,0.780927,0.645856,0.771033,0.639918,0.760782,0.633581,
0.793168,0.649448,0.778281,0.641209,0.763714,0.633306,0.750044,0.625546,
0.793687,0.644895,0.770883,0.632992,0.750017,0.621894,0.731172,0.611292,
0.794235,0.64055,0.764575,0.625776,0.738817,0.612408,0.716442,0.599875,
0.796167,0.638097,0.761374,0.621532,0.732422,0.606782,0.707884,0.593057,
0.799427,0.637652,0.761116,0.620133,0.730201,0.604759,0.704553,0.590484,
0.800299,0.635543,0.757204,0.616261,0.723355,0.599562,0.695774,0.584145,
0.799824,0.631308,0.751528,0.610248,0.714639,0.592193,0.685088,0.575608,
0.80316,0.632092,0.752645,0.610584,0.714793,0.592295,0.684825,0.575542,
0.803328,0.629377,0.748924,0.606608,0.708898,0.587356,0.677555,0.5698,
0.804156,0.62701,0.74663,0.603489,0.705065,0.583642,0.672791,0.565561,
0.807955,0.628357,0.749232,0.604882,0.707304,0.585062,0.674916,0.567021,
0.809494,0.627563,0.748432,0.603565,0.705426,0.583293,0.672355,0.564867,
0.811037,0.626576,0.747908,0.602226,0.703984,0.581601,0.670324,0.562866,
0.815378,0.629185,0.751815,0.605025,0.707926,0.58456,0.674377,0.566002,
0.815505,0.626994,0.749536,0.602244,0.704401,0.581227,0.670016,0.562157,
0.820624,0.63063,0.754768,0.606186,0.70991,0.585441,0.675785,0.566653,
0.821094,0.629136,0.753197,0.604196,0.707301,0.58297,0.672452,0.563752,
0.824617,0.630831,0.756237,0.605997,0.710197,0.584828,0.675287,0.565662,
0.826556,0.630647,0.7571,0.605764,0.710556,0.584463,0.67533,0.565165,
0.831253,0.634124,0.761983,0.609429,0.715669,0.588353,0.680653,0.569281,
0.833996,0.636629,0.764174,0.611531,0.717622,0.590294,0.682456,0.571127,
