Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0,0,0,0,
0,0,0,0,
-1.76093e-11,1.37128e-10,1.37128e-10,6.75115e-11,
-2.76336e-11,1.27106e-10,1.27106e-10,5.84753e-11,
-1.10254e-10,-1.33055e-10,-1.33055e-10,-1.41615e-10,
-1.10246e-10,-1.80412e-10,-1.80412e-10,-5.89473e-11,
-1.11349e-10,-7.28565e-10,-7.28565e-10,3.77469e-10,
-1.11362e-10,-8.11566e-10,-8.11566e-10,5.12063e-10,
-7.66143e-11,-7.75319e-10,-7.75318e-10,1.03558e-09,
5.09674e-10,-2.09653e-10,-2.09652e-10,1.87092e-09,
6.58263e-10,-8.49337e-11,-8.49314e-11,2.06856e-09,
1.40466e-09,6.77737e-10,6.77742e-10,3.01852e-09,
1.77583e-09,1.03525e-09,1.03526e-09,4.42919e-09,
2.44116e-09,1.70162e-09,1.70165e-09,8.32345e-09,
2.60674e-09,1.75765e-09,1.75769e-09,1.08895e-08,
3.04642e-09,2.19733e-09,2.19737e-09,1.81202e-08,
3.12882e-09,2.28511e-09,2.28512e-09,2.39019e-08,
3.94841e-09,3.31592e-09,3.3159e-09,2.66098e-08,
4.619e-09,3.9993e-09,3.99926e-09,3.21051e-08,
7.32663e-09,6.71265e-09,6.71253e-09,3.81087e-08,
9.77725e-09,9.33105e-09,9.33086e-09,4.40058e-08,
1.04749e-08,1.00529e-08,1.00527e-08,4.67268e-08,
1.0556e-08,1.01335e-08,1.01332e-08,4.7144e-08,
1.06336e-08,1.02166e-08,1.02163e-08,4.79033e-08,
1.06541e-08,1.02309e-08,1.02308e-08,4.823e-08,
1.07833e-08,1.00507e-08,1.00506e-08,4.84804e-08,
1.12276e-08,1.04475e-08,1.04475e-08,5.00175e-08,
1.13481e-08,1.04675e-08,1.04675e-08,5.01493e-08,
1.18481e-08,1.09625e-08,1.09627e-08,5.08158e-08,
1.42128e-08,1.30581e-08,1.30583e-08,5.31523e-08,
1.52126e-08,1.39311e-08,1.39313e-08,5.40541e-08,
1.67462e-08,1.54645e-08,1.54647e-08,5.55875e-08,
1.86051e-08,1.74679e-08,1.74679e-08,5.76138e-08,
1.89782e-08,1.78665e-08,1.78663e-08,5.80121e-08,
1.90768e-08,1.84793e-08,1.8479e-08,5.86265e-08,
1.90861e-08,1.84979e-08,1.84974e-08,5.87512e-08,
