Sensor X1,Motor Y1,Sensor X2,Motor Y2,Sensor X3,Motor Y3, Sensor X4,Motor Y4,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,
-1.76093e-11,1.37128e-10,1.37128e-10,6.75115e-11,6.75115e-11,8.57071e-11,8.57071e-11,2.07029e-10,
-2.76336e-11,1.27106e-10,1.27106e-10,5.84753e-11,5.84752e-11,3.36374e-10,3.36374e-10,9.53402e-10,
-1.10254e-10,-1.33055e-10,-1.33055e-10,-1.41615e-10,-1.41615e-10,2.68539e-10,2.68539e-10,9.13365e-10,
-1.10246e-10,-1.80412e-10,-1.80412e-10,-5.89473e-11,-5.89473e-11,1.32736e-09,1.32736e-09,1.96554e-09,
-1.11349e-10,-7.28565e-10,-7.28565e-10,3.77469e-10,3.77469e-10,3.9183e-09,3.91829e-09,4.24918e-09,
-1.11362e-10,-8.11566e-10,-8.11566e-10,5.12063e-10,5.12062e-10,8.80974e-09,8.80972e-09,8.94469e-09,
-7.66143e-11,-7.75319e-10,-7.75318e-10,1.03558e-09,1.03558e-09,1.18489e-08,1.18489e-08,1.19373e-08,
5.09674e-10,-2.09653e-10,-2.09652e-10,1.87092e-09,1.87092e-09,1.35775e-08,1.35774e-08,1.31981e-08,
6.58263e-10,-8.49337e-11,-8.49314e-11,2.06856e-09,2.06855e-09,1.72484e-08,1.72484e-08,1.67791e-08,
1.40466e-09,6.77737e-10,6.77742e-10,3.01852e-09,3.01851e-09,1.89778e-08,1.89777e-08,1.85085e-08,
1.77583e-09,1.03525e-09,1.03526e-09,4.42919e-09,4.42918e-09,2.18059e-08,2.18058e-08,2.13065e-08,
2.44116e-09,1.70162e-09,1.70165e-09,8.32345e-09,8.32343e-09,2.85729e-08,2.85727e-08,2.79183e-08,
2.60674e-09,1.75765e-09,1.75769e-09,1.08895e-08,1.08895e-08,3.17043e-08,3.17042e-08,3.0692e-08,
3.04642e-09,2.19733e-09,2.19737e-09,1.81202e-08,1.81202e-08,3.93836e-08,3.93834e-08,3.75015e-08,
3.12882e-09,2.28511e-09,2.28512e-09,2.39019e-08,2.39018e-08,4.6869e-08,4.68688e-08,4.46388e-08,
3.94841e-09,3.31592e-09,3.3159e-09,2.66098e-08,2.66097e-08,5.06944e-08,5.06941e-08,4.77517e-08,
4.619e-09,3.9993e-09,3.99926e-09,3.21051e-08,3.21051e-08,5.6498e-08,5.64976e-08,5.34411e-08,
7.32663e-09,6.71265e-09,6.71253e-09,3.81087e-08,3.81087e-08,6.31192e-08,6.31188e-08,6.00476e-08,
9.77725e-09,9.33105e-09,9.33086e-09,4.40058e-08,4.40058e-08,7.14131e-08,7.14126e-08,6.83387e-08,
1.04749e-08,1.00529e-08,1.00527e-08,4.67268e-08,4.67268e-08,7.49284e-08,7.49278e-08,7.17295e-08,
1.0556e-08,1.01335e-08,1.01332e-08,4.7144e-08,4.71441e-08,7.82427e-08,7.8242e-08,7.40195e-08,
1.06336e-08,1.02166e-08,1.02163e-08,4.79033e-08,4.79034e-08,7.97612e-08,7.97605e-08,7.54373e-08,
1.06541e-08,1.02309e-08,1.02308e-08,4.823e-08,4.82302e-08,8.08896e-08,8.08888e-08,7.65656e-08,
1.07833e-08,1.00507e-08,1.00506e-08,4.84804e-08,4.84805e-08,8.35268e-08,8.35259e-08,7.92053e-08,
1.12276e-08,1.04475e-08,1.04475e-08,5.00175e-08,5.00176e-08,8.63052e-08,8.63043e-08,8.21423e-08,
1.13481e-08,1.04675e-08,1.04675e-08,5.01493e-08,5.01494e-08,8.93173e-08,8.93163e-08,8.5228e-08,
1.18481e-08,1.09625e-08,1.09627e-08,5.08158e-08,5.08158e-08,9.05249e-08,9.05239e-08,8.69388e-08,
1.42128e-08,1.30581e-08,1.30583e-08,5.31523e-08,5.31523e-08,9.30314e-08,9.30304e-08,9.02625e-08,
1.52126e-08,1.39311e-08,1.39313e-08,5.40541e-08,5.40541e-08,9.39367e-08,9.39357e-08,9.1886e-08,
1.67462e-08,1.54645e-08,1.54647e-08,5.55875e-08,5.55875e-08,9.57384e-08,9.57375e-08,9.41414e-08,
1.86051e-08,1.74679e-08,1.74679e-08,5.76138e-08,5.76137e-08,9.77651e-08,9.77641e-08,9.67939e-08,
1.89782e-08,1.78665e-08,1.78663e-08,5.80121e-08,5.80121e-08,9.8185e-08,9.81841e-08,9.91557e-08,
1.90768e-08,1.84793e-08,1.8479e-08,5.86265e-08,5.86264e-08,9.92008e-08,9.92e-08,1.01435e-07,
1.90861e-08,1.84979e-08,1.84974e-08,5.87512e-08,5.87511e-08,9.93286e-08,9.93278e-08,1.02871e-07,
1.92869e-08,1.90978e-08,1.90971e-08,5.96414e-08,5.96413e-08,1.00217e-07,1.00216e-07,1.03889e-07,
1.96929e-08,1.95073e-08,1.95065e-08,6.00609e-08,6.00609e-08,1.00447e-07,1.00445e-07,1.04209e-07,
2.1783e-08,2.17073e-08,2.17063e-08,6.22608e-08,6.22607e-08,1.01371e-07,1.01369e-07,1.05355e-07,
2.45677e-08,2.48247e-08,2.48236e-08,6.53829e-08,6.53828e-08,1.03754e-07,1.03752e-07,1.07996e-07,
2.61043e-08,2.63914e-08,2.63903e-08,6.72953e-08,6.72951e-08,1.04755e-07,1.04753e-07,1.09037e-07,
2.69045e-08,2.71907e-08,2.71896e-08,6.83847e-08,6.83845e-08,1.05016e-07,1.05014e-07,1.0937e-07,
2.77746e-08,2.80611e-08,2.80597e-08,7.10458e-08,7.10455e-08,1.07086e-07,1.07084e-07,1.11865e-07,
2.81246e-08,2.84702e-08,2.84688e-08,7.28335e-08,7.28331e-08,1.08164e-07,1.08162e-07,1.13865e-07,
2.85163e-08,2.88598e-08,2.88584e-08,7.49747e-08,7.49744e-08,1.10092e-07,1.10089e-07,1.17516e-07,
3.05824e-08,3.09253e-08,3.09237e-08,7.96567e-08,7.96563e-08,1.14548e-07,1.14545e-07,1.22673e-07,
3.37691e-08,3.41234e-08,3.41214e-08,8.80339e-08,8.80335e-08,1.22926e-07,1.22922e-07,1.31314e-07,
3.47397e-08,3.52045e-08,3.52022e-08,9.35607e-08,9.35604e-08,1.28355e-07,1.28351e-07,1.37753e-07,
3.62438e-08,3.6808e-08,3.68053e-08,1.0536e-07,1.0536e-07,1.39493e-07,1.39488e-07,1.49543e-07,
4.09029e-08,4.15145e-08,4.15115e-08,1.22163e-07,1.22163e-07,1.53836e-07,1.5383e-07,1.63938e-07,
-0.000444973,-0.000444974,0.000473355,0.000473452,-0.000230219,-0.000230193,0.000219713,0.000219726,
-0.000368775,-0.000368777,-0.000344278,-0.000344188,-0.000173982,-0.000173962,0.000917368,0.000917384,
-0.000744952,-0.000744951,-0.00170635,-0.00170627,-0.00103632,-0.00103631,-0.000164797,-0.00016479,
3.39299e-05,3.39294e-05,-0.00058497,-0.000584844,0.000281733,0.000281767,0.00197858,0.00197861,
-0.000176663,-0.000176663,-0.00157564,-0.00157553,0.000126164,0.000126192,0.00233545,0.00233548,
-4.07429e-05,-4.07427e-05,-0.000786859,-0.000786718,0.000242123,0.00024215,0.00311891,0.00311894,
0.000558218,0.000558216,0.00075399,0.000754175,0.00210017,0.00210023,0.00442661,0.00442663,
0.00143168,0.00143168,0.000962584,0.000962776,0.00206786,0.00206792,0.00371521,0.00371523,
0.000906032,0.000906026,0.000413504,0.000413689,0.00112827,0.00112833,0.00371877,0.00371878,
0.00155165,0.00155164,0.00198513,0.00198538,0.00296398,0.00296405,0.00453817,0.00453818,
0.00122933,0.00122933,0.000820404,0.000820633,0.00256089,0.00256094,0.00448237,0.00448237,
0.00149332,0.00149332,0.0016662,0.00166649,0.00419435,0.00419441,0.00662597,0.00662591,
0.000939337,0.000939331,0.000120837,0.000121097,0.00244569,0.00244576,0.00386008,0.00386006,
0.00130074,0.00130073,0.00127882,0.00127919,0.00451831,0.0045184,0.00582767,0.0058276,
0.000744437,0.000744434,0.00104414,0.00104451,0.00409887,0.00409895,0.00614176,0.00614167,
0.00160083,0.00160083,0.00261952,0.00261999,0.00465214,0.00465223,0.00642711,0.00642702,
0.00149728,0.00149728,0.00189737,0.00189781,0.00478552,0.0047856,0.00594089,0.00594082,
0.00238419,0.00238419,0.00269011,0.0026906,0.00523464,0.00523476,0.0066913,0.0066912,
0.00230624,0.00230623,0.00324967,0.00325021,0.00579124,0.00579134,0.00808036,0.0080802,
0.00151715,0.00151714,0.00201179,0.00201228,0.00416702,0.00416711,0.00575101,0.00575095,
0.000740505,0.000740491,0.00060448,0.000604909,0.00179499,0.00179504,0.00423337,0.00423333,
