Sensor X0,Motor Y0,
0.0320907,0.0320797,
-0.077134,-0.0769814,
0.091253,0.0910006,
-0.0297167,-0.0297079,
-0.117357,-0.116822,
-0.0845229,-0.0843222,
0.101734,0.101384,
-0.0611905,-0.0611143,
0.00728616,0.00728603,
0.141833,0.140889,
0.0814073,0.081228,
0.0809742,0.0807976,
0.117459,0.116922,
-0.0442625,-0.0442336,
0.125708,0.12505,
0.134798,0.133988,
-0.124183,-0.123549,
0.0489681,0.048929,
-0.0453321,-0.0453011,
-0.143993,-0.143006,
-0.131071,-0.130326,
0.14119,0.140259,
0.105276,0.104889,
0.0119281,0.0119275,
0.0780746,0.0779164,
0.0503171,0.0502747,
-0.138216,-0.137342,
0.129551,0.128831,
0.0662857,0.0661888,
0.0715603,0.0714384,
-0.0437854,-0.0437574,
-0.100208,-0.0998737,
0.114023,0.113531,
-0.0508989,-0.050855,
0.118012,0.117467,
0.056001,0.0559425,
0.026592,0.0265858,
0.107603,0.10719,
0.127191,0.126509,
0.0944301,0.0941504,
0.123292,0.122671,
-0.0852525,-0.0850466,
0.126038,0.125375,
0.114319,0.113823,
-0.020414,-0.0204111,
-0.0656822,-0.0655879,
-0.0577626,-0.0576985,
-0.082168,-0.0819836,
-0.0671296,-0.0670289,
-0.0250496,-0.0250444,
0.122041,0.121439,
-0.112177,-0.111709,
0.0781426,0.0779839,
0.130501,0.129766,
-0.0350435,-0.035035,
-0.0394009,-0.0393889,
-0.0803215,-0.0801585,
-0.0766762,-0.0765374,
0.0696446,0.0695308,
0.0880411,0.0878134,
0.0735214,0.0733866,
0.135031,0.134219,
0.00646901,0.0064597,
-0.0779813,-0.0778395,
0.0697963,0.0696839,
0.140222,0.139318,
0.0779205,0.0777642,
-0.109529,-0.109121,
-0.12653,-0.125883,
-0.0886035,-0.0883926,
0.0959032,0.0956234,
0.0766743,0.0765328,
-0.102658,-0.102333,
-0.0887014,-0.0885026,
-0.112359,-0.11193,
-0.133783,-0.133034,
-0.128301,-0.127628,
0.126921,0.12627,
-0.0958883,-0.0956425,
-0.0324929,-0.0325013,
0.0959085,0.095641,
0.0157455,0.0157384,
-0.0142272,-0.0142443,
-0.120108,-0.119593,
0.0771881,0.0770572,
0.147669,0.146654,
0.113284,0.112836,
0.038673,0.0386554,
0.0743409,0.0742222,
0.127613,0.126968,
0.0993113,0.0990166,
0.0731434,0.0730311,
0.145079,0.144119,
-0.000822444,-0.000843884,
0.0990036,0.0987142,
-0.126902,-0.126306,
-0.0755868,-0.0754904,
-0.0812589,-0.0811291,
-0.0549399,-0.054927,
-0.0805716,-0.0804594,
0.0399217,0.0399088,
0.0453396,0.045326,
0.14144,0.14057,
0.0138321,0.0138327,
-0.116016,-0.115579,
0.027762,0.0277731,
-0.0147247,-0.0147458,
0.104305,0.103984,
-0.149031,-0.148047,
0.0295444,0.0295758,
-0.0798325,-0.0797091,
-0.00511492,-0.00511047,
-0.0585133,-0.058474,
-0.0952333,-0.0950052,
-0.137741,-0.136974,
0.0587951,0.0587902,
0.041292,0.041302,
-0.0946133,-0.0943967,
0.0381474,0.0381807,
-0.0514877,-0.0514661,
-0.0893362,-0.0891471,
0.055427,0.0554351,
-0.0728204,-0.0727454,
-0.123707,-0.123187,
0.113215,0.112855,
-0.121878,-0.12141,
-0.0415197,-0.0415169,
0.0279634,0.0280126,
-0.0633667,-0.0633117,
-0.0634862,-0.0634598,
-0.0930747,-0.0928528,
-0.148926,-0.147948,
-0.0505563,-0.0505664,
-0.0190509,-0.0190207,
0.125679,0.125188,
0.0597226,0.0597087,
0.0557357,0.0557456,
0.082282,0.0822275,
0.124882,0.124407,
-0.0889355,-0.0887637,
0.0144126,0.0144379,
0.12148,0.121069,
0.112194,0.111872,
0.0228599,0.0228798,
-0.0678266,-0.0677552,
-0.00228035,-0.00226375,
0.104683,0.104444,
-0.062684,-0.0626761,
0.0552535,0.0553025,
-0.108283,-0.107963,
-0.00227348,-0.00222255,
0.0672756,0.0672626,
-0.0834103,-0.0832946,
-0.113622,-0.113273,
-0.0418672,-0.0418764,
0.129569,0.129074,
0.0366286,0.0367135,
0.0954383,0.0953005,
-0.0495085,-0.0495179,
0.0476493,0.0477139,
-0.0723282,-0.072303,
-0.128236,-0.127718,
0.0441622,0.0442128,
-0.0635191,-0.0635111,
-0.122655,-0.122194,
0.130348,0.129837,
-0.0703616,-0.0703192,
0.0785333,0.078514,
-0.102818,-0.102562,
0.0376996,0.0377707,
-0.0876469,-0.0875334,
-0.0221402,-0.0221173,
-0.0316835,-0.0317159,
-0.052196,-0.0521858,
0.0415962,0.0417089,
-0.0485271,-0.0485071,
-0.109178,-0.108902,
-0.148377,-0.147485,
0.0823159,0.0822803,
-0.1156,-0.115233,
0.0663017,0.0663252,
-0.0152685,-0.0152406,
0.0623727,0.0624207,
-0.00783181,-0.00780277,
-0.121824,-0.121427,
-0.0351312,-0.0351563,
0.047136,0.047234,
-0.110489,-0.110231,
-0.133973,-0.133387,
0.0842605,0.0842678,
-0.0172319,-0.0172543,
0.026891,0.0269747,
0.00896977,0.0090265,
-0.0414249,-0.0414614,
0.116617,0.116344,
-0.0990539,-0.0988865,
0.00772413,0.0077865,
0.0288589,0.0289285,
0.0989425,0.0988262,
-0.120349,-0.119944,
-0.0991051,-0.0989357,
-0.0823527,-0.0822693,
-0.0627514,-0.0627552,
0.113483,0.113273,
0.0944726,0.0944412,
-0.139102,-0.138466,
0.0834772,0.0835312,
0.100831,0.100752,
-0.0836972,-0.083652,
0.0337326,0.0338298,
0.0523816,0.0525307,
0.0658385,0.0659315,
-0.0296437,-0.0296543,
