Sensor X1,Motor Y1,Sensor X2,Motor Y2,
-0.112177,-0.111709,-0.112177,-0.111709,
0.0781356,0.077977,0.0781288,0.0779702,
0.130496,0.129761,0.13049,0.129755,
-0.0350486,-0.0350399,-0.0350534,-0.035045,
-0.0394054,-0.0393932,-0.0394097,-0.0393976,
-0.0803258,-0.0801625,-0.08033,-0.0801668,
-0.0766805,-0.0765415,-0.0766847,-0.0765458,
0.0696387,0.0695251,0.069633,0.0695194,
0.088034,0.0878065,0.0880269,0.0877996,
0.0735142,0.0733796,0.0735072,0.0733726,
0.135023,0.134212,0.135016,0.134204,
0.00646018,0.00645103,0.0064515,0.00644238,
-0.0779877,-0.0778458,-0.0779942,-0.0778522,
0.0697878,0.0696753,0.0697793,0.0696672,
0.140211,0.139307,0.1402,0.139297,
0.0779098,0.0777534,0.0778989,0.0777433,
-0.109537,-0.10913,-0.109546,-0.109137,
-0.126534,-0.125888,-0.126539,-0.125891,
-0.0886077,-0.0883971,-0.0886122,-0.0884008,
0.0958957,0.0956156,0.0958878,0.0956088,
0.0766645,0.0765225,0.0766542,0.0765134,
-0.102657,-0.102332,-0.102657,-0.102331,
-0.088705,-0.0885066,-0.0887092,-0.0885097,
-0.112363,-0.111934,-0.112367,-0.111937,
-0.133786,-0.133038,-0.13379,-0.133041,
-0.128305,-0.127632,-0.128309,-0.127635,
0.126908,0.126257,0.126894,0.126245,
-0.0958991,-0.0956545,-0.0959111,-0.0956644,
-0.0325038,-0.0325138,-0.0325164,-0.032524,
0.095897,0.0956279,0.0958837,0.0956173,
0.0157335,0.0157244,0.0157195,0.0157131,
-0.0142394,-0.0142584,-0.0142536,-0.0142699,
-0.120119,-0.119606,-0.120132,-0.119616,
0.0771751,0.0770421,0.0771598,0.0770296,
0.147653,0.146637,0.147635,0.146622,
0.113268,0.112818,0.113249,0.112802,
0.0386583,0.0386387,0.0386416,0.0386247,
0.0743229,0.0742022,0.0743027,0.0741849,
0.127595,0.126948,0.127575,0.126931,
0.0992934,0.0989967,0.0992733,0.0989795,
0.0731251,0.0730108,0.0731047,0.0729932,
0.14506,0.144098,0.145039,0.14408,
-0.00083993,-0.000863548,-0.000859536,-0.000880442,
0.0989804,0.0986889,0.0989549,0.0986667,
-0.126917,-0.126324,-0.126935,-0.126339,
-0.075595,-0.0755015,-0.0756063,-0.0755091,
-0.0812669,-0.08114,-0.081278,-0.0811475,
-0.054948,-0.0549382,-0.0549592,-0.0549457,
-0.0805792,-0.0804701,-0.0805899,-0.0804771,
0.280525,0.273512,0.558481,0.507058,
-0.146363,-0.145516,-0.348015,-0.335066,
0.0877109,0.0875195,0.0348801,0.034645,
0.179748,0.17795,0.355878,0.341725,
-0.111913,-0.111599,-0.10848,-0.108507,
0.0683011,0.0682273,0.107793,0.10723,
-0.0186775,-0.018737,-0.0233673,-0.0237391,
-0.0421367,-0.0422005,-0.190792,-0.189105,
-0.166732,-0.16542,-0.186564,-0.185006,
0.0446272,0.0446115,0.0582134,0.0579208,
-0.140817,-0.140086,-0.204138,-0.201973,
0.124493,0.123961,0.256457,0.251132,
0.0274025,0.0273739,0.112138,0.111546,
-0.246761,-0.242202,-0.412618,-0.391702,
-0.209153,-0.206432,-0.284361,-0.2777,
0.12145,0.121005,0.184313,0.182357,
0.234438,0.23051,0.445586,0.419015,
-0.0758004,-0.0757999,-0.0583879,-0.0588817,
0.00310942,0.00308833,-0.034296,-0.0346068,
-0.23792,-0.233909,-0.444321,-0.418501,
-0.0687056,-0.0687404,-0.0494713,-0.0500035,
0.240186,0.236063,0.441029,0.415777,
-0.0856535,-0.0856458,-0.0993101,-0.0997057,
-0.0988401,-0.0986953,-0.0753194,-0.0756229,
0.136465,0.135814,0.15736,0.156191,
-0.125452,-0.125115,-0.131305,-0.131777,
-0.304225,-0.295708,-0.619728,-0.552533,
0.257338,0.252247,0.514334,0.474948,
-0.124542,-0.124246,-0.190691,-0.188853,
-0.192378,-0.190524,-0.331312,-0.320922,
-0.0105514,-0.0106184,0.068973,0.0693951,
-0.115891,-0.115695,-0.0850743,-0.0850741,
0.0571361,0.0571694,0.164542,0.164043,
-0.218317,-0.215468,-0.436433,-0.412363,
0.0551,0.0551752,-0.0155354,-0.0152222,
0.0947246,0.0946913,0.129449,0.129901,
0.132241,0.131781,0.208507,0.206657,
0.0490834,0.0491668,0.0139134,0.0145772,
0.073774,0.0738093,0.0211787,0.0215961,
-0.0585871,-0.0586973,-0.0305917,-0.030403,
0.0424744,0.0425485,0.0680323,0.068651,
0.0509481,0.0510082,-0.0212871,-0.0211964,
0.264566,0.259196,0.428311,0.405962,
-0.075317,-0.075394,-0.177182,-0.175806,
0.162437,0.161455,0.407383,0.388327,
-0.0497919,-0.0499474,-0.100549,-0.100792,
0.113079,0.112877,0.119608,0.119839,
-0.0862538,-0.086345,-0.112058,-0.112251,
0.0848066,0.0848436,0.111166,0.111478,
-0.228287,-0.225116,-0.669812,-0.587685,
-0.00466458,-0.00468081,0.442722,0.418582,
-0.0264896,-0.0265816,-0.264365,-0.259799,
0.0457564,0.0458241,-0.0464766,-0.04646,
0.0187333,0.0187757,0.318485,0.310526,
-0.18475,-0.183313,-0.381516,-0.366273,
0.176634,0.175492,0.267453,0.263526,
-0.0790402,-0.0791354,-0.056522,-0.0565464,
0.367949,0.353307,0.517008,0.478851,
-0.227115,-0.224351,-0.464938,-0.437312,
0.161652,0.1608,0.360713,0.348668,
-0.145447,-0.145222,-0.434559,-0.412229,
-0.0711579,-0.0716376,0.024204,0.024406,
0.0850189,0.0850105,0.37548,0.361708,
-0.0162448,-0.0164558,-0.0496975,-0.0500615,
-0.325265,-0.315717,-0.765343,-0.648612,
0.151988,0.151505,0.0341402,0.0353851,
0.0702062,0.070256,0.392985,0.377355,
-0.0494782,-0.0498305,-0.13106,-0.131103,
-0.00697046,-0.00701732,0.23829,0.236638,
0.0820995,0.082118,-0.0832524,-0.0837945,
-0.229556,-0.226641,-0.600819,-0.541609,
0.113585,0.113677,0.465539,0.43936,
0.0259637,0.0259883,0.0388913,0.0401547,
-0.291342,-0.284815,-0.574885,-0.523155,
0.291196,0.284832,0.611546,0.551062,
-0.12274,-0.122896,0.0573115,0.0591945,
-0.174392,-0.173708,-0.812561,-0.675953,
-0.0508461,-0.0510876,0.33725,0.33023,
0.0882453,0.0885103,0.158552,0.16047,
-0.079011,-0.0794757,-0.26459,-0.260382,
0.129074,0.128859,0.239542,0.239412,
-0.10663,-0.106419,-0.286712,-0.280778,
0.0359882,0.0356775,0.32506,0.319053,
-0.148847,-0.148451,-0.445513,-0.421863,
-0.0505057,-0.0507305,-0.0917612,-0.0911801,
-0.0262073,-0.0265656,-0.0644304,-0.0636866,
0.024496,0.0244823,0.107012,0.109707,
-0.150195,-0.150087,-0.17509,-0.174221,
0.0856464,0.0858769,0.222078,0.22308,
-0.0148495,-0.0147579,-0.116171,-0.115607,
-0.120109,-0.120615,-0.127562,-0.127381,
0.040518,0.0408448,-0.176386,-0.175452,
0.103849,0.104175,0.468287,0.443819,
0.0555344,0.0553937,-0.18372,-0.18366,
0.0562172,0.0565676,0.273505,0.272319,
-0.203967,-0.20235,-0.383584,-0.369735,
0.181663,0.180863,0.398341,0.385166,
-0.0857019,-0.086417,-0.263489,-0.260791,
0.273742,0.268474,0.665977,0.59037,
-0.224713,-0.222397,-0.473326,-0.446049,
-0.16632,-0.165632,-0.144334,-0.144029,
0.0733052,0.0736048,0.000244218,0.00170947,
-0.0276407,-0.0277785,-0.000954527,0.000165147,
0.0469874,0.0470638,0.258247,0.257955,
-0.0735895,-0.074176,-0.4637,-0.439819,
-0.0406163,-0.0409886,0.218411,0.220205,
0.0303318,0.0306687,-0.447147,-0.424443,
0.256412,0.252444,0.971811,0.757728,
-0.17707,-0.176681,-0.636821,-0.570377,
0.161315,0.161022,0.507998,0.476558,
0.11438,0.114767,0.0425363,0.045174,
-0.101283,-0.101947,-0.262648,-0.261367,
0.0848482,0.085127,0.189103,0.191063,
0.0470607,0.0471359,0.379315,0.369151,
-0.288545,-0.282786,-0.972758,-0.757788,
0.103612,0.104009,0.186334,0.189146,
-0.296143,-0.28976,-0.167268,-0.167342,
0.152957,0.152758,0.112091,0.113794,
-0.0648133,-0.0650926,-0.15389,-0.153391,
0.177729,0.177327,0.540553,0.501976,
0.0660273,0.0664819,-0.279716,-0.276748,
0.108504,0.109331,0.199091,0.202807,
-0.0307902,-0.0311072,0.301927,0.299563,
-0.242,-0.239236,-0.940493,-0.744388,
0.1997,0.19881,0.704817,0.618283,
0.10766,0.10839,0.165497,0.169637,
0.013088,0.0129924,-0.107428,-0.108912,
-0.163415,-0.16289,-0.31184,-0.305771,
0.260469,0.256409,0.45231,0.432351,
-0.329054,-0.320089,-0.586442,-0.534843,
0.142521,0.14245,0.397241,0.382111,
-0.038116,-0.0381875,-0.181139,-0.177593,
0.0947076,0.0950464,0.290009,0.285712,
-0.0279682,-0.0280883,-0.123395,-0.123343,
-0.153259,-0.153415,-0.174978,-0.175134,
0.0293889,0.0295238,-0.019905,-0.0196374,
0.115939,0.116639,0.303202,0.302424,
0.144457,0.144729,-0.0915484,-0.0925017,
-0.274898,-0.270457,-0.167586,-0.168845,
0.0131591,0.0134504,0.125681,0.130935,
-0.0371135,-0.0373313,-0.198917,-0.200943,
0.0777864,0.0785531,0.0135865,0.0157183,
-0.0339895,-0.034133,0.0166513,0.0201262,
-0.089617,-0.0900523,-0.0888191,-0.0903576,
0.24184,0.239534,0.557305,0.516857,
0.0301525,0.0304668,-0.368594,-0.35996,
0.114261,0.115002,0.406892,0.396895,
0.0657178,0.0663572,-0.303839,-0.30091,
0.247575,0.244884,0.952298,0.751005,
0.0759584,0.0767248,0.0290814,0.0311597,
0.018331,0.0185299,-0.219767,-0.220327,
0.136011,0.136663,0.246714,0.249024,
-0.227486,-0.225637,-0.303271,-0.299596,
0.0512934,0.0518406,0.180582,0.183595,
0.330396,0.322044,0.300541,0.299831,
-0.129186,-0.129829,-0.197904,-0.201334,
0.0198444,0.0202109,-0.209009,-0.209531,
0.0933155,0.0941985,0.594368,0.54526,
-0.00175556,-0.00155861,-0.348652,-0.343053,
0.0378809,0.0381279,0.0872046,0.0881831,
0.0266988,0.0272417,0.257078,0.260456,
0.147618,0.148113,-0.0346215,-0.0359002,
-0.107787,-0.108352,-0.0640847,-0.0648568,
-0.117974,-0.118572,0.236895,0.238438,
0.0822865,0.0831274,-0.306651,-0.304493,
0.0543075,0.054856,0.510336,0.481032,
-0.105978,-0.106571,-0.606248,-0.552382,
-0.240371,-0.238051,-0.00794312,-0.0084043,
-0.00328486,-0.00324934,-0.245556,-0.247014,
-0.090786,-0.0914992,0.0281886,0.028888,
0.0118895,0.0120615,-0.0242145,-0.0260061,
0.12948,0.130118,0.287988,0.288956,
0.166017,0.166374,0.416053,0.40392,
-0.152954,-0.153256,-0.670675,-0.598196,
0.050227,0.0508838,0.146745,0.149727,
0.230494,0.228916,0.343156,0.340371,
-0.220482,-0.219211,-0.0276578,-0.030691,
0.0470552,0.0478376,-0.391795,-0.379723,
0.118451,0.119456,0.716439,0.62718,
-0.0627444,-0.0631327,-0.576308,-0.530469,
0.0143434,0.0145469,0.206305,0.206651,
0.126082,0.127313,-0.00288837,0.00176515,
0.318677,0.31174,0.47272,0.450799,
0.00839275,0.00851249,0.148639,0.152097,
-0.16728,-0.16738,-0.352854,-0.34795,
0.152522,0.153202,0.0702155,0.0712289,
-0.171248,-0.171278,-0.197693,-0.200089,
0.322298,0.315006,0.976091,0.764387,
0.0283713,0.0289194,-0.248489,-0.250596,
-0.0130644,-0.0132408,0.0476291,0.0486814,
-0.122805,-0.123601,-0.235529,-0.238968,
0.294945,0.289998,0.434093,0.420176,
-0.184458,-0.184731,-0.11574,-0.119638,
0.0666329,0.067387,-0.270646,-0.272844,
-0.210044,-0.209473,0.00648106,0.0066012,
-0.0398054,-0.0403103,-0.119919,-0.124142,
