Sensor X0,Motor Y0,
0.0320907,0.0320797,
-0.0450543,-0.0450239,
0.0462292,0.0461963,
0.0164796,0.0164781,
-0.100879,-0.100538,
-0.185061,-0.182977,
-0.0812436,-0.0810653,
-0.142256,-0.141304,
-0.134018,-0.133221,
0.00861134,0.00861113,
0.0900184,0.0897761,
0.17075,0.16911,
0.286569,0.278974,
0.234711,0.230494,
0.356202,0.341864,
0.476662,0.443567,
0.319383,0.308949,
0.357917,0.343378,
0.298046,0.289524,
0.14553,0.144512,
0.0134404,0.0134396,
0.15463,0.153409,
0.258685,0.253065,
0.264993,0.25896,
0.337035,0.324827,
0.375145,0.358483,
0.220268,0.216773,
0.346324,0.333111,
0.399397,0.379433,
0.450993,0.422715,
0.378929,0.361777,
0.26157,0.255763,
0.369786,0.353804,
0.302905,0.293969,
0.411981,0.390153,
0.446154,0.418733,
0.445325,0.418048,
0.525651,0.48205,
0.609241,0.543592,
0.638023,0.563552,
0.686843,0.59595,
0.510698,0.470489,
0.596527,0.534574,
0.648892,0.570924,
0.55051,0.500902,
0.43522,0.409675,
0.351912,0.33807,
0.255902,0.250459,
0.183329,0.181302,
0.156253,0.154993,
0.277035,0.270158,
0.157981,0.15668,
0.234822,0.230599,
0.3611,0.346183,
0.311139,0.301466,
0.262065,0.256216,
0.175894,0.174089,
0.0974129,0.0970865,
0.166731,0.165183,
0.253224,0.24793,
0.321452,0.310804,
0.445835,0.418463,
0.424932,0.401067,
0.323085,0.312273,
0.382069,0.364485,
0.504706,0.465797,
0.543718,0.495769,
0.38624,0.368063,
0.241533,0.23686,
0.148257,0.147064,
0.242967,0.238196,
0.314871,0.304769,
0.202111,0.199294,
0.110593,0.110018,
-0.00234187,-0.00249124,
-0.136274,-0.135611,
-0.263913,-0.258134,
-0.131213,-0.130626,
-0.226514,-0.22289,
-0.255383,-0.25015,
-0.154241,-0.153188,
-0.137442,-0.136737,
-0.150964,-0.149986,
-0.270094,-0.263892,
-0.186703,-0.184722,
-0.0370532,-0.0371563,
0.0761279,0.0758949,
0.114568,0.113998,
0.188339,0.186094,
0.313706,0.303793,
0.403105,0.382614,
0.455757,0.426646,
0.571725,0.516679,
0.515857,0.47451,
0.573514,0.517967,
0.391065,0.372247,
0.296661,0.288166,
0.206907,0.203872,
0.148932,0.147677,
0.0671053,0.0668038,
0.106725,0.10614,
0.151479,0.150168,
0.291608,0.283514,
0.297346,0.288778,
0.172763,0.170901,
0.198662,0.195937,
0.181212,0.179093,
0.283398,0.275937,
0.126906,0.126035,
0.155579,0.154156,
0.0743233,0.0739648,
0.0688499,0.0685143,
0.010001,0.00974393,
-0.0854893,-0.0855854,
