Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0.157981,0.15668,0.157981,0.15668,
0.23482,0.230598,0.234819,0.230596,
0.36109,0.346174,0.36108,0.346165,
0.311121,0.301449,0.311103,0.301433,
0.262045,0.256197,0.262025,0.256178,
0.175873,0.174069,0.175852,0.174048,
0.0973894,0.0970635,0.0973662,0.0970402,
0.166705,0.165158,0.16668,0.165133,
0.253195,0.247903,0.253165,0.247875,
0.321416,0.310773,0.321381,0.310741,
0.445785,0.418422,0.445733,0.418379,
0.424876,0.40102,0.424819,0.400972,
0.323024,0.312219,0.322963,0.312163,
0.382008,0.364432,0.381946,0.364378,
0.504635,0.465742,0.504562,0.465685,
0.543615,0.495692,0.543509,0.495613,
0.38613,0.367969,0.386019,0.367874,
0.241419,0.236754,0.241305,0.236647,
0.148125,0.146935,0.147992,0.146808,
0.242833,0.238069,0.242697,0.237944,
0.314724,0.304636,0.314575,0.304503,
0.201961,0.19915,0.201809,0.199006,
0.110442,0.109868,0.11029,0.10972,
-0.00249232,-0.00264314,-0.00264426,-0.00279193,
-0.13642,-0.135756,-0.136568,-0.135898,
-0.264051,-0.258265,-0.264191,-0.258392,
-0.131346,-0.130758,-0.131481,-0.130886,
-0.22664,-0.223012,-0.226769,-0.22313,
-0.255508,-0.250269,-0.255636,-0.250385,
-0.154365,-0.153311,-0.154491,-0.15343,
-0.137564,-0.136859,-0.137688,-0.136977,
-0.151086,-0.150107,-0.15121,-0.150224,
-0.270211,-0.264003,-0.270331,-0.264111,
-0.186815,-0.184832,-0.18693,-0.184939,
-0.0371625,-0.0372681,-0.0372746,-0.0373756,
0.076018,0.0757828,0.0759055,0.0756754,
0.114457,0.113886,0.114343,0.113778,
0.188227,0.185983,0.188112,0.185877,
0.313587,0.303681,0.313464,0.303575,
0.402973,0.382497,0.402837,0.382386,
0.455617,0.426527,0.455473,0.426414,
0.571575,0.516565,0.571421,0.516457,
0.515675,0.474363,0.515487,0.474224,
0.573322,0.51782,0.573125,0.517683,
0.390866,0.372066,0.390659,0.371897,
0.296439,0.287954,0.296211,0.287754,
0.206682,0.203648,0.206451,0.203435,
0.1487,0.147442,0.148462,0.147217,
0.0668707,0.0665633,0.0666301,0.0663315,
0.221792,0.21809,0.342976,0.330057,
0.0713782,0.0710407,-0.0064694,-0.00675622,
0.153638,0.152264,0.0216764,0.0213959,
0.335183,0.323085,0.373751,0.357216,
0.213527,0.210182,0.25431,0.248806,
0.283298,0.275829,0.370685,0.354505,
0.261219,0.255297,0.343815,0.330773,
0.209404,0.206228,0.137182,0.136051,
0.0392093,0.0389229,-0.0498446,-0.0502509,
0.0817356,0.081317,0.00729188,0.00690668,
-0.0591875,-0.05943,-0.196093,-0.194144,
0.0644232,0.0640886,0.0582561,0.0578598,
0.0904117,0.0899313,0.170513,0.168649,
-0.155014,-0.154157,-0.228051,-0.224781,
-0.374476,-0.358355,-0.546056,-0.498295,
-0.240031,-0.235897,-0.322469,-0.312262,
-0.00556812,-0.00577892,0.106892,0.106533,
-0.0811246,-0.0812247,0.046951,0.0468167,
-0.0792251,-0.0793431,0.0102111,0.0100485,
-0.322907,-0.312561,-0.431997,-0.407664,
-0.392438,-0.373896,-0.483447,-0.449609,
-0.135837,-0.135305,-0.0318468,-0.031844,
-0.216084,-0.213153,-0.124234,-0.123804,
-0.298025,-0.289913,-0.17942,-0.177778,
