Sensor X0,Motor Y0,
0,0,
0.0174524,0.0174506,
0.0348995,0.0348853,
0.052336,0.0522882,
0.0697565,0.0696435,
0.0871557,0.0869357,
0.104528,0.104149,
0.121869,0.12127,
0.139173,0.138281,
0.156434,0.155171,
0.173648,0.171924,
0.190809,0.188527,
0.207912,0.204967,
0.224951,0.221232,
0.241922,0.23731,
0.258819,0.253191,
0.275637,0.268863,
0.292372,0.284316,
0.309017,0.299543,
0.325568,0.314533,
0.34202,0.32928,
0.358368,0.343776,
0.374607,0.358014,
0.390731,0.37199,
0.406737,0.385698,
0.422618,0.399134,
0.438371,0.412293,
0.45399,0.425174,
0.469472,0.437772,
0.48481,0.450087,
0.5,0.462117,
0.515038,0.473861,
0.529919,0.485319,
0.544639,0.496492,
0.559193,0.507378,
0.573576,0.517981,
0.587785,0.528301,
0.601815,0.53834,
0.615661,0.5481,
0.62932,0.557584,
0.642788,0.566795,
0.656059,0.575735,
0.669131,0.584408,
0.681998,0.592817,
0.694658,0.600966,
0.707107,0.608859,
0.71934,0.6165,
0.731354,0.623893,
0.743145,0.631041,
0.75471,0.63795,
0.766044,0.644623,
0.777146,0.651066,
0.788011,0.657281,
0.798636,0.663206,
0.809017,0.668901,
0.819152,0.674381,
0.829038,0.679648,
0.838671,0.684695,
0.848048,0.689527,
0.857167,0.694161,
0.866025,0.698595,
0.87462,0.702819,
0.882948,0.70687,
0.891007,0.710716,
0.898794,0.714359,
0.906308,0.717827,
0.913545,0.721138,
0.920505,0.724265,
0.927184,0.727167,
0.93358,0.729968,
0.939693,0.732549,
0.945519,0.734941,
0.951057,0.737228,
0.956305,0.739317,
0.961262,0.741219,
0.965926,0.74306,
0.970296,0.744615,
0.97437,0.746192,
0.978148,0.747466,
0.981627,0.748675,
0.984808,0.749664,
0.987688,0.750693,
0.990268,0.751638,
0.992546,0.752126,
0.994522,0.752564,
0.996195,0.753237,
0.997564,0.753328,
0.99863,0.753496,
0.999391,0.753631,
0.999848,0.753509,
1,0.753482,
0.999848,0.752978,
0.999391,0.752703,
0.99863,0.752168,
0.997564,0.751667,
0.996195,0.751055,
0.994522,0.750258,
0.992546,0.749129,
0.990268,0.747983,
0.987688,0.746897,
0.984808,0.745113,
0.981627,0.743836,
0.978148,0.742402,
0.97437,0.740537,
0.970296,0.738324,
0.965926,0.735806,
0.961262,0.733203,
0.956305,0.730669,
0.951057,0.728234,
0.945519,0.725344,
0.939693,0.722635,
0.93358,0.719821,
0.927184,0.7169,
0.920505,0.713516,
0.913545,0.710271,
0.906308,0.706944,
0.898794,0.702928,
0.891007,0.699291,
0.882948,0.694864,
0.87462,0.690841,
0.866025,0.686089,
0.857167,0.681785,
0.848048,0.676444,
0.838671,0.671779,
0.829038,0.666453,
0.819152,0.661264,
0.809017,0.655795,
0.798636,0.649519,
0.788011,0.643109,
0.777146,0.636559,
0.766044,0.629447,
0.75471,0.622447,
0.743145,0.615072,
0.731354,0.608196,
0.71934,0.601036,
0.707107,0.593193,
0.694658,0.585613,
0.681998,0.577788,
0.669131,0.56952,
0.656059,0.560642,
0.642788,0.551057,
0.62932,0.541551,
0.615661,0.531543,
0.601815,0.522177,
0.587785,0.512378,
0.573576,0.501139,
0.559193,0.490746,
0.544639,0.479113,
0.529919,0.468282,
0.515038,0.45592,
0.5,0.444641,
0.48481,0.431886,
0.469472,0.420034,
0.453991,0.407988,
0.438371,0.394217,
0.422618,0.380744,
0.406737,0.367645,
0.390731,0.354279,
0.374607,0.340241,
0.358368,0.325112,
0.34202,0.309961,
0.325568,0.295335,
0.309017,0.280152,
0.292372,0.2647,
0.275637,0.249245,
0.258819,0.233185,
0.241922,0.217929,
0.224951,0.201733,
0.207912,0.184976,
0.190809,0.168851,
0.173648,0.15137,
0.156434,0.134487,
0.139173,0.11695,
0.121869,0.0995261,
0.104528,0.0822204,
0.0871557,0.0658947,
0.0697565,0.0482275,
0.052336,0.0303588,
0.0348995,0.0123059,
0.0174524,-0.0056184,
3.58979e-09,-0.0233872,
-0.0174524,-0.041321,
-0.0348995,-0.0586442,
-0.052336,-0.0761941,
-0.0697565,-0.0937269,
-0.0871557,-0.110493,
-0.104528,-0.126991,
-0.121869,-0.14296,
-0.139173,-0.16019,
-0.156434,-0.177306,
-0.173648,-0.192755,
-0.190809,-0.209257,
-0.207912,-0.224881,
-0.224951,-0.241046,
-0.241922,-0.256327,
-0.258819,-0.272244,
-0.275637,-0.287285,
-0.292372,-0.302156,
-0.309017,-0.316657,
-0.325568,-0.330687,
-0.34202,-0.345371,
-0.358368,-0.359157,
-0.374607,-0.373357,
-0.390731,-0.387073,
-0.406737,-0.401215,
-0.422618,-0.414035,
-0.438371,-0.426982,
-0.45399,-0.4399,
-0.469472,-0.45166,
-0.48481,-0.463661,
-0.5,-0.47555,
-0.515038,-0.487635,
-0.529919,-0.498746,
-0.544639,-0.509425,
-0.559193,-0.520504,
-0.573576,-0.530745,
-0.587785,-0.540164,
-0.601815,-0.549762,
-0.615661,-0.559405,
-0.62932,-0.569058,
-0.642788,-0.57771,
-0.656059,-0.586629,
-0.669131,-0.595054,
-0.681998,-0.60322,
-0.694658,-0.610932,
-0.707107,-0.618852,
-0.71934,-0.625937,
-0.731354,-0.633262,
-0.743145,-0.639727,
-0.75471,-0.646365,
-0.766044,-0.653064,
-0.777146,-0.659503,
-0.788011,-0.665678,
-0.798636,-0.671342,
-0.809017,-0.676638,
-0.819152,-0.682145,
-0.829038,-0.687456,
-0.838671,-0.692657,
-0.848048,-0.697278,
-0.857167,-0.702089,
-0.866025,-0.706214,
-0.87462,-0.710804,
-0.882948,-0.714989,
-0.891007,-0.71896,
-0.898794,-0.722404,
-0.906308,-0.725919,
-0.913545,-0.728886,
-0.920505,-0.731844,
-0.927184,-0.735155,
-0.93358,-0.738137,
-0.939693,-0.740473,
-0.945519,-0.74268,
-0.951057,-0.744948,
-0.956305,-0.747241,
-0.961262,-0.749392,
-0.965926,-0.751453,
-0.970296,-0.753064,
-0.97437,-0.754931,
-0.978148,-0.756258,
-0.981627,-0.757492,
-0.984808,-0.758485,
-0.987688,-0.759995,
-0.990268,-0.760555,
-0.992546,-0.761684,
-0.994522,-0.762252,
-0.996195,-0.762593,
-0.997564,-0.763029,
-0.99863,-0.763762,
-0.999391,-0.764306,
-0.999848,-0.764598,
-1,-0.764709,
-0.999848,-0.764208,
-0.999391,-0.764067,
-0.99863,-0.763545,
-0.997564,-0.763233,
-0.996195,-0.762939,
-0.994522,-0.762489,
-0.992546,-0.761841,
-0.990268,-0.760462,
-0.987688,-0.759499,
-0.984808,-0.75818,
-0.981627,-0.756519,
-0.978148,-0.75527,
-0.97437,-0.753863,
-0.970296,-0.752236,
-0.965926,-0.750101,
-0.961262,-0.747934,
-0.956305,-0.745297,
-0.951057,-0.742682,
-0.945519,-0.740456,
-0.939693,-0.73774,
-0.93358,-0.734854,
-0.927184,-0.73216,
-0.920505,-0.728971,
-0.913545,-0.725451,
-0.906308,-0.721697,
-0.898794,-0.718249,
-0.891007,-0.714668,
-0.882948,-0.710361,
-0.87462,-0.706326,
-0.866025,-0.702005,
-0.857167,-0.697829,
-0.848048,-0.693341,
-0.838671,-0.688109,
-0.829038,-0.682751,
-0.819152,-0.677477,
-0.809017,-0.671615,
-0.798636,-0.665555,
-0.788011,-0.659503,
-0.777146,-0.653191,
-0.766044,-0.647306,
-0.75471,-0.641178,
-0.743145,-0.634514,
-0.731354,-0.627857,
-0.71934,-0.620937,
-0.707107,-0.613383,
-0.694658,-0.605396,
-0.681998,-0.597241,
-0.669131,-0.589154,
-0.656059,-0.580742,
-0.642788,-0.571626,
-0.62932,-0.56212,
-0.615661,-0.552241,
-0.601815,-0.542119,
-0.587785,-0.532425,
-0.573576,-0.522077,
-0.559193,-0.511344,
-0.544639,-0.500389,
-0.529919,-0.488818,
-0.515038,-0.477478,
-0.5,-0.466599,
-0.48481,-0.454882,
-0.469472,-0.442406,
-0.453991,-0.430252,
-0.438371,-0.417972,
-0.422618,-0.404989,
-0.406737,-0.391213,
-0.390731,-0.378328,
-0.374607,-0.364759,
-0.358368,-0.350757,
-0.34202,-0.335989,
-0.325568,-0.32155,
-0.309017,-0.306649,
-0.292372,-0.292199,
-0.275637,-0.276779,
-0.258819,-0.260879,
-0.241922,-0.244912,
-0.224951,-0.229465,
-0.207912,-0.213661,
-0.190809,-0.198297,
-0.173648,-0.181617,
-0.156434,-0.16579,
-0.139173,-0.148449,
-0.121869,-0.131476,
-0.104528,-0.113646,
-0.0871557,-0.0971535,
-0.0697565,-0.0805553,
-0.052336,-0.063001,
-0.0348995,-0.0450601,
-0.0174524,-0.0284862,
-7.17959e-09,-0.0116101,
0.0174524,0.00652079,
0.0348995,0.0238942,
0.0523359,0.0402436,
0.0697565,0.0570801,
0.0871557,0.0747805,
0.104528,0.0919245,
0.121869,0.108265,
0.139173,0.12592,
0.156434,0.143445,
0.173648,0.160309,
0.190809,0.177167,
0.207912,0.193211,
0.224951,0.208841,
0.241922,0.225514,
0.258819,0.242105,
0.275637,0.25841,
0.292372,0.273684,
0.309017,0.288215,
0.325568,0.302781,
0.34202,0.317572,
0.358368,0.332649,
0.374607,0.346627,
0.390731,0.360406,
0.406737,0.374026,
0.422618,0.387288,
0.438371,0.400663,
0.45399,0.413834,
0.469472,0.425808,
0.48481,0.43819,
0.5,0.450744,
0.515038,0.462328,
0.529919,0.473774,
0.544639,0.484813,
0.559193,0.495618,
0.573576,0.506653,
0.587785,0.516568,
0.601815,0.52726,
0.615661,0.53759,
0.62932,0.546501,
0.642788,0.556194,
0.656059,0.565175,
0.669131,0.574214,
0.681998,0.582206,
0.694658,0.590659,
0.707107,0.598749,
0.71934,0.605956,
0.731354,0.613597,
0.743145,0.62044,
0.75471,0.627251,
0.766044,0.634527,
0.777146,0.641293,
0.788011,0.647239,
0.798636,0.653161,
0.809017,0.658655,
0.819152,0.664499,
0.829038,0.670212,
0.838671,0.675722,
0.848048,0.680584,
0.857167,0.685757,
0.866025,0.690139,
0.87462,0.694257,
0.882948,0.698276,
0.891007,0.702611,
0.898794,0.706562,
0.906308,0.710406,
0.913545,0.713952,
0.920505,0.717503,
0.927184,0.720721,
0.93358,0.723635,
0.939693,0.726731,
0.945519,0.72928,
0.951057,0.732155,
0.956305,0.734498,
0.961262,0.73669,
0.965926,0.738804,
0.970296,0.740408,
0.97437,0.742321,
0.978148,0.743758,
0.981627,0.745165,
0.984808,0.746158,
0.987688,0.747231,
0.990268,0.74808,
0.992546,0.748886,
0.994522,0.749854,
0.996195,0.750434,
0.997564,0.751368,
0.99863,0.751765,
0.999391,0.751794,
0.999848,0.751868,
1,0.751793,
0.999848,0.751682,
0.999391,0.751529,
0.99863,0.751275,
0.997564,0.75062,
0.996195,0.74977,
0.994522,0.748883,
0.992546,0.748263,
0.990268,0.7476,
0.987688,0.746784,
0.984808,0.745348,
0.981627,0.744163,
0.978148,0.742497,
0.97437,0.74063,
0.970296,0.738731,
0.965926,0.737137,
0.961262,0.735385,
0.956305,0.733209,
0.951057,0.7309,
0.945519,0.728098,
0.939693,0.725012,
0.93358,0.722364,
0.927184,0.719403,
0.920505,0.715994,
0.913545,0.712258,
0.906308,0.708566,
0.898794,0.704999,
0.891007,0.700752,
0.882948,0.696944,
