Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0.777146,0.651066,0.777146,0.651066,
0.788016,0.657283,0.78802,0.657286,
0.79853,0.663149,0.798428,0.663089,
0.808784,0.668775,0.808556,0.668647,
0.818778,0.674179,0.818407,0.673978,
0.828522,0.679372,0.82801,0.6791,
0.838002,0.68434,0.837334,0.683994,
0.847192,0.689078,0.846335,0.688642,
0.856128,0.693623,0.855091,0.693103,
0.864793,0.697961,0.863559,0.697351,
0.873156,0.702074,0.871688,0.701357,
0.881262,0.706022,0.879572,0.705206,
0.889056,0.709745,0.887099,0.708813,
0.896565,0.71326,0.894329,0.712213,
0.903805,0.716605,0.901295,0.715449,
0.910773,0.7198,0.907992,0.718539,
0.917396,0.722785,0.914284,0.721391,
0.923712,0.725533,0.920246,0.723997,
0.929791,0.728204,0.926014,0.726551,
0.935522,0.730624,0.931366,0.728827,
0.940966,0.732859,0.936436,0.730924,
0.946167,0.735014,0.941309,0.732962,
0.951001,0.73694,0.945741,0.73474,
0.955528,0.738676,0.949858,0.736329,
0.959812,0.740375,0.953782,0.7379,
0.96368,0.74173,0.957164,0.739086,
0.967385,0.74317,0.96051,0.740404,
0.970643,0.744242,0.963271,0.741302,
0.973694,0.745292,0.96592,0.742216,
0.976399,0.746094,0.96816,0.742866,
0.978892,0.74698,0.97028,0.743622,
0.980982,0.747742,0.971903,0.7442,
0.982701,0.748019,0.973098,0.744298,
0.984248,0.748304,0.974247,0.744453,
0.985547,0.748854,0.975213,0.744863,
0.986335,0.748733,0.975472,0.744561,
0.986994,0.74876,0.975774,0.744464,
0.987318,0.748734,0.975701,0.744286,
0.987303,0.748436,0.975256,0.743828,
0.987045,0.748255,0.97463,0.74349,
0.986412,0.747568,0.973564,0.742655,
0.985584,0.747147,0.972402,0.742096,
0.984388,0.746441,0.970814,0.741236,
0.982918,0.745776,0.968991,0.740414,
0.98113,0.74499,0.966832,0.73946,
0.979054,0.744019,0.964394,0.738328,
0.976691,0.742724,0.961685,0.736896,
0.97405,0.741419,0.958728,0.735451,
0.971118,0.740171,0.955492,0.734044,
0.717575,0.602836,0.513435,0.459381,
0.709476,0.597552,0.504356,0.451365,
0.700567,0.592668,0.490783,0.441958,
0.69086,0.586939,0.476316,0.431589,
0.683943,0.582096,0.467121,0.423738,
0.676003,0.576046,0.456375,0.41375,
0.668998,0.570362,0.448732,0.405759,
0.661061,0.565365,0.438962,0.398582,
0.654349,0.560835,0.429436,0.390482,
0.646018,0.554492,0.41997,0.381377,
0.638292,0.549756,0.411014,0.374851,
0.63023,0.543742,0.401272,0.365327,
0.62176,0.538462,0.391484,0.357999,
0.612539,0.532347,0.379646,0.348727,
0.605275,0.527392,0.372434,0.342601,
0.59689,0.521151,0.364286,0.334546,
0.589914,0.515664,0.357238,0.327715,
0.581086,0.510504,0.346491,0.320483,
0.574979,0.504923,0.340422,0.313126,
0.566549,0.499513,0.332205,0.307115,
0.558205,0.493293,0.323743,0.299899,
0.549732,0.486954,0.315448,0.291887,
0.542323,0.480806,0.309112,0.285671,
0.534438,0.475627,0.301291,0.279753,
0.527273,0.469474,0.294137,0.271889,
0.520315,0.465197,0.28855,0.268726,
0.511734,0.458014,0.281038,0.2604,
0.505035,0.45289,0.276126,0.256659,
0.49884,0.447437,0.270616,0.250731,
0.491331,0.441539,0.265578,0.246474,
0.483525,0.434012,0.260087,0.239391,
0.474068,0.425776,0.252364,0.231147,
0.466289,0.4201,0.246881,0.22774,
0.459082,0.414703,0.243674,0.225203,
0.448071,0.405009,0.232411,0.212814,
0.441729,0.40075,0.229904,0.212555,
0.433835,0.394393,0.223538,0.206387,
0.425393,0.387556,0.217408,0.200492,
0.417124,0.381234,0.212088,0.196406,
0.40638,0.371441,0.20225,0.185809,
0.398542,0.36497,0.19743,0.182269,
0.388404,0.355282,0.189447,0.172898,
0.378351,0.346331,0.18245,0.166165,
0.367191,0.336828,0.171872,0.155871,
0.356595,0.327838,0.162524,0.147088,
0.346011,0.317737,0.154236,0.138519,
0.335816,0.309478,0.147918,0.13363,
0.326211,0.299929,0.14135,0.126137,
0.315214,0.290107,0.131754,0.116514,
0.308221,0.284115,0.384727,0.354364,
0.295081,0.27142,0.228714,0.210792,
0.281935,0.258704,0.215295,0.196161,
0.270837,0.249653,0.203857,0.186754,
0.261799,0.242475,0.195871,0.181575,
0.255651,0.236259,0.19662,0.182789,
0.249108,0.229798,0.198432,0.18458,
0.240176,0.221412,0.191236,0.175445,
0.228548,0.210307,0.17985,0.164814,
0.219184,0.202163,0.177977,0.164942,
0.206603,0.188581,0.165664,0.149635,
0.193313,0.175122,0.156796,0.141644,
0.180543,0.162902,0.142381,0.1263,
0.170064,0.153239,0.132484,0.117345,
0.157272,0.140059,0.118425,0.103099,
0.142764,0.125804,0.107262,0.0925797,
0.132042,0.115963,0.0990947,0.0854288,
0.118205,0.10198,0.0818167,0.0657812,
0.108291,0.0933283,0.076238,0.0645821,
0.0949928,0.0786281,0.0638894,0.048153,
0.0842852,0.0693782,0.0542847,0.0408672,
0.0698715,0.0530712,0.0412737,0.0260215,
0.0598466,0.0444966,0.0348626,0.0216375,
0.0444215,0.0269677,0.0176338,0.000640655,
0.0307838,0.0138078,0.00746087,-0.00722501,
0.0168633,-0.000875131,-0.0101711,-0.0279235,
0.00195989,-0.0147528,-0.0212028,-0.0358953,
-0.00954844,-0.0256638,-0.0337208,-0.0485197,
-0.0217379,-0.0384502,-0.0426819,-0.0572324,
-0.0333196,-0.0507751,-0.0530693,-0.0690211,
-0.0430385,-0.0603668,-0.0555223,-0.0697978,
-0.0559124,-0.074147,-0.0622658,-0.0781479,
-0.0673467,-0.0857397,-0.0766701,-0.0945181,
-0.0834072,-0.103329,-0.0937374,-0.113218,
-0.0992968,-0.119203,-0.104549,-0.121661,
-0.113397,-0.132223,-0.124244,-0.143913,
-0.12925,-0.148676,-0.140189,-0.158503,
-0.14658,-0.164891,-0.156775,-0.17396,
-0.162439,-0.178805,-0.174791,-0.190532,
-0.175358,-0.191093,-0.182814,-0.196223,
-0.187598,-0.202458,-0.197608,-0.211108,
-0.199603,-0.213416,-0.202707,-0.214088,
-0.211883,-0.224846,-0.213806,-0.225186,
-0.227837,-0.240666,-0.229605,-0.241474,
-0.243388,-0.255135,-0.245954,-0.256822,
-0.254373,-0.263328,-0.254528,-0.26165,
-0.270455,-0.279814,-0.274189,-0.283214,
-0.282283,-0.289101,-0.282964,-0.287752,
-0.299144,-0.305371,-0.298357,-0.303706,
-0.309214,-0.31258,-0.313418,-0.315668,
-0.325945,-0.328329,-0.320607,-0.321909,
-0.338267,-0.338164,-0.330594,-0.329801,
-0.354536,-0.353218,-0.35369,-0.352684,
-0.371995,-0.368654,-0.3786,-0.374593,
-0.381508,-0.375437,-0.388208,-0.379978,
