Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0,0,0,0,
0,0,0,0,
-1.76093e-13,1.37128e-12,1.37128e-12,6.75115e-13,
-2.83011e-13,1.2645e-12,1.2645e-12,5.76147e-13,
-1.15886e-12,-1.29457e-12,-1.29457e-12,-1.4076e-12,
-1.15886e-12,-1.76914e-12,-1.76914e-12,-5.7064e-13,
-1.17584e-12,-7.39313e-12,-7.39313e-12,3.96849e-12,
-1.17656e-12,-8.35231e-12,-8.35231e-12,5.50902e-12,
-8.84065e-13,-8.05363e-12,-8.05363e-12,1.14462e-11,
4.72414e-12,-2.71915e-12,-2.71915e-12,2.02017e-11,
6.23366e-12,-1.53717e-12,-1.53717e-12,2.25077e-11,
1.40059e-11,6.33625e-12,6.33626e-12,3.30567e-11,
1.81791e-11,1.03092e-11,1.03092e-11,5.03324e-11,
2.58274e-11,1.79601e-11,1.79601e-11,9.73078e-11,
2.80557e-11,1.88357e-11,1.88357e-11,1.30995e-10,
3.37181e-11,2.44963e-11,2.44963e-11,2.22159e-10,
3.50891e-11,2.589e-11,2.589e-11,3.00077e-10,
4.58253e-11,3.83381e-11,3.83381e-11,3.40249e-10,
5.52397e-11,4.78379e-11,4.78379e-11,4.21185e-10,
8.99526e-11,8.25871e-11,8.25871e-11,5.09982e-10,
1.23259e-10,1.17379e-10,1.17379e-10,6.01117e-10,
1.35038e-10,1.2937e-10,1.2937e-10,6.5253e-10,
1.37394e-10,1.3172e-10,1.3172e-10,6.66056e-10,
1.39763e-10,1.34137e-10,1.34137e-10,6.87151e-10,
1.40823e-10,1.3513e-10,1.3513e-10,6.99635e-10,
1.44396e-10,1.35494e-10,1.35494e-10,7.1464e-10,
1.53688e-10,1.44226e-10,1.44226e-10,7.53103e-10,
1.57418e-10,1.46767e-10,1.46767e-10,7.62764e-10,
1.68289e-10,1.5755e-10,1.5755e-10,7.828e-10,
2.07774e-10,1.93837e-10,1.93837e-10,8.30676e-10,
2.28342e-10,2.12721e-10,2.12721e-10,8.53695e-10,
2.58354e-10,2.42722e-10,2.42722e-10,8.84861e-10,
2.94805e-10,2.8018e-10,2.8018e-10,9.26165e-10,
3.06409e-10,2.9193e-10,2.9193e-10,9.387e-10,
3.11632e-10,3.01486e-10,3.01486e-10,9.50045e-10,
3.13397e-10,3.0331e-10,3.0331e-10,9.59686e-10,
3.21691e-10,3.15185e-10,3.15185e-10,9.85506e-10,
