Sensor X1,Motor Y1,
-0.0735654,-0.00077187,
-0.09037,-0.00077187,
0.0086378,-0.000759909,
0.128114,-0.0011971,
0.128743,-0.00121996,
-0.0166052,-0.00170681,
-0.0731669,-0.00124929,
-0.149178,-0.00167225,
-0.0874698,-0.00168036,
-0.113424,-0.00146951,
-0.00952839,-0.00139943,
0.102319,-0.00172821,
0.20299,-0.00198691,
0.328116,-0.00225384,
0.453142,-0.00198453,
0.523364,-0.00200662,
0.391787,-0.00244899,
0.324893,-0.00285113,
0.269145,-0.00236766,
0.380849,-0.00230861,
0.353142,-0.00274133,
0.464074,-0.00290152,
0.441408,-0.00287622,
0.38857,-0.00325733,
0.498694,-0.00337947,
0.304984,-0.00307478,
0.170609,-0.0031015,
0.0102646,-0.00301844,
-0.112891,-0.00276131,
0.021519,-0.00275807,
-0.0195956,-0.00262998,
0.0672318,-0.00237707,
-0.0687474,-0.00226071,
-0.0414922,-0.00177625,
-0.079675,-0.00180495,
-0.150852,-0.00195974,
-0.176435,-0.0017749,
-0.134062,-0.00212906,
-0.174036,-0.00249881,
-0.265455,-0.00279718,
-0.141009,-0.00249165,
-0.257251,-0.00202588,
-0.383927,-0.0015848,
-0.532293,-0.0016862,
-0.6304,-0.00174227,
-0.630414,-0.00185273,
-0.47936,-0.00233288,
-0.580619,-0.00281573,
-0.583224,-0.00232949,
