Sensor X0,Motor Y0,
-0.0405647,-0.0405424,
0.0951265,0.0948406,
0.135554,0.13473,
0.0272107,0.027204,
-0.117906,-0.117363,
-0.226193,-0.222413,
-0.325409,-0.31439,
-0.425452,-0.401514,
-0.251837,-0.246644,
-0.242765,-0.238105,
-0.204313,-0.201517,
-0.160251,-0.158894,
-0.160819,-0.159446,
-0.221691,-0.21813,
-0.210106,-0.207068,
-0.236999,-0.23266,
-0.297665,-0.289174,
-0.196857,-0.194353,
-0.323426,-0.312602,
-0.304803,-0.295702,
-0.388038,-0.369667,
-0.252598,-0.247359,
-0.378108,-0.361063,
-0.373752,-0.357269,
-0.435786,-0.410145,
-0.289483,-0.281658,
-0.351659,-0.337846,
-0.375284,-0.358605,
-0.354844,-0.340664,
-0.331183,-0.319583,
-0.338292,-0.325951,
-0.196708,-0.19421,
-0.258922,-0.253287,
-0.211293,-0.208204,
-0.151846,-0.150689,
-0.168658,-0.167077,
-0.0683164,-0.0682103,
-0.14952,-0.148415,
-0.193307,-0.190935,
-0.0539946,-0.0539422,
-0.00675096,-0.00675086,
-0.0248829,-0.0248777,
-0.0553467,-0.0552903,
-2.47436e-05,-2.47436e-05,
-0.00527755,-0.0052775,
0.129798,0.129074,
0.0233722,0.0233679,
0.0656921,0.0655978,
0.101477,0.10113,
0.18693,0.184783,
0.168893,0.167305,
0.0735654,0.073433,
0.0903661,0.0901209,
-0.00899697,-0.00901631,
-0.128065,-0.127694,
-0.129061,-0.128296,
0.0171299,0.017551,
0.0728845,0.074064,
0.148995,0.149347,
0.0875953,0.088146,
0.113493,0.113797,
0.00951375,0.00979587,
-0.102562,-0.102738,
-0.203508,-0.20217,
-0.329811,-0.320797,
-0.455038,-0.429446,
-0.526583,-0.485415,
-0.396076,-0.377071,
-0.330102,-0.316822,
-0.274984,-0.264761,
-0.386717,-0.36677,
-0.360707,-0.343027,
-0.472055,-0.439219,
-0.450792,-0.419921,
-0.397926,-0.374242,
-0.508661,-0.46741,
-0.317412,-0.30149,
-0.184503,-0.173452,
-0.0241119,-0.0119459,
0.099216,0.113659,
-0.0350923,-0.0226506,
0.00551703,0.0195011,
-0.0815595,-0.0698406,
0.0540675,0.0696598,
0.0273884,0.0417289,
0.0655579,0.0808648,
0.137081,0.153135,
0.162377,0.178969,
0.120257,0.136982,
0.160073,0.177337,
0.25168,0.26708,
0.127706,0.144685,
0.244657,0.260368,
0.372349,0.378832,
0.522663,0.503609,
0.624619,0.577094,
0.627158,0.576976,
0.476167,0.462594,
0.579279,0.540431,
0.585343,0.542303,
0.581147,0.538945,
0.599131,0.551985,
0.500618,0.476296,
0.348544,0.344429,
0.261526,0.260893,
0.264099,0.26285,
0.196862,0.196369,
0.26215,0.261129,
0.252574,0.251506,
0.384801,0.375895,
0.326801,0.321378,
0.301732,0.298045,
0.251528,0.24937,
0.349343,0.342981,
0.395624,0.38478,
0.379361,0.37037,
0.433996,0.419166,
0.455713,0.43839,
0.412585,0.400995,
0.453176,0.435937,
0.390072,0.381109,
0.41384,0.401582,
0.4708,0.450596,
0.522727,0.493111,
0.619385,0.565647,
0.611586,0.557782,
0.567514,0.525323,
0.453473,0.4325,
0.488338,0.461788,
0.34517,0.335748,
0.358755,0.346523,
0.39649,0.381007,
0.463738,0.439921,
0.388814,0.37405,
0.519359,0.485165,
0.583382,0.534666,
0.441126,0.418006,
0.555597,0.510807,
0.590269,0.534794,
0.421137,0.394714,
0.359863,0.337507,
0.470422,0.437113,
0.545688,0.498086,
0.586183,0.529169,
0.468356,0.433251,
0.556144,0.505609,
0.505052,0.463367,
0.362194,0.336063,
0.445437,0.411606,
0.400705,0.371293,
0.370087,0.342631,
0.246758,0.222519,
0.290784,0.265675,
0.296608,0.271152,
0.372592,0.344601,
0.248063,0.2223,
0.221858,0.195076,
0.0865474,0.0532011,
0.000643199,-0.0377255,
0.0848199,0.0520311,
0.153079,0.124964,
0.123787,0.094127,
0.0624252,0.0290415,
0.0617063,0.0276758,
-0.0769552,-0.120852,
-0.238497,-0.285364,
-0.326285,-0.369493,
-0.420078,-0.453402,
-0.475204,-0.49811,
-0.473039,-0.496723,
-0.449099,-0.476627,
-0.480399,-0.502237,
-0.387326,-0.423627,
-0.418312,-0.449901,
-0.432632,-0.462164,
-0.363182,-0.401691,
-0.478393,-0.499907,
-0.431099,-0.459844,
-0.31439,-0.355283,
-0.236015,-0.279391,
-0.306155,-0.348329,
-0.263345,-0.306463,
-0.368359,-0.405951,
-0.296291,-0.338236,
-0.473487,-0.495364,
-0.349424,-0.385169,
-0.471904,-0.491201,
-0.381647,-0.413819,
-0.533951,-0.540676,
-0.600147,-0.58761,
-0.494881,-0.507644,
-0.642191,-0.616746,
-0.629431,-0.604437,
-0.546814,-0.54426,
-0.658527,-0.623757,
-0.600167,-0.579974,
-0.55146,-0.543879,
-0.602593,-0.581337,
-0.588361,-0.570399,
-0.53748,-0.531829,
-0.496151,-0.498538,
-0.578441,-0.562501,
-0.691474,-0.640091,
-0.512973,-0.507935,
-0.513415,-0.504139,
-0.406108,-0.411785,
-0.454627,-0.453543,
-0.500268,-0.491822,
-0.444078,-0.44299,
-0.515749,-0.503487,
-0.465698,-0.461033,
-0.518586,-0.504965,
-0.595559,-0.564951,
-0.682031,-0.625044,
-0.540366,-0.518996,
-0.60889,-0.570421,
-0.625723,-0.581838,
-0.662539,-0.607471,
-0.597617,-0.559396,
-0.542777,-0.515573,
-0.551509,-0.522018,
-0.580396,-0.545326,
-0.617193,-0.573066,
-0.557371,-0.527969,
-0.472174,-0.458219,
-0.398864,-0.391817,
-0.34805,-0.342096,
-0.332208,-0.327466,
-0.291932,-0.288136,
-0.282581,-0.2786,
-0.319954,-0.316806,
-0.226237,-0.222458,
-0.326596,-0.323017,
-0.453948,-0.442494,
-0.536209,-0.512,
-0.45191,-0.440443,
-0.590105,-0.553372,
-0.6118,-0.567726,
-0.521115,-0.496931,
-0.592583,-0.553376,
-0.503174,-0.48141,
-0.435419,-0.421158,
-0.305654,-0.296425,
-0.399283,-0.387335,
-0.288647,-0.279001,
-0.15775,-0.139865,
-0.171508,-0.155267,
-0.0445898,-0.0166164,
0.0550714,0.0930401,
0.0129757,0.0471354,
0.0625683,0.0991859,
0.0975079,0.137897,
0.269636,0.317866,
0.412108,0.452753,
0.499913,0.526093,
0.656848,0.640923,
0.753216,0.697589,
0.738921,0.687802,
0.770429,0.705579,
0.634415,0.621459,
0.612628,0.603768,
0.692415,0.656408,
0.768314,0.701331,
0.675076,0.643171,
0.672241,0.639997,
0.651564,0.627479,
0.651185,0.628585,
0.688858,0.653336,
0.753119,0.692225,
0.57602,0.574245,
0.57735,0.573522,
0.667828,0.637742,
0.679039,0.644657,
0.537851,0.544564,
0.468674,0.487473,
0.34271,0.37334,
0.395457,0.42146,
0.446264,0.467548,
0.460756,0.478965,
0.346582,0.377896,
0.420126,0.444416,
0.361196,0.391056,
0.430129,0.45235,
0.523731,0.530802,
0.512371,0.520048,
0.655846,0.6263,
0.746025,0.67992,
0.629991,0.599858,
0.515599,0.511121,
0.646067,0.609541,
0.724837,0.659262,
0.564392,0.541892,
0.625959,0.586724,
0.708159,0.642161,
0.720645,0.648867,
0.59842,0.561203,
0.579438,0.545175,
0.581825,0.54616,
0.539548,0.512043,
0.558207,0.52815,
0.441357,0.427547,
0.537177,0.508871,
0.470937,0.451241,
0.495197,0.472422,
0.525388,0.49847,
0.366128,0.353309,
0.372395,0.357077,
0.21275,0.192286,
0.0450082,0.00735577,
0.0377838,0.00083742,
0.116997,0.0906389,
-0.00744166,-0.0498858,
-0.0535695,-0.100652,
-0.0589488,-0.105151,
-0.20855,-0.268106,
-0.153445,-0.210614,
-0.0907848,-0.141247,
-0.148505,-0.205569,
-0.0715764,-0.123177,
-0.0134731,-0.0566423,
0.00895756,-0.030038,
-0.124818,-0.180321,
-0.280171,-0.344627,
-0.306789,-0.372189,
-0.484188,-0.531023,
-0.396945,-0.457208,
-0.558961,-0.585486,
-0.596932,-0.611898,
-0.487332,-0.528585,
-0.494317,-0.530268,
-0.562145,-0.582571,
-0.601596,-0.610895,
-0.687674,-0.668092,
-0.648242,-0.639823,
-0.779408,-0.719377,
-0.625206,-0.616931,
-0.660016,-0.639419,
-0.778719,-0.711923,
-0.801639,-0.720226,
-0.660289,-0.631011,
-0.514208,-0.520392,
-0.567947,-0.56115,
-0.48114,-0.491183,
-0.43157,-0.448031,
-0.326775,-0.348333,
-0.272589,-0.292958,
-0.200147,-0.215969,
-0.188635,-0.202764,
-0.322328,-0.342491,
-0.419247,-0.434679,
-0.407944,-0.423125,
-0.306259,-0.325728,
-0.458922,-0.472276,
-0.481561,-0.491038,
-0.464935,-0.4762,
-0.450824,-0.464355,
-0.36969,-0.39079,
-0.382833,-0.402718,
-0.333898,-0.354277,
-0.425026,-0.442201,
-0.430748,-0.445641,
-0.316185,-0.335055,
-0.42334,-0.438672,
-0.468377,-0.478066,
-0.424095,-0.438331,
-0.455329,-0.466044,
-0.405088,-0.41949,
-0.505133,-0.50964,
-0.582207,-0.571774,
-0.716921,-0.666215,
-0.560491,-0.549227,
-0.602784,-0.57885,
-0.570801,-0.553852,
-0.628789,-0.597397,
-0.725426,-0.66221,
-0.545266,-0.525639,
-0.51633,-0.497189,
-0.359502,-0.350312,
-0.397124,-0.385388,
-0.522213,-0.500444,
-0.648922,-0.598552,
-0.660686,-0.603598,
-0.507554,-0.4798,
-0.489559,-0.463224,
-0.555929,-0.520795,
-0.393781,-0.372959,
-0.497636,-0.470599,
-0.407193,-0.383824,
-0.505966,-0.474096,
-0.363855,-0.338625,
-0.34584,-0.318493,
-0.235241,-0.201506,
-0.177922,-0.136456,
-0.0633382,-0.00353387,
-0.124613,-0.0725138,
0.0614167,0.13867,
0.0711394,0.148027,
0.24095,0.331387,
0.405407,0.488109,
0.390099,0.475272,
0.553531,0.606617,
0.75095,0.731414,
0.683876,0.690826,
0.67778,0.685328,
0.731536,0.716653,
0.746801,0.72469,
0.59907,0.632882,
0.523969,0.573545,
0.457883,0.517908,
0.542643,0.584395,
0.634893,0.650096,
0.593799,0.620857,
0.701319,0.691076,
0.552555,0.587198,
0.556988,0.587551,
0.573346,0.600514,
0.542988,0.577712,
0.429343,0.482719,
0.370585,0.426975,
0.30223,0.358513,
0.444293,0.491705,
0.614773,0.62537,
0.494172,0.530615,
0.538738,0.566476,
0.694836,0.677897,
0.644296,0.639878,
0.681401,0.66423,
0.676054,0.660392,
0.757119,0.710157,
0.836622,0.751186,
0.837959,0.746352,
0.710918,0.67225,
0.764638,0.705543,
0.779726,0.711921,
0.816703,0.731062,
0.795391,0.717152,
0.721994,0.673096,
0.673817,0.641845,
0.693398,0.657081,
0.733865,0.683166,
0.574866,0.573224,
0.481993,0.490013,
0.593297,0.580639,
0.485847,0.490171,
0.434068,0.443378,
0.559907,0.552662,
0.546595,0.541488,
0.451405,0.458587,
0.50588,0.503968,
0.420544,0.425605,
0.509144,0.504774,
0.39741,0.400895,
0.419198,0.420573,
0.532597,0.522959,
0.575158,0.556909,
0.656675,0.61823,
0.70022,0.646977,
0.6741,0.628558,
0.707687,0.651471,
0.586758,0.561991,
0.675994,0.626881,
0.530577,0.511909,
0.494822,0.477716,
0.521973,0.501377,
0.449091,0.435869,
0.468149,0.453588,
0.545324,0.522259,
0.491891,0.474254,
0.442526,0.428056,
0.457949,0.441986,
0.56245,0.534747,
0.649117,0.601875,
0.59007,0.554407,
0.492137,0.469812,
0.393634,0.374785,
0.315135,0.2924,
0.367233,0.346585,
0.342345,0.319923,
0.427583,0.405599,
0.34355,0.320247,
0.171095,0.130788,
0.067414,0.0118747,
0.0570219,0.000414918,
-0.0969612,-0.178808,
-0.0408931,-0.114291,
-0.230402,-0.323926,
-0.411749,-0.498066,
-0.487232,-0.56098,
-0.57123,-0.624301,
-0.506604,-0.575457,
-0.603877,-0.64583,
-0.544435,-0.603583,
-0.551489,-0.607745,
-0.653587,-0.677598,
-0.690426,-0.699755,
-0.634627,-0.664691,
-0.652349,-0.675879,
-0.745274,-0.731085,
-0.673074,-0.687928,
-0.76702,-0.740936,
-0.825189,-0.768423,
-0.764117,-0.734814,
-0.781758,-0.744312,
-0.866016,-0.784938,
-0.671234,-0.672614,
-0.666236,-0.663983,
-0.759942,-0.720548,
-0.738851,-0.707018,
-0.652089,-0.652891,
-0.687001,-0.674359,
-0.696393,-0.67983,
-0.649708,-0.649983,
-0.767213,-0.72244,
-0.824642,-0.750292,
-0.806336,-0.737705,
-0.750998,-0.706483,
-0.63298,-0.631695,
-0.494069,-0.521672,
-0.66552,-0.648612,
-0.529247,-0.545812,
-0.683897,-0.658366,
-0.753226,-0.699007,
-0.61549,-0.605984,
-0.733893,-0.684454,
-0.711761,-0.667721,
-0.637173,-0.617548,
-0.59855,-0.587637,
-0.496669,-0.50459,
-0.633193,-0.61436,
-0.621811,-0.603714,
-0.646244,-0.623261,
-0.498205,-0.504617,
-0.384348,-0.399341,
-0.491809,-0.501756,
-0.373152,-0.389651,
-0.293373,-0.311772,
-0.309133,-0.326773,
-0.420299,-0.438285,
-0.40003,-0.418215,
-0.343612,-0.361335,
-0.294788,-0.311573,
-0.199964,-0.208508,
-0.192687,-0.203055,
-0.0657426,-0.059066,
-0.0177241,-0.00183765,
-0.149267,-0.158254,
-0.199136,-0.221389,
-0.341603,-0.371114,
-0.280807,-0.302259,
-0.396451,-0.421643,
-0.457429,-0.474735,
-0.415306,-0.437474,
-0.58397,-0.584853,
-0.681843,-0.653884,
-0.759415,-0.7026,
-0.649892,-0.629382,
-0.696616,-0.658098,
-0.761538,-0.698876,
-0.781982,-0.707098,
-0.721293,-0.66823,
-0.654494,-0.621322,
-0.514274,-0.51,
-0.543999,-0.533381,
-0.63114,-0.601289,
-0.677138,-0.63255,
-0.507332,-0.495911,
-0.535775,-0.51805,
-0.512833,-0.497267,
-0.496716,-0.482936,
-0.627537,-0.592397,
-0.556556,-0.533179,
-0.527143,-0.507897,
-0.585472,-0.557184,
-0.489991,-0.473652,
-0.387183,-0.372347,
-0.424794,-0.408968,
-0.367596,-0.349697,
-0.426639,-0.407584,
-0.51615,-0.49083,
-0.577149,-0.541924,
-0.458576,-0.433084,
-0.579135,-0.539028,
-0.465482,-0.435523,
-0.428399,-0.397857,
-0.480464,-0.448895,
-0.329778,-0.295534,
-0.374903,-0.343137,
-0.271297,-0.229945,
-0.352197,-0.318328,
-0.185955,-0.131638,
-0.089608,-0.0173117,
-0.102889,-0.0322878,
-0.0477609,0.0326471,
-0.0265788,0.0573077,
0.170087,0.283607,
0.425153,0.533047,
0.5764,0.647734,
0.737346,0.745699,
0.750359,0.751733,
0.79273,0.772553,
0.881811,0.811818,
0.837105,0.789306,
0.924572,0.825323,
0.848267,0.787776,
0.873935,0.798307,
0.925538,0.818637,
0.903879,0.805836,
0.867426,0.789915,
0.819049,0.766965,
0.862696,0.786866,
0.793684,0.753831,
0.641873,0.663787,
0.746557,0.723125,
0.740197,0.71811,
