Sensor X0,Motor Y0,
0.0651891,0.0650969,
0.0971876,0.0968827,
0.0197487,0.0197462,
0.110999,0.110546,
0.0808289,0.0806533,
-0.036704,-0.0366876,
-0.12121,-0.12062,
-0.0188867,-0.0188844,
-0.0800749,-0.0799042,
-0.0726181,-0.0724907,
0.0693418,0.0692309,
0.150638,0.149509,
0.230483,0.226487,
0.343946,0.330995,
0.286733,0.279125,
0.404833,0.384077,
0.518875,0.476831,
0.352648,0.338722,
0.38769,0.369367,
0.324035,0.313151,
0.169157,0.167562,
0.036491,0.0364749,
0.177665,0.175819,
0.281095,0.273918,
0.285846,0.278307,
0.356382,0.342023,
0.39234,0.373376,
0.23516,0.230919,
0.36047,0.345628,
0.411913,0.390096,
0.461656,0.431433,
0.387648,0.369331,
0.269123,0.262809,
0.376831,0.359952,
0.309053,0.299576,
0.417587,0.394896,
0.450897,0.422636,
0.449228,0.421264,
0.528867,0.484515,
0.611706,0.545327,
0.639757,0.564734,
0.688025,0.596712,
0.51146,0.471082,
0.59712,0.534997,
0.649316,0.571209,
0.550795,0.501116,
0.435434,0.409852,
0.35209,0.338228,
0.25606,0.250606,
0.183477,0.181445,
0.156395,0.155133,
0.277174,0.270287,
0.15811,0.156806,
0.234948,0.230717,
0.361218,0.346287,
0.311243,0.30156,
0.262159,0.256302,
0.175981,0.174171,
0.0974951,0.097165,
0.16681,0.165257,
0.253299,0.247999,
0.32152,0.310866,
0.445897,0.418515,
0.424984,0.401111,
0.323129,0.312312,
0.382109,0.364519,
0.504741,0.465826,
0.543746,0.495792,
0.386263,0.368082,
0.241552,0.236876,
0.148272,0.147076,
0.242979,0.238205,
0.314879,0.304775,
0.202117,0.199297,
0.110595,0.110016,
-0.00234395,-0.00249959,
-0.136282,-0.135627,
-0.263929,-0.258158,
-0.131237,-0.130657,
-0.226545,-0.222929,
-0.255422,-0.250195,
-0.154286,-0.15324,
-0.137495,-0.136797,
-0.151024,-0.150052,
-0.27016,-0.263962,
-0.186774,-0.184799,
-0.03713,-0.0372399,
0.0760442,0.0758062,
0.114479,0.113905,
0.188246,0.186,
0.313613,0.303706,
0.403017,0.382537,
0.455681,0.426582,
0.571661,0.516632,
0.515809,0.47447,
0.573473,0.517934,
0.391032,0.372212,
0.296625,0.288125,
0.206866,0.203824,
0.148884,0.14762,
0.0670484,0.0667363,
0.106658,0.106062,
0.151402,0.150083,
0.291523,0.283428,
0.29726,0.288691,
0.172675,0.170804,
0.198566,0.195834,
0.181109,0.178983,
0.283288,0.275826,
0.126795,0.125913,
0.155457,0.154024,
0.0741916,0.07382,
0.0687051,0.0683565,
0.00984316,0.00957157,
-0.0856617,-0.0857719,
-0.223513,-0.220238,
-0.161443,-0.160399,
-0.119107,-0.118871,
-0.213485,-0.210663,
-0.172516,-0.17117,
-0.222658,-0.219413,
-0.308749,-0.29969,
-0.244263,-0.239892,
-0.312713,-0.303296,
-0.427002,-0.403229,
-0.290014,-0.282512,
-0.40439,-0.384091,
-0.42561,-0.402028,
-0.374065,-0.357909,
-0.421275,-0.398377,
-0.461864,-0.431986,
-0.525061,-0.481979,
-0.630906,-0.55906,
-0.609617,-0.544218,
-0.563269,-0.510743,
-0.385064,-0.367399,
-0.307677,-0.298578,
-0.242843,-0.238409,
-0.156127,-0.155042,
-0.0301605,-0.0302268,
-0.119162,-0.118723,
-0.10431,-0.10406,
0.0174196,0.0173834,
0.129577,0.128907,
0.151767,0.150659,
0.0828323,0.0826501,
0.0803698,0.0801937,
0.184876,0.182867,
0.120183,0.119616,
0.174869,0.173164,
0.0648811,0.064767,
0.0624935,0.062394,
0.12967,0.128967,
0.0455571,0.0454767,
-0.0681457,-0.0681889,
-0.110056,-0.109797,
0.019772,0.0197016,
0.0563303,0.0562488,
0.151687,0.150588,
0.101079,0.100742,
0.148391,0.147358,
0.0750301,0.0748618,
-0.0533747,-0.0534742,
-0.00931202,-0.00942933,
-0.0729485,-0.072998,
-0.195653,-0.193471,
-0.0631229,-0.0632037,
-0.133565,-0.132991,
-0.054458,-0.0545521,
-0.15737,-0.1563,
-0.118601,-0.118231,
-0.205878,-0.203269,
-0.225409,-0.221919,
-0.253603,-0.248586,
-0.300782,-0.292335,
-0.250739,-0.245866,
-0.294393,-0.286439,
-0.395616,-0.376531,
-0.524909,-0.48186,
-0.399544,-0.379873,
-0.495472,-0.458897,
-0.392596,-0.373902,
-0.389171,-0.370934,
-0.308561,-0.299374,
-0.307206,-0.298128,
-0.419952,-0.397216,
-0.432347,-0.407608,
-0.360472,-0.345898,
-0.456387,-0.427479,
-0.561452,-0.509436,
-0.425175,-0.401567,
-0.418799,-0.39621,
-0.369319,-0.353649,
-0.34468,-0.331879,
-0.373304,-0.357139,
-0.240522,-0.236142,
-0.335196,-0.323406,
-0.315682,-0.305796,
-0.276937,-0.270248,
-0.171306,-0.169753,
-0.290101,-0.28242,
-0.381525,-0.364295,
-0.446648,-0.419433,
-0.482184,-0.448309,
-0.334826,-0.323065,
-0.228592,-0.224792,
-0.363893,-0.348872,
-0.265395,-0.259463,
-0.158632,-0.157335,
-0.241032,-0.236594,
-0.202861,-0.200226,
-0.147844,-0.146801,
-0.0809622,-0.0807488,
