Sensor X0,Motor Y0,
0.0804689,0.0802956,
0.016191,0.0161896,
0.0386613,0.038642,
0.00402027,0.00402025,
0.124859,0.124214,
0.0651891,0.0650969,
0.0320907,0.0320797,
-0.077134,-0.0769814,
0.091253,0.0910006,
-0.0297167,-0.0297079,
-0.117357,-0.116822,
-0.0845229,-0.0843222,
0.101734,0.101384,
-0.0611905,-0.0611143,
0.00728616,0.00728603,
0.141833,0.140889,
0.0814073,0.081228,
0.0809742,0.0807976,
0.117459,0.116922,
-0.0442625,-0.0442336,
0.125708,0.12505,
0.134798,0.133988,
-0.124183,-0.123549,
0.0489681,0.048929,
-0.0453321,-0.0453011,
-0.143993,-0.143006,
-0.131071,-0.130326,
0.14119,0.140259,
0.105276,0.104889,
0.0119281,0.0119275,
0.0780746,0.0779164,
0.0503171,0.0502747,
-0.138216,-0.137342,
0.129551,0.128831,
0.0662857,0.0661888,
0.0715603,0.0714384,
-0.0437854,-0.0437574,
-0.100208,-0.0998737,
0.114023,0.113531,
-0.0508989,-0.050855,
0.118012,0.117467,
0.056001,0.0559425,
0.026592,0.0265858,
0.107603,0.10719,
0.127191,0.126509,
0.0944301,0.0941504,
0.123292,0.122671,
-0.0852525,-0.0850466,
0.126038,0.125375,
0.114319,0.113823,
-0.020414,-0.0204111,
-0.0656822,-0.0655879,
-0.0577626,-0.0576985,
-0.082168,-0.0819743,
-0.0671296,-0.0670223,
-0.0250496,-0.0250607,
0.122041,0.121525,
-0.112177,-0.112522,
0.0781426,0.0787474,
0.130501,0.131288,
-0.0350435,-0.0355715,
-0.0394009,-0.0397469,
-0.0803215,-0.0812266,
-0.0766762,-0.0773412,
0.0696446,0.0709164,
0.0880411,0.0893266,
0.0735214,0.0746978,
0.135031,0.136552,
0.00646901,0.00647699,
-0.0779813,-0.0797994,
0.0697963,0.0707113,
0.140222,0.14168,
0.0779205,0.0794286,
-0.109529,-0.112301,
-0.12653,-0.128336,
-0.0886035,-0.0905659,
0.0959032,0.0981388,
0.0766743,0.0788961,
-0.102658,-0.106583,
-0.0887014,-0.0923866,
-0.112359,-0.11688,
-0.133783,-0.138303,
-0.128301,-0.130286,
0.126921,0.130339,
-0.0958883,-0.100313,
-0.0324929,-0.0346382,
0.0959085,0.099595,
0.0157455,0.015713,
-0.0142272,-0.0158252,
-0.120108,-0.125956,
0.0771881,0.0805776,
0.147669,0.153194,
0.113284,0.117408,
0.038673,0.040141,
0.0743409,0.0768087,
0.127613,0.13238,
0.0993113,0.102879,
0.0731434,0.0755158,
0.145079,0.150489,
-0.000822444,-0.00207389,
0.0990036,0.102932,
-0.126902,-0.134945,
-0.0755868,-0.0802298,
-0.0812589,-0.0861112,
-0.0549399,-0.0587125,
-0.0805716,-0.0860985,
0.0399217,0.0420086,
0.0453396,0.0480452,
0.14144,0.149022,
0.0138321,0.0145257,
-0.116016,-0.123778,
0.027762,0.030059,
-0.0147247,-0.0162124,
0.104305,0.111043,
-0.149031,-0.159339,
0.0295444,0.0341559,
-0.0798325,-0.0843845,
-0.00511492,-0.00401742,
-0.0585133,-0.0611857,
-0.0952333,-0.10101,
-0.137741,-0.146976,
0.0587951,0.0659074,
0.041292,0.0456179,
-0.0946133,-0.101127,
0.0381474,0.0438771,
-0.0514877,-0.0540078,
-0.0893362,-0.094527,
0.055427,0.0625641,
-0.0728204,-0.0782528,
-0.123707,-0.134081,
0.113215,0.125774,
-0.121878,-0.134973,
-0.0415197,-0.0439194,
0.0279634,0.0336857,
-0.0633667,-0.0669664,
-0.0634862,-0.0695016,
-0.0930747,-0.0985532,
-0.148926,-0.160421,
-0.0505563,-0.0558626,
-0.0190509,-0.0168893,
0.125679,0.142217,
0.0597226,0.0660978,
0.0557357,0.0628424,
0.082282,0.0951382,
0.124882,0.141567,
-0.0889355,-0.0959391,
0.0144126,0.0173184,
0.12148,0.139514,
0.112194,0.127068,
0.0228599,0.025649,
-0.0678266,-0.0719784,
-0.00228035,-0.000754614,
0.104683,0.119051,
-0.062684,-0.0703201,
0.0552535,0.0656225,
-0.108283,-0.119116,
-0.00227348,0.00220366,
0.0672756,0.0765594,
-0.0834103,-0.0917276,
-0.113622,-0.127417,
-0.0418672,-0.0455193,
0.129569,0.151561,
0.0366286,0.04618,
0.0954383,0.1104,
-0.0495085,-0.0551073,
0.0476493,0.0574009,
-0.0723282,-0.0828334,
-0.128236,-0.146306,
0.0441622,0.0519931,
-0.0635191,-0.0719788,
-0.122655,-0.138294,
0.130348,0.151776,
-0.0703616,-0.0793833,
0.0785333,0.0918956,
-0.102818,-0.115223,
0.0376996,0.0455558,
-0.0876469,-0.100303,
-0.0221402,-0.0219881,
-0.0316835,-0.0371713,
-0.052196,-0.0577081,
0.0415962,0.0536612,
-0.0485271,-0.0523467,
-0.109178,-0.126228,
-0.148377,-0.168383,
0.0823159,0.0963941,
-0.1156,-0.132263,
0.0663017,0.0775179,
-0.0152685,-0.0148919,
0.0623727,0.0740535,
-0.00783181,-0.00710224,
-0.121824,-0.143356,
-0.0351312,-0.0407796,
0.047136,0.0586307,
-0.110489,-0.130781,
-0.133973,-0.156269,
0.0842605,0.103275,
-0.0172319,-0.0213284,
0.026891,0.0339997,
0.00896977,0.0126487,
-0.0414249,-0.0494215,
0.116617,0.140015,
-0.0990539,-0.117101,
0.00772413,0.011817,
0.0288589,0.0349107,
0.0989425,0.117961,
-0.120349,-0.140182,
-0.0991051,-0.116594,
-0.0823527,-0.0950728,
-0.0627514,-0.0734411,
0.113483,0.139108,
0.0944726,0.117122,
-0.139102,-0.166316,
0.0834772,0.10641,
0.100831,0.125004,
-0.0836972,-0.100881,
0.0337326,0.0431448,
0.0523816,0.0698747,
0.0658385,0.0829504,
-0.0296437,-0.0337222,
-0.0197974,-0.0220046,
-0.0342755,-0.038092,
-0.103583,-0.122766,
-0.145626,-0.174327,
-0.0353499,-0.0405396,
0.0712223,0.090564,
0.0448977,0.0597567,
0.125877,0.15923,
0.0929356,0.119275,
-0.0564149,-0.0650011,
-0.148199,-0.177262,
0.103173,0.132332,
0.0428078,0.0561846,
-0.0297873,-0.0352092,
0.0656602,0.0863331,
0.0533437,0.0667845,
-0.140132,-0.173432,
0.0557165,0.0717282,
0.0356875,0.0498427,
0.0203493,0.0257126,
-0.148287,-0.181951,
-0.0715289,-0.0838775,
0.107267,0.137193,
-0.0475937,-0.0548513,
0.113703,0.148175,
-0.0560311,-0.06524,
-0.0941206,-0.116586,
0.0010383,0.0073075,
0.0526962,0.0735376,
-0.0926665,-0.113828,
0.06182,0.0859319,
0.0142191,0.0242878,
0.129745,0.166662,
0.127973,0.166392,
0.130026,0.168565,
0.0157705,0.02703,
0.0898937,0.120317,
0.0283492,0.040917,
0.14859,0.194289,
-0.0526376,-0.0620978,
0.026747,0.0388416,
0.0777971,0.105067,
0.088473,0.115264,
0.0313136,0.0434879,
-0.0999136,-0.12289,
0.109526,0.146435,
0.0493243,0.0654949,
0.0335942,0.0462865,
0.0436804,0.0589397,
-0.105497,-0.133263,
-0.140111,-0.175864,
0.0054452,0.0121389,
0.00451472,0.00621366,
-0.003057,-0.00102924,
-0.13545,-0.169594,
-0.0346025,-0.0405808,
-0.0143633,-0.0171352,
-0.0260767,-0.0317549,
-0.02797,-0.035573,
0.065279,0.0890482,
0.0938841,0.125897,
-0.0159772,-0.0174585,
0.148549,0.19233,
-0.127722,-0.16255,
0.0291839,0.0425245,
-0.0840636,-0.105064,
0.127054,0.172367,
-0.0111443,-0.0114433,
0.105176,0.144073,
0.134673,0.181945,
0.0801041,0.108514,
0.0110227,0.0163322,
-0.00673463,-0.0038472,
-0.0101494,-0.00875035,
0.140183,0.185922,
-0.0125883,-0.0138395,
0.0799343,0.109498,
-0.0727244,-0.0944332,
0.139051,0.186029,
-0.0292864,-0.0389925,
0.0163344,0.0227709,
-0.0926917,-0.123855,
-0.0419685,-0.0553666,
0.124957,0.167475,
0.0319627,0.0434014,
-0.117067,-0.157689,
-0.0902992,-0.121132,
0.0278076,0.0385842,
0.0289022,0.0390046,
0.0182615,0.0253528,
-0.0772122,-0.104775,
-0.0468476,-0.0638658,
0.127108,0.172048,
0.0812058,0.110781,
0.129982,0.173681,
-0.0156055,-0.0221414,
0.0885694,0.120015,
0.139704,0.186894,
-0.0621333,-0.085069,
-0.0401916,-0.0550488,
0.0742913,0.10134,
-0.0681039,-0.0938003,
-0.113302,-0.154867,
0.0369583,0.0507535,
0.127362,0.173768,
-0.0653149,-0.0901193,
-0.0891069,-0.122579,
-0.0971284,-0.132836,
-0.0817344,-0.112942,
-0.14584,-0.198472,
-0.114003,-0.156003,
0.0445635,0.0619731,
-0.119743,-0.164431,
-0.128833,-0.175841,
-0.00107071,2.78794e-05,
-0.0620468,-0.084823,
0.123717,0.17238,
-0.0927872,-0.129601,
-0.0204469,-0.0258136,
0.0760148,0.107777,
0.149391,0.207115,
0.00706451,0.0105887,
0.0485375,0.0701877,
-0.0517152,-0.0701597,
0.0440135,0.0632613,
-0.13495,-0.185968,
0.090999,0.131767,
0.0545765,0.0796004,
-0.0561181,-0.0774963,
-0.06062,-0.0834587,
-0.0932809,-0.129589,
-0.133968,-0.186475,
-0.102817,-0.143206,
-0.109149,-0.151523,
-0.132584,-0.18352,
0.13365,0.18968,
0.127566,0.179543,
-0.0729093,-0.105078,
-0.0993488,-0.141443,
-0.0070936,-0.0102136,
0.12782,0.182063,
0.024675,0.0346097,
-0.0824293,-0.118387,
0.0400755,0.0574982,
-0.145005,-0.20718,
-0.0457362,-0.0636739,
0.0067886,0.0122982,
-0.0578495,-0.0819343,
0.0435402,0.0655278,
-0.0692933,-0.098759,
-0.0501324,-0.0692603,
0.0777625,0.115897,
0.0550722,0.0835177,
0.103537,0.150412,
0.0302288,0.0463706,
0.050388,0.0750003,
0.1044,0.153232,
-0.0731316,-0.103436,
0.00431465,0.00833524,
0.0334233,0.0516361,
0.0963992,0.142086,
0.0710241,0.106367,
-0.0420173,-0.058208,
-0.142841,-0.202943,
-0.00382375,-0.0017791,
0.0624787,0.0950317,
0.00222287,0.00683212,
-0.126523,-0.18039,
-0.00490549,-0.00224195,
-0.136982,-0.195257,
-0.0765425,-0.105884,
0.0333724,0.0538506,
0.13847,0.208391,
-0.100172,-0.142024,
0.0771845,0.12332,
-0.147906,-0.210155,
0.0709386,0.117885,
0.126772,0.194354,
0.0862927,0.140519,
-0.119556,-0.170688,
-0.0782038,-0.103598,
-0.121487,-0.168079,
-0.0668359,-0.0913808,
0.131314,0.209342,
-0.120996,-0.168093,
0.103582,0.16829,
0.057739,0.0985281,
-0.0196806,-0.0184704,
-0.052805,-0.0694634,
-0.111007,-0.160847,
-0.0366009,-0.0476374,
0.0479633,0.0818028,
0.114205,0.184782,
-0.0867411,-0.1206,
0.00866545,0.0247109,
0.132967,0.216228,
-0.113374,-0.165741,
0.00448079,0.021512,
-0.0865304,-0.119064,
-0.101951,-0.143756,
-0.0198725,-0.0201454,
0.044936,0.0820846,
-0.0114153,-0.0061057,
0.0840752,0.149052,
0.055403,0.106261,
0.110159,0.180451,
-0.135845,-0.193814,
-0.0968601,-0.127043,
-0.117143,-0.163098,
0.0288574,0.0670856,
0.0601019,0.114552,
-0.0280155,-0.0206633,
0.0233035,0.0610331,
-0.0834823,-0.107941,
-0.0377397,-0.0396909,
-0.120753,-0.164796,
-0.0338032,-0.0293404,
0.130254,0.226716,
0.0994385,0.176997,
0.0405612,0.0834602,
0.0373974,0.0782206,
0.0236438,0.058201,
-0.141157,-0.19921,
0.029912,0.0656311,
-0.106818,-0.150324,
0.0832231,0.156807,
0.0705934,0.129253,
0.0500121,0.0979232,
-0.118327,-0.163892,
-0.11933,-0.16797,
-0.0689038,-0.0908731,
-0.0636791,-0.0784839,
0.1341,0.230798,
0.0020744,0.0238762,
0.130905,0.223274,
-0.0616196,-0.0824763,
0.043356,0.0894252,
-0.0801456,-0.111585,
0.0388078,0.0826292,
0.0938991,0.170055,
-0.141464,-0.2096,
0.0352747,0.0814556,
0.0823297,0.153632,
-0.126974,-0.183083,
-0.0981834,-0.137826,
-0.0420642,-0.0448746,
-0.0363869,-0.0345588,
-0.119794,-0.171914,
0.110832,0.206101,
-0.118748,-0.172874,
0.0749157,0.148333,
-0.0399611,-0.0449679,
-0.0683432,-0.0912176,
-0.12953,-0.190484,
-0.0203403,-0.00954539,
0.0524549,0.110697,
-0.00850836,0.00792253,
-0.0826754,-0.116437,
0.0230163,0.0612191,
-0.112176,-0.163601,
-0.00595335,0.0144724,
-0.0922543,-0.129793,
-0.109984,-0.159859,
-0.0946268,-0.135025,
0.120232,0.224019,
0.092585,0.175345,
0.0562581,0.113519,
-0.136581,-0.208185,
0.0825173,0.161842,
0.10838,0.202298,
0.148259,0.266134,
0.0503725,0.10435,
0.0985639,0.184074,
0.0635718,0.125902,
-0.0919522,-0.139877,
-0.103587,-0.158282,
-0.0528445,-0.0715799,
0.00975424,0.0358471,
0.0421103,0.0906096,
-0.0119798,-0.00191809,
-0.148247,-0.231728,
-0.0925109,-0.137542,
-0.0167708,-0.00700402,
0.045926,0.101076,
-0.0452028,-0.0565951,
-0.0220765,-0.0161625,
-0.13486,-0.207594,
0.0928064,0.181419,
0.145993,0.265792,
-0.064716,-0.0951998,
-0.042226,-0.0546032,
0.106135,0.202507,
0.085856,0.164809,
-0.107899,-0.171611,
-0.118983,-0.1873,
0.140308,0.25944,
0.110727,0.202448,
0.0907811,0.168372,
-0.0312947,-0.046017,
0.00970257,0.0268362,
0.141013,0.254065,
-0.123442,-0.211281,
-0.134078,-0.222171,
0.119856,0.220736,
-0.0242568,-0.0406523,
-0.084044,-0.146536,
0.0368374,0.0698702,
-0.0115533,-0.0180548,
-0.012019,-0.0191943,
0.10066,0.182183,
-0.0893303,-0.16047,
0.051768,0.0978348,
0.138765,0.248355,
-0.0346473,-0.0638232,
0.129256,0.229767,
-0.119027,-0.222149,
0.112681,0.204855,
0.126421,0.21902,
-0.123104,-0.235108,
0.140518,0.253435,
-0.148582,-0.283477,
-0.0638432,-0.123685,
-0.0714342,-0.137315,
-0.139051,-0.259562,
-0.0448484,-0.0872207,
-0.0644552,-0.1226,
0.0525765,0.0968016,
0.0372179,0.0671948,
-0.020138,-0.0407993,
0.148812,0.271745,
0.127626,0.225446,
-0.0706128,-0.14546,
-0.0626829,-0.128347,
0.0689105,0.121543,
-0.147914,-0.287524,
0.116853,0.220166,
0.115903,0.211465,
0.0417596,0.0711576,
0.127614,0.23039,
0.111016,0.198494,
0.0143169,0.0141367,
0.0985865,0.175239,
-0.116127,-0.238273,
0.108235,0.199375,
-0.0116251,-0.0440467,
0.122854,0.218949,
0.136833,0.241156,
-0.093692,-0.206679,
-0.0419507,-0.105068,
0.038364,0.0580063,
0.0346473,0.0489094,
-0.0363603,-0.0916999,
0.0582273,0.0997236,
0.0450197,0.0672494,
0.0581076,0.0940388,
0.118606,0.21391,
0.052596,0.0791826,
-0.0106821,-0.0478361,
-0.0970031,-0.211696,
-0.0497953,-0.122119,
-0.0953991,-0.206705,
-0.142627,-0.293927,
-0.024701,-0.0672267,
-0.0344155,-0.0908168,
-0.111101,-0.233265,
-0.106516,-0.229434,
0.00916566,-0.000283444,
-0.0759031,-0.167049,
0.0125229,0.00441566,
0.103234,0.189048,
-0.0248479,-0.0730241,
-0.006945,-0.0302828,
-0.0109674,-0.0470355,
0.114218,0.205651,
-0.070074,-0.163097,
-0.0665986,-0.155409,
-0.0125194,-0.0453252,
0.025961,0.0270857,
0.00445464,-0.0174088,
0.0461279,0.0703531,
0.145494,0.264228,
-0.0331,-0.0946848,
-0.0532646,-0.134658,
0.0720525,0.118315,
0.0101135,-0.00816371,
-0.120111,-0.270995,
-0.0528735,-0.130485,
-0.136986,-0.296559,
0.00531667,-0.0107616,
-0.0218114,-0.0647392,
-0.108347,-0.238124,
-0.0802305,-0.179258,
-0.147636,-0.311846,
-0.00808635,-0.0282558,
0.0872759,0.172756,
-0.0998277,-0.221069,
0.127653,0.255903,
-0.0625706,-0.144954,
-0.0919308,-0.198024,
-0.116353,-0.256708,
0.0347683,0.0647541,
0.0534483,0.0889979,
0.0864796,0.161738,
0.0680538,0.130273,
0.0436932,0.0820304,
-0.122961,-0.275054,
0.107832,0.225138,
-0.0355192,-0.100167,
-0.107461,-0.247399,
-0.0329849,-0.0919582,
0.144436,0.291131,
0.0625847,0.0934946,
-0.11574,-0.259088,
-0.103522,-0.238064,
-0.140504,-0.31111,
-0.139488,-0.317838,
-0.00633926,-0.0420414,
0.0261591,0.0417798,
-0.019578,-0.059125,
0.0219366,0.0377206,
-0.00954461,-0.0478645,
0.109462,0.217465,
0.145784,0.285971,
-0.0915157,-0.220809,
-0.119663,-0.283645,
-0.131862,-0.293027,
-0.107313,-0.263093,
0.146862,0.296088,
0.0807364,0.151868,
0.0192755,-0.00553151,
-0.0265346,-0.0996085,
-0.0155033,-0.0856049,
-0.0562528,-0.144216,
-0.102734,-0.266829,
-0.0451313,-0.142053,
0.0982844,0.169838,
-0.0318216,-0.117749,
-0.106388,-0.263744,
0.131689,0.25744,
0.00228514,-0.0264398,
0.127596,0.230653,
-0.113201,-0.292164,
-0.0488549,-0.143063,
-0.0527711,-0.150526,
-0.072998,-0.216694,
0.122114,0.224612,
-0.00370837,-0.0633219,
0.0175934,-0.0284546,
-0.0327336,-0.139424,
0.014208,-0.0337202,
-0.0159372,-0.0909185,
0.0174593,-0.029294,
-0.129761,-0.345609,
-0.0837964,-0.213496,
-0.136833,-0.343465,
-0.136046,-0.342911,
-0.0610885,-0.155672,
-0.138955,-0.336127,
-0.0655854,-0.159047,
0.0719382,0.149898,
-0.0752214,-0.196123,
-0.088116,-0.218597,
-0.149337,-0.349301,
0.0111091,0.0340171,
-0.00566276,0.00698354,
-0.109936,-0.264614,
-0.0121906,-0.0144667,
0.0806413,0.208279,
-0.0314052,-0.0767973,
0.00997578,0.05261,
0.0653335,0.17456,
-0.0274749,-0.0159371,
0.0746826,0.20173,
0.0443017,0.147366,
0.0918446,0.239917,
0.0205138,0.0891405,
-0.139708,-0.312678,
0.0876934,0.275548,
0.0118752,0.0766239,
-0.021116,0.0127297,
-0.0258805,-0.0263622,
0.134612,0.32933,
-0.0735281,-0.159987,
-0.0300229,-0.0447663,
0.0620986,0.162291,
-0.123171,-0.253744,
0.00388242,0.065167,
-0.0183228,0.0214115,
0.132924,0.37736,
-0.0623378,-0.152924,
-0.00778123,-0.0191394,
0.0913922,0.237546,
0.0405738,0.1007,
0.0134656,0.0567083,
0.127888,0.286244,
-0.0913386,-0.21412,
0.0112979,0.0563406,
-0.0860633,-0.218609,
0.108528,0.282725,
-0.0171634,-0.0428886,
0.0138666,0.0398173,
0.148058,0.383394,
-0.14098,-0.38656,
-0.053686,-0.209326,
0.00571435,-0.0392249,
0.066713,0.0906096,
-0.00784772,-0.068228,
0.000443929,-0.0206953,
-0.112809,-0.295877,
-0.0648249,-0.175661,
-0.143741,-0.384015,
-0.0329133,-0.095999,
0.0371104,0.0825886,
-0.044673,-0.1197,
-0.0850629,-0.237477,
-0.133736,-0.337214,
-0.0521709,-0.0604037,
0.0965526,0.295353,
-0.00594199,0.0228665,
-0.0512074,-0.154722,
0.0768429,0.255761,
0.147705,0.381748,
0.0236107,0.00738845,
-0.0482788,-0.197497,
0.012059,-0.0276925,
0.0758806,0.144903,
-0.119267,-0.334072,
-0.114125,-0.343237,
0.0739906,0.171167,
-0.0865187,-0.295959,
-0.0706342,-0.171634,
0.0677313,0.17109,
-0.055932,-0.164802,
0.134043,0.329926,
0.0571505,0.150933,
0.0878984,0.218791,
-0.0516585,-0.187298,
0.0529885,0.111907,
-0.0662467,-0.140989,
0.0327538,0.0648428,
0.0416061,0.124695,
-0.0358697,-0.118912,
0.00160164,0.0172807,
-0.00981775,0.00645466,
0.141208,0.36762,
-0.0854802,-0.24497,
0.133409,0.299099,
0.0977684,0.239322,
-0.00346501,-0.0865118,
-0.134397,-0.379104,
