Sensor X0,Motor Y0,
0,0,
0.0174524,0.0174506,
0.0348995,0.0348853,
0.052336,0.0522882,
0.0697565,0.0696435,
0.0871557,0.0869357,
0.104528,0.104149,
0.121869,0.12127,
0.139173,0.138281,
0.156434,0.155171,
0.173648,0.171924,
0.190809,0.188527,
0.207912,0.204967,
0.224951,0.221232,
0.241922,0.23731,
0.258819,0.253191,
0.275637,0.268863,
0.292372,0.284316,
0.309017,0.299543,
0.325568,0.314533,
0.34202,0.32928,
0.358368,0.343776,
0.374607,0.358014,
0.390731,0.37199,
0.406737,0.385698,
0.422618,0.399134,
0.438371,0.412293,
0.45399,0.425174,
0.469472,0.437772,
0.48481,0.450087,
0.5,0.462117,
0.515038,0.473861,
0.529919,0.485319,
0.544639,0.496492,
0.559193,0.507378,
0.573576,0.517981,
0.587785,0.528301,
0.601815,0.53834,
0.615661,0.5481,
0.62932,0.557584,
0.642788,0.566795,
0.656059,0.575735,
0.669131,0.584408,
0.681998,0.592817,
0.694658,0.600966,
0.707107,0.608859,
0.71934,0.6165,
0.731354,0.623893,
0.743145,0.631041,
0.75471,0.63795,
0.766044,0.644623,
0.777146,0.651066,
0.788011,0.657281,
0.798636,0.65782,
0.809017,0.658132,
0.819152,0.657969,
0.829038,0.658337,
0.838671,0.657647,
0.848048,0.657257,
0.857167,0.656549,
0.866025,0.656223,
0.87462,0.655485,
0.882948,0.654785,
0.891007,0.653895,
0.898794,0.652344,
0.906308,0.651427,
0.913545,0.650806,
0.920505,0.6506,
0.927184,0.650458,
0.93358,0.649558,
0.939693,0.648602,
0.945519,0.648315,
0.951057,0.647899,
0.956305,0.647059,
0.961262,0.647262,
0.965926,0.646639,
0.970296,0.645941,
0.97437,0.646003,
0.978148,0.646851,
0.981627,0.647208,
0.984808,0.646291,
0.987688,0.647318,
0.990268,0.646948,
0.992546,0.64644,
0.994522,0.647141,
0.996195,0.647229,
0.997564,0.646948,
0.99863,0.647795,
0.999391,0.646947,
0.999848,0.647768,
1,0.646972,
0.999848,0.646784,
0.999391,0.645877,
0.99863,0.646019,
0.997564,0.646259,
0.996195,0.644296,
0.994522,0.642752,
0.992546,0.643013,
0.990268,0.640772,
0.987688,0.639392,
0.984808,0.638308,
0.981627,0.636428,
0.978148,0.635308,
0.97437,0.63253,
0.970296,0.631008,
0.965926,0.62881,
0.961262,0.627083,
0.956305,0.625282,
0.951057,0.623095,
0.945519,0.619896,
0.939693,0.616928,
0.93358,0.614481,
0.927184,0.60941,
0.920505,0.606718,
0.913545,0.603669,
0.906308,0.598868,
0.898794,0.592867,
0.891007,0.586246,
0.882948,0.57987,
0.87462,0.574174,
0.866025,0.569259,
0.857167,0.562864,
0.848048,0.557554,
0.838671,0.552256,
0.829038,0.546886,
0.819152,0.539883,
0.809017,0.533864,
0.798636,0.527809,
0.788011,0.519077,
0.777146,0.512608,
0.766044,0.503071,
0.75471,0.496005,
0.743145,0.486146,
0.731354,0.47895,
0.71934,0.467621,
0.707107,0.460117,
0.694658,0.45008,
0.681998,0.441274,
0.669131,0.431767,
0.656059,0.419344,
0.642788,0.407308,
0.62932,0.395437,
0.615661,0.381854,
0.601815,0.369482,
0.587785,0.356177,
0.573576,0.345741,
0.559193,0.334974,
0.544639,0.322115,
0.529919,0.311201,
0.515038,0.300165,
0.5,0.288137,
0.48481,0.274354,
0.469472,0.258404,
0.453991,0.243692,
0.438371,0.227775,
0.422618,0.215419,
0.406737,0.202382,
0.390731,0.184347,
0.374607,0.170576,
0.358368,0.15279,
0.34202,0.139059,
0.325568,0.120283,
0.309017,0.106576,
0.292372,0.0881777,
0.275637,0.0740839,
0.258819,0.0605118,
0.241922,0.0414431,
0.224951,0.0240336,
0.207912,0.00898871,
0.190809,-0.00584244,
0.173648,-0.0220252,
0.156434,-0.0415278,
0.139173,-0.0605938,
0.121869,-0.0770217,
0.104528,-0.0945438,
0.0871557,-0.112273,
0.0697565,-0.129288,
0.052336,-0.147649,
0.0348995,-0.162611,
0.0174524,-0.179944,
3.58979e-09,-0.198497,
-0.0174524,-0.214326,
-0.0348995,-0.234014,
-0.052336,-0.250688,
-0.0697565,-0.268753,
-0.0871557,-0.2851,
-0.104528,-0.30031,
-0.121869,-0.312534,
-0.139173,-0.329335,
-0.156434,-0.345388,
-0.173648,-0.361093,
-0.190809,-0.375725,
-0.207912,-0.389693,
-0.224951,-0.404014,
-0.241922,-0.416861,
-0.258819,-0.430417,
-0.275637,-0.443897,
-0.292372,-0.455756,
-0.309017,-0.467243,
-0.325568,-0.477783,
-0.34202,-0.491119,
-0.358368,-0.503878,
-0.374607,-0.513239,
-0.390731,-0.525106,
-0.406737,-0.534943,
-0.422618,-0.546089,
-0.438371,-0.555439,
-0.45399,-0.566278,
-0.469472,-0.575455,
-0.48481,-0.584423,
-0.5,-0.592721,
-0.515038,-0.600037,
-0.529919,-0.608712,
-0.544639,-0.615869,
-0.559193,-0.623978,
-0.573576,-0.631594,
-0.587785,-0.640522,
-0.601815,-0.647059,
-0.615661,-0.653965,
-0.62932,-0.661458,
-0.642788,-0.66682,
-0.656059,-0.672835,
-0.669131,-0.679629,
-0.681998,-0.687547,
-0.694658,-0.693385,
-0.707107,-0.698701,
-0.71934,-0.70565,
-0.731354,-0.710906,
-0.743145,-0.714718,
-0.75471,-0.719571,
-0.766044,-0.725615,
-0.777146,-0.732002,
-0.788011,-0.735633,
-0.798636,-0.741088,
-0.809017,-0.745344,
-0.819152,-0.749538,
-0.829038,-0.75298,
-0.838671,-0.757827,
-0.848048,-0.760178,
-0.857167,-0.764543,
-0.866025,-0.766314,
-0.87462,-0.770029,
-0.882948,-0.774262,
-0.891007,-0.777471,
-0.898794,-0.780212,
-0.906308,-0.781671,
-0.913545,-0.782993,
-0.920505,-0.786145,
-0.927184,-0.788626,
-0.93358,-0.791122,
-0.939693,-0.79166,
-0.945519,-0.794275,
-0.951057,-0.794075,
-0.956305,-0.797375,
-0.961262,-0.798517,
-0.965926,-0.79963,
-0.970296,-0.79889,
-0.97437,-0.799882,
-0.978148,-0.798724,
-0.981627,-0.798931,
-0.984808,-0.801715,
-0.987688,-0.802737,
-0.990268,-0.801161,
-0.992546,-0.80036,
-0.994522,-0.800825,
-0.996195,-0.802155,
-0.997564,-0.803209,
-0.99863,-0.804318,
-0.999391,-0.803466,
-0.999848,-0.804988,
-1,-0.803804,
-0.999848,-0.803138,
-0.999391,-0.801817,
-0.99863,-0.804068,
-0.997564,-0.801217,
-0.996195,-0.802627,
-0.994522,-0.801352,
-0.992546,-0.799559,
-0.990268,-0.798891,
-0.987688,-0.800591,
-0.984808,-0.801716,
-0.981627,-0.80195,
-0.978148,-0.801708,
-0.97437,-0.798026,
-0.970296,-0.79777,
-0.965926,-0.795108,
-0.961262,-0.794365,
-0.956305,-0.793063,
-0.951057,-0.789349,
-0.945519,-0.783804,
-0.939693,-0.775303,
-0.93358,-0.772184,
-0.927184,-0.767858,
-0.920505,-0.762888,
-0.913545,-0.761262,
-0.906308,-0.759063,
-0.898794,-0.756115,
-0.891007,-0.75124,
-0.882948,-0.747227,
-0.87462,-0.741499,
-0.866025,-0.73677,
-0.857167,-0.734664,
-0.848048,-0.730324,
-0.838671,-0.725719,
-0.829038,-0.722851,
-0.819152,-0.717754,
-0.809017,-0.711585,
-0.798636,-0.704951,
-0.788011,-0.700825,
-0.777146,-0.696602,
-0.766044,-0.688943,
-0.75471,-0.683801,
-0.743145,-0.677744,
-0.731354,-0.673392,
-0.71934,-0.667979,
-0.707107,-0.659057,
-0.694658,-0.650543,
-0.681998,-0.643441,
-0.669131,-0.633794,
-0.656059,-0.62389,
-0.642788,-0.614813,
-0.62932,-0.605092,
-0.615661,-0.598908,
-0.601815,-0.592771,
-0.587785,-0.584739,
-0.573576,-0.577946,
-0.559193,-0.570846,
-0.544639,-0.561135,
-0.529919,-0.550029,
-0.515038,-0.539182,
-0.5,-0.530008,
-0.48481,-0.520172,
-0.469472,-0.507407,
-0.453991,-0.493617,
-0.438371,-0.478746,
-0.422618,-0.463332,
-0.406737,-0.451431,
-0.390731,-0.43698,
-0.374607,-0.421208,
-0.358368,-0.405057,
-0.34202,-0.386191,
-0.325568,-0.370017,
-0.309017,-0.359242,
-0.292372,-0.34465,
-0.275637,-0.326715,
-0.258819,-0.312824,
-0.241922,-0.29998,
-0.224951,-0.283843,
-0.207912,-0.264261,
-0.190809,-0.252875,
-0.173648,-0.238026,
-0.156434,-0.221775,
-0.139173,-0.202145,
-0.121869,-0.186982,
-0.104528,-0.170261,
-0.0871557,-0.158068,
-0.0697565,-0.139866,
-0.052336,-0.120392,
-0.0348995,-0.102625,
-0.0174524,-0.0899249,
-7.17959e-09,-0.0748961,
0.0174524,-0.0634667,
0.0348995,-0.0435683,
0.0523359,-0.0308185,
0.0697565,-0.00856268,
0.0871557,0.00948407,
0.104528,0.0318182,
0.121869,0.0432828,
0.139173,0.0563035,
0.156434,0.0755989,
0.173648,0.0961304,
0.190809,0.106509,
0.207912,0.12018,
0.224951,0.141872,
0.241922,0.15743,
0.258819,0.16656,
0.275637,0.180196,
0.292372,0.199359,
0.309017,0.214769,
0.325568,0.225458,
0.34202,0.245404,
0.358368,0.264338,
0.374607,0.278926,
0.390731,0.294042,
0.406737,0.304698,
0.422618,0.314335,
0.438371,0.331791,
0.45399,0.34906,
0.469472,0.365059,
0.48481,0.375465,
0.5,0.382726,
0.515038,0.391994,
0.529919,0.403787,
0.544639,0.418558,
0.559193,0.427908,
0.573576,0.437334,
0.587785,0.447074,
0.601815,0.455908,
0.615661,0.466747,
0.62932,0.47785,
0.642788,0.483124,
0.656059,0.491811,
0.669131,0.502979,
0.681998,0.509987,
0.694658,0.51726,
0.707107,0.523226,
0.71934,0.528717,
0.731354,0.536781,
0.743145,0.539419,
0.75471,0.54756,
0.766044,0.555783,
0.777146,0.556637,
0.788011,0.562662,
0.798636,0.566609,
0.809017,0.572446,
0.819152,0.573065,
0.829038,0.577878,
0.838671,0.583433,
0.848048,0.583817,
0.857167,0.588827,
0.866025,0.590715,
0.87462,0.593727,
0.882948,0.604621,
0.891007,0.61156,
0.898794,0.61251,
0.906308,0.61535,
0.913545,0.616474,
0.920505,0.623754,
0.927184,0.631281,
0.93358,0.6379,
0.939693,0.639569,
0.945519,0.646597,
0.951057,0.647091,
0.956305,0.646743,
0.961262,0.64736,
0.965926,0.653705,
0.970296,0.656996,
0.97437,0.660982,
0.978148,0.663353,
0.981627,0.667614,
0.984808,0.669934,
0.987688,0.670733,
0.990268,0.675207,
0.992546,0.675405,
0.994522,0.681059,
0.996195,0.683015,
0.997564,0.685275,
0.99863,0.688333,
0.999391,0.687147,
0.999848,0.690725,
1,0.690166,
0.999848,0.690566,
0.999391,0.687241,
0.99863,0.686403,
0.997564,0.684234,
0.996195,0.68312,
0.994522,0.685419,
0.992546,0.684267,
0.990268,0.68876,
0.987688,0.686957,
0.984808,0.681674,
0.981627,0.679462,
0.978148,0.676928,
0.97437,0.67554,
0.970296,0.674945,
0.965926,0.674139,
0.961262,0.669376,
0.956305,0.664285,
0.951057,0.660736,
0.945519,0.662066,
0.939693,0.663467,
0.93358,0.662806,
0.927184,0.654421,
0.920505,0.652209,
0.913545,0.644927,
0.906308,0.637444,
0.898794,0.631722,
0.891007,0.631889,
