Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0.777146,0.651066,0.777146,0.651066,
0.788018,0.657285,0.788025,0.657289,
0.79853,0.663147,0.798428,0.663088,
0.808785,0.668776,0.808555,0.668645,
0.818788,0.674186,0.818423,0.673982,
0.82852,0.679363,0.828,0.679078,
0.837985,0.684328,0.837298,0.683957,
0.847195,0.68909,0.846339,0.688634,
0.856138,0.693637,0.855102,0.693092,
0.864779,0.69796,0.863529,0.697311,
0.873162,0.702095,0.871698,0.701346,
0.881261,0.706032,0.879573,0.705177,
0.889051,0.70975,0.887105,0.708772,
0.896575,0.713309,0.894378,0.712213,
0.903778,0.716652,0.901294,0.715419,
0.910685,0.71979,0.907899,0.718413,
0.91733,0.722772,0.914252,0.721258,
0.923689,0.725607,0.920324,0.723957,
0.929707,0.728244,0.925994,0.726432,
0.935402,0.730643,0.931318,0.72866,
0.94087,0.73298,0.936465,0.730855,
0.945974,0.735066,0.941176,0.732766,
0.950794,0.736973,0.945609,0.734501,
0.955373,0.73881,0.949849,0.736191,
0.95959,0.740429,0.953659,0.737635,
0.963502,0.741864,0.957156,0.738892,
0.967168,0.743269,0.960459,0.740148,
0.970421,0.744338,0.963232,0.741017,
0.973517,0.745495,0.965965,0.742038,
0.976168,0.746294,0.968124,0.742634,
0.978605,0.747072,0.970162,0.743248,
0.98069,0.747611,0.971802,0.743595,
0.982565,0.748231,0.973321,0.744075,
0.984041,0.748727,0.974343,0.744392,
0.985154,0.748751,0.974942,0.744198,
0.986096,0.748787,0.975502,0.744071,
0.986789,0.749082,0.975883,0.74424,
0.986974,0.74872,0.975569,0.743661,
0.987027,0.748499,0.975281,0.743294,
0.986743,0.748225,0.974633,0.742863,
0.986122,0.747681,0.973611,0.742139,
0.985249,0.747239,0.97239,0.741543,
0.984005,0.74631,0.970743,0.740422,
0.982565,0.745637,0.969006,0.739607,
0.980762,0.744685,0.966855,0.738479,
0.978698,0.743774,0.964484,0.737409,
0.976319,0.742738,0.961785,0.736207,
0.973646,0.741513,0.958798,0.734818,
0.970681,0.739967,0.955533,0.733102,
0.71727,0.603116,0.51362,0.458515,
0.708002,0.597682,0.502043,0.450039,
0.701714,0.593088,0.49186,0.441052,
0.693567,0.587708,0.480644,0.431248,
0.683385,0.581832,0.467411,0.422005,
0.674558,0.576532,0.455965,0.413996,
0.667741,0.571691,0.446706,0.405931,
0.661462,0.566719,0.439242,0.39845,
0.653115,0.560107,0.430349,0.389182,
0.644356,0.554424,0.418751,0.380402,
0.636013,0.548675,0.409976,0.37281,
0.627402,0.542056,0.401294,0.364172,
0.618169,0.536112,0.390935,0.356409,
0.60996,0.529893,0.382948,0.348201,
0.600346,0.523619,0.372091,0.339906,
0.592679,0.518467,0.362999,0.333004,
0.584517,0.512734,0.354681,0.325836,
0.578002,0.507761,0.348441,0.319336,
0.568955,0.500664,0.339904,0.311068,
0.561372,0.496231,0.330851,0.305437,
0.55377,0.489498,0.323293,0.296537,
0.546301,0.484638,0.315877,0.291273,
0.538613,0.478797,0.308277,0.284806,
0.53188,0.473674,0.302117,0.27865,
0.524766,0.467686,0.296205,0.272734,
0.516844,0.462326,0.2885,0.266962,
0.510237,0.456563,0.282614,0.260132,
0.503848,0.452578,0.276435,0.256524,
0.494914,0.445043,0.269736,0.248816,
0.486857,0.438741,0.263614,0.243982,
0.479855,0.432588,0.259059,0.238854,
0.472585,0.426783,0.25329,0.233921,
0.465379,0.41972,0.247491,0.226369,
0.456226,0.41166,0.240078,0.218321,
0.448113,0.405575,0.235361,0.215739,
0.440478,0.399698,0.232001,0.213074,
0.42888,0.389414,0.220434,0.200233,
0.421429,0.38408,0.21634,0.198608,
0.412856,0.377019,0.210356,0.192756,
0.403546,0.369305,0.202781,0.185434,
0.393785,0.361536,0.195584,0.179584,
0.382831,0.351446,0.186799,0.169865,
0.374561,0.344463,0.183116,0.167473,
0.364756,0.334978,0.176029,0.158815,
0.355732,0.326808,0.17052,0.153498,
0.34384,0.316487,0.159415,0.142651,
0.331635,0.305883,0.148061,0.1319,
0.319877,0.294603,0.138357,0.121864,
0.310593,0.286974,0.131783,0.116779,
0.300702,0.277096,0.378132,0.346382,
0.289107,0.266562,0.221424,0.202059,
0.28058,0.259034,0.216582,0.199523,
0.267275,0.246049,0.208978,0.190836,
0.254511,0.233562,0.196603,0.177051,
0.24442,0.225235,0.18428,0.166759,
0.234596,0.217123,0.177099,0.16241,
0.227249,0.20973,0.175723,0.161593,
0.218818,0.201409,0.177762,0.163622,
0.209245,0.192297,0.170634,0.154417,
0.197888,0.181317,0.161424,0.145843,
0.187175,0.171717,0.155986,0.14259,
0.17559,0.159066,0.144274,0.127641,
0.162383,0.145596,0.13339,0.117645,
0.149437,0.133072,0.120247,0.103415,
0.138271,0.122608,0.106609,0.0907385,
0.124111,0.108032,0.0926917,0.0765578,
0.110423,0.0944711,0.0796019,0.0640843,
0.0991425,0.0839651,0.0744549,0.0599373,
0.084982,0.0695994,0.0549404,0.0379212,
0.0740539,0.0598101,0.0506265,0.0381211,
0.0591835,0.0435921,0.0334375,0.0167161,
0.0477919,0.0335172,0.0225657,0.00822775,
0.0320897,0.0160318,0.00696272,-0.00925304,
0.022443,0.00770773,0.00097695,-0.0131463,
