Sensor X1,Motor Y1,
0.777146,0.651066,
0.788635,0.657635,
0.789609,0.652091,
0.791215,0.648514,
0.792184,0.644526,
0.79329,0.641299,
0.793941,0.637955,
0.794678,0.635126,
0.794956,0.63245,
0.795303,0.630086,
0.795331,0.627322,
0.795416,0.625092,
0.796092,0.623701,
0.796912,0.622542,
0.796085,0.620138,
0.796634,0.619147,
0.797412,0.618434,
0.796931,0.61674,
0.79824,0.616907,
0.797858,0.615611,
0.797652,0.614277,
0.79867,0.614137,
0.800875,0.61524,
0.801392,0.615115,
0.800958,0.613766,
0.803161,0.615103,
0.803322,0.614517,
0.803863,0.614096,
0.805991,0.615354,
0.806951,0.615625,
0.807702,0.615635,
0.809798,0.617136,
0.809668,0.616461,
0.811692,0.618052,
0.811529,0.617508,
0.812439,0.618041,
0.81268,0.61785,
0.813643,0.618758,
0.813808,0.61927,
0.812376,0.617739,
0.811971,0.617187,
0.812074,0.617996,
0.809956,0.616181,
0.808846,0.615557,
0.807434,0.614992,
0.805321,0.613656,
0.803324,0.612897,
0.800412,0.610773,
0.79787,0.609654,
0.584868,0.46029,
0.593752,0.464818,
0.592787,0.465148,
0.587212,0.46111,
0.580388,0.45653,
0.577797,0.454425,
0.570965,0.450027,
0.569216,0.447892,
0.568708,0.447348,
0.560223,0.442011,
0.550039,0.435308,
0.546461,0.432024,
0.54666,0.430471,
0.547023,0.429101,
0.540001,0.424182,
0.537659,0.422455,
0.536454,0.42051,
0.531142,0.417347,
0.529292,0.415248,
0.5234,0.411728,
0.51797,0.408357,
0.51689,0.408044,
0.5151,0.405744,
0.510511,0.400929,
0.503754,0.39829,
0.501129,0.393637,
0.495629,0.39112,
0.493958,0.389937,
0.491677,0.387648,
0.487837,0.382889,
0.483742,0.381463,
0.478209,0.374816,
0.475252,0.375158,
0.46777,0.367131,
0.463124,0.363388,
0.45711,0.356428,
0.452245,0.352274,
0.439991,0.338048,
0.423127,0.321523,
0.418569,0.318965,
0.413486,0.315457,
0.393406,0.295636,
0.387567,0.292928,
0.376333,0.283151,
0.360433,0.269137,
0.347612,0.258981,
0.330414,0.241269,
0.319868,0.232024,
0.303304,0.213819,
0.286862,0.197563,
0.267197,0.179373,
0.246417,0.160273,
0.226197,0.138789,
0.21224,0.127291,
0.196475,0.109405,
0.1768,0.0903172,
0.169236,0.0835837,
0.151658,0.0643561,
0.133842,0.0450546,
0.123291,0.0376137,
0.11559,0.0330781,
0.108595,0.0249021,
0.100338,0.015513,
0.0882943,0.00340651,
0.0720204,-0.0129256,
0.057383,-0.0255165,
0.0410696,-0.0456249,
0.0216351,-0.0670086,
0.00172327,-0.0867595,
-0.0139623,-0.101378,
-0.0310687,-0.120633,
-0.0498404,-0.139694,
-0.0619055,-0.150249,
-0.0801741,-0.169676,
-0.0925356,-0.179255,
-0.110049,-0.201206,
-0.123041,-0.210226,
-0.141982,-0.235282,
-0.15651,-0.244128,
-0.173287,-0.268496,
-0.192114,-0.282663,
-0.208639,-0.300692,
-0.227504,-0.313503,
-0.24258,-0.324913,
-0.256533,-0.339019,
-0.27213,-0.354267,
-0.286086,-0.364673,
-0.300182,-0.379022,
-0.314507,-0.390835,
-0.330038,-0.408857,
-0.354078,-0.430309,
-0.374921,-0.444375,
-0.395435,-0.463567,
-0.419912,-0.481149,
-0.442901,-0.493966,
-0.460485,-0.506542,
-0.474587,-0.515786,
-0.491468,-0.5266,
-0.506877,-0.536892,
-0.531878,-0.556251,
-0.555554,-0.57203,
-0.564112,-0.572444,
-0.58929,-0.593008,
-0.600757,-0.596388,
-0.626089,-0.614441,
-0.633956,-0.614234,
-0.660638,-0.631869,
-0.670022,-0.633999,
-0.696304,-0.650751,
-0.720545,-0.66456,
-0.728741,-0.664449,
-0.745573,-0.676418,
-0.76981,-0.689488,
-0.793633,-0.701238,
-0.813692,-0.710355,
-0.827836,-0.712248,
-0.840086,-0.722173,
-0.861039,-0.734244,
-0.878188,-0.741836,
-0.89544,-0.74869,
-0.916533,-0.757514,
-0.930937,-0.763217,
-0.959321,-0.775074,
-0.976063,-0.778001,
-0.988912,-0.784989,
-1.01139,-0.795515,
-1.01459,-0.795048,
-1.03206,-0.802483,
-1.03746,-0.803958,
-1.05103,-0.808832,
-1.06423,-0.812576,
-1.10206,-0.823222,
-1.09494,-0.81726,
-1.09597,-0.818651,
-1.09591,-0.818809,
-1.10065,-0.821285,
-1.11033,-0.824102,
-1.11146,-0.824066,
-1.13,-0.828434,
-1.1312,-0.827127,
-1.12694,-0.825672,
-1.15131,-0.832776,
-1.17956,-0.839147,
-1.22591,-0.848039,
-1.20139,-0.832474,
-1.18137,-0.825509,
