Sensor X1,Motor Y1,Sensor X2,Motor Y2,
0,0,0,0,
0,0,0,0,
-1.83904e-13,5.00486e-13,5.00486e-13,-4.15292e-14,
-5.10298e-14,6.00906e-13,6.00906e-13,-7.65805e-12,
-5.09613e-14,-2.58797e-12,-2.58797e-12,-2.54527e-11,
-4.25059e-13,-5.83811e-12,-5.83811e-12,-4.82861e-11,
-4.94766e-13,-6.2918e-12,-6.2918e-12,-5.34687e-11,
-1.74247e-13,-6.37545e-12,-6.37545e-12,-6.95812e-11,
5.78523e-12,-4.15971e-13,-4.15971e-13,-6.64959e-11,
6.37899e-12,2.76123e-13,2.76123e-13,-6.58157e-11,
7.23805e-12,1.13526e-12,1.13526e-12,-6.67351e-11,
7.53753e-12,2.85714e-12,2.85714e-12,-6.51523e-11,
7.51535e-12,1.00725e-11,1.00725e-11,-6.1827e-11,
7.08121e-12,2.63513e-11,2.63513e-11,-5.58202e-11,
4.53006e-12,6.04088e-11,6.04088e-11,-3.55189e-11,
-4.24667e-12,9.64257e-11,9.64257e-11,-2.79047e-11,
-6.77001e-12,1.37609e-10,1.37609e-10,-5.29324e-11,
-1.21289e-11,1.87699e-10,1.87699e-10,-9.13604e-11,
-1.26219e-11,2.70411e-10,2.70411e-10,-6.39381e-11,
-1.72635e-11,4.12115e-10,4.12115e-10,5.58561e-11,
-1.74687e-11,5.2099e-10,5.2099e-10,1.47148e-10,
-1.82863e-11,5.93198e-10,5.93198e-10,1.88038e-10,
-1.82869e-11,6.88765e-10,6.88765e-10,2.5698e-10,
-1.83642e-11,7.53149e-10,7.53149e-10,2.52126e-10,
-1.83425e-11,8.04217e-10,8.04217e-10,2.62669e-10,
-1.81372e-11,8.75483e-10,8.75483e-10,3.04817e-10,
-1.81167e-11,9.06936e-10,9.06935e-10,2.82855e-10,
-1.5659e-11,9.30385e-10,9.30385e-10,2.85081e-10,
1.92395e-12,9.52737e-10,9.52737e-10,2.85231e-10,
6.88028e-12,9.74245e-10,9.74245e-10,2.63877e-10,
8.12598e-12,9.95772e-10,9.95772e-10,1.78348e-10,
1.15499e-11,1.0383e-09,1.0383e-09,5.12459e-11,
1.3109e-11,1.05048e-09,1.05048e-09,-7.97049e-11,
2.42142e-11,1.0687e-09,1.0687e-09,-1.59779e-10,
4.6531e-11,1.1159e-09,1.1159e-09,-2.07834e-10,
5.03971e-11,1.15632e-09,1.15632e-09,-3.36201e-10,
